id,qnat-0_FA_AA,qnat-1_FA_AA,qnat-2_FA_AA,qnat-3_FA_AA,qnat-4_FA_AA,qnat-5_FA_AA,qnat-6_FA_AA,Vnat-0_FA_AA,Vnat-1_FA_AA,Vnat-2_FA_AA,Vnat-3_FA_AA,Vnat-4_FA_AA,Vnat-5_FA_AA,Vnat-6_FA_AA,Ns-0_FA_AA,Ns-1_FA_AA,Ns-2_FA_AA,Ns-3_FA_AA,Ns-4_FA_AA,Ns-5_FA_AA,Ns-6_FA_AA,Np-0_FA_AA,Np-1_FA_AA,Np-2_FA_AA,Np-3_FA_AA,Np-4_FA_AA,Np-5_FA_AA,Np-6_FA_AA,Nd-0_FA_AA,Nd-1_FA_AA,Nd-2_FA_AA,Nd-3_FA_AA,Nd-4_FA_AA,Nd-5_FA_AA,Nd-6_FA_AA,Nlp-0_FA_AA,Nlp-1_FA_AA,Nlp-2_FA_AA,Nlp-3_FA_AA,Nlp-4_FA_AA,Nlp-5_FA_AA,Nlp-6_FA_AA,LPde-0_FA_AA,LPde-1_FA_AA,LPde-2_FA_AA,LPde-3_FA_AA,LPde-4_FA_AA,LPde-5_FA_AA,LPde-6_FA_AA,LPe-0_FA_AA,LPe-1_FA_AA,LPe-2_FA_AA,LPe-3_FA_AA,LPe-4_FA_AA,LPe-5_FA_AA,LPe-6_FA_AA,LPocc-0_FA_AA,LPocc-1_FA_AA,LPocc-2_FA_AA,LPocc-3_FA_AA,LPocc-4_FA_AA,LPocc-5_FA_AA,LPocc-6_FA_AA,LPs-0_FA_AA,LPs-1_FA_AA,LPs-2_FA_AA,LPs-3_FA_AA,LPs-4_FA_AA,LPs-5_FA_AA,LPs-6_FA_AA,LPp-0_FA_AA,LPp-1_FA_AA,LPp-2_FA_AA,LPp-3_FA_AA,LPp-4_FA_AA,LPp-5_FA_AA,LPp-6_FA_AA,LPd-0_FA_AA,LPd-1_FA_AA,LPd-2_FA_AA,LPd-3_FA_AA,LPd-4_FA_AA,LPd-5_FA_AA,LPd-6_FA_AA,Nlv-0_FA_AA,Nlv-1_FA_AA,Nlv-2_FA_AA,Nlv-3_FA_AA,Nlv-4_FA_AA,Nlv-5_FA_AA,Nlv-6_FA_AA,LVde-0_FA_AA,LVde-1_FA_AA,LVde-2_FA_AA,LVde-3_FA_AA,LVde-4_FA_AA,LVde-5_FA_AA,LVde-6_FA_AA,LVe-0_FA_AA,LVe-1_FA_AA,LVe-2_FA_AA,LVe-3_FA_AA,LVe-4_FA_AA,LVe-5_FA_AA,LVe-6_FA_AA,LVocc-0_FA_AA,LVocc-1_FA_AA,LVocc-2_FA_AA,LVocc-3_FA_AA,LVocc-4_FA_AA,LVocc-5_FA_AA,LVocc-6_FA_AA,LVs-0_FA_AA,LVs-1_FA_AA,LVs-2_FA_AA,LVs-3_FA_AA,LVs-4_FA_AA,LVs-5_FA_AA,LVs-6_FA_AA,LVp-0_FA_AA,LVp-1_FA_AA,LVp-2_FA_AA,LVp-3_FA_AA,LVp-4_FA_AA,LVp-5_FA_AA,LVp-6_FA_AA,LVd-0_FA_AA,LVd-1_FA_AA,LVd-2_FA_AA,LVd-3_FA_AA,LVd-4_FA_AA,LVd-5_FA_AA,LVd-6_FA_AA,I-0_FA_AA,I-1_FA_AA,I-2_FA_AA,I-3_FA_AA,I-4_FA_AA,I-5_FA_AA,I-6_FA_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,9.952767,-22.267402,27.106771,-30.869615,35.618861,-24.504511,-1.333064,395.916771,829.135407,1396.721208,1678.205304,1410.217838,877.543214,344.30984,31.579,68.36,116.501,163.087,230.081,164.74,151.064,167.552,174.519,321.392,586.671,523.923,152.275,0.0,72.935,1.537,0.176,0.002,0.0,0.0,0.0,33.0,40.0,8.0,0.0,0.0,0.0,0.0,0.156008,0.040489,0.0,0.0,0.0,0.0,0.0,0.065289,0.074895,0.02204,0.0,0.0,0.0,0.0,9.542469,13.098686,5.33628,0.0,0.0,0.0,0.0,0.029669,0.018644,0.0,0.0,0.0,0.0,0.0,1.699867,0.000367,1.673233,0.0,0.0,0.0,0.0,0.888307,0.001885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,9.952767,-22.267402,27.106771,-30.869615,35.618861,-24.504511,-1.333064,395.916771,829.135407,1396.721208,1678.205304,1410.217838,877.543214,344.30984,31.579,68.36,116.501,163.087,230.081,164.74,151.064,167.552,174.519,321.392,586.671,523.923,152.275,0.0,72.935,1.537,0.176,0.002,0.0,0.0,0.0,33.0,40.0,8.0,0.0,0.0,0.0,0.0,0.156008,0.040489,0.0,0.0,0.0,0.0,0.0,0.065289,0.074895,0.02204,0.0,0.0,0.0,0.0,9.542469,13.098686,5.33628,0.0,0.0,0.0,0.0,0.029669,0.018644,0.0,0.0,0.0,0.0,0.0,1.699867,0.000367,1.673233,0.0,0.0,0.0,0.0,0.888307,0.001885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,3.599048,-2.153219,-3.297609,2.096207,2.654945,5.284816,-6.254202,487.744582,1113.810479,1612.862774,2018.810922,2150.934852,1828.994175,1397.018786,35.441,76.364,128.071,144.932,183.453,221.482,181.758,237.793,399.382,550.872,659.772,972.101,771.205,511.277,66.749,0.49,0.164,0.0,0.0,0.0,0.0,29.0,32.0,26.0,28.0,6.0,0.0,0.0,0.352226,0.091064,0.0,0.0,0.0,0.0,0.0,0.197468,0.125092,0.163013,0.368025,0.243093,0.0,0.0,16.912605,18.109742,23.882221,26.993885,13.973189,0.0,0.0,0.16072,0.072462,0.000575,0.00234,1e-06,0.0,0.0,4.363913,1.220078,1.220477,8.426765,5.984003,0.0,0.0,0.822831,0.000181,0.001633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,78.0,136.0,146.0,192.0,218.0,204.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,3.599048,-2.153219,-3.297609,2.096207,2.654945,5.284816,-6.254202,487.744582,1113.810479,1612.862774,2018.810922,2150.934852,1828.994175,1397.018786,35.441,76.364,128.071,144.932,183.453,221.482,181.758,237.793,399.382,550.872,659.772,972.101,771.205,511.277,66.749,0.49,0.164,0.0,0.0,0.0,0.0,29.0,32.0,26.0,28.0,6.0,0.0,0.0,0.352226,0.091064,0.0,0.0,0.0,0.0,0.0,0.197468,0.125092,0.163013,0.368025,0.243093,0.0,0.0,16.912605,18.109742,23.882221,26.993885,13.973189,0.0,0.0,0.16072,0.072462,0.000575,0.00234,1e-06,0.0,0.0,4.363913,1.220078,1.220477,8.426765,5.984003,0.0,0.0,0.822831,0.000181,0.001633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,78.0,136.0,146.0,192.0,218.0,204.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,7.569311,-13.479321,11.744427,-10.308038,18.279321,-25.695485,11.889785,399.747914,860.631387,1424.799139,1680.505907,1593.815817,1093.706683,280.528315,31.678,67.061,110.976,156.655,242.641,194.512,157.478,170.948,213.746,323.367,583.679,644.633,224.017,0.0,69.724,0.502,0.334,0.335,0.001,0.0,0.0,21.0,12.0,14.0,22.0,6.0,6.0,0.0,0.083715,0.0,0.0,0.043927,0.0,0.0,0.0,0.295117,0.146216,0.341995,0.372822,0.08696,0.08796,0.0,15.167257,13.433808,18.030004,17.864662,5.492153,5.478865,0.0,0.351817,0.095238,0.198605,0.424944,0.0,0.0,0.0,2.428363,0.000279,2.046869,1.806814,1.673215,1.29214,0.0,0.848246,0.000368,0.002027,0.0035,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.0,116.0,160.0,272.0,208.0,236.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,7.569311,-13.479321,11.744427,-10.308038,18.279321,-25.695485,11.889785,399.747914,860.631387,1424.799139,1680.505907,1593.815817,1093.706683,280.528315,31.678,67.061,110.976,156.655,242.641,194.512,157.478,170.948,213.746,323.367,583.679,644.633,224.017,0.0,69.724,0.502,0.334,0.335,0.001,0.0,0.0,21.0,12.0,14.0,22.0,6.0,6.0,0.0,0.083715,0.0,0.0,0.043927,0.0,0.0,0.0,0.295117,0.146216,0.341995,0.372822,0.08696,0.08796,0.0,15.167257,13.433808,18.030004,17.864662,5.492153,5.478865,0.0,0.351817,0.095238,0.198605,0.424944,0.0,0.0,0.0,2.428363,0.000279,2.046869,1.806814,1.673215,1.29214,0.0,0.848246,0.000368,0.002027,0.0035,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.0,116.0,160.0,272.0,208.0,236.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,5.180995,-3.08624,-6.137394,3.145678,4.366985,3.912754,-4.864545,657.733037,1546.309333,2244.416929,2845.670276,3535.490582,4001.331532,3637.608842,44.427,96.863,162.979,206.66,250.541,327.088,362.195,331.718,613.319,865.254,1047.3,1556.072,1848.153,1625.861,70.059,0.837,0.168,0.001,0.0,0.0,0.0,36.0,48.0,16.0,0.0,0.0,0.0,0.0,0.151624,0.050963,0.066203,0.0,0.0,0.0,0.0,0.098205,0.105814,0.080828,0.0,0.0,0.0,0.0,9.41574,12.915663,5.177363,0.0,0.0,0.0,0.0,0.005576,0.000492,0.0,0.0,0.0,0.0,0.0,1.991612,0.000798,1.991605,0.0,0.0,0.0,0.0,0.855996,0.001665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,108.0,178.0,236.0,272.0,348.0,426.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,5.180995,-3.08624,-6.137394,3.145678,4.366985,3.912754,-4.864545,657.733037,1546.309333,2244.416929,2845.670276,3535.490582,4001.331532,3637.608842,44.427,96.863,162.979,206.66,250.541,327.088,362.195,331.718,613.319,865.254,1047.3,1556.072,1848.153,1625.861,70.059,0.837,0.168,0.001,0.0,0.0,0.0,36.0,48.0,16.0,0.0,0.0,0.0,0.0,0.151624,0.050963,0.066203,0.0,0.0,0.0,0.0,0.098205,0.105814,0.080828,0.0,0.0,0.0,0.0,9.41574,12.915663,5.177363,0.0,0.0,0.0,0.0,0.005576,0.000492,0.0,0.0,0.0,0.0,0.0,1.991612,0.000798,1.991605,0.0,0.0,0.0,0.0,0.855996,0.001665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,108.0,178.0,236.0,272.0,348.0,426.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,3.430005,-1.844728,-3.704186,3.312939,2.892765,-3.786012,-1.567687,504.723997,1152.149079,1637.728005,1972.650627,2098.141761,2005.0887,1607.190624,35.843,75.519,125.273,143.169,175.979,218.657,197.306,238.304,415.321,528.45,618.432,916.377,899.534,615.287,66.913,0.328,0.164,0.328,0.164,0.0,0.0,29.0,16.0,16.0,30.0,14.0,8.0,2.0,0.086794,0.0,0.0,0.053232,0.0,0.0,0.0,0.333493,0.121432,0.321378,0.457307,0.142415,0.224915,0.115259,18.810976,13.481063,17.972455,24.231418,13.178908,11.987999,6.269276,0.36517,0.129107,0.230262,0.15777,0.054424,0.268493,0.002796,3.335919,0.000259,1.912669,3.622483,1.489055,2.756192,1.396465,0.825195,0.000727,0.000183,0.003271,0.001817,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,76.0,130.0,152.0,188.0,220.0,218.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,3.430005,-1.844728,-3.704186,3.312939,2.892765,-3.786012,-1.567687,504.723997,1152.149079,1637.728005,1972.650627,2098.141761,2005.0887,1607.190624,35.843,75.519,125.273,143.169,175.979,218.657,197.306,238.304,415.321,528.45,618.432,916.377,899.534,615.287,66.913,0.328,0.164,0.328,0.164,0.0,0.0,29.0,16.0,16.0,30.0,14.0,8.0,2.0,0.086794,0.0,0.0,0.053232,0.0,0.0,0.0,0.333493,0.121432,0.321378,0.457307,0.142415,0.224915,0.115259,18.810976,13.481063,17.972455,24.231418,13.178908,11.987999,6.269276,0.36517,0.129107,0.230262,0.15777,0.054424,0.268493,0.002796,3.335919,0.000259,1.912669,3.622483,1.489055,2.756192,1.396465,0.825195,0.000727,0.000183,0.003271,0.001817,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,76.0,130.0,152.0,188.0,220.0,218.0
