id,qnat-0_FR_AA,qnat-1_FR_AA,qnat-2_FR_AA,qnat-3_FR_AA,qnat-4_FR_AA,qnat-5_FR_AA,qnat-6_FR_AA,Vnat-0_FR_AA,Vnat-1_FR_AA,Vnat-2_FR_AA,Vnat-3_FR_AA,Vnat-4_FR_AA,Vnat-5_FR_AA,Vnat-6_FR_AA,Ns-0_FR_AA,Ns-1_FR_AA,Ns-2_FR_AA,Ns-3_FR_AA,Ns-4_FR_AA,Ns-5_FR_AA,Ns-6_FR_AA,Np-0_FR_AA,Np-1_FR_AA,Np-2_FR_AA,Np-3_FR_AA,Np-4_FR_AA,Np-5_FR_AA,Np-6_FR_AA,Nd-0_FR_AA,Nd-1_FR_AA,Nd-2_FR_AA,Nd-3_FR_AA,Nd-4_FR_AA,Nd-5_FR_AA,Nd-6_FR_AA,Nlp-0_FR_AA,Nlp-1_FR_AA,Nlp-2_FR_AA,Nlp-3_FR_AA,Nlp-4_FR_AA,Nlp-5_FR_AA,Nlp-6_FR_AA,LPde-0_FR_AA,LPde-1_FR_AA,LPde-2_FR_AA,LPde-3_FR_AA,LPde-4_FR_AA,LPde-5_FR_AA,LPde-6_FR_AA,LPe-0_FR_AA,LPe-1_FR_AA,LPe-2_FR_AA,LPe-3_FR_AA,LPe-4_FR_AA,LPe-5_FR_AA,LPe-6_FR_AA,LPocc-0_FR_AA,LPocc-1_FR_AA,LPocc-2_FR_AA,LPocc-3_FR_AA,LPocc-4_FR_AA,LPocc-5_FR_AA,LPocc-6_FR_AA,LPs-0_FR_AA,LPs-1_FR_AA,LPs-2_FR_AA,LPs-3_FR_AA,LPs-4_FR_AA,LPs-5_FR_AA,LPs-6_FR_AA,LPp-0_FR_AA,LPp-1_FR_AA,LPp-2_FR_AA,LPp-3_FR_AA,LPp-4_FR_AA,LPp-5_FR_AA,LPp-6_FR_AA,LPd-0_FR_AA,LPd-1_FR_AA,LPd-2_FR_AA,LPd-3_FR_AA,LPd-4_FR_AA,LPd-5_FR_AA,LPd-6_FR_AA,Nlv-0_FR_AA,Nlv-1_FR_AA,Nlv-2_FR_AA,Nlv-3_FR_AA,Nlv-4_FR_AA,Nlv-5_FR_AA,Nlv-6_FR_AA,LVde-0_FR_AA,LVde-1_FR_AA,LVde-2_FR_AA,LVde-3_FR_AA,LVde-4_FR_AA,LVde-5_FR_AA,LVde-6_FR_AA,LVe-0_FR_AA,LVe-1_FR_AA,LVe-2_FR_AA,LVe-3_FR_AA,LVe-4_FR_AA,LVe-5_FR_AA,LVe-6_FR_AA,LVocc-0_FR_AA,LVocc-1_FR_AA,LVocc-2_FR_AA,LVocc-3_FR_AA,LVocc-4_FR_AA,LVocc-5_FR_AA,LVocc-6_FR_AA,LVs-0_FR_AA,LVs-1_FR_AA,LVs-2_FR_AA,LVs-3_FR_AA,LVs-4_FR_AA,LVs-5_FR_AA,LVs-6_FR_AA,LVp-0_FR_AA,LVp-1_FR_AA,LVp-2_FR_AA,LVp-3_FR_AA,LVp-4_FR_AA,LVp-5_FR_AA,LVp-6_FR_AA,LVd-0_FR_AA,LVd-1_FR_AA,LVd-2_FR_AA,LVd-3_FR_AA,LVd-4_FR_AA,LVd-5_FR_AA,LVd-6_FR_AA,I-0_FR_AA,I-1_FR_AA,I-2_FR_AA,I-3_FR_AA,I-4_FR_AA,I-5_FR_AA,I-6_FR_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,34.0,-99.374972,143.363444,-195.281525,196.920693,-227.085348,38.300686,34.0,168.57681,207.443635,536.382771,558.062121,580.706251,392.120024,34.0,72.274,131.803,168.73,284.399,195.755,240.29,13.0,1367.879,2288.683,355.661,33.152,5.338,0.0,5.0,1.001,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.574081,0.0,0.0,0.0,0.0,0,3.0,1.39257,0.0,0.0,0.0,0.0,0.0,3.0,0.974727,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9999.0,0.0,0.0,0.0,0.0,0.0,3.0,0.000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.0,66.0,124.0,158.0,258.0,174.0,234.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,34.0,-99.374972,143.363444,-195.281525,196.920693,-227.085348,38.300686,34.0,168.57681,207.443635,536.382771,558.062121,580.706251,392.120024,34.0,72.274,131.803,168.73,284.399,195.755,240.29,13.0,1367.879,2288.683,355.661,33.152,5.338,0.0,5.0,1.001,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.574081,0.0,0.0,0.0,0.0,0,3.0,1.39257,0.0,0.0,0.0,0.0,0.0,3.0,0.974727,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9999.0,0.0,0.0,0.0,0.0,0.0,3.0,0.000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.0,66.0,124.0,158.0,258.0,174.0,234.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,38.0,-22.04267,-35.191604,-36.808025,18.185995,123.985812,-9.233475,38.0,155.128993,252.765175,289.71305,484.244249,537.070462,519.278211,38.0,81.954,142.979,152.421,199.718,243.036,217.298,19.0,1386.724,31.79,347.655,37.457,48.417,48.056,5.0,1.001,0.0,0.0,0.0,0.0,0.0,6.0,1.3,0.0,0.0,0.0,0.0,0.0,2.0,7.604291,0.0,0.0,0.0,0.0,0,6.0,2.512913,0.0,0.0,0.0,0.0,0.0,6.0,0.990223,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9999.0,0.0,0.0,0.0,0.0,0.0,5.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.0,78.0,136.0,146.0,192.0,218.0,204.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,38.0,-22.04267,-35.191604,-36.808025,18.185995,123.985812,-9.233475,38.0,155.128993,252.765175,289.71305,484.244249,537.070462,519.278211,38.0,81.954,142.979,152.421,199.718,243.036,217.298,19.0,1386.724,31.79,347.655,37.457,48.417,48.056,5.0,1.001,0.0,0.0,0.0,0.0,0.0,6.0,1.3,0.0,0.0,0.0,0.0,0.0,2.0,7.604291,0.0,0.0,0.0,0.0,0,6.0,2.512913,0.0,0.0,0.0,0.0,0.0,6.0,0.990223,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9999.0,0.0,0.0,0.0,0.0,0.0,5.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.0,78.0,136.0,146.0,192.0,218.0,204.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,33.0,-76.075328,139.376306,-185.719357,104.639825,-173.402614,158.182749,33.0,154.482017,202.139941,515.884587,527.959757,649.416896,357.810741,33.0,70.656,124.192,168.743,292.322,229.89,252.225,14.0,1356.618,2883.366,465.5,49.234,8.379,0.0,6.0,3.001,0.002,0.002,0.0,0.0,0.0,5.0,0.0,3.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.528137,0.0,0.0,0,5.0,0.0,2.784353,1.261785,0.0,0.0,0.0,5.0,0.0,1.798969,0.826946,0.0,0.0,0.0,4.0,0.0,4.461929,0.0,0.0,0.0,0.0,5.0,0.0,6474.790956,9981.0,0.0,0.0,0.0,4.0,0.0,9.501194,0.002063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,64.0,116.0,160.0,272.0,208.0,236.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,33.0,-76.075328,139.376306,-185.719357,104.639825,-173.402614,158.182749,33.0,154.482017,202.139941,515.884587,527.959757,649.416896,357.810741,33.0,70.656,124.192,168.743,292.322,229.89,252.225,14.0,1356.618,2883.366,465.5,49.234,8.379,0.0,6.0,3.001,0.002,0.002,0.0,0.0,0.0,5.0,0.0,3.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.528137,0.0,0.0,0,5.0,0.0,2.784353,1.261785,0.0,0.0,0.0,5.0,0.0,1.798969,0.826946,0.0,0.0,0.0,4.0,0.0,4.461929,0.0,0.0,0.0,0.0,5.0,0.0,6474.790956,9981.0,0.0,0.0,0.0,4.0,0.0,9.501194,0.002063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,64.0,116.0,160.0,272.0,208.0,236.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,51.0,-9.054463,-52.275067,13.620643,69.18617,69.038465,-72.688087,51.0,197.141047,351.690485,444.013825,548.089723,780.368313,982.947029,51.0,112.606,184.129,246.346,283.977,374.004,446.236,29.0,1518.712,16.818,350.4,35.612,1051.088,35.792,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.825391,0.0,0.0,0.0,0.0,0,3.0,1.496732,0.0,0.0,0.0,0.0,0.0,3.0,0.975173,0.0,0.0,0.0,0.0,0.0,2.0,0.044236,0.0,0.0,0.0,0.0,0.0,3.0,4983.0,0.0,0.0,0.0,0.0,0.0,3.0,0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.0,108.0,178.0,236.0,272.0,348.0,426.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,51.0,-9.054463,-52.275067,13.620643,69.18617,69.038465,-72.688087,51.0,197.141047,351.690485,444.013825,548.089723,780.368313,982.947029,51.0,112.606,184.129,246.346,283.977,374.004,446.236,29.0,1518.712,16.818,350.4,35.612,1051.088,35.792,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.825391,0.0,0.0,0.0,0.0,0,3.0,1.496732,0.0,0.0,0.0,0.0,0.0,3.0,0.975173,0.0,0.0,0.0,0.0,0.0,2.0,0.044236,0.0,0.0,0.0,0.0,0.0,3.0,4983.0,0.0,0.0,0.0,0.0,0.0,3.0,0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.0,108.0,178.0,236.0,272.0,348.0,426.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,37.0,-237.912117,-241.677001,337.21528,201.859825,-1372.798021,-1499.161097,37.0,144.065466,252.556851,309.071704,443.162594,485.638248,523.095917,37.0,80.368,136.677,159.216,194.85,236.99,229.561,20.0,1371.892,315.684,786.373,429.783,39.846,14.831,6.0,2.0,0.001,0.002,0.001,0.0,0.0,6.0,0.0,3.0,0.8,0.2,0.0,0.0,2.0,0.0,0.0,2.918325,0.0,0.0,0,6.0,0.0,0.493393,1.508651,2.573457,0.0,0.0,6.0,0.0,0.960973,0.83843,0.973348,0.0,0.0,5.0,0.0,0.0,0.0,3.250273,0.0,0.0,6.0,0.0,1.820536,9982.0,7016.0,0.0,0.0,6.0,0.0,6.0,0.001982,0.001101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.0,76.0,130.0,152.0,188.0,220.0,218.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,37.0,-237.912117,-241.677001,337.21528,201.859825,-1372.798021,-1499.161097,37.0,144.065466,252.556851,309.071704,443.162594,485.638248,523.095917,37.0,80.368,136.677,159.216,194.85,236.99,229.561,20.0,1371.892,315.684,786.373,429.783,39.846,14.831,6.0,2.0,0.001,0.002,0.001,0.0,0.0,6.0,0.0,3.0,0.8,0.2,0.0,0.0,2.0,0.0,0.0,2.918325,0.0,0.0,0,6.0,0.0,0.493393,1.508651,2.573457,0.0,0.0,6.0,0.0,0.960973,0.83843,0.973348,0.0,0.0,5.0,0.0,0.0,0.0,3.250273,0.0,0.0,6.0,0.0,1.820536,9982.0,7016.0,0.0,0.0,6.0,0.0,6.0,0.001982,0.001101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.0,76.0,130.0,152.0,188.0,220.0,218.0
