id,qnat-0_FS_AA,qnat-1_FS_AA,qnat-2_FS_AA,qnat-3_FS_AA,qnat-4_FS_AA,qnat-5_FS_AA,qnat-6_FS_AA,Vnat-0_FS_AA,Vnat-1_FS_AA,Vnat-2_FS_AA,Vnat-3_FS_AA,Vnat-4_FS_AA,Vnat-5_FS_AA,Vnat-6_FS_AA,Ns-0_FS_AA,Ns-1_FS_AA,Ns-2_FS_AA,Ns-3_FS_AA,Ns-4_FS_AA,Ns-5_FS_AA,Ns-6_FS_AA,Np-0_FS_AA,Np-1_FS_AA,Np-2_FS_AA,Np-3_FS_AA,Np-4_FS_AA,Np-5_FS_AA,Np-6_FS_AA,Nd-0_FS_AA,Nd-1_FS_AA,Nd-2_FS_AA,Nd-3_FS_AA,Nd-4_FS_AA,Nd-5_FS_AA,Nd-6_FS_AA,Nlp-0_FS_AA,Nlp-1_FS_AA,Nlp-2_FS_AA,Nlp-3_FS_AA,Nlp-4_FS_AA,Nlp-5_FS_AA,Nlp-6_FS_AA,LPde-0_FS_AA,LPde-1_FS_AA,LPde-2_FS_AA,LPde-3_FS_AA,LPde-4_FS_AA,LPde-5_FS_AA,LPde-6_FS_AA,LPe-0_FS_AA,LPe-1_FS_AA,LPe-2_FS_AA,LPe-3_FS_AA,LPe-4_FS_AA,LPe-5_FS_AA,LPe-6_FS_AA,LPocc-0_FS_AA,LPocc-1_FS_AA,LPocc-2_FS_AA,LPocc-3_FS_AA,LPocc-4_FS_AA,LPocc-5_FS_AA,LPocc-6_FS_AA,LPs-0_FS_AA,LPs-1_FS_AA,LPs-2_FS_AA,LPs-3_FS_AA,LPs-4_FS_AA,LPs-5_FS_AA,LPs-6_FS_AA,LPp-0_FS_AA,LPp-1_FS_AA,LPp-2_FS_AA,LPp-3_FS_AA,LPp-4_FS_AA,LPp-5_FS_AA,LPp-6_FS_AA,LPd-0_FS_AA,LPd-1_FS_AA,LPd-2_FS_AA,LPd-3_FS_AA,LPd-4_FS_AA,LPd-5_FS_AA,LPd-6_FS_AA,Nlv-0_FS_AA,Nlv-1_FS_AA,Nlv-2_FS_AA,Nlv-3_FS_AA,Nlv-4_FS_AA,Nlv-5_FS_AA,Nlv-6_FS_AA,LVde-0_FS_AA,LVde-1_FS_AA,LVde-2_FS_AA,LVde-3_FS_AA,LVde-4_FS_AA,LVde-5_FS_AA,LVde-6_FS_AA,LVe-0_FS_AA,LVe-1_FS_AA,LVe-2_FS_AA,LVe-3_FS_AA,LVe-4_FS_AA,LVe-5_FS_AA,LVe-6_FS_AA,LVocc-0_FS_AA,LVocc-1_FS_AA,LVocc-2_FS_AA,LVocc-3_FS_AA,LVocc-4_FS_AA,LVocc-5_FS_AA,LVocc-6_FS_AA,LVs-0_FS_AA,LVs-1_FS_AA,LVs-2_FS_AA,LVs-3_FS_AA,LVs-4_FS_AA,LVs-5_FS_AA,LVs-6_FS_AA,LVp-0_FS_AA,LVp-1_FS_AA,LVp-2_FS_AA,LVp-3_FS_AA,LVp-4_FS_AA,LVp-5_FS_AA,LVp-6_FS_AA,LVd-0_FS_AA,LVd-1_FS_AA,LVd-2_FS_AA,LVd-3_FS_AA,LVd-4_FS_AA,LVd-5_FS_AA,LVd-6_FS_AA,I-0_FS_AA,I-1_FS_AA,I-2_FS_AA,I-3_FS_AA,I-4_FS_AA,I-5_FS_AA,I-6_FS_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,4e-05,-28.07696,34.86956,-77.33796,58.80768,-90.20444,49.66724,167.2549,493.75466,718.2901,1248.15654,1205.0013,1058.85276,632.31936,62.84,136.44,239.16,318.92,491.0,348.2,376.56,87.78,290.38,361.92,608.46,666.0,713.06,256.92,17.28,69.04,121.64,325.4,53.32,0.84,0.0,18.0,48.0,104.0,216.0,196.0,30.0,0.0,0.88656,1.19676,3.07328,7.44672,15.19024,2.34948,0.0,-0.80554,-2.00536,-4.55978,-8.80786,-9.66698,-1.54284,0.0,10.57874,30.7493,72.472,113.20832,112.79812,19.87068,0.0,0.4396,1.7584,4.7012,3.4804,3.5924,0.9744,0.0,3.6734,8.6942,26.0816,20.696,54.7308,11.0196,0.0,1.887,7.5474,13.2172,35.8236,5.6768,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,132.0,248.0,316.0,516.0,348.0,468.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,4e-05,-28.07696,34.86956,-77.33796,58.80768,-90.20444,49.66724,167.2549,493.75466,718.2901,1248.15654,1205.0013,1058.85276,632.31936,62.84,136.44,239.16,318.92,491.0,348.2,376.56,87.78,290.38,361.92,608.46,666.0,713.06,256.92,17.28,69.04,121.64,325.4,53.32,0.84,0.0,18.0,48.0,104.0,216.0,196.0,30.0,0.0,0.88656,1.19676,3.07328,7.44672,15.19024,2.34948,0.0,-0.80554,-2.00536,-4.55978,-8.80786,-9.66698,-1.54284,0.0,10.57874,30.7493,72.472,113.20832,112.79812,19.87068,0.0,0.4396,1.7584,4.7012,3.4804,3.5924,0.9744,0.0,3.6734,8.6942,26.0816,20.696,54.7308,11.0196,0.0,1.887,7.5474,13.2172,35.8236,5.6768,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,132.0,248.0,316.0,516.0,348.0,468.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2e-05,-19.19008,-6.38804,-7.08386,-12.7704,-10.60516,-36.02156,213.73716,595.14584,897.47528,1065.15714,1390.072,1361.12084,1208.55084,71.12,155.26,264.18,289.16,371.42,448.22,389.6,128.1,381.52,560.6,644.86,738.24,915.96,820.0,16.42,65.56,82.14,147.7,310.9,0.92,0.32,22.0,54.0,104.0,142.0,228.0,210.0,76.0,1.3316,1.79588,4.30432,7.27704,13.532,22.35996,0.0,-2.09446,-5.28474,-11.6696,-12.2605,-15.0333,-18.2613,-14.98558,19.98716,53.01696,107.1617,127.43284,173.81256,162.00112,116.09974,0.9718,3.0952,6.414,10.2698,7.452,8.6284,0.0972,9.212,21.6438,50.506,49.3952,56.0684,87.3546,75.876,1.8162,7.261,9.08,16.335,34.4796,0.017,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,156.0,272.0,292.0,384.0,436.0,408.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2e-05,-19.19008,-6.38804,-7.08386,-12.7704,-10.60516,-36.02156,213.73716,595.14584,897.47528,1065.15714,1390.072,1361.12084,1208.55084,71.12,155.26,264.18,289.16,371.42,448.22,389.6,128.1,381.52,560.6,644.86,738.24,915.96,820.0,16.42,65.56,82.14,147.7,310.9,0.92,0.32,22.0,54.0,104.0,142.0,228.0,210.0,76.0,1.3316,1.79588,4.30432,7.27704,13.532,22.35996,0.0,-2.09446,-5.28474,-11.6696,-12.2605,-15.0333,-18.2613,-14.98558,19.98716,53.01696,107.1617,127.43284,173.81256,162.00112,116.09974,0.9718,3.0952,6.414,10.2698,7.452,8.6284,0.0972,9.212,21.6438,50.506,49.3952,56.0684,87.3546,75.876,1.8162,7.261,9.08,16.335,34.4796,0.017,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,156.0,272.0,292.0,384.0,436.0,408.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,6e-05,-24.2289,12.18692,-55.99484,30.12036,-68.99752,106.9159,171.27446,488.29708,724.49828,1245.12388,1257.52716,1212.65188,552.68444,62.0,133.1,226.22,314.68,514.84,407.82,387.34,92.96,289.52,366.3,599.42,746.3,807.5,165.68,16.84,67.12,134.24,334.5,1.22,1.04,0.76,18.0,46.0,88.0,156.0,92.0,80.0,114.0,0.71454,1.18794,1.81914,3.71274,1.67022,3.89718,10.57806,-2.30744,-5.9136,-12.0546,-14.11768,-22.92348,-12.90908,-5.91964,17.37432,46.1087,92.34112,133.20436,135.66792,86.62152,62.03462,2.0694,5.1012,9.3872,13.0746,25.297,13.3608,0.0,6.082,13.521,27.8676,22.0682,54.6686,38.5708,37.9278,1.8484,7.377,14.7436,36.8532,0.0344,0.0684,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,128.0,232.0,320.0,544.0,416.0,472.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,6e-05,-24.2289,12.18692,-55.99484,30.12036,-68.99752,106.9159,171.27446,488.29708,724.49828,1245.12388,1257.52716,1212.65188,552.68444,62.0,133.1,226.22,314.68,514.84,407.82,387.34,92.96,289.52,366.3,599.42,746.3,807.5,165.68,16.84,67.12,134.24,334.5,1.22,1.04,0.76,18.0,46.0,88.0,156.0,92.0,80.0,114.0,0.71454,1.18794,1.81914,3.71274,1.67022,3.89718,10.57806,-2.30744,-5.9136,-12.0546,-14.11768,-22.92348,-12.90908,-5.91964,17.37432,46.1087,92.34112,133.20436,135.66792,86.62152,62.03462,2.0694,5.1012,9.3872,13.0746,25.297,13.3608,0.0,6.082,13.521,27.8676,22.0682,54.6686,38.5708,37.9278,1.8484,7.377,14.7436,36.8532,0.0344,0.0684,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,128.0,232.0,320.0,544.0,416.0,472.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-8e-05,-18.32292,-15.16702,10.79368,-12.20794,-50.54656,-45.75606,298.71408,816.6858,1277.0356,1592.88122,1992.45216,2501.59262,2663.06396,92.68,205.74,339.12,440.96,520.16,681.62,789.28,190.18,546.7,841.92,973.6,1194.94,1677.58,1831.52,16.86,67.38,101.32,185.6,285.98,151.72,50.7,20.0,52.0,100.0,160.0,252.0,268.0,132.0,1.0369,1.71962,4.14626,6.7712,11.35998,16.39478,8.67234,-1.06742,-2.67774,-5.63354,-7.72012,-11.67842,-15.22022,-8.02806,10.48976,27.71568,54.07196,82.68716,128.33216,141.3514,70.70952,0.1558,0.6034,0.915,1.6808,2.609,1.455,0.507,3.992,7.99,19.9708,23.954,35.9208,63.864,35.9256,1.8522,7.4066,11.1142,20.3652,31.4702,16.681,5.5674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,216.0,356.0,472.0,544.0,696.0,852.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-8e-05,-18.32292,-15.16702,10.79368,-12.20794,-50.54656,-45.75606,298.71408,816.6858,1277.0356,1592.88122,1992.45216,2501.59262,2663.06396,92.68,205.74,339.12,440.96,520.16,681.62,789.28,190.18,546.7,841.92,973.6,1194.94,1677.58,1831.52,16.86,67.38,101.32,185.6,285.98,151.72,50.7,20.0,52.0,100.0,160.0,252.0,268.0,132.0,1.0369,1.71962,4.14626,6.7712,11.35998,16.39478,8.67234,-1.06742,-2.67774,-5.63354,-7.72012,-11.67842,-15.22022,-8.02806,10.48976,27.71568,54.07196,82.68716,128.33216,141.3514,70.70952,0.1558,0.6034,0.915,1.6808,2.609,1.455,0.507,3.992,7.99,19.9708,23.954,35.9208,63.864,35.9256,1.8522,7.4066,11.1142,20.3652,31.4702,16.681,5.5674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,216.0,356.0,472.0,544.0,696.0,852.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,-6e-05,-16.47484,-11.81466,-2.60648,-8.68138,-21.06698,-5.36466,219.06624,594.0902,900.10646,1083.56488,1334.97978,1378.77984,1280.19256,70.56,152.6,254.98,294.84,360.78,442.6,415.4,132.68,377.6,549.34,628.44,716.02,939.88,867.52,16.48,65.66,98.52,164.2,262.3,0.82,0.76,22.0,58.0,100.0,128.0,192.0,106.0,74.0,0.7484,1.3214,1.7034,2.4674,4.7282,2.787,5.0166,-2.67868,-6.5065,-13.81014,-13.81106,-16.87594,-23.3621,-7.46138,21.19082,53.63594,106.0412,114.85842,151.03694,146.93352,64.68042,2.1982,5.28,10.721,11.7422,14.763,22.8922,2.4356,7.9784,17.4428,38.3612,34.0746,40.1474,63.0704,35.5228,1.8234,7.2772,10.9178,18.1832,29.0896,0.0374,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,152.0,260.0,304.0,376.0,440.0,436.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,-6e-05,-16.47484,-11.81466,-2.60648,-8.68138,-21.06698,-5.36466,219.06624,594.0902,900.10646,1083.56488,1334.97978,1378.77984,1280.19256,70.56,152.6,254.98,294.84,360.78,442.6,415.4,132.68,377.6,549.34,628.44,716.02,939.88,867.52,16.48,65.66,98.52,164.2,262.3,0.82,0.76,22.0,58.0,100.0,128.0,192.0,106.0,74.0,0.7484,1.3214,1.7034,2.4674,4.7282,2.787,5.0166,-2.67868,-6.5065,-13.81014,-13.81106,-16.87594,-23.3621,-7.46138,21.19082,53.63594,106.0412,114.85842,151.03694,146.93352,64.68042,2.1982,5.28,10.721,11.7422,14.763,22.8922,2.4356,7.9784,17.4428,38.3612,34.0746,40.1474,63.0704,35.5228,1.8234,7.2772,10.9178,18.1832,29.0896,0.0374,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,152.0,260.0,304.0,376.0,440.0,436.0
