id,qnat-0_MA_AA,qnat-1_MA_AA,qnat-2_MA_AA,qnat-3_MA_AA,qnat-4_MA_AA,qnat-5_MA_AA,qnat-6_MA_AA,Vnat-0_MA_AA,Vnat-1_MA_AA,Vnat-2_MA_AA,Vnat-3_MA_AA,Vnat-4_MA_AA,Vnat-5_MA_AA,Vnat-6_MA_AA,Ns-0_MA_AA,Ns-1_MA_AA,Ns-2_MA_AA,Ns-3_MA_AA,Ns-4_MA_AA,Ns-5_MA_AA,Ns-6_MA_AA,Np-0_MA_AA,Np-1_MA_AA,Np-2_MA_AA,Np-3_MA_AA,Np-4_MA_AA,Np-5_MA_AA,Np-6_MA_AA,Nd-0_MA_AA,Nd-1_MA_AA,Nd-2_MA_AA,Nd-3_MA_AA,Nd-4_MA_AA,Nd-5_MA_AA,Nd-6_MA_AA,Nlp-0_MA_AA,Nlp-1_MA_AA,Nlp-2_MA_AA,Nlp-3_MA_AA,Nlp-4_MA_AA,Nlp-5_MA_AA,Nlp-6_MA_AA,LPde-0_MA_AA,LPde-1_MA_AA,LPde-2_MA_AA,LPde-3_MA_AA,LPde-4_MA_AA,LPde-5_MA_AA,LPde-6_MA_AA,LPe-0_MA_AA,LPe-1_MA_AA,LPe-2_MA_AA,LPe-3_MA_AA,LPe-4_MA_AA,LPe-5_MA_AA,LPe-6_MA_AA,LPocc-0_MA_AA,LPocc-1_MA_AA,LPocc-2_MA_AA,LPocc-3_MA_AA,LPocc-4_MA_AA,LPocc-5_MA_AA,LPocc-6_MA_AA,LPs-0_MA_AA,LPs-1_MA_AA,LPs-2_MA_AA,LPs-3_MA_AA,LPs-4_MA_AA,LPs-5_MA_AA,LPs-6_MA_AA,LPp-0_MA_AA,LPp-1_MA_AA,LPp-2_MA_AA,LPp-3_MA_AA,LPp-4_MA_AA,LPp-5_MA_AA,LPp-6_MA_AA,LPd-0_MA_AA,LPd-1_MA_AA,LPd-2_MA_AA,LPd-3_MA_AA,LPd-4_MA_AA,LPd-5_MA_AA,LPd-6_MA_AA,Nlv-0_MA_AA,Nlv-1_MA_AA,Nlv-2_MA_AA,Nlv-3_MA_AA,Nlv-4_MA_AA,Nlv-5_MA_AA,Nlv-6_MA_AA,LVde-0_MA_AA,LVde-1_MA_AA,LVde-2_MA_AA,LVde-3_MA_AA,LVde-4_MA_AA,LVde-5_MA_AA,LVde-6_MA_AA,LVe-0_MA_AA,LVe-1_MA_AA,LVe-2_MA_AA,LVe-3_MA_AA,LVe-4_MA_AA,LVe-5_MA_AA,LVe-6_MA_AA,LVocc-0_MA_AA,LVocc-1_MA_AA,LVocc-2_MA_AA,LVocc-3_MA_AA,LVocc-4_MA_AA,LVocc-5_MA_AA,LVocc-6_MA_AA,LVs-0_MA_AA,LVs-1_MA_AA,LVs-2_MA_AA,LVs-3_MA_AA,LVs-4_MA_AA,LVs-5_MA_AA,LVs-6_MA_AA,LVp-0_MA_AA,LVp-1_MA_AA,LVp-2_MA_AA,LVp-3_MA_AA,LVp-4_MA_AA,LVp-5_MA_AA,LVp-6_MA_AA,LVd-0_MA_AA,LVd-1_MA_AA,LVd-2_MA_AA,LVd-3_MA_AA,LVd-4_MA_AA,LVd-5_MA_AA,LVd-6_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.093955,-0.544297,1.944076,-1.286446,-0.207293,0.0,0.0,85.772604,176.496881,326.536215,164.267454,21.42993,0.0,0.0,0.562,4.14,6.315,10.808,1.74,0.0,0.0,0.0,0.136,0.269,0.034,0.0,0.0,0.0,72.932,0.769,0.085,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.002673,0.020245,0.0,0.0,0.0,0.0,0.0,0.021208,0.037447,0.0,0.0,0.0,0.0,0.0,3.910862,6.549343,0.0,0.0,0.0,0.0,0.0,0.003295,0.009322,0.0,0.0,0.0,0.0,0.0,0.0,0.000184,0.0,0.0,0.0,0.0,0.0,0.888306,0.000942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.093955,-0.544297,1.944076,-1.286446,-0.207293,0.0,0.0,85.772604,176.496881,326.536215,164.267454,21.42993,0.0,0.0,0.562,4.14,6.315,10.808,1.74,0.0,0.0,0.0,0.136,0.269,0.034,0.0,0.0,0.0,72.932,0.769,0.085,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.002673,0.020245,0.0,0.0,0.0,0.0,0.0,0.021208,0.037447,0.0,0.0,0.0,0.0,0.0,3.910862,6.549343,0.0,0.0,0.0,0.0,0.0,0.003295,0.009322,0.0,0.0,0.0,0.0,0.0,0.0,0.000184,0.0,0.0,0.0,0.0,0.0,0.888306,0.000942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.005681,0.013851,-0.163085,-0.190773,0.334326,0.0,0.0,66.699726,152.658194,221.38611,313.642144,118.408451,0.0,0.0,0.533,3.76,4.395,6.694,10.578,0.0,0.0,0.0,0.136,0.211,0.293,0.0,0.0,0.0,66.749,0.245,0.082,0.0,0.0,0.0,0.0,9.0,15.0,9.0,0.0,0.0,0.0,0.0,0.005988,0.045532,0.0,0.0,0.0,0.0,0.0,0.006931,0.029757,0.050494,0.0,0.0,0.0,0.0,3.892532,6.791703,9.032599,0.0,0.0,0.0,0.0,0.008612,0.036192,0.000288,0.0,0.0,0.0,0.0,0.0,0.000161,0.0003,0.0,0.0,0.0,0.0,0.82283,9.1e-05,0.000816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,19.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.005681,0.013851,-0.163085,-0.190773,0.334326,0.0,0.0,66.699726,152.658194,221.38611,313.642144,118.408451,0.0,0.0,0.533,3.76,4.395,6.694,10.578,0.0,0.0,0.0,0.136,0.211,0.293,0.0,0.0,0.0,66.749,0.245,0.082,0.0,0.0,0.0,0.0,9.0,15.0,9.0,0.0,0.0,0.0,0.0,0.005988,0.045532,0.0,0.0,0.0,0.0,0.0,0.006931,0.029757,0.050494,0.0,0.0,0.0,0.0,3.892532,6.791703,9.032599,0.0,0.0,0.0,0.0,0.008612,0.036192,0.000288,0.0,0.0,0.0,0.0,0.0,0.000161,0.0003,0.0,0.0,0.0,0.0,0.82283,9.1e-05,0.000816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,19.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.005333,-0.02209,0.357922,-0.341168,0.0,0.0,0.0,81.697194,167.870869,341.493213,182.983673,0.0,0.0,0.0,0.49,3.633,6.454,11.123,0.0,0.0,0.0,0.0,0.135,0.286,0.044,0.0,0.0,0.0,69.722,0.25,0.167,0.167,0.0,0.0,0.0,9.0,6.0,3.0,9.0,0.0,0.0,0.0,0.006225,0.0,0.0,0.021963,0.0,0.0,0.0,0.015242,0.073108,0.034855,0.019233,0.0,0.0,0.0,3.89715,6.716904,3.312712,3.222731,0.0,0.0,0.0,0.006209,0.047619,0.027706,0.0,0.0,0.0,0.0,0.0,0.00014,6.5e-05,0.0001,0.0,0.0,0.0,0.848241,0.000184,0.001013,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.005333,-0.02209,0.357922,-0.341168,0.0,0.0,0.0,81.697194,167.870869,341.493213,182.983673,0.0,0.0,0.0,0.49,3.633,6.454,11.123,0.0,0.0,0.0,0.0,0.135,0.286,0.044,0.0,0.0,0.0,69.722,0.25,0.167,0.167,0.0,0.0,0.0,9.0,6.0,3.0,9.0,0.0,0.0,0.0,0.006225,0.0,0.0,0.021963,0.0,0.0,0.0,0.015242,0.073108,0.034855,0.019233,0.0,0.0,0.0,3.89715,6.716904,3.312712,3.222731,0.0,0.0,0.0,0.006209,0.047619,0.027706,0.0,0.0,0.0,0.0,0.0,0.00014,6.5e-05,0.0001,0.0,0.0,0.0,0.848241,0.000184,0.001013,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.009813,-0.036041,0.127242,0.187788,-0.146906,-0.072522,-0.06937,82.060952,185.768602,236.844642,369.171963,302.48824,155.898279,20.755408,0.518,4.025,4.277,7.56,9.986,5.357,1.642,0.0,0.15,0.203,0.304,0.196,0.098,0.0,70.057,0.418,0.084,0.0,0.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.003023,0.025482,0.0,0.0,0.0,0.0,0.0,0.017308,0.052907,0.0,0.0,0.0,0.0,0.0,3.900072,6.457832,0.0,0.0,0.0,0.0,0.0,0.005565,0.000246,0.0,0.0,0.0,0.0,0.0,0.0,0.000399,0.0,0.0,0.0,0.0,0.0,0.855995,0.000833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,17.0,9.0,3.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.009813,-0.036041,0.127242,0.187788,-0.146906,-0.072522,-0.06937,82.060952,185.768602,236.844642,369.171963,302.48824,155.898279,20.755408,0.518,4.025,4.277,7.56,9.986,5.357,1.642,0.0,0.15,0.203,0.304,0.196,0.098,0.0,70.057,0.418,0.084,0.0,0.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.003023,0.025482,0.0,0.0,0.0,0.0,0.0,0.017308,0.052907,0.0,0.0,0.0,0.0,0.0,3.900072,6.457832,0.0,0.0,0.0,0.0,0.0,0.005565,0.000246,0.0,0.0,0.0,0.0,0.0,0.0,0.000399,0.0,0.0,0.0,0.0,0.0,0.855995,0.000833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,17.0,9.0,3.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.008008,-0.036866,-0.108031,-0.133701,0.270586,0.0,0.0,78.81551,162.381892,249.513513,331.609907,150.093405,0.0,0.0,0.504,3.465,4.523,7.427,9.131,0.0,0.0,0.0,0.135,0.218,0.27,0.04,0.0,0.0,66.912,0.164,0.082,0.164,0.082,0.0,0.0,16.0,8.0,4.0,12.0,4.0,0.0,0.0,0.00912,0.0,0.0,0.026616,0.0,0.0,0.0,0.009998,0.060716,0.022394,0.015083,0.025729,0.0,0.0,3.878655,6.740532,3.220471,3.251982,3.775279,0.0,0.0,0.008372,0.064553,0.00043,0.0,0.027212,0.0,0.0,0.0,0.000129,0.0001,0.0001,7e-05,0.0,0.0,0.825191,0.000363,9.1e-05,0.001635,0.000908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,16.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.008008,-0.036866,-0.108031,-0.133701,0.270586,0.0,0.0,78.81551,162.381892,249.513513,331.609907,150.093405,0.0,0.0,0.504,3.465,4.523,7.427,9.131,0.0,0.0,0.0,0.135,0.218,0.27,0.04,0.0,0.0,66.912,0.164,0.082,0.164,0.082,0.0,0.0,16.0,8.0,4.0,12.0,4.0,0.0,0.0,0.00912,0.0,0.0,0.026616,0.0,0.0,0.0,0.009998,0.060716,0.022394,0.015083,0.025729,0.0,0.0,3.878655,6.740532,3.220471,3.251982,3.775279,0.0,0.0,0.008372,0.064553,0.00043,0.0,0.027212,0.0,0.0,0.0,0.000129,0.0001,0.0001,7e-05,0.0,0.0,0.825191,0.000363,9.1e-05,0.001635,0.000908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,16.0,0.0,0.0
