id,qnat-0_MD_AA,qnat-1_MD_AA,qnat-2_MD_AA,qnat-3_MD_AA,qnat-4_MD_AA,qnat-5_MD_AA,qnat-6_MD_AA,Vnat-0_MD_AA,Vnat-1_MD_AA,Vnat-2_MD_AA,Vnat-3_MD_AA,Vnat-4_MD_AA,Vnat-5_MD_AA,Vnat-6_MD_AA,Ns-0_MD_AA,Ns-1_MD_AA,Ns-2_MD_AA,Ns-3_MD_AA,Ns-4_MD_AA,Ns-5_MD_AA,Ns-6_MD_AA,Np-0_MD_AA,Np-1_MD_AA,Np-2_MD_AA,Np-3_MD_AA,Np-4_MD_AA,Np-5_MD_AA,Np-6_MD_AA,Nd-0_MD_AA,Nd-1_MD_AA,Nd-2_MD_AA,Nd-3_MD_AA,Nd-4_MD_AA,Nd-5_MD_AA,Nd-6_MD_AA,Nlp-0_MD_AA,Nlp-1_MD_AA,Nlp-2_MD_AA,Nlp-3_MD_AA,Nlp-4_MD_AA,Nlp-5_MD_AA,Nlp-6_MD_AA,LPde-0_MD_AA,LPde-1_MD_AA,LPde-2_MD_AA,LPde-3_MD_AA,LPde-4_MD_AA,LPde-5_MD_AA,LPde-6_MD_AA,LPe-0_MD_AA,LPe-1_MD_AA,LPe-2_MD_AA,LPe-3_MD_AA,LPe-4_MD_AA,LPe-5_MD_AA,LPe-6_MD_AA,LPocc-0_MD_AA,LPocc-1_MD_AA,LPocc-2_MD_AA,LPocc-3_MD_AA,LPocc-4_MD_AA,LPocc-5_MD_AA,LPocc-6_MD_AA,LPs-0_MD_AA,LPs-1_MD_AA,LPs-2_MD_AA,LPs-3_MD_AA,LPs-4_MD_AA,LPs-5_MD_AA,LPs-6_MD_AA,LPp-0_MD_AA,LPp-1_MD_AA,LPp-2_MD_AA,LPp-3_MD_AA,LPp-4_MD_AA,LPp-5_MD_AA,LPp-6_MD_AA,LPd-0_MD_AA,LPd-1_MD_AA,LPd-2_MD_AA,LPd-3_MD_AA,LPd-4_MD_AA,LPd-5_MD_AA,LPd-6_MD_AA,Nlv-0_MD_AA,Nlv-1_MD_AA,Nlv-2_MD_AA,Nlv-3_MD_AA,Nlv-4_MD_AA,Nlv-5_MD_AA,Nlv-6_MD_AA,LVde-0_MD_AA,LVde-1_MD_AA,LVde-2_MD_AA,LVde-3_MD_AA,LVde-4_MD_AA,LVde-5_MD_AA,LVde-6_MD_AA,LVe-0_MD_AA,LVe-1_MD_AA,LVe-2_MD_AA,LVe-3_MD_AA,LVe-4_MD_AA,LVe-5_MD_AA,LVe-6_MD_AA,LVocc-0_MD_AA,LVocc-1_MD_AA,LVocc-2_MD_AA,LVocc-3_MD_AA,LVocc-4_MD_AA,LVocc-5_MD_AA,LVocc-6_MD_AA,LVs-0_MD_AA,LVs-1_MD_AA,LVs-2_MD_AA,LVs-3_MD_AA,LVs-4_MD_AA,LVs-5_MD_AA,LVs-6_MD_AA,LVp-0_MD_AA,LVp-1_MD_AA,LVp-2_MD_AA,LVp-3_MD_AA,LVp-4_MD_AA,LVp-5_MD_AA,LVp-6_MD_AA,LVd-0_MD_AA,LVd-1_MD_AA,LVd-2_MD_AA,LVd-3_MD_AA,LVd-4_MD_AA,LVd-5_MD_AA,LVd-6_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.00181,4.19677,-10.02082,-1.59584,0.0,0.0,0.0,17.98804,29.5715,158.22877,25.47014,0.0,0.0,0.0,-2.52,-3.17,-0.16,-0.07,0.0,0.0,0.0,-13.56,-26.85,-3.17,0.03,0.0,0.0,0.0,34.07,59.77,162.26,25.62,0.0,0.0,0.0,11.0,28.0,76.0,12.0,0.0,0.0,0.0,-0.18478,0.3619,0.9823,0.1551,0.0,0.0,0.0,-0.32538,-1.01941,-2.76697,-0.43689,0.0,0.0,0.0,4.59858,13.84313,37.57421,5.93277,0.0,0.0,0.0,0.0672,0.4018,1.0906,0.1722,0.0,0.0,0.0,-1.8362,0.0007,0.0019,0.0003,0.0,0.0,0.0,3.769,6.5975,17.9075,2.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.00181,4.19677,-10.02082,-1.59584,0.0,0.0,0.0,17.98804,29.5715,158.22877,25.47014,0.0,0.0,0.0,-2.52,-3.17,-0.16,-0.07,0.0,0.0,0.0,-13.56,-26.85,-3.17,0.03,0.0,0.0,0.0,34.07,59.77,162.26,25.62,0.0,0.0,0.0,11.0,28.0,76.0,12.0,0.0,0.0,0.0,-0.18478,0.3619,0.9823,0.1551,0.0,0.0,0.0,-0.32538,-1.01941,-2.76697,-0.43689,0.0,0.0,0.0,4.59858,13.84313,37.57421,5.93277,0.0,0.0,0.0,0.0672,0.4018,1.0906,0.1722,0.0,0.0,0.0,-1.8362,0.0007,0.0019,0.0003,0.0,0.0,0.0,3.769,6.5975,17.9075,2.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,0.1177,2.54064,3.20948,-3.00377,0.0,0.0,0.0,13.97586,13.72752,35.09927,140.67439,0.0,0.0,0.0,-2.23,-2.37,-2.6,-0.62,0.0,0.0,0.0,-13.6,-21.04,-29.22,0.19,0.0,0.0,0.0,32.65,40.84,73.53,155.23,0.0,0.0,0.0,7.0,12.0,27.0,57.0,0.0,0.0,0.0,-0.2789,0.3869,0.69642,1.47022,0.0,0.0,0.0,0.02444,0.19029,-0.74925,-1.58175,0.0,0.0,0.0,4.44939,5.28653,17.75655,37.48605,0.0,0.0,0.0,-0.0188,0.4609,0.8352,1.7632,0.0,0.0,0.0,-1.6095,-2.9955,0.0009,0.0019,0.0,0.0,0.0,3.6283,4.5346,8.1639,17.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,0.1177,2.54064,3.20948,-3.00377,0.0,0.0,0.0,13.97586,13.72752,35.09927,140.67439,0.0,0.0,0.0,-2.23,-2.37,-2.6,-0.62,0.0,0.0,0.0,-13.6,-21.04,-29.22,0.19,0.0,0.0,0.0,32.65,40.84,73.53,155.23,0.0,0.0,0.0,7.0,12.0,27.0,57.0,0.0,0.0,0.0,-0.2789,0.3869,0.69642,1.47022,0.0,0.0,0.0,0.02444,0.19029,-0.74925,-1.58175,0.0,0.0,0.0,4.44939,5.28653,17.75655,37.48605,0.0,0.0,0.0,-0.0188,0.4609,0.8352,1.7632,0.0,0.0,0.0,-1.6095,-2.9955,0.0009,0.0019,0.0,0.0,0.0,3.6283,4.5346,8.1639,17.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,-0.5946,4.31679,-6.13221,0.0,0.0,0.0,0.0,17.58204,34.52776,160.52842,0.0,0.0,0.0,0.0,-2.39,-3.62,-1.89,0.0,0.0,0.0,0.0,-13.42,-28.57,-4.16,0.0,0.0,0.0,0.0,33.37,66.78,166.98,0.0,0.0,0.0,0.0,10.0,23.0,57.0,0.0,0.0,0.0,0.0,0.3156,0.6312,1.29963,0.0,0.0,0.0,0.0,0.09832,-0.70536,-2.31342,0.0,0.0,0.0,0.0,4.494,14.11489,37.84991,0.0,0.0,0.0,0.0,-0.2891,0.2788,1.576,0.0,0.0,0.0,0.0,-1.3951,-0.6465,-0.9961,0.0,0.0,0.0,0.0,3.6838,7.3669,18.4181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,-0.5946,4.31679,-6.13221,0.0,0.0,0.0,0.0,17.58204,34.52776,160.52842,0.0,0.0,0.0,0.0,-2.39,-3.62,-1.89,0.0,0.0,0.0,0.0,-13.42,-28.57,-4.16,0.0,0.0,0.0,0.0,33.37,66.78,166.98,0.0,0.0,0.0,0.0,10.0,23.0,57.0,0.0,0.0,0.0,0.0,0.3156,0.6312,1.29963,0.0,0.0,0.0,0.0,0.09832,-0.70536,-2.31342,0.0,0.0,0.0,0.0,4.494,14.11489,37.84991,0.0,0.0,0.0,0.0,-0.2891,0.2788,1.576,0.0,0.0,0.0,0.0,-1.3951,-0.6465,-0.9961,0.0,0.0,0.0,0.0,3.6838,7.3669,18.4181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-0.76007,0.69013,0.80604,-3.16702,-1.62364,-0.99746,0.0,15.72791,28.2071,58.89317,120.60692,64.31906,24.88505,0.0,-2.71,-1.62,-2.58,-1.63,-0.96,-0.12,0.0,-14.96,-20.27,-30.24,-19.44,-9.7,0.03,0.0,33.43,50.21,92.07,142.29,75.33,25.11,0.0,10.0,24.0,44.0,68.0,36.0,12.0,0.0,-0.24355,0.32988,0.60478,0.93466,0.49482,0.16494,0.0,-0.12409,-0.78936,-1.44716,-2.23652,-1.18404,-0.39468,0.0,4.62942,11.84916,21.72346,33.57262,17.77374,5.92458,0.0,0.2951,0.4476,0.8206,1.2682,0.6714,0.2238,0.0,-1.995,0.0012,0.0022,0.0034,0.0018,0.0006,0.0,3.6999,5.5512,10.1772,15.7284,8.3268,2.7756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-0.76007,0.69013,0.80604,-3.16702,-1.62364,-0.99746,0.0,15.72791,28.2071,58.89317,120.60692,64.31906,24.88505,0.0,-2.71,-1.62,-2.58,-1.63,-0.96,-0.12,0.0,-14.96,-20.27,-30.24,-19.44,-9.7,0.03,0.0,33.43,50.21,92.07,142.29,75.33,25.11,0.0,10.0,24.0,44.0,68.0,36.0,12.0,0.0,-0.24355,0.32988,0.60478,0.93466,0.49482,0.16494,0.0,-0.12409,-0.78936,-1.44716,-2.23652,-1.18404,-0.39468,0.0,4.62942,11.84916,21.72346,33.57262,17.77374,5.92458,0.0,0.2951,0.4476,0.8206,1.2682,0.6714,0.2238,0.0,-1.995,0.0012,0.0022,0.0034,0.0018,0.0006,0.0,3.6999,5.5512,10.1772,15.7284,8.3268,2.7756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,0.76992,1.74412,2.38893,-1.59181,0.0,0.0,0.0,17.22048,25.16156,51.42543,125.13838,0.0,0.0,0.0,-2.04,-2.11,-3.36,-1.5,0.0,0.0,0.0,-13.45,-21.74,-26.89,-3.89,0.0,0.0,0.0,32.7,49.07,81.78,130.87,0.0,0.0,0.0,14.0,23.0,37.0,63.0,0.0,0.0,0.0,0.382,0.573,0.6763,1.528,0.0,0.0,0.0,0.20726,-0.37598,-0.84905,-1.34252,0.0,0.0,0.0,4.45514,10.18135,18.04307,29.59394,0.0,0.0,0.0,-0.3395,0.5443,0.915,1.1666,0.0,0.0,0.0,-1.2937,-0.9946,-0.9972,-0.7,0.0,0.0,0.0,3.6332,5.4503,9.0822,14.5334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,0.76992,1.74412,2.38893,-1.59181,0.0,0.0,0.0,17.22048,25.16156,51.42543,125.13838,0.0,0.0,0.0,-2.04,-2.11,-3.36,-1.5,0.0,0.0,0.0,-13.45,-21.74,-26.89,-3.89,0.0,0.0,0.0,32.7,49.07,81.78,130.87,0.0,0.0,0.0,14.0,23.0,37.0,63.0,0.0,0.0,0.0,0.382,0.573,0.6763,1.528,0.0,0.0,0.0,0.20726,-0.37598,-0.84905,-1.34252,0.0,0.0,0.0,4.45514,10.18135,18.04307,29.59394,0.0,0.0,0.0,-0.3395,0.5443,0.915,1.1666,0.0,0.0,0.0,-1.2937,-0.9946,-0.9972,-0.7,0.0,0.0,0.0,3.6332,5.4503,9.0822,14.5334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
