id,qnat-0_MR_AA,qnat-1_MR_AA,qnat-2_MR_AA,qnat-3_MR_AA,qnat-4_MR_AA,qnat-5_MR_AA,qnat-6_MR_AA,Vnat-0_MR_AA,Vnat-1_MR_AA,Vnat-2_MR_AA,Vnat-3_MR_AA,Vnat-4_MR_AA,Vnat-5_MR_AA,Vnat-6_MR_AA,Ns-0_MR_AA,Ns-1_MR_AA,Ns-2_MR_AA,Ns-3_MR_AA,Ns-4_MR_AA,Ns-5_MR_AA,Ns-6_MR_AA,Np-0_MR_AA,Np-1_MR_AA,Np-2_MR_AA,Np-3_MR_AA,Np-4_MR_AA,Np-5_MR_AA,Np-6_MR_AA,Nd-0_MR_AA,Nd-1_MR_AA,Nd-2_MR_AA,Nd-3_MR_AA,Nd-4_MR_AA,Nd-5_MR_AA,Nd-6_MR_AA,Nlp-0_MR_AA,Nlp-1_MR_AA,Nlp-2_MR_AA,Nlp-3_MR_AA,Nlp-4_MR_AA,Nlp-5_MR_AA,Nlp-6_MR_AA,LPde-0_MR_AA,LPde-1_MR_AA,LPde-2_MR_AA,LPde-3_MR_AA,LPde-4_MR_AA,LPde-5_MR_AA,LPde-6_MR_AA,LPe-0_MR_AA,LPe-1_MR_AA,LPe-2_MR_AA,LPe-3_MR_AA,LPe-4_MR_AA,LPe-5_MR_AA,LPe-6_MR_AA,LPocc-0_MR_AA,LPocc-1_MR_AA,LPocc-2_MR_AA,LPocc-3_MR_AA,LPocc-4_MR_AA,LPocc-5_MR_AA,LPocc-6_MR_AA,LPs-0_MR_AA,LPs-1_MR_AA,LPs-2_MR_AA,LPs-3_MR_AA,LPs-4_MR_AA,LPs-5_MR_AA,LPs-6_MR_AA,LPp-0_MR_AA,LPp-1_MR_AA,LPp-2_MR_AA,LPp-3_MR_AA,LPp-4_MR_AA,LPp-5_MR_AA,LPp-6_MR_AA,LPd-0_MR_AA,LPd-1_MR_AA,LPd-2_MR_AA,LPd-3_MR_AA,LPd-4_MR_AA,LPd-5_MR_AA,LPd-6_MR_AA,Nlv-0_MR_AA,Nlv-1_MR_AA,Nlv-2_MR_AA,Nlv-3_MR_AA,Nlv-4_MR_AA,Nlv-5_MR_AA,Nlv-6_MR_AA,LVde-0_MR_AA,LVde-1_MR_AA,LVde-2_MR_AA,LVde-3_MR_AA,LVde-4_MR_AA,LVde-5_MR_AA,LVde-6_MR_AA,LVe-0_MR_AA,LVe-1_MR_AA,LVe-2_MR_AA,LVe-3_MR_AA,LVe-4_MR_AA,LVe-5_MR_AA,LVe-6_MR_AA,LVocc-0_MR_AA,LVocc-1_MR_AA,LVocc-2_MR_AA,LVocc-3_MR_AA,LVocc-4_MR_AA,LVocc-5_MR_AA,LVocc-6_MR_AA,LVs-0_MR_AA,LVs-1_MR_AA,LVs-2_MR_AA,LVs-3_MR_AA,LVs-4_MR_AA,LVs-5_MR_AA,LVs-6_MR_AA,LVp-0_MR_AA,LVp-1_MR_AA,LVp-2_MR_AA,LVp-3_MR_AA,LVp-4_MR_AA,LVp-5_MR_AA,LVp-6_MR_AA,LVd-0_MR_AA,LVd-1_MR_AA,LVd-2_MR_AA,LVd-3_MR_AA,LVd-4_MR_AA,LVd-5_MR_AA,LVd-6_MR_AA,I-0_MR_AA,I-1_MR_AA,I-2_MR_AA,I-3_MR_AA,I-4_MR_AA,I-5_MR_AA,I-6_MR_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,-1.037273,2.502248,-20.715529,-4.081021,0.0,0.0,1.0,8.463311,12.886667,227.949478,36.023098,0.0,0.0,1.0,2.276,4.365,18.938,2.91,0.0,0.0,1.0,0.013,0.018,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,7.0,19.0,3.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,-1.037273,2.502248,-20.715529,-4.081021,0.0,0.0,1.0,8.463311,12.886667,227.949478,36.023098,0.0,0.0,1.0,2.276,4.365,18.938,2.91,0.0,0.0,1.0,0.013,0.018,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,7.0,19.0,3.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1.0,0.742013,-0.880194,-5.01324,6.168244,0.0,0.0,1.0,7.703468,7.532557,17.25995,203.49072,0.0,0.0,1.0,2.424,3.033,6.488,18.195,0.0,0.0,1.0,0.013,0.012,0.028,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,5.0,9.0,19.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1.0,0.742013,-0.880194,-5.01324,6.168244,0.0,0.0,1.0,7.703468,7.532557,17.25995,203.49072,0.0,0.0,1.0,2.424,3.033,6.488,18.195,0.0,0.0,1.0,0.013,0.012,0.028,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,5.0,9.0,19.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1.0,-0.071679,0.271268,-5.046687,0.0,0.0,0.0,1.0,8.10672,15.497411,233.000865,0.0,0.0,0.0,1.0,2.173,4.931,18.339,0.0,0.0,0.0,1.0,0.013,0.023,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,8.0,20.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1.0,-0.071679,0.271268,-5.046687,0.0,0.0,0.0,1.0,8.10672,15.497411,233.000865,0.0,0.0,0.0,1.0,2.173,4.931,18.339,0.0,0.0,0.0,1.0,0.013,0.023,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,8.0,20.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,-0.03295,2.790646,3.525112,-1.730548,-1.214032,-1.27313,1.0,7.694835,12.645342,43.074137,149.282176,77.793032,35.583454,1.0,2.156,4.41,8.457,15.325,7.934,2.842,1.0,0.012,0.018,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,6.0,11.0,17.0,9.0,3.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,-0.03295,2.790646,3.525112,-1.730548,-1.214032,-1.27313,1.0,7.694835,12.645342,43.074137,149.282176,77.793032,35.583454,1.0,2.156,4.41,8.457,15.325,7.934,2.842,1.0,0.012,0.018,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,6.0,11.0,17.0,9.0,3.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,0.187916,9.345886,79.988259,5.624567,0.0,0.0,1.0,8.122629,11.688062,39.827065,175.651056,0.0,0.0,1.0,2.384,4.081,7.151,14.443,0.0,0.0,1.0,0.013,0.017,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,6.0,10.0,16.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,0.187916,9.345886,79.988259,5.624567,0.0,0.0,1.0,8.122629,11.688062,39.827065,175.651056,0.0,0.0,1.0,2.384,4.081,7.151,14.443,0.0,0.0,1.0,0.013,0.017,0.0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,4.0,6.0,10.0,16.0,0.0,0.0
