id,qnat-0_MA_AB,qnat-1_MA_AB,qnat-2_MA_AB,qnat-3_MA_AB,qnat-4_MA_AB,qnat-5_MA_AB,qnat-6_MA_AB,Vnat-0_MA_AB,Vnat-1_MA_AB,Vnat-2_MA_AB,Vnat-3_MA_AB,Vnat-4_MA_AB,Vnat-5_MA_AB,Vnat-6_MA_AB,Ns-0_MA_AB,Ns-1_MA_AB,Ns-2_MA_AB,Ns-3_MA_AB,Ns-4_MA_AB,Ns-5_MA_AB,Ns-6_MA_AB,Np-0_MA_AB,Np-1_MA_AB,Np-2_MA_AB,Np-3_MA_AB,Np-4_MA_AB,Np-5_MA_AB,Np-6_MA_AB,Nd-0_MA_AB,Nd-1_MA_AB,Nd-2_MA_AB,Nd-3_MA_AB,Nd-4_MA_AB,Nd-5_MA_AB,Nd-6_MA_AB,Nlp-0_MA_AB,Nlp-1_MA_AB,Nlp-2_MA_AB,Nlp-3_MA_AB,Nlp-4_MA_AB,Nlp-5_MA_AB,Nlp-6_MA_AB,LPde-0_MA_AB,LPde-1_MA_AB,LPde-2_MA_AB,LPde-3_MA_AB,LPde-4_MA_AB,LPde-5_MA_AB,LPde-6_MA_AB,LPe-0_MA_AB,LPe-1_MA_AB,LPe-2_MA_AB,LPe-3_MA_AB,LPe-4_MA_AB,LPe-5_MA_AB,LPe-6_MA_AB,LPocc-0_MA_AB,LPocc-1_MA_AB,LPocc-2_MA_AB,LPocc-3_MA_AB,LPocc-4_MA_AB,LPocc-5_MA_AB,LPocc-6_MA_AB,LPs-0_MA_AB,LPs-1_MA_AB,LPs-2_MA_AB,LPs-3_MA_AB,LPs-4_MA_AB,LPs-5_MA_AB,LPs-6_MA_AB,LPp-0_MA_AB,LPp-1_MA_AB,LPp-2_MA_AB,LPp-3_MA_AB,LPp-4_MA_AB,LPp-5_MA_AB,LPp-6_MA_AB,LPd-0_MA_AB,LPd-1_MA_AB,LPd-2_MA_AB,LPd-3_MA_AB,LPd-4_MA_AB,LPd-5_MA_AB,LPd-6_MA_AB,Nlv-0_MA_AB,Nlv-1_MA_AB,Nlv-2_MA_AB,Nlv-3_MA_AB,Nlv-4_MA_AB,Nlv-5_MA_AB,Nlv-6_MA_AB,LVde-0_MA_AB,LVde-1_MA_AB,LVde-2_MA_AB,LVde-3_MA_AB,LVde-4_MA_AB,LVde-5_MA_AB,LVde-6_MA_AB,LVe-0_MA_AB,LVe-1_MA_AB,LVe-2_MA_AB,LVe-3_MA_AB,LVe-4_MA_AB,LVe-5_MA_AB,LVe-6_MA_AB,LVocc-0_MA_AB,LVocc-1_MA_AB,LVocc-2_MA_AB,LVocc-3_MA_AB,LVocc-4_MA_AB,LVocc-5_MA_AB,LVocc-6_MA_AB,LVs-0_MA_AB,LVs-1_MA_AB,LVs-2_MA_AB,LVs-3_MA_AB,LVs-4_MA_AB,LVs-5_MA_AB,LVs-6_MA_AB,LVp-0_MA_AB,LVp-1_MA_AB,LVp-2_MA_AB,LVp-3_MA_AB,LVp-4_MA_AB,LVp-5_MA_AB,LVp-6_MA_AB,LVd-0_MA_AB,LVd-1_MA_AB,LVd-2_MA_AB,LVd-3_MA_AB,LVd-4_MA_AB,LVd-5_MA_AB,LVd-6_MA_AB,I-0_MA_AB,I-1_MA_AB,I-2_MA_AB,I-3_MA_AB,I-4_MA_AB,I-5_MA_AB,I-6_MA_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-10.033008,-22.352966,-52.363041,-8.243928,0.0,0.0,0.0,303.142357,675.383801,1582.123339,249.086203,0.0,0.0,0.0,24.549,54.694,128.123,20.171,0.0,0.0,0.0,0.327,0.729,1.708,0.269,0.0,0.0,0.0,279.531,622.779,1458.895,229.685,0.0,0.0,0.0,130.9,291.7,683.3,107.6,0.0,0.0,0.0,1.692244,3.770222,8.83195,1.390484,0.0,0.0,0.0,-4.766759,-10.620065,-24.878082,-3.916753,0.0,0.0,0.0,64.730444,144.215719,337.833177,53.187752,0.0,0.0,0.0,1.878816,4.185894,9.805685,1.543787,0.0,0.0,0.0,0.003273,0.007292,0.017083,0.00269,0.0,0.0,0.0,30.849895,68.731797,161.007979,25.348761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,72.9,170.8,26.9,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-10.033008,-22.352966,-52.363041,-8.243928,0.0,0.0,0.0,303.142357,675.383801,1582.123339,249.086203,0.0,0.0,0.0,24.549,54.694,128.123,20.171,0.0,0.0,0.0,0.327,0.729,1.708,0.269,0.0,0.0,0.0,279.531,622.779,1458.895,229.685,0.0,0.0,0.0,130.9,291.7,683.3,107.6,0.0,0.0,0.0,1.692244,3.770222,8.83195,1.390484,0.0,0.0,0.0,-4.766759,-10.620065,-24.878082,-3.916753,0.0,0.0,0.0,64.730444,144.215719,337.833177,53.187752,0.0,0.0,0.0,1.878816,4.185894,9.805685,1.543787,0.0,0.0,0.0,0.003273,0.007292,0.017083,0.00269,0.0,0.0,0.0,30.849895,68.731797,161.007979,25.348761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,72.9,170.8,26.9,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2.543079,4.302051,6.236081,14.79741,0.0,0.0,0.0,275.564573,466.164347,675.733215,1603.42708,0.0,0.0,0.0,24.631,41.668,60.4,143.321,0.0,0.0,0.0,0.337,0.571,0.827,1.963,0.0,0.0,0.0,275.666,466.336,675.982,1604.018,0.0,0.0,0.0,101.2,171.2,248.2,589.0,0.0,0.0,0.0,2.610899,4.41678,6.402388,15.192034,0.0,0.0,0.0,-2.80896,-4.751834,-6.888069,-16.344492,0.0,0.0,0.0,66.569828,112.614188,163.241028,387.349741,0.0,0.0,0.0,3.131189,5.296939,7.678232,18.219446,0.0,0.0,0.0,0.003374,0.005708,0.008274,0.019633,0.0,0.0,0.0,30.606701,51.776441,75.053061,178.091158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,57.1,82.7,196.3,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2.543079,4.302051,6.236081,14.79741,0.0,0.0,0.0,275.564573,466.164347,675.733215,1603.42708,0.0,0.0,0.0,24.631,41.668,60.4,143.321,0.0,0.0,0.0,0.337,0.571,0.827,1.963,0.0,0.0,0.0,275.666,466.336,675.982,1604.018,0.0,0.0,0.0,101.2,171.2,248.2,589.0,0.0,0.0,0.0,2.610899,4.41678,6.402388,15.192034,0.0,0.0,0.0,-2.80896,-4.751834,-6.888069,-16.344492,0.0,0.0,0.0,66.569828,112.614188,163.241028,387.349741,0.0,0.0,0.0,3.131189,5.296939,7.678232,18.219446,0.0,0.0,0.0,0.003374,0.005708,0.008274,0.019633,0.0,0.0,0.0,30.606701,51.776441,75.053061,178.091158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,57.1,82.7,196.3,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-2.495704,-6.164117,-13.16672,0.0,0.0,0.0,0.0,308.883917,762.90965,1629.595732,0.0,0.0,0.0,0.0,23.922,59.084,126.204,0.0,0.0,0.0,0.0,0.342,0.844,1.803,0.0,0.0,0.0,0.0,285.35,704.784,1505.438,0.0,0.0,0.0,0.0,102.5,253.2,540.9,0.0,0.0,0.0,0.0,2.696303,6.659575,14.225034,0.0,0.0,0.0,0.0,-4.219082,-10.420674,-22.258843,0.0,0.0,0.0,0.0,67.462942,166.626122,355.917922,0.0,0.0,0.0,0.0,2.692886,6.651135,14.207005,0.0,0.0,0.0,0.0,0.003417,0.008441,0.018029,0.0,0.0,0.0,0.0,31.473958,77.737249,166.048876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,84.4,180.3,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-2.495704,-6.164117,-13.16672,0.0,0.0,0.0,0.0,308.883917,762.90965,1629.595732,0.0,0.0,0.0,0.0,23.922,59.084,126.204,0.0,0.0,0.0,0.0,0.342,0.844,1.803,0.0,0.0,0.0,0.0,285.35,704.784,1505.438,0.0,0.0,0.0,0.0,102.5,253.2,540.9,0.0,0.0,0.0,0.0,2.696303,6.659575,14.225034,0.0,0.0,0.0,0.0,-4.219082,-10.420674,-22.258843,0.0,0.0,0.0,0.0,67.462942,166.626122,355.917922,0.0,0.0,0.0,0.0,2.692886,6.651135,14.207005,0.0,0.0,0.0,0.0,0.003417,0.008441,0.018029,0.0,0.0,0.0,0.0,31.473958,77.737249,166.048876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,84.4,180.3,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-3.190428,-6.248011,-11.782807,-17.283667,-11.963038,-2.675898,0.0,291.755372,571.36248,1077.503608,1580.541278,1093.985187,244.703089,0.0,23.189,45.413,85.641,125.623,86.951,19.449,0.0,0.322,0.631,1.189,1.745,1.208,0.27,0.0,269.573,527.921,995.579,1460.37,1010.808,226.098,0.0,128.8,252.3,475.8,697.9,483.1,108.1,0.0,1.770742,3.467753,6.53966,9.592732,6.639692,1.485169,0.0,-4.237156,-8.297883,-15.648558,-22.954162,-15.88792,-3.553817,0.0,63.604362,124.560332,234.902031,344.567159,238.495111,53.346692,0.0,2.402644,4.705245,8.873384,13.015966,9.009112,2.015162,0.0,0.006441,0.012615,0.023789,0.034895,0.024153,0.005403,0.0,29.797938,58.355134,110.048996,161.425891,111.732314,24.992333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,63.1,118.9,174.5,120.8,27.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-3.190428,-6.248011,-11.782807,-17.283667,-11.963038,-2.675898,0.0,291.755372,571.36248,1077.503608,1580.541278,1093.985187,244.703089,0.0,23.189,45.413,85.641,125.623,86.951,19.449,0.0,0.322,0.631,1.189,1.745,1.208,0.27,0.0,269.573,527.921,995.579,1460.37,1010.808,226.098,0.0,128.8,252.3,475.8,697.9,483.1,108.1,0.0,1.770742,3.467753,6.53966,9.592732,6.639692,1.485169,0.0,-4.237156,-8.297883,-15.648558,-22.954162,-15.88792,-3.553817,0.0,63.604362,124.560332,234.902031,344.567159,238.495111,53.346692,0.0,2.402644,4.705245,8.873384,13.015966,9.009112,2.015162,0.0,0.006441,0.012615,0.023789,0.034895,0.024153,0.005403,0.0,29.797938,58.355134,110.048996,161.425891,111.732314,24.992333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,63.1,118.9,174.5,120.8,27.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2.826274,6.690504,8.553439,14.824744,0.0,0.0,0.0,280.379067,663.728025,848.539621,1470.681183,0.0,0.0,0.0,22.423,53.081,67.862,117.617,0.0,0.0,0.0,0.316,0.748,0.956,1.657,0.0,0.0,0.0,258.341,611.558,781.843,1355.083,0.0,0.0,0.0,126.3,299.1,382.3,662.6,0.0,0.0,0.0,3.016082,7.139827,9.127874,15.820349,0.0,0.0,0.0,-3.157885,-7.475511,-9.557028,-16.564154,0.0,0.0,0.0,62.198554,147.239678,188.237796,326.252042,0.0,0.0,0.0,2.889754,6.840777,8.745555,15.157717,0.0,0.0,0.0,0.003158,0.007476,0.009558,0.016566,0.0,0.0,0.0,28.689096,67.914332,86.824723,150.483823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,74.8,95.6,165.7,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2.826274,6.690504,8.553439,14.824744,0.0,0.0,0.0,280.379067,663.728025,848.539621,1470.681183,0.0,0.0,0.0,22.423,53.081,67.862,117.617,0.0,0.0,0.0,0.316,0.748,0.956,1.657,0.0,0.0,0.0,258.341,611.558,781.843,1355.083,0.0,0.0,0.0,126.3,299.1,382.3,662.6,0.0,0.0,0.0,3.016082,7.139827,9.127874,15.820349,0.0,0.0,0.0,-3.157885,-7.475511,-9.557028,-16.564154,0.0,0.0,0.0,62.198554,147.239678,188.237796,326.252042,0.0,0.0,0.0,2.889754,6.840777,8.745555,15.157717,0.0,0.0,0.0,0.003158,0.007476,0.009558,0.016566,0.0,0.0,0.0,28.689096,67.914332,86.824723,150.483823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,74.8,95.6,165.7,0.0,0.0,0.0
