id,qnat-0_MR_AB,qnat-1_MR_AB,qnat-2_MR_AB,qnat-3_MR_AB,qnat-4_MR_AB,qnat-5_MR_AB,qnat-6_MR_AB,Vnat-0_MR_AB,Vnat-1_MR_AB,Vnat-2_MR_AB,Vnat-3_MR_AB,Vnat-4_MR_AB,Vnat-5_MR_AB,Vnat-6_MR_AB,Ns-0_MR_AB,Ns-1_MR_AB,Ns-2_MR_AB,Ns-3_MR_AB,Ns-4_MR_AB,Ns-5_MR_AB,Ns-6_MR_AB,Np-0_MR_AB,Np-1_MR_AB,Np-2_MR_AB,Np-3_MR_AB,Np-4_MR_AB,Np-5_MR_AB,Np-6_MR_AB,Nd-0_MR_AB,Nd-1_MR_AB,Nd-2_MR_AB,Nd-3_MR_AB,Nd-4_MR_AB,Nd-5_MR_AB,Nd-6_MR_AB,Nlp-0_MR_AB,Nlp-1_MR_AB,Nlp-2_MR_AB,Nlp-3_MR_AB,Nlp-4_MR_AB,Nlp-5_MR_AB,Nlp-6_MR_AB,LPde-0_MR_AB,LPde-1_MR_AB,LPde-2_MR_AB,LPde-3_MR_AB,LPde-4_MR_AB,LPde-5_MR_AB,LPde-6_MR_AB,LPe-0_MR_AB,LPe-1_MR_AB,LPe-2_MR_AB,LPe-3_MR_AB,LPe-4_MR_AB,LPe-5_MR_AB,LPe-6_MR_AB,LPocc-0_MR_AB,LPocc-1_MR_AB,LPocc-2_MR_AB,LPocc-3_MR_AB,LPocc-4_MR_AB,LPocc-5_MR_AB,LPocc-6_MR_AB,LPs-0_MR_AB,LPs-1_MR_AB,LPs-2_MR_AB,LPs-3_MR_AB,LPs-4_MR_AB,LPs-5_MR_AB,LPs-6_MR_AB,LPp-0_MR_AB,LPp-1_MR_AB,LPp-2_MR_AB,LPp-3_MR_AB,LPp-4_MR_AB,LPp-5_MR_AB,LPp-6_MR_AB,LPd-0_MR_AB,LPd-1_MR_AB,LPd-2_MR_AB,LPd-3_MR_AB,LPd-4_MR_AB,LPd-5_MR_AB,LPd-6_MR_AB,Nlv-0_MR_AB,Nlv-1_MR_AB,Nlv-2_MR_AB,Nlv-3_MR_AB,Nlv-4_MR_AB,Nlv-5_MR_AB,Nlv-6_MR_AB,LVde-0_MR_AB,LVde-1_MR_AB,LVde-2_MR_AB,LVde-3_MR_AB,LVde-4_MR_AB,LVde-5_MR_AB,LVde-6_MR_AB,LVe-0_MR_AB,LVe-1_MR_AB,LVe-2_MR_AB,LVe-3_MR_AB,LVe-4_MR_AB,LVe-5_MR_AB,LVe-6_MR_AB,LVocc-0_MR_AB,LVocc-1_MR_AB,LVocc-2_MR_AB,LVocc-3_MR_AB,LVocc-4_MR_AB,LVocc-5_MR_AB,LVocc-6_MR_AB,LVs-0_MR_AB,LVs-1_MR_AB,LVs-2_MR_AB,LVs-3_MR_AB,LVs-4_MR_AB,LVs-5_MR_AB,LVs-6_MR_AB,LVp-0_MR_AB,LVp-1_MR_AB,LVp-2_MR_AB,LVp-3_MR_AB,LVp-4_MR_AB,LVp-5_MR_AB,LVp-6_MR_AB,LVd-0_MR_AB,LVd-1_MR_AB,LVd-2_MR_AB,LVd-3_MR_AB,LVd-4_MR_AB,LVd-5_MR_AB,LVd-6_MR_AB,I-0_MR_AB,I-1_MR_AB,I-2_MR_AB,I-3_MR_AB,I-4_MR_AB,I-5_MR_AB,I-6_MR_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-93.141362,-2954.043465,-56730.46603,-10286.473958,0.0,0.0,0.0,2814.220122,89254.960339,1714082.936082,310800.716405,0.0,0.0,0.0,227.9,7228.02,138809.375,25169.175,0.0,0.0,0.0,3.039,96.374,1850.792,335.589,0.0,0.0,0.0,2595.026,82303.051,1580576.08,286593.004,0.0,0.0,0.0,1215.5,38549.4,740316.7,134235.6,0.0,0.0,0.0,15.709932,498.251491,9568.592894,1734.995118,0.0,0.0,0.0,-44.252175,-1403.488679,-26953.078977,-4887.182574,0.0,0.0,0.0,600.924657,19058.745973,366010.708327,66365.744601,0.0,0.0,0.0,17.441975,553.184441,10623.544141,1926.280847,0.0,0.0,0.0,0.030387,0.963736,18.507917,3.35589,0.0,0.0,0.0,286.394798,9083.211424,174437.114163,31629.263035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.9,9637.4,185079.2,33558.9,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-93.141362,-2954.043465,-56730.46603,-10286.473958,0.0,0.0,0.0,2814.220122,89254.960339,1714082.936082,310800.716405,0.0,0.0,0.0,227.9,7228.02,138809.375,25169.175,0.0,0.0,0.0,3.039,96.374,1850.792,335.589,0.0,0.0,0.0,2595.026,82303.051,1580576.08,286593.004,0.0,0.0,0.0,1215.5,38549.4,740316.7,134235.6,0.0,0.0,0.0,15.709932,498.251491,9568.592894,1734.995118,0.0,0.0,0.0,-44.252175,-1403.488679,-26953.078977,-4887.182574,0.0,0.0,0.0,600.924657,19058.745973,366010.708327,66365.744601,0.0,0.0,0.0,17.441975,553.184441,10623.544141,1926.280847,0.0,0.0,0.0,0.030387,0.963736,18.507917,3.35589,0.0,0.0,0.0,286.394798,9083.211424,174437.114163,31629.263035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.9,9637.4,185079.2,33558.9,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,17.39865,2768.73342,1545.070023,16639.895492,0.0,0.0,0.0,1885.293916,300016.162338,167421.672092,1803076.291467,0.0,0.0,0.0,168.516,26816.71,14964.855,161166.561,0.0,0.0,0.0,2.308,367.352,204.998,2207.761,0.0,0.0,0.0,1885.989,300126.735,167483.376,1803740.828,0.0,0.0,0.0,692.5,110205.7,61499.4,662328.3,0.0,0.0,0.0,17.862645,2842.571209,1586.274623,17083.655476,0.0,0.0,0.0,-19.217694,-3058.206942,-1706.608457,-18379.611248,0.0,0.0,0.0,455.442046,72476.749388,40445.082944,435580.228365,0.0,0.0,0.0,21.422247,3409.028279,1902.381559,20488.023109,0.0,0.0,0.0,0.023084,3.673522,2.04998,22.077611,0.0,0.0,0.0,209.397846,33322.516724,18595.369745,200266.010365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.8,36735.2,20499.8,220776.1,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,17.39865,2768.73342,1545.070023,16639.895492,0.0,0.0,0.0,1885.293916,300016.162338,167421.672092,1803076.291467,0.0,0.0,0.0,168.516,26816.71,14964.855,161166.561,0.0,0.0,0.0,2.308,367.352,204.998,2207.761,0.0,0.0,0.0,1885.989,300126.735,167483.376,1803740.828,0.0,0.0,0.0,692.5,110205.7,61499.4,662328.3,0.0,0.0,0.0,17.862645,2842.571209,1586.274623,17083.655476,0.0,0.0,0.0,-19.217694,-3058.206942,-1706.608457,-18379.611248,0.0,0.0,0.0,455.442046,72476.749388,40445.082944,435580.228365,0.0,0.0,0.0,21.422247,3409.028279,1902.381559,20488.023109,0.0,0.0,0.0,0.023084,3.673522,2.04998,22.077611,0.0,0.0,0.0,209.397846,33322.516724,18595.369745,200266.010365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.8,36735.2,20499.8,220776.1,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-16.375416,-1884.448473,-14494.892699,0.0,0.0,0.0,0.0,2026.72394,233231.140485,1793978.664864,0.0,0.0,0.0,0.0,156.96,18062.631,138935.025,0.0,0.0,0.0,0.0,2.242,258.038,1984.786,0.0,0.0,0.0,0.0,1872.309,215461.382,1657296.372,0.0,0.0,0.0,0.0,672.7,77411.3,595435.8,0.0,0.0,0.0,0.0,17.691637,2035.916534,15659.962125,0.0,0.0,0.0,0.0,-27.683264,-3185.732007,-24504.168871,0.0,0.0,0.0,0.0,442.654187,50939.71545,391820.58846,0.0,0.0,0.0,0.0,17.669215,2033.336159,15640.114264,0.0,0.0,0.0,0.0,0.022423,2.580376,19.847861,0.0,0.0,0.0,0.0,206.514551,23765.261448,182798.797424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.2,25803.8,198478.6,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-16.375416,-1884.448473,-14494.892699,0.0,0.0,0.0,0.0,2026.72394,233231.140485,1793978.664864,0.0,0.0,0.0,0.0,156.96,18062.631,138935.025,0.0,0.0,0.0,0.0,2.242,258.038,1984.786,0.0,0.0,0.0,0.0,1872.309,215461.382,1657296.372,0.0,0.0,0.0,0.0,672.7,77411.3,595435.8,0.0,0.0,0.0,0.0,17.691637,2035.916534,15659.962125,0.0,0.0,0.0,0.0,-27.683264,-3185.732007,-24504.168871,0.0,0.0,0.0,0.0,442.654187,50939.71545,391820.58846,0.0,0.0,0.0,0.0,17.669215,2033.336159,15640.114264,0.0,0.0,0.0,0.0,0.022423,2.580376,19.847861,0.0,0.0,0.0,0.0,206.514551,23765.261448,182798.797424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.2,25803.8,198478.6,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-51.745104,-720.022201,-7852.757793,-16884.224139,-10694.284466,-3985.911521,0.0,4731.939834,65843.944195,718111.948921,1544013.379928,977961.330554,364500.060502,0.0,376.1,5233.353,57076.374,122719.982,77729.506,28970.889,0.0,5.224,72.685,792.727,1704.444,1079.576,402.373,0.0,4372.164,60837.733,663512.848,1426619.786,903605.502,336786.588,0.0,2089.4,29074.2,317091.0,681777.7,431830.6,160949.4,0.0,28.719421,399.624678,4358.415339,9371.034152,5935.511407,2212.249298,0.0,-68.721844,-956.249957,-10429.121899,-22423.667754,-14202.907978,-5293.625275,0.0,1031.590308,14354.361433,156552.566684,336603.865156,213201.237837,79463.12565,0.0,38.968148,542.233557,5913.746531,12715.153652,8053.640432,3001.706032,0.0,0.104472,1.453709,15.854548,34.088884,21.591529,8.047469,0.0,483.288614,6724.859078,73343.140626,157695.176388,99882.414575,37227.592767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.4,7268.5,79272.7,170444.4,107957.6,40237.3,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-51.745104,-720.022201,-7852.757793,-16884.224139,-10694.284466,-3985.911521,0.0,4731.939834,65843.944195,718111.948921,1544013.379928,977961.330554,364500.060502,0.0,376.1,5233.353,57076.374,122719.982,77729.506,28970.889,0.0,5.224,72.685,792.727,1704.444,1079.576,402.373,0.0,4372.164,60837.733,663512.848,1426619.786,903605.502,336786.588,0.0,2089.4,29074.2,317091.0,681777.7,431830.6,160949.4,0.0,28.719421,399.624678,4358.415339,9371.034152,5935.511407,2212.249298,0.0,-68.721844,-956.249957,-10429.121899,-22423.667754,-14202.907978,-5293.625275,0.0,1031.590308,14354.361433,156552.566684,336603.865156,213201.237837,79463.12565,0.0,38.968148,542.233557,5913.746531,12715.153652,8053.640432,3001.706032,0.0,0.104472,1.453709,15.854548,34.088884,21.591529,8.047469,0.0,483.288614,6724.859078,73343.140626,157695.176388,99882.414575,37227.592767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.4,7268.5,79272.7,170444.4,107957.6,40237.3,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,33.56615,922.219242,4158.677103,16272.626518,0.0,0.0,0.0,3329.912862,91488.291573,412559.449924,1614317.649199,0.0,0.0,0.0,266.309,7316.747,32994.309,129104.535,0.0,0.0,0.0,3.751,103.053,464.709,1818.374,0.0,0.0,0.0,3068.176,84297.166,380131.62,1487429.712,0.0,0.0,0.0,1500.3,41221.1,185883.4,727349.5,0.0,0.0,0.0,35.820397,984.153957,4437.966961,17365.46913,0.0,0.0,0.0,-37.504518,-1030.424651,-4646.621115,-18181.918935,0.0,0.0,0.0,738.699103,20295.521764,91521.102329,358115.977686,0.0,0.0,0.0,34.320066,942.932849,4252.083528,16638.119638,0.0,0.0,0.0,0.037508,1.030528,4.647086,18.183737,0.0,0.0,0.0,340.725116,9361.313665,42214.127618,165181.069716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.1,10305.3,46470.9,181837.4,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,33.56615,922.219242,4158.677103,16272.626518,0.0,0.0,0.0,3329.912862,91488.291573,412559.449924,1614317.649199,0.0,0.0,0.0,266.309,7316.747,32994.309,129104.535,0.0,0.0,0.0,3.751,103.053,464.709,1818.374,0.0,0.0,0.0,3068.176,84297.166,380131.62,1487429.712,0.0,0.0,0.0,1500.3,41221.1,185883.4,727349.5,0.0,0.0,0.0,35.820397,984.153957,4437.966961,17365.46913,0.0,0.0,0.0,-37.504518,-1030.424651,-4646.621115,-18181.918935,0.0,0.0,0.0,738.699103,20295.521764,91521.102329,358115.977686,0.0,0.0,0.0,34.320066,942.932849,4252.083528,16638.119638,0.0,0.0,0.0,0.037508,1.030528,4.647086,18.183737,0.0,0.0,0.0,340.725116,9361.313665,42214.127618,165181.069716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.1,10305.3,46470.9,181837.4,0.0,0.0,0.0
