id,BO-0_MD_BBavg,BO-1_MD_BBavg,BO-2_MD_BBavg,BO-3_MD_BBavg,BO-4_MD_BBavg,BO-5_MD_BBavg,BO-6_MD_BBavg,d-0_MD_BBavg,d-1_MD_BBavg,d-2_MD_BBavg,d-3_MD_BBavg,d-4_MD_BBavg,d-5_MD_BBavg,d-6_MD_BBavg,Nbn-0_MD_BBavg,Nbn-1_MD_BBavg,Nbn-2_MD_BBavg,Nbn-3_MD_BBavg,Nbn-4_MD_BBavg,Nbn-5_MD_BBavg,Nbn-6_MD_BBavg,Nbn_-0_MD_BBavg,Nbn_-1_MD_BBavg,Nbn_-2_MD_BBavg,Nbn_-3_MD_BBavg,Nbn_-4_MD_BBavg,Nbn_-5_MD_BBavg,Nbn_-6_MD_BBavg,BNde-0_MD_BBavg,BNde-1_MD_BBavg,BNde-2_MD_BBavg,BNde-3_MD_BBavg,BNde-4_MD_BBavg,BNde-5_MD_BBavg,BNde-6_MD_BBavg,BNe-0_MD_BBavg,BNe-1_MD_BBavg,BNe-2_MD_BBavg,BNe-3_MD_BBavg,BNe-4_MD_BBavg,BNe-5_MD_BBavg,BNe-6_MD_BBavg,BNocc-0_MD_BBavg,BNocc-1_MD_BBavg,BNocc-2_MD_BBavg,BNocc-3_MD_BBavg,BNocc-4_MD_BBavg,BNocc-5_MD_BBavg,BNocc-6_MD_BBavg,BNs-0_MD_BBavg,BNs-1_MD_BBavg,BNs-2_MD_BBavg,BNs-3_MD_BBavg,BNs-4_MD_BBavg,BNs-5_MD_BBavg,BNs-6_MD_BBavg,BNp-0_MD_BBavg,BNp-1_MD_BBavg,BNp-2_MD_BBavg,BNp-3_MD_BBavg,BNp-4_MD_BBavg,BNp-5_MD_BBavg,BNp-6_MD_BBavg,BNd-0_MD_BBavg,BNd-1_MD_BBavg,BNd-2_MD_BBavg,BNd-3_MD_BBavg,BNd-4_MD_BBavg,BNd-5_MD_BBavg,BNd-6_MD_BBavg,BNde_-0_MD_BBavg,BNde_-1_MD_BBavg,BNde_-2_MD_BBavg,BNde_-3_MD_BBavg,BNde_-4_MD_BBavg,BNde_-5_MD_BBavg,BNde_-6_MD_BBavg,BNe_-0_MD_BBavg,BNe_-1_MD_BBavg,BNe_-2_MD_BBavg,BNe_-3_MD_BBavg,BNe_-4_MD_BBavg,BNe_-5_MD_BBavg,BNe_-6_MD_BBavg,BNocc_-0_MD_BBavg,BNocc_-1_MD_BBavg,BNocc_-2_MD_BBavg,BNocc_-3_MD_BBavg,BNocc_-4_MD_BBavg,BNocc_-5_MD_BBavg,BNocc_-6_MD_BBavg,BNs_-0_MD_BBavg,BNs_-1_MD_BBavg,BNs_-2_MD_BBavg,BNs_-3_MD_BBavg,BNs_-4_MD_BBavg,BNs_-5_MD_BBavg,BNs_-6_MD_BBavg,BNp_-0_MD_BBavg,BNp_-1_MD_BBavg,BNp_-2_MD_BBavg,BNp_-3_MD_BBavg,BNp_-4_MD_BBavg,BNp_-5_MD_BBavg,BNp_-6_MD_BBavg,BNd_-0_MD_BBavg,BNd_-1_MD_BBavg,BNd_-2_MD_BBavg,BNd_-3_MD_BBavg,BNd_-4_MD_BBavg,BNd_-5_MD_BBavg,BNd_-6_MD_BBavg,I-0_MD_BBavg,I-1_MD_BBavg,I-2_MD_BBavg,I-3_MD_BBavg,I-4_MD_BBavg,I-5_MD_BBavg,I-6_MD_BBavg
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.18155,-5.08275,-0.79595,0.0,0.0,0,0.0,3.3509565,21.0411146,3.3603232,0.0,0.0,0,0.0,-5.5,-9.5,-1.5,0.0,0.0,0,0.0,-5.5,-9.5,-1.5,0.0,0.0,0,0.0,-0.43379,0.0,0.0,0.0,0.0,0,0.0,1.724102,4.900623,0.781522,0.0,0.0,0,0.0,-7.102707,-19.425778,-3.054458,0.0,0.0,0,0.0,1.811215,-2.51563,-0.442986,0.0,0.0,0,0.0,-2.771817,-0.15609,0.021007,0.0,0.0,0,0.0,0.959556,2.668225,0.421467,0.0,0.0,0,0.0,-0.693,0.0,0.0,0.0,0.0,0,0.0,0.862327,-1.927643,-0.266793,0.0,0.0,0,0.0,0.83179,4.14755,0.63013,0.0,0.0,0,0.0,1.792815,-2.51548,-0.442986,0.0,0.0,0,0.0,-2.753467,-0.15619,0.021007,0.0,0.0,0,0.0,0.959556,2.668225,0.421467,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.18155,-5.08275,-0.79595,0.0,0.0,0,0.0,3.3509565,21.0411146,3.3603232,0.0,0.0,0,0.0,-5.5,-9.5,-1.5,0.0,0.0,0,0.0,-5.5,-9.5,-1.5,0.0,0.0,0,0.0,-0.43379,0.0,0.0,0.0,0.0,0,0.0,1.724102,4.900623,0.781522,0.0,0.0,0,0.0,-7.102707,-19.425778,-3.054458,0.0,0.0,0,0.0,1.811215,-2.51563,-0.442986,0.0,0.0,0,0.0,-2.771817,-0.15609,0.021007,0.0,0.0,0,0.0,0.959556,2.668225,0.421467,0.0,0.0,0,0.0,-0.693,0.0,0.0,0.0,0.0,0,0.0,0.862327,-1.927643,-0.266793,0.0,0.0,0,0.0,0.83179,4.14755,0.63013,0.0,0.0,0,0.0,1.792815,-2.51548,-0.442986,0.0,0.0,0,0.0,-2.753467,-0.15619,0.021007,0.0,0.0,0,0.0,0.959556,2.668225,0.421467,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,-3.40575,-2.94115,-5.92765,0.0,0.0,0,0.0,3.2640302,5.2032954,18.2473852,0.0,0.0,0,0.0,-4.2,-2.2,-7.2,0.0,0.0,0,0.0,-4.2,-2.2,-7.2,0.0,0.0,0,0.0,-1.066915,0.079245,-0.423535,0.0,0.0,0,0.0,1.475523,4.343663,5.998762,0.0,0.0,0,0.0,-4.897665,-9.285955,-21.502315,0.0,0.0,0,0.0,1.229392,0.695256,-4.203902,0.0,0.0,0,0.0,-2.11288,-2.289444,0.469764,0.0,0.0,0,0.0,0.88267,1.592626,3.730443,0.0,0.0,0,0.0,-1.53346,0.07668,-0.91,0.0,0.0,0,0.0,0.007872,-1.516448,-3.881028,0.0,0.0,0,0.0,-0.244507,1.722072,3.717172,0.0,0.0,0,0.0,1.229392,0.695256,-4.208702,0.0,0.0,0,0.0,-2.11288,-2.289444,0.474564,0.0,0.0,0,0.0,0.88267,1.592626,3.730443,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,-3.40575,-2.94115,-5.92765,0.0,0.0,0,0.0,3.2640302,5.2032954,18.2473852,0.0,0.0,0,0.0,-4.2,-2.2,-7.2,0.0,0.0,0,0.0,-4.2,-2.2,-7.2,0.0,0.0,0,0.0,-1.066915,0.079245,-0.423535,0.0,0.0,0,0.0,1.475523,4.343663,5.998762,0.0,0.0,0,0.0,-4.897665,-9.285955,-21.502315,0.0,0.0,0,0.0,1.229392,0.695256,-4.203902,0.0,0.0,0,0.0,-2.11288,-2.289444,0.469764,0.0,0.0,0,0.0,0.88267,1.592626,3.730443,0.0,0.0,0,0.0,-1.53346,0.07668,-0.91,0.0,0.0,0,0.0,0.007872,-1.516448,-3.881028,0.0,0.0,0,0.0,-0.244507,1.722072,3.717172,0.0,0.0,0,0.0,1.229392,0.695256,-4.208702,0.0,0.0,0,0.0,-2.11288,-2.289444,0.474564,0.0,0.0,0,0.0,0.88267,1.592626,3.730443,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,-4.667,-6.1966,0.0,0.0,0.0,0,0.0,4.2425191,19.9217568,0.0,0.0,0.0,0,0.0,-5.0,-5.0,0.0,0.0,0.0,0,0.0,-5.0,-5.0,0.0,0.0,0.0,0,0.0,-0.34295,0.7124,0.0,0.0,0.0,0,0.0,2.60927,6.05603,0.0,0.0,0.0,0,0.0,-8.15991,-20.52369,0.0,0.0,0.0,0,0.0,1.165956,-5.359535,0.0,0.0,0.0,0,0.0,-2.757438,1.358779,0.0,0.0,0.0,0,0.0,1.590574,3.998859,0.0,0.0,0.0,0,0.0,-0.10806,2.1807,0.0,0.0,0.0,0,0.0,-0.3294,-5.01019,0.0,0.0,0.0,0,0.0,0.69944,3.43979,0.0,0.0,0.0,0,0.0,1.165956,-5.359785,0.0,0.0,0.0,0,0.0,-2.757438,1.359079,0.0,0.0,0.0,0,0.0,1.590574,3.998859,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,-4.667,-6.1966,0.0,0.0,0.0,0,0.0,4.2425191,19.9217568,0.0,0.0,0.0,0,0.0,-5.0,-5.0,0.0,0.0,0.0,0,0.0,-5.0,-5.0,0.0,0.0,0.0,0,0.0,-0.34295,0.7124,0.0,0.0,0.0,0,0.0,2.60927,6.05603,0.0,0.0,0.0,0,0.0,-8.15991,-20.52369,0.0,0.0,0.0,0,0.0,1.165956,-5.359535,0.0,0.0,0.0,0,0.0,-2.757438,1.358779,0.0,0.0,0.0,0,0.0,1.590574,3.998859,0.0,0.0,0.0,0,0.0,-0.10806,2.1807,0.0,0.0,0.0,0,0.0,-0.3294,-5.01019,0.0,0.0,0.0,0,0.0,0.69944,3.43979,0.0,0.0,0.0,0,0.0,1.165956,-5.359785,0.0,0.0,0.0,0,0.0,-2.757438,1.359079,0.0,0.0,0.0,0,0.0,1.590574,3.998859,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.5031,-6.89365,-7.8502,-6.2362,-0.78215,0,0.0,3.511006,9.0338884,17.1614664,10.9812702,3.2002768,0,0.0,-5.0,-10.5,-12.0,-9.0,-1.5,0,0.0,-5.0,-10.5,-12.0,-9.0,-1.5,0,0.0,-0.43293,-1.54904,-0.88934,-0.89236,0.0,0,0.0,1.820705,2.447863,4.572035,2.63756,0.736122,0,0.0,-6.019995,-10.018812,-17.339165,-11.21791,-3.047502,0,0.0,1.097047,1.806487,-0.897958,0.106445,-0.663576,0,0.0,-1.915786,-3.3287,-1.596358,-1.769272,0.247432,0,0.0,0.817932,1.520516,2.491145,1.660763,0.415641,0,0.0,-0.69855,-2.51899,-1.52916,-1.51611,0.0,0,0.0,0.178125,0.396487,-1.421785,-0.76818,-0.417153,0,0.0,0.383895,-0.271208,1.757345,0.87155,0.453782,0,0.0,1.091697,1.806487,-0.897958,0.106445,-0.663576,0,0.0,-1.910436,-3.3287,-1.596358,-1.769272,0.247432,0,0.0,0.817932,1.520516,2.491145,1.660763,0.415641,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,-3.5031,-6.89365,-7.8502,-6.2362,-0.78215,0,0.0,3.511006,9.0338884,17.1614664,10.9812702,3.2002768,0,0.0,-5.0,-10.5,-12.0,-9.0,-1.5,0,0.0,-5.0,-10.5,-12.0,-9.0,-1.5,0,0.0,-0.43293,-1.54904,-0.88934,-0.89236,0.0,0,0.0,1.820705,2.447863,4.572035,2.63756,0.736122,0,0.0,-6.019995,-10.018812,-17.339165,-11.21791,-3.047502,0,0.0,1.097047,1.806487,-0.897958,0.106445,-0.663576,0,0.0,-1.915786,-3.3287,-1.596358,-1.769272,0.247432,0,0.0,0.817932,1.520516,2.491145,1.660763,0.415641,0,0.0,-0.69855,-2.51899,-1.52916,-1.51611,0.0,0,0.0,0.178125,0.396487,-1.421785,-0.76818,-0.417153,0,0.0,0.383895,-0.271208,1.757345,0.87155,0.453782,0,0.0,1.091697,1.806487,-0.897958,0.106445,-0.663576,0,0.0,-1.910436,-3.3287,-1.596358,-1.769272,0.247432,0,0.0,0.817932,1.520516,2.491145,1.660763,0.415641,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,-5.514,-4.5739,-5.6078,0.0,0.0,0,0.0,4.2034653,6.2418081,15.2901156,0.0,0.0,0,0.0,-9.0,-6.0,-10.0,0.0,0.0,0,0.0,-9.0,-6.0,-10.0,0.0,0.0,0,0.0,-1.59554,-0.31187,-0.3651,0.0,0.0,0,0.0,1.452425,3.549105,4.805755,0.0,0.0,0,0.0,-5.783575,-9.847175,-18.040395,0.0,0.0,0,0.0,1.925352,0.82322,-2.224893,0.0,0.0,0,0.0,-2.775367,-2.242078,-0.342051,0.0,0.0,0,0.0,0.849056,1.417076,2.563767,0.0,0.0,0,0.0,-2.3591,-0.51494,-0.49256,0.0,0.0,0,0.0,0.891925,-0.232595,-1.223745,0.0,0.0,0,0.0,-0.683255,1.068315,2.101015,0.0,0.0,0,0.0,1.916002,0.82322,-2.224893,0.0,0.0,0,0.0,-2.765967,-2.242078,-0.342051,0.0,0.0,0,0.0,0.849006,1.417076,2.563767,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,-5.514,-4.5739,-5.6078,0.0,0.0,0,0.0,4.2034653,6.2418081,15.2901156,0.0,0.0,0,0.0,-9.0,-6.0,-10.0,0.0,0.0,0,0.0,-9.0,-6.0,-10.0,0.0,0.0,0,0.0,-1.59554,-0.31187,-0.3651,0.0,0.0,0,0.0,1.452425,3.549105,4.805755,0.0,0.0,0,0.0,-5.783575,-9.847175,-18.040395,0.0,0.0,0,0.0,1.925352,0.82322,-2.224893,0.0,0.0,0,0.0,-2.775367,-2.242078,-0.342051,0.0,0.0,0,0.0,0.849056,1.417076,2.563767,0.0,0.0,0,0.0,-2.3591,-0.51494,-0.49256,0.0,0.0,0,0.0,0.891925,-0.232595,-1.223745,0.0,0.0,0,0.0,-0.683255,1.068315,2.101015,0.0,0.0,0,0.0,1.916002,0.82322,-2.224893,0.0,0.0,0,0.0,-2.765967,-2.242078,-0.342051,0.0,0.0,0,0.0,0.849006,1.417076,2.563767,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
