id,Z-0_FA_AA,Z-1_FA_AA,Z-2_FA_AA,Z-3_FA_AA,Z-4_FA_AA,Z-5_FA_AA,Z-6_FA_AA,I-0_FA_AA,I-1_FA_AA,I-2_FA_AA,I-3_FA_AA,I-4_FA_AA,I-5_FA_AA,I-6_FA_AA,T-0_FA_AA,T-1_FA_AA,T-2_FA_AA,T-3_FA_AA,T-4_FA_AA,T-5_FA_AA,T-6_FA_AA,S-0_FA_AA,S-1_FA_AA,S-2_FA_AA,S-3_FA_AA,S-4_FA_AA,S-5_FA_AA,S-6_FA_AA,chi-0_FA_AA,chi-1_FA_AA,chi-2_FA_AA,chi-3_FA_AA,chi-4_FA_AA,chi-5_FA_AA,chi-6_FA_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,7026.0,9662.0,9784.0,7558.0,3654.0,1614.0,594.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0,190.0,472.0,698.0,848.0,840.0,750.0,450.0,12.104,31.921,50.381,64.636,64.898,44.636,31.862,187.319,378.038,664.315,910.623,1425.963,1024.206,1188.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,6706.0,5706.0,7742.0,10890.0,6506.0,3318.0,2604.0,38.0,78.0,136.0,146.0,192.0,218.0,204.0,214.0,516.0,720.0,860.0,928.0,898.0,980.0,13.054,33.027,48.78,59.336,68.312,60.676,55.451,236.878,507.418,879.06,956.612,1230.76,1444.0,1288.92
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,7728.0,10192.0,10556.0,9408.0,4530.0,2576.0,806.0,33.0,64.0,116.0,160.0,272.0,208.0,236.0,180.0,456.0,708.0,912.0,924.0,680.0,236.0,12.108,29.934,47.011,64.347,67.436,54.368,31.397,187.954,386.932,664.922,939.96,1552.2,1221.782,1174.008
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,7440.0,9608.0,10710.0,14616.0,14660.0,11774.0,7870.0,51.0,108.0,178.0,236.0,272.0,348.0,426.0,286.0,728.0,1080.0,1304.0,1536.0,1860.0,1998.0,20.057,51.056,78.614,100.342,120.151,138.524,139.789,303.384,670.758,1091.411,1397.585,1649.314,2179.511,2589.1
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,6928.0,5708.0,8342.0,11766.0,7176.0,4358.0,3732.0,37.0,76.0,130.0,152.0,188.0,220.0,218.0,206.0,504.0,714.0,856.0,928.0,940.0,886.0,14.144,34.022,49.932,62.023,70.606,70.151,65.512,227.256,493.657,835.163,960.744,1163.677,1400.803,1321.446
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,7180.0,7900.0,11800.0,13800.0,13694.0,11534.0,7920.0,57.0,118.0,200.0,274.0,374.0,436.0,572.0,318.0,810.0,1230.0,1602.0,1932.0,2396.0,2552.0,20.154,51.929,81.833,112.091,135.772,157.253,167.139,326.202,717.734,1188.213,1584.714,2153.624,2640.653,3343.488
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,7714.0,11562.0,10436.0,8058.0,3954.0,1674.0,594.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0,190.0,472.0,698.0,848.0,840.0,750.0,450.0,11.734,30.193,47.602,63.244,63.208,44.19,31.862,191.721,394.586,710.834,928.582,1463.511,1035.294,1188.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,6672.0,8398.0,8714.0,6288.0,2594.0,940.0,230.0,30.0,64.0,118.0,170.0,246.0,164.0,88.0,196.0,578.0,880.0,1056.0,808.0,410.0,148.0,10.937,31.052,49.964,64.612,58.545,30.733,12.09,175.184,398.616,733.151,1028.42,1406.073,903.323,449.636
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,7628.0,11606.0,10550.0,6986.0,2826.0,1010.0,198.0,32.0,62.0,114.0,158.0,266.0,194.0,198.0,176.0,448.0,696.0,884.0,852.0,590.0,198.0,11.141,30.225,47.939,60.979,59.28,38.731,19.028,177.781,358.421,606.363,915.928,1495.309,1097.888,958.32
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,7580.0,10004.0,10032.0,9218.0,5634.0,2932.0,1080.0,35.0,70.0,122.0,154.0,236.0,208.0,224.0,192.0,478.0,716.0,890.0,932.0,896.0,620.0,12.604,32.719,50.179,63.267,69.299,59.54,43.301,200.805,426.48,707.329,913.25,1357.446,1259.304,1230.768
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,7624.0,9766.0,12660.0,16692.0,15564.0,13634.0,9882.0,57.0,118.0,200.0,274.0,374.0,436.0,572.0,318.0,810.0,1230.0,1602.0,1932.0,2396.0,2552.0,21.773,55.516,86.587,116.588,143.606,169.662,181.585,326.312,707.582,1153.418,1581.852,2161.703,2629.319,3357.09
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,7774.0,11694.0,9730.0,8542.0,4812.0,2118.0,898.0,31.0,62.0,114.0,136.0,184.0,134.0,164.0,176.0,436.0,624.0,674.0,644.0,642.0,476.0,11.785,30.339,46.467,54.663,53.539,39.97,30.791,184.195,382.295,682.844,817.723,1091.938,836.591,926.125
