id,Z-0_FR_AA,Z-1_FR_AA,Z-2_FR_AA,Z-3_FR_AA,Z-4_FR_AA,Z-5_FR_AA,Z-6_FR_AA,I-0_FR_AA,I-1_FR_AA,I-2_FR_AA,I-3_FR_AA,I-4_FR_AA,I-5_FR_AA,I-6_FR_AA,T-0_FR_AA,T-1_FR_AA,T-2_FR_AA,T-3_FR_AA,T-4_FR_AA,T-5_FR_AA,T-6_FR_AA,S-0_FR_AA,S-1_FR_AA,S-2_FR_AA,S-3_FR_AA,S-4_FR_AA,S-5_FR_AA,S-6_FR_AA,chi-0_FR_AA,chi-1_FR_AA,chi-2_FR_AA,chi-3_FR_AA,chi-4_FR_AA,chi-5_FR_AA,chi-6_FR_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,34.0,179.3,452.2,1696.2,1067.4,615.1,384.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0,34.0,116.5,173.0,299.0,319.5,318.0,315.0,34.0,83.967,161.123,240.718,340.79,244.408,262.062,34.0,66.814,124.918,159.508,261.058,177.476,234.786
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,38.0,196.9,296.4,411.3,1747.1,562.1,512.6,38.0,78.0,136.0,146.0,192.0,218.0,204.0,38.0,120.8,169.7,207.0,296.2,286.0,271.7,38.0,95.047,155.565,180.486,266.346,264.265,247.617,38.0,79.276,139.348,148.182,195.429,226.834,210.33
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,33.0,186.2,541.5,1756.2,808.9,636.7,503.2,33.0,64.0,116.0,160.0,272.0,208.0,236.0,33.0,106.5,160.5,294.0,346.5,375.5,236.0,33.0,81.083,146.795,242.001,328.414,283.622,267.964,33.0,64.96,117.567,161.331,275.726,211.652,236.483
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,51.0,229.6,428.3,749.2,1433.8,1373.4,1263.2,51.0,108.0,178.0,236.0,272.0,348.0,426.0,51.0,143.7,236.9,316.2,367.8,463.5,590.4,51.0,126.666,213.784,289.924,346.828,445.086,537.805,51.0,109.079,180.243,238.046,274.028,352.549,431.243
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,37.0,188.2,311.7,535.3,1441.7,503.6,579.1,37.0,76.0,130.0,152.0,188.0,220.0,218.0,37.0,113.4,166.7,212.9,272.9,290.5,317.1,37.0,91.272,151.573,187.637,250.298,264.947,278.048,37.0,77.029,132.687,153.86,190.02,224.648,221.518
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,57.0,271.7,484.2,1401.1,1524.4,1482.7,1613.1,57.0,118.0,200.0,274.0,374.0,436.0,572.0,57.0,167.2,266.5,399.3,486.5,602.0,858.2,57.0,141.738,237.878,356.684,466.658,550.719,730.124,57.0,118.985,202.557,275.762,375.768,440.473,577.497
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,34.0,188.2,548.7,1703.6,1159.7,645.3,384.0,34.0,66.0,124.0,158.0,258.0,174.0,234.0,34.0,116.5,173.0,299.0,319.5,318.0,315.0,34.0,84.177,155.588,240.494,334.829,242.439,262.062,34.0,66.947,125.858,159.43,262.017,177.793,234.786
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,30.0,195.6,505.5,1275.3,770.0,369.0,147.3,30.0,64.0,118.0,170.0,246.0,164.0,88.0,30.0,97.7,172.8,299.0,362.4,221.4,108.6,30.0,79.741,144.768,236.388,317.309,198.571,98.86,30.0,64.924,119.812,171.658,249.289,165.999,88.389
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,32.0,184.8,672.7,1799.3,928.6,536.6,198.0,32.0,62.0,114.0,158.0,266.0,194.0,198.0,32.0,104.5,159.8,293.8,346.5,338.0,198.0,32.0,79.691,156.306,244.963,335.221,253.855,198.0,32.0,63.101,114.817,159.729,270.677,197.209,198.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,35.0,194.9,541.1,1187.4,1106.5,779.2,581.8,35.0,70.0,122.0,154.0,236.0,208.0,224.0,35.0,108.7,159.5,251.0,310.7,303.5,364.8,35.0,86.871,153.824,215.272,298.09,277.68,289.057,35.0,70.855,123.472,155.648,237.955,212.33,226.504
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,57.0,263.7,552.7,1333.4,1518.2,1545.0,1773.9,57.0,118.0,200.0,274.0,374.0,436.0,572.0,57.0,167.2,266.5,399.3,486.5,602.0,858.2,57.0,141.162,246.553,354.766,464.107,555.817,746.959,57.0,118.949,201.691,276.02,376.61,440.207,577.513
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,31.0,167.7,532.1,1217.9,942.1,562.7,404.5,31.0,62.0,114.0,136.0,184.0,134.0,164.0,31.0,103.4,157.1,233.0,228.5,210.8,261.7,31.0,77.079,145.707,195.879,240.444,186.013,203.591,31.0,63.01,116.036,137.94,187.439,137.196,167.047
