id,Z-0_FS_AA,Z-1_FS_AA,Z-2_FS_AA,Z-3_FS_AA,Z-4_FS_AA,Z-5_FS_AA,Z-6_FS_AA,I-0_FS_AA,I-1_FS_AA,I-2_FS_AA,I-3_FS_AA,I-4_FS_AA,I-5_FS_AA,I-6_FS_AA,T-0_FS_AA,T-1_FS_AA,T-2_FS_AA,T-3_FS_AA,T-4_FS_AA,T-5_FS_AA,T-6_FS_AA,S-0_FS_AA,S-1_FS_AA,S-2_FS_AA,S-3_FS_AA,S-4_FS_AA,S-5_FS_AA,S-6_FS_AA,chi-0_FS_AA,chi-1_FS_AA,chi-2_FS_AA,chi-3_FS_AA,chi-4_FS_AA,chi-5_FS_AA,chi-6_FS_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,400.0,1320.0,2358.0,4328.0,2662.0,1488.0,828.0,68.0,132.0,248.0,316.0,516.0,348.0,468.0,132.0,380.0,564.0,832.0,864.0,816.0,684.0,35.26,90.1,155.54,218.02,266.54,191.1,175.32,158.76,316.52,573.7,758.32,1212.86,847.68,1054.8
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,424.0,1348.0,1894.0,2676.0,4402.0,1856.0,1608.0,76.0,156.0,272.0,292.0,384.0,436.0,408.0,156.0,428.0,604.0,716.0,892.0,868.0,864.0,40.36,102.48,158.6,186.76,242.52,232.96,214.8,187.56,398.28,692.94,745.04,969.38,1128.48,1032.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,428.0,1398.0,2680.0,4530.0,2342.0,1704.0,1042.0,66.0,128.0,232.0,320.0,544.0,416.0,472.0,128.0,360.0,552.0,864.0,960.0,888.0,472.0,35.02,86.92,145.04,219.24,269.08,225.92,174.44,156.56,315.24,555.34,774.56,1300.0,1011.94,1052.84
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,580.0,1754.0,2776.0,4028.0,5402.0,5050.0,4256.0,102.0,216.0,356.0,472.0,544.0,696.0,852.0,216.0,572.0,884.0,1108.0,1306.0,1624.0,1884.0,58.48,147.62,235.82,306.4,368.34,452.14,500.7,247.44,538.78,882.58,1147.9,1337.34,1743.3,2103.08
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,448.0,1360.0,2032.0,2834.0,3968.0,1976.0,1924.0,74.0,152.0,260.0,304.0,376.0,440.0,436.0,152.0,412.0,596.0,730.0,868.0,906.0,900.0,41.5,102.16,157.72,193.8,238.8,249.2,244.76,182.04,387.66,660.26,763.36,933.78,1113.34,1075.66
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,568.0,1788.0,3060.0,5114.0,5508.0,5320.0,4952.0,114.0,236.0,400.0,548.0,748.0,872.0,1144.0,236.0,636.0,984.0,1368.0,1674.0,2076.0,2536.0,61.66,156.68,252.08,357.96,453.44,537.4,638.44,271.64,582.4,976.7,1317.4,1792.2,2148.16,2769.08
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,420.0,1400.0,2598.0,4408.0,2862.0,1548.0,828.0,68.0,132.0,248.0,316.0,516.0,348.0,468.0,132.0,380.0,564.0,832.0,864.0,816.0,684.0,34.78,88.18,149.78,216.1,261.74,189.66,175.32,160.44,323.24,593.86,765.04,1229.66,852.72,1054.8
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,368.0,1518.0,2428.0,3494.0,1980.0,894.0,318.0,60.0,128.0,236.0,340.0,492.0,328.0,176.0,128.0,392.0,644.0,930.0,936.0,534.0,236.0,32.24,89.08,152.4,220.68,248.64,145.48,66.28,144.1,319.94,588.66,835.7,1177.82,770.8,397.98
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,404.0,1412.0,2822.0,4408.0,2282.0,1204.0,396.0,64.0,124.0,228.0,316.0,532.0,388.0,396.0,124.0,352.0,544.0,848.0,920.0,784.0,396.0,32.7,85.2,149.02,214.7,256.94,185.08,122.76,149.8,299.08,525.4,760.0,1262.28,925.84,871.2
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,432.0,1450.0,2626.0,3730.0,3126.0,2100.0,1304.0,70.0,140.0,244.0,308.0,472.0,416.0,448.0,140.0,384.0,572.0,800.0,924.0,884.0,844.0,37.3,95.04,155.24,207.24,258.44,234.0,209.12,166.7,345.78,587.42,750.38,1130.42,1027.16,1052.24
