id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,Z-4_MA_AA,Z-5_MA_AA,Z-6_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,T-4_MA_AA,T-5_MA_AA,T-6_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,S-4_MA_AA,S-5_MA_AA,S-6_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,chi-4_MA_AA,chi-5_MA_AA,chi-6_MA_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929.0,4081.0,3311.0,1848.0,231.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0,16.0,44.0,104.0,88.0,12.0,0.0,0.0,1.988,5.485,7.177,8.897,1.311,0.0,0.0,4.84,22.198,40.348,92.73,14.52,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,5929.0,2079.0,2695.0,4158.0,1463.0,0.0,0.0,1.0,4.0,5.0,9.0,19.0,0.0,0.0,16.0,36.0,56.0,128.0,76.0,0.0,0.0,1.988,3.892,5.006,9.264,8.305,0.0,0.0,4.84,25.586,33.44,50.49,91.96,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929.0,4081.0,3773.0,2695.0,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0,16.0,48.0,112.0,80.0,0.0,0.0,0.0,1.988,4.709,8.206,9.785,0.0,0.0,0.0,4.84,23.782,45.958,97.636,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929.0,3465.0,2849.0,4389.0,3619.0,1848.0,231.0,1.0,4.0,6.0,11.0,17.0,9.0,3.0,16.0,40.0,68.0,120.0,116.0,60.0,12.0,1.988,4.977,6.148,10.11,10.984,5.71,1.311,4.84,24.068,34.738,61.248,86.9,45.87,14.52
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,5929.0,2002.0,3003.0,4620.0,1694.0,0.0,0.0,1.0,4.0,6.0,10.0,16.0,0.0,0.0,16.0,40.0,64.0,116.0,68.0,0.0,0.0,1.988,4.061,6.091,9.56,7.558,0.0,0.0,4.84,24.596,36.894,54.626,79.288,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,5929.0,2618.0,3773.0,4004.0,3465.0,1848.0,231.0,1.0,4.0,8.0,17.0,15.0,9.0,3.0,16.0,48.0,100.0,128.0,108.0,60.0,12.0,1.988,4.568,8.206,11.576,10.11,5.71,1.311,4.84,22.726,45.958,87.67,77.22,45.87,14.52
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929.0,4851.0,3311.0,1848.0,231.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0,16.0,44.0,104.0,88.0,12.0,0.0,0.0,1.988,5.146,7.177,8.897,1.311,0.0,0.0,4.84,24.046,40.348,92.73,14.52,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,5929.0,3696.0,3080.0,1386.0,77.0,0.0,0.0,1.0,6.0,9.0,13.0,1.0,0.0,0.0,36.0,114.0,138.0,90.0,6.0,0.0,0.0,1.988,6.571,7.459,6.274,0.437,0.0,0.0,4.84,35.882,49.258,63.69,4.84,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,5929.0,4774.0,3388.0,1463.0,0.0,0.0,0.0,1.0,4.0,8.0,19.0,0.0,0.0,0.0,16.0,48.0,108.0,76.0,0.0,0.0,0.0,1.988,5.146,7.614,8.305,0.0,0.0,0.0,4.84,22.792,45.188,91.96,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,5929.0,3927.0,3465.0,2695.0,616.0,0.0,0.0,1.0,4.0,7.0,15.0,8.0,0.0,0.0,16.0,44.0,88.0,100.0,32.0,0.0,0.0,1.988,4.766,7.12,8.925,3.497,0.0,0.0,4.84,21.626,42.504,75.68,38.72,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,5929.0,3311.0,3773.0,5159.0,3465.0,1848.0,231.0,1.0,4.0,8.0,17.0,15.0,9.0,3.0,16.0,48.0,100.0,128.0,108.0,60.0,12.0,1.988,5.048,8.206,12.619,10.11,5.71,1.311,4.84,21.934,45.958,88.506,77.22,45.87,14.52
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929.0,4851.0,2849.0,2464.0,385.0,0.0,0.0,1.0,4.0,6.0,15.0,5.0,0.0,0.0,16.0,40.0,84.0,88.0,20.0,0.0,0.0,1.988,5.146,6.148,8.234,2.186,0.0,0.0,4.84,24.046,34.738,76.868,24.2,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,5929.0,5544.0,2541.0,3388.0,1617.0,77.0,0.0,1.0,4.0,5.0,9.0,16.0,1.0,0.0,16.0,36.0,56.0,112.0,72.0,4.0,0.0,1.988,5.02,5.062,8.079,7.586,0.437,0.0,4.84,23.76,31.284,48.95,78.21,4.84,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,5929.0,4081.0,2310.0,3157.0,847.0,0.0,0.0,1.0,5.0,5.0,14.0,11.0,0.0,0.0,25.0,60.0,95.0,135.0,55.0,0.0,0.0,1.988,5.908,5.146,8.982,4.808,0.0,0.0,4.84,31.636,28.05,73.568,53.24,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,5929.0,2772.0,3003.0,1771.0,616.0,77.0,0.0,1.0,4.0,7.0,13.0,3.0,1.0,0.0,16.0,44.0,80.0,68.0,20.0,4.0,0.0,1.988,4.47,6.514,6.867,1.904,0.437,0.0,4.84,24.684,40.458,64.46,15.29,4.84,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,5929.0,2618.0,3850.0,1463.0,0.0,0.0,0.0,1.0,4.0,8.0,19.0,0.0,0.0,0.0,16.0,48.0,108.0,76.0,0.0,0.0,0.0,1.988,4.568,8.178,8.305,0.0,0.0,0.0,4.84,22.726,47.036,91.96,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,5929.0,1925.0,3157.0,4774.0,1617.0,0.0,0.0,1.0,4.0,6.0,10.0,21.0,0.0,0.0,16.0,40.0,64.0,140.0,84.0,0.0,0.0,1.988,4.089,6.035,10.194,9.179,0.0,0.0,4.84,23.518,39.05,58.058,101.64,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929.0,2079.0,3773.0,2695.0,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0,16.0,48.0,112.0,80.0,0.0,0.0,0.0,1.988,4.033,8.206,9.785,0.0,0.0,0.0,4.84,25.674,45.958,97.636,0.0,0.0,0.0
