id,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,255.0,496.0,1439.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,54.0,9.0,0.0,0.0,0.0,1.75,4.78,20.48,3.3,0.0,0.0,0.0,-1.29,-2.94,-0.35,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,281.0,350.0,639.0,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,57.0,0.0,0.0,0.0,2.88,3.5,6.12,20.9,0.0,0.0,0.0,-2.83,-4.2,-3.15,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,255.0,567.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,60.0,0.0,0.0,0.0,0.0,2.3,5.46,21.26,0.0,0.0,0.0,0.0,-2.01,-3.29,-0.38,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,263.0,425.0,790.0,1262.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,14.0,39.0,21.0,9.0,0.0,2.11,4.1,8.34,16.18,8.64,3.3,0.0,-2.14,-2.59,-3.64,-2.1,-1.05,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,282.0,423.0,710.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,11.0,47.0,0.0,0.0,0.0,2.76,4.14,7.32,17.2,0.0,0.0,0.0,-2.38,-3.57,-2.83,-0.84,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,0.0,274.0,567.0,1257.0,1110.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,36.0,33.0,21.0,9.0,0.0,2.4,5.46,15.76,13.98,8.64,3.3,0.0,-1.53,-3.29,-2.45,-2.1,-1.05,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,245.0,496.0,1439.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,54.0,9.0,0.0,0.0,0.0,1.99,4.78,20.48,3.3,0.0,0.0,0.0,-2.13,-2.94,-0.35,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,0.0,414.0,653.0,983.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,31.0,63.0,5.0,0.0,0.0,0.0,3.8,7.4,13.88,1.1,0.0,0.0,0.0,-3.11,-2.59,-0.35,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,0.0,246.0,572.0,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,57.0,0.0,0.0,0.0,0.0,1.99,5.88,20.9,0.0,0.0,0.0,0.0,-1.56,-2.94,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,0.0,257.0,494.0,1120.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,35.0,24.0,0.0,0.0,0.0,2.26,4.82,14.82,8.8,0.0,0.0,0.0,-1.03,-3.92,-1.4,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,265.0,567.0,1242.0,1110.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,36.0,33.0,21.0,9.0,0.0,2.06,5.46,15.02,13.98,8.64,3.3,0.0,-1.17,-3.29,-2.83,-2.1,-1.05,0.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,0.0,245.0,425.0,1123.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,38.0,15.0,0.0,0.0,0.0,1.99,4.1,15.31,5.5,0.0,0.0,0.0,-2.13,-2.59,-1.94,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,0.0,236.0,352.0,649.0,1211.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,46.0,3.0,0.0,0.0,2.08,3.46,6.96,17.18,1.1,0.0,0.0,-2.0,-3.22,-2.45,-0.35,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,0.0,332.0,355.0,1037.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,43.0,44.0,0.0,0.0,0.0,2.86,3.4,13.37,12.1,0.0,0.0,0.0,-3.38,-1.75,-2.64,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,0.0,272.0,500.0,978.0,223.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,35.0,7.0,3.0,0.0,0.0,2.47,5.25,13.46,2.88,1.1,0.0,0.0,-2.42,-2.99,-0.7,-0.35,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,0.0,274.0,566.0,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,57.0,0.0,0.0,0.0,0.0,2.4,5.48,20.9,0.0,0.0,0.0,0.0,-1.53,-3.78,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,0.0,283.0,421.0,708.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,63.0,0.0,0.0,0.0,2.74,4.18,6.87,23.1,0.0,0.0,0.0,-1.89,-4.55,-4.39,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,0.0,281.0,567.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,60.0,0.0,0.0,0.0,0.0,2.78,5.46,21.26,0.0,0.0,0.0,0.0,-2.87,-3.29,-0.38,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,282.0,494.0,1100.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,30.0,39.0,0.0,0.0,0.0,2.76,4.82,13.66,14.3,0.0,0.0,0.0,-2.38,-3.92,-2.13,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,0.0,248.0,566.0,1181.0,1110.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,33.0,33.0,21.0,9.0,0.0,1.92,5.48,14.66,13.98,8.64,3.3,0.0,-0.67,-3.78,-2.45,-2.1,-1.05,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,0.0,395.0,506.0,591.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,35.0,10.0,0.0,0.0,0.0,3.65,5.62,7.58,2.2,0.0,0.0,0.0,-3.49,-2.24,-2.03,0.0,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,0.0,265.0,428.0,649.0,1211.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,46.0,3.0,0.0,0.0,2.06,4.56,6.96,17.18,1.1,0.0,0.0,-1.07,-3.22,-2.45,-0.35,0.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,0.0,421.0,350.0,644.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,21.0,100.0,0.0,0.0,0.0,4.24,3.5,6.54,22.0,0.0,0.0,0.0,-4.37,-4.2,-2.8,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,0.0,246.0,571.0,1368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,54.0,0.0,0.0,0.0,0.0,1.96,5.93,19.8,0.0,0.0,0.0,0.0,-1.55,-3.34,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,0.0,420.0,351.0,577.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,26.0,50.0,0.0,0.0,0.0,4.26,3.51,6.3,11.0,0.0,0.0,0.0,-4.86,-3.62,-2.59,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,0.0,340.0,355.0,977.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,48.0,8.0,0.0,0.0,0.0,3.31,3.4,13.48,2.2,0.0,0.0,0.0,-4.2,-1.75,-1.19,0.0,0.0,0.0
