id,Z-0_MR_AA,Z-1_MR_AA,Z-2_MR_AA,Z-3_MR_AA,Z-4_MR_AA,Z-5_MR_AA,Z-6_MR_AA,I-0_MR_AA,I-1_MR_AA,I-2_MR_AA,I-3_MR_AA,I-4_MR_AA,I-5_MR_AA,I-6_MR_AA,T-0_MR_AA,T-1_MR_AA,T-2_MR_AA,T-3_MR_AA,T-4_MR_AA,T-5_MR_AA,T-6_MR_AA,S-0_MR_AA,S-1_MR_AA,S-2_MR_AA,S-3_MR_AA,S-4_MR_AA,S-5_MR_AA,S-6_MR_AA,chi-0_MR_AA,chi-1_MR_AA,chi-2_MR_AA,chi-3_MR_AA,chi-4_MR_AA,chi-5_MR_AA,chi-6_MR_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,27.6,88.0,1398.8,231.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0,1.0,8.0,8.0,73.0,12.0,0.0,0.0,1.0,5.949,13.575,83.802,13.645,0.0,0.0,1.0,3.568,5.9,18.863,3.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1.0,47.1,55.0,115.5,1463.0,0.0,0.0,1.0,4.0,5.0,9.0,19.0,0.0,0.0,1.0,8.7,7.3,10.3,76.0,0.0,0.0,1.0,8.268,9.93,17.384,86.419,0.0,0.0,1.0,3.141,3.618,7.765,19.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1.0,37.2,100.8,1467.8,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0,1.0,6.0,10.0,80.0,0.0,0.0,0.0,1.0,7.088,15.506,87.762,0.0,0.0,0.0,1.0,3.319,6.763,19.853,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,33.5,75.2,267.7,924.0,500.5,231.0,1.0,4.0,6.0,11.0,17.0,9.0,3.0,1.0,8.3,8.7,19.7,52.0,28.0,12.0,1.0,6.618,11.643,26.535,61.621,33.085,13.645,1.0,3.287,5.037,9.626,16.176,8.588,3.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,47.7,71.5,248.6,1166.0,0.0,0.0,1.0,4.0,6.0,10.0,16.0,0.0,0.0,1.0,6.7,9.3,19.7,62.0,0.0,0.0,1.0,7.835,11.752,23.96,70.212,0.0,0.0,1.0,3.173,4.759,8.892,15.724,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1.0,41.8,100.8,859.8,770.0,500.5,231.0,1.0,4.0,8.0,17.0,15.0,9.0,3.0,1.0,6.0,11.0,49.0,44.0,28.0,12.0,1.0,7.167,15.506,59.004,52.525,33.085,13.645,1.0,3.454,6.763,16.039,14.176,8.588,3.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,30.7,88.0,1398.8,231.0,0.0,0.0,1.0,4.0,7.0,19.0,3.0,0.0,0.0,1.0,8.0,8.0,73.0,12.0,0.0,0.0,1.0,6.485,13.575,83.802,13.645,0.0,0.0,1.0,3.292,5.9,18.863,3.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1.0,65.3,306.2,936.8,77.0,0.0,0.0,1.0,6.0,9.0,13.0,1.0,0.0,0.0,1.0,12.5,29.5,74.0,6.0,0.0,0.0,1.0,11.109,25.289,56.512,4.548,0.0,0.0,1.0,4.888,8.037,12.863,1.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,1.0,29.9,165.0,1463.0,0.0,0.0,0.0,1.0,4.0,8.0,19.0,0.0,0.0,0.0,1.0,6.0,12.0,76.0,0.0,0.0,0.0,1.0,6.571,18.123,86.419,0.0,0.0,0.0,1.0,3.516,6.9,19.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1.0,40.8,84.3,898.3,616.0,0.0,0.0,1.0,4.0,7.0,15.0,8.0,0.0,0.0,1.0,6.3,9.7,48.7,32.0,0.0,0.0,1.0,6.979,13.684,57.758,36.387,0.0,0.0,1.0,3.597,5.622,14.451,8.0,0.0,0.0
