id,Z-0_MS_AA,Z-1_MS_AA,Z-2_MS_AA,Z-3_MS_AA,Z-4_MS_AA,Z-5_MS_AA,Z-6_MS_AA,I-0_MS_AA,I-1_MS_AA,I-2_MS_AA,I-3_MS_AA,I-4_MS_AA,I-5_MS_AA,I-6_MS_AA,T-0_MS_AA,T-1_MS_AA,T-2_MS_AA,T-3_MS_AA,T-4_MS_AA,T-5_MS_AA,T-6_MS_AA,S-0_MS_AA,S-1_MS_AA,S-2_MS_AA,S-3_MS_AA,S-4_MS_AA,S-5_MS_AA,S-6_MS_AA,chi-0_MS_AA,chi-1_MS_AA,chi-2_MS_AA,chi-3_MS_AA,chi-4_MS_AA,chi-5_MS_AA,chi-6_MS_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,361.0,582.0,1487.0,234.0,0.0,0.0,2.0,8.0,14.0,38.0,6.0,0.0,0.0,8.0,27.0,54.0,98.0,15.0,0.0,0.0,2.82,9.53,14.96,33.1,5.16,0.0,0.0,4.4,18.89,33.74,83.95,13.2,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,154.0,335.0,420.0,747.0,1482.0,0.0,0.0,2.0,8.0,10.0,18.0,38.0,0.0,0.0,8.0,25.0,34.0,68.0,95.0,0.0,0.0,2.82,8.4,10.6,19.26,32.68,0.0,0.0,4.4,20.43,26.2,42.75,83.6,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,154.0,361.0,665.0,1575.0,0.0,0.0,0.0,2.0,8.0,16.0,40.0,0.0,0.0,0.0,8.0,28.0,60.0,100.0,0.0,0.0,0.0,2.82,8.98,17.1,35.14,0.0,0.0,0.0,4.4,19.61,38.49,88.38,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,353.0,499.0,904.0,1356.0,717.0,234.0,2.0,8.0,12.0,22.0,34.0,18.0,6.0,8.0,26.0,41.0,74.0,97.0,51.0,15.0,2.82,9.17,12.82,22.68,31.76,16.74,5.16,4.4,19.74,28.99,52.04,76.9,40.65,13.2
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,154.0,334.0,501.0,830.0,1254.0,0.0,0.0,2.0,8.0,12.0,20.0,32.0,0.0,0.0,8.0,26.0,40.0,69.0,81.0,0.0,0.0,2.82,8.52,12.78,20.88,27.92,0.0,0.0,4.4,19.98,29.97,46.83,71.24,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,154.0,342.0,665.0,1361.0,1200.0,717.0,234.0,2.0,8.0,16.0,34.0,30.0,18.0,6.0,8.0,28.0,57.0,100.0,87.0,51.0,15.0,2.82,8.88,17.1,32.18,28.32,16.74,5.16,4.4,19.13,38.49,77.25,68.1,40.65,13.2
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,371.0,582.0,1487.0,234.0,0.0,0.0,2.0,8.0,14.0,38.0,6.0,0.0,0.0,8.0,27.0,54.0,98.0,15.0,0.0,0.0,2.82,9.29,14.96,33.1,5.16,0.0,0.0,4.4,19.73,33.74,83.95,13.2,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,154.0,510.0,733.0,1019.0,78.0,0.0,0.0,2.0,12.0,18.0,26.0,2.0,0.0,0.0,12.0,55.0,77.0,93.0,7.0,0.0,0.0,2.82,13.12,17.98,22.78,1.72,0.0,0.0,4.4,29.51,42.19,57.55,4.4,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,154.0,370.0,660.0,1482.0,0.0,0.0,0.0,2.0,8.0,16.0,38.0,0.0,0.0,0.0,8.0,28.0,59.0,95.0,0.0,0.0,0.0,2.82,9.29,16.68,32.68,0.0,0.0,0.0,4.4,19.16,38.14,83.6,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,154.0,359.0,584.0,1190.0,624.0,0.0,0.0,2.0,8.0,14.0,30.0,16.0,0.0,0.0,8.0,27.0,50.0,85.0,40.0,0.0,0.0,2.82,9.02,14.92,27.48,13.76,0.0,0.0,4.4,18.63,34.72,67.4,35.2,0.0,0.0
