id,Z-0_FA_AB,Z-1_FA_AB,Z-2_FA_AB,Z-3_FA_AB,Z-4_FA_AB,Z-5_FA_AB,Z-6_FA_AB,I-0_FA_AB,I-1_FA_AB,I-2_FA_AB,I-3_FA_AB,I-4_FA_AB,I-5_FA_AB,I-6_FA_AB,T-0_FA_AB,T-1_FA_AB,T-2_FA_AB,T-3_FA_AB,T-4_FA_AB,T-5_FA_AB,T-6_FA_AB,S-0_FA_AB,S-1_FA_AB,S-2_FA_AB,S-3_FA_AB,S-4_FA_AB,S-5_FA_AB,S-6_FA_AB,chi-0_FA_AB,chi-1_FA_AB,chi-2_FA_AB,chi-3_FA_AB,chi-4_FA_AB,chi-5_FA_AB,chi-6_FA_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,2585.2,4471.7,7220.2,4422.4,2439.6,1306.0,335.9,227.8,438.9,589.8,898.1,636.0,746.2,335.9,666.7,1028.7,1487.9,1534.1,1382.3,1082.1,335.9,162.29,282.37,392.879,458.951,329.172,278.36,104.122,547.663,1020.661,1413.736,2110.774,1529.075,1680.932,738.932
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2502.1,3411.0,4885.0,7934.4,3357.6,2817.9,2556.6,266.6,469.2,548.9,714.8,829.8,721.0,722.7,735.8,1053.8,1368.1,1667.0,1598.7,1512.1,1668.9,179.053,277.196,353.567,447.069,431.702,377.532,378.083,683.581,1199.264,1411.896,1796.47,2125.507,1822.212,1718.284
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,2747.4,5081.8,7652.2,4102.7,2916.4,1644.8,0.0,225.7,413.5,591.3,955.6,776.9,760.4,0.0,639.1,1004.7,1546.9,1732.5,1537.3,760.4,0.0,159.487,265.675,394.125,477.044,399.939,279.352,0.0,558.922,993.701,1433.215,2285.138,1865.955,1695.265,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,3393.5,5206.7,7759.0,10171.4,10285.3,8232.5,6320.2,388.4,659.1,947.9,1084.6,1330.0,1641.1,1738.3,1047.5,1624.9,2283.9,2533.6,3118.7,3629.2,3469.0,272.292,435.16,622.84,712.157,869.438,972.71,906.762,971.955,1631.362,2322.792,2643.837,3324.549,4066.271,4188.375
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2580.0,3819.5,5415.0,7255.4,3702.9,3525.7,2871.9,267.2,456.9,580.6,719.9,840.3,816.7,765.5,724.1,1054.7,1425.3,1650.0,1720.4,1667.2,1372.6,184.151,282.391,376.341,451.871,471.253,452.625,382.384,684.914,1162.471,1469.168,1785.08,2117.295,2010.677,1802.519
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,3414.4,5807.5,9251.9,10107.7,10502.1,9128.5,6958.8,419.1,727.2,1066.7,1417.2,1644.6,2120.7,2356.3,1146.3,1793.9,2682.6,3155.7,3878.7,4705.3,4254.1,285.551,461.516,697.361,849.484,1007.792,1187.865,1111.607,1038.295,1772.912,2577.714,3388.372,4034.721,5143.223,5527.915
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,2738.7,4804.9,7331.0,4717.4,2522.0,1303.9,335.9,226.2,434.2,582.5,894.4,628.6,744.1,335.9,660.4,1016.6,1476.9,1523.0,1372.7,1079.9,335.9,157.482,269.53,384.831,449.054,324.328,277.681,104.123,556.259,1043.67,1410.884,2127.673,1520.359,1676.113,738.939
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,3112.8,5314.1,6693.5,3690.0,1633.0,532.9,62.0,228.7,471.9,718.4,975.6,660.8,312.8,62.0,725.3,1343.3,1930.7,1826.9,1023.7,405.8,62.0,165.804,316.6,463.798,482.263,280.323,115.135,19.22,573.155,1183.895,1775.221,2326.274,1538.292,704.878,136.401
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,2762.0,5215.9,7317.4,3794.4,1951.2,613.8,0.0,214.4,408.7,587.4,920.4,685.7,613.8,0.0,623.1,996.1,1507.8,1606.1,1299.5,613.8,0.0,154.032,270.669,383.693,441.02,313.046,190.29,0.0,517.802,947.789,1412.165,2180.613,1620.603,1350.446,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,2809.2,4929.9,6472.8,5664.4,3756.9,2225.3,593.8,244.9,435.2,582.1,853.2,792.5,784.6,593.8,680.1,1035.2,1487.4,1707.7,1621.8,1446.5,593.8,172.149,281.066,385.874,469.447,430.138,361.202,184.082,606.221,1048.981,1423.944,2050.279,1932.391,1839.187,1306.388
