id,Z-0_FD_AB,Z-1_FD_AB,Z-2_FD_AB,Z-3_FD_AB,Z-4_FD_AB,Z-5_FD_AB,Z-6_FD_AB,I-0_FD_AB,I-1_FD_AB,I-2_FD_AB,I-3_FD_AB,I-4_FD_AB,I-5_FD_AB,I-6_FD_AB,T-0_FD_AB,T-1_FD_AB,T-2_FD_AB,T-3_FD_AB,T-4_FD_AB,T-5_FD_AB,T-6_FD_AB,S-0_FD_AB,S-1_FD_AB,S-2_FD_AB,S-3_FD_AB,S-4_FD_AB,S-5_FD_AB,S-6_FD_AB,chi-0_FD_AB,chi-1_FD_AB,chi-2_FD_AB,chi-3_FD_AB,chi-4_FD_AB,chi-5_FD_AB,chi-6_FD_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1752.2,3098.1,5902.2,3094.9,1596.0,495.8,-11.9,-29.8,-66.9,-115.8,-124.1,-114.0,-44.2,-11.9,342.2,407.1,658.2,397.9,588.0,279.8,-11.9,-92.66,-205.589,-262.802,-498.242,-349.398,-483.268,-235.438,246.97,421.651,547.648,921.238,635.472,835.952,376.922
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1755.4,2371.8,3657.1,6434.2,2116.2,1817.0,1641.3,-32.6,-61.2,-80.9,-108.8,-121.8,-91.0,-68.7,375.4,436.8,615.1,707.2,544.2,623.0,813.3,-112.853,-231.289,-247.052,-330.053,-457.068,-385.991,-376.305,330.847,570.221,651.088,809.497,996.552,881.749,835.815
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1871.3,3606.5,6203.7,2557.4,1779.1,802.6,0.0,-33.7,-65.5,-111.3,-139.6,-152.9,-52.4,0.0,314.3,414.5,704.7,484.4,555.1,-52.4,0.0,-95.277,-195.899,-262.419,-552.011,-438.037,-498.731,0.0,247.203,419.551,570.561,994.369,740.993,818.869,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2242.6,3504.9,5514.1,7441.4,7160.0,5303.9,3649.7,-64.4,-125.1,-170.9,-199.6,-250.0,-288.1,-274.3,469.6,666.9,921.1,979.4,1217.0,1379.9,1201.7,-166.926,-305.38,-438.086,-500.515,-617.473,-832.924,-969.937,419.814,664.76,952.804,1073.165,1374.377,1716.146,1793.513
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1772.8,2591.1,3880.4,5754.1,2258.7,2225.3,1883.5,-39.2,-66.9,-91.6,-119.9,-144.3,-138.7,-99.5,350.8,437.1,616.4,654.1,578.7,593.3,473.5,-114.003,-220.297,-266.089,-341.384,-447.957,-432.314,-422.373,314.247,533.513,654.431,762.106,919.623,863.836,809.937
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,2262.9,3862.8,6928.3,7024.8,7136.4,5694.3,3673.7,-65.1,-127.2,-190.7,-241.2,-309.6,-341.7,-331.3,534.9,748.8,1147.3,1174.8,1559.4,1863.3,1315.7,-184.093,-349.105,-490.347,-713.486,-812.631,-1117.26,-1396.763,454.487,737.825,1047.093,1389.784,1643.379,2197.95,2397.997
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1873.8,3462.8,6029.5,3398.6,1693.4,497.9,-11.9,-28.2,-62.2,-108.5,-120.4,-106.6,-42.1,-11.9,343.8,411.8,665.5,401.6,595.4,281.9,-11.9,-93.955,-209.483,-258.339,-501.774,-344.148,-481.078,-235.441,258.635,456.637,565.071,950.106,650.442,838.142,376.919
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,2048.3,3746.1,5140.6,2285.4,821.2,194.2,-2.0,-36.7,-93.9,-142.4,-165.6,-90.8,-18.8,-2.0,359.3,596.1,859.6,581.4,248.2,71.2,-2.0,-95.058,-221.834,-340.439,-564.392,-413.439,-204.084,-43.401,251.232,473.116,702.811,966.658,672.651,350.166,69.999
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,1903.6,3824.3,6024.6,2502.6,1120.3,-19.8,0.0,-28.4,-66.7,-113.4,-122.4,-103.7,-19.8,0.0,313.6,407.3,684.6,459.6,490.3,-19.8,0.0,-86.604,-185.152,-265.394,-534.986,-408.074,-429.699,0.0,234.216,379.418,552.556,973.024,703.066,692.961,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1930.1,3503.8,5108.9,4108.8,2510.5,1264.4,-32.8,-34.9,-69.2,-105.1,-130.2,-141.5,-97.6,-32.8,331.1,422.8,662.9,574.8,575.5,529.4,-32.8,-102.368,-202.352,-260.371,-455.031,-427.965,-460.007,-419.903,273.742,445.918,584.699,877.569,809.685,833.503,640.387
