id,Z-0_FR_AB,Z-1_FR_AB,Z-2_FR_AB,Z-3_FR_AB,Z-4_FR_AB,Z-5_FR_AB,Z-6_FR_AB,I-0_FR_AB,I-1_FR_AB,I-2_FR_AB,I-3_FR_AB,I-4_FR_AB,I-5_FR_AB,I-6_FR_AB,T-0_FR_AB,T-1_FR_AB,T-2_FR_AB,T-3_FR_AB,T-4_FR_AB,T-5_FR_AB,T-6_FR_AB,S-0_FR_AB,S-1_FR_AB,S-2_FR_AB,S-3_FR_AB,S-4_FR_AB,S-5_FR_AB,S-6_FR_AB,chi-0_FR_AB,chi-1_FR_AB,chi-2_FR_AB,chi-3_FR_AB,chi-4_FR_AB,chi-5_FR_AB,chi-6_FR_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1694.9,3069.5,6064.9,3738.7,2101.7,1191.2,313.3,181.7,336.0,416.2,708.8,464.5,669.1,313.3,517.8,752.3,1125.0,1173.3,1133.5,982.4,313.3,121.19,208.042,293.237,367.872,263.326,251.269,97.123,435.288,775.214,999.674,1665.692,1139.758,1508.47,689.258
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1763.7,2522.2,3779.7,6649.0,2699.0,2350.7,2226.9,214.1,370.2,420.4,542.8,638.6,576.2,605.5,584.3,816.8,1044.2,1281.1,1245.2,1235.7,1441.6,138.749,214.363,271.177,348.118,338.583,308.173,323.889,544.921,941.611,1076.148,1366.071,1653.597,1470.67,1445.495
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1782.4,3497.5,6307.2,3200.9,2354.5,1500.0,0.0,174.2,313.1,423.2,742.6,549.9,671.6,0.0,487.4,736.3,1165.8,1292.6,1221.6,671.6,0.0,115.576,192.949,294.985,365.581,307.21,249.068,0.0,427.787,747.895,1023.77,1774.128,1347.183,1498.533,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2238.6,3602.6,5701.7,7564.6,7448.4,6178.6,4822.8,286.7,462.2,680.8,774.3,942.4,1187.2,1299.6,748.9,1156.2,1635.5,1805.3,2226.5,2664.9,2621.0,192.782,307.763,446.289,512.379,624.074,712.054,684.994,713.426,1147.862,1664.289,1888.116,2361.183,2947.66,3137.937
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1756.2,2656.0,3905.2,5996.2,2766.9,2750.0,2489.2,205.5,350.5,437.1,533.4,618.4,603.5,602.8,556.0,801.0,1067.8,1223.2,1258.8,1261.8,1148.6,135.961,210.789,279.696,337.863,349.478,345.43,316.841,522.418,889.143,1103.197,1314.695,1566.253,1501.108,1430.098
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,2300.6,3953.8,7243.1,7488.3,7782.1,7037.5,5466.1,316.4,526.9,769.7,1043.2,1168.5,1581.3,1826.1,843.3,1296.6,1952.8,2285.5,2827.3,3561.8,3320.1,206.669,331.283,508.602,623.307,734.058,895.881,867.646,778.85,1288.219,1856.137,2487.715,2883.439,3840.875,4289.246
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1797.8,3433.2,6184.3,4034.4,2193.1,1192.1,313.3,182.4,337.9,419.1,710.2,467.4,670.0,313.3,520.3,757.0,1129.2,1177.6,1137.4,983.3,313.3,119.184,201.203,292.441,361.871,262.288,251.549,97.122,445.555,807.694,1014.464,1693.484,1153.723,1510.462,689.254
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1915.0,3652.6,5392.3,3013.5,1386.1,486.6,58.2,172.9,331.6,505.0,727.8,517.6,280.1,58.2,519.6,932.4,1401.1,1413.6,839.6,367.4,58.2,117.804,217.682,334.561,373.705,227.7,103.873,18.038,431.189,828.19,1245.04,1749.118,1214.383,631.851,128.01
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,1810.3,3739.9,6204.0,3210.7,1716.3,576.1,0.0,170.9,307.2,417.3,732.7,529.8,576.1,0.0,478.1,724.5,1150.0,1262.4,1105.8,576.1,0.0,114.487,199.439,290.323,355.535,258.458,178.577,0.0,411.974,705.431,1003.835,1739.855,1270.469,1267.319,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1863.9,3445.4,5242.3,4560.8,3047.1,1935.5,536.5,191.0,328.3,421.9,652.9,579.9,632.5,536.5,519.4,763.3,1115.4,1282.5,1236.0,1233.1,536.5,127.127,207.286,287.619,360.001,330.145,302.888,166.303,471.121,789.66,1031.94,1560.311,1434.482,1493.507,1180.214
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2411.6,4232.2,7332.8,7824.5,8378.4,7971.3,6122.1,315.1,525.7,767.3,1041.4,1163.5,1569.4,1819.3,840.7,1292.9,1949.6,2278.7,2810.3,3542.9,3305.0,211.101,343.723,512.939,633.839,757.168,934.934,896.568,770.012,1262.28,1850.151,2489.301,2862.765,3819.448,4284.963
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1786.7,3238.1,5029.3,3824.2,2241.5,1412.8,531.9,169.2,307.1,371.9,515.6,361.4,469.9,385.0,476.3,692.1,934.5,891.7,850.7,912.6,445.3,114.165,192.033,252.256,283.265,220.595,217.135,129.625,419.452,749.85,916.375,1252.417,912.897,1125.023,863.889
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,1794.0,2797.3,4253.5,6801.0,4838.1,2107.5,1669.6,202.3,352.3,439.5,514.5,554.7,490.4,533.3,554.6,805.2,1054.1,1143.1,1075.4,1070.7,1104.1,133.466,213.015,281.719,330.782,337.71,269.696,259.861,508.723,883.483,1092.669,1247.208,1377.369,1217.637,1256.396
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,1935.5,3052.8,5313.2,5756.0,2963.2,1478.3,825.4,202.4,385.4,521.0,683.8,763.2,573.8,384.7,595.0,941.3,1276.9,1545.4,1426.2,1009.2,565.6,134.928,235.851,324.634,409.938,382.603,247.818,150.06,501.991,946.584,1261.627,1702.567,1863.563,1344.698,896.759
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,1548.8,2740.1,4400.6,2694.3,1728.7,957.3,401.7,157.9,267.0,383.2,535.0,378.5,308.1,207.1,424.9,650.2,965.9,938.0,707.1,554.3,285.5,106.37,174.691,251.608,268.052,199.366,145.472,79.859,391.05,643.955,947.315,1309.802,936.244,731.03,471.448
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1556.8,2848.5,5874.4,2427.2,2036.5,576.1,0.0,170.2,309.5,419.6,729.4,518.7,576.1,0.0,479.7,729.1,1149.0,1248.1,1094.8,576.1,0.0,110.868,185.649,288.566,349.883,277.124,178.581,0.0,416.343,735.253,1010.209,1721.845,1292.56,1267.347,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,1863.5,2826.7,4182.4,7418.1,3194.3,3254.4,3014.0,235.3,414.6,491.0,646.0,774.8,766.3,777.5,649.9,932.3,1230.0,1520.5,1580.2,1607.1,1762.3,151.972,239.3,311.834,407.981,424.408,419.345,413.22,597.846,1045.217,1236.622,1597.489,1947.993,1964.895,1916.328
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1534.2,2669.4,6001.3,2405.4,2366.9,1500.1,0.0,175.3,316.3,428.2,745.7,555.2,671.6,0.0,491.6,744.5,1173.9,1300.8,1226.8,671.6,0.0,111.598,178.857,291.323,352.559,309.185,249.079,0.0,439.296,784.296,1046.521,1808.694,1358.856,1498.593,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1764.3,2857.0,5188.8,5549.5,3062.7,3284.0,1833.7,219.6,400.0,492.9,733.5,693.2,775.6,896.2,619.6,906.4,1278.9,1476.4,1493.4,1733.7,1095.6,140.278,224.807,318.375,403.099,386.909,425.458,335.598,552.075,997.424,1219.094,1778.57,1756.646,1875.924,2010.328
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2537.4,4773.3,7325.4,7902.7,8746.6,7722.1,5573.0,310.6,520.7,761.5,1025.6,1128.5,1486.0,1744.9,831.3,1282.2,1928.0,2227.9,2691.9,3383.8,3178.7,208.368,343.623,508.062,621.364,730.976,872.747,840.01,757.376,1245.922,1831.405,2436.519,2773.835,3616.45,4114.17
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,1867.1,3417.4,4274.6,2925.7,1429.2,576.8,114.7,143.2,262.6,380.5,369.6,300.1,199.3,63.0,421.0,752.1,933.3,783.9,591.0,313.3,71.6,103.813,192.016,258.261,227.061,165.093,89.685,22.985,368.934,683.692,972.691,935.465,748.909,480.301,145.897
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,1810.0,2844.0,3986.8,6150.0,3386.6,2104.4,1674.9,207.1,356.0,452.8,539.2,601.6,581.5,538.8,563.1,822.3,1091.4,1214.8,1221.1,1170.0,1109.5,138.653,220.307,291.755,341.499,356.589,298.083,261.554,513.289,875.794,1106.173,1293.875,1448.251,1418.79,1268.55
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2240.4,3325.6,4449.6,7795.3,4008.5,2358.5,1856.9,240.2,459.3,572.5,770.8,988.1,670.2,591.0,713.8,1121.6,1500.5,1975.2,1960.4,1316.1,1350.5,158.198,271.827,355.252,470.054,515.374,329.825,289.545,616.305,1182.621,1470.105,1939.534,2538.925,1672.292,1388.831
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,1747.6,3527.3,6026.2,3261.6,1639.1,470.2,0.0,165.1,304.0,414.3,715.3,489.7,470.2,0.0,469.1,718.3,1129.6,1205.0,959.9,470.2,0.0,109.947,188.28,288.109,354.183,235.923,145.772,0.0,401.792,720.756,995.818,1682.656,1196.967,1034.513,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,1985.1,2895.7,3588.3,4764.2,2443.7,1295.0,696.9,176.1,316.5,398.1,483.9,539.7,363.5,244.3,506.8,803.7,1016.4,1193.5,1088.6,651.0,432.4,122.255,204.858,259.486,306.405,296.157,179.9,111.099,461.421,841.748,1047.758,1263.121,1427.132,902.256,579.817
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,1686.8,2605.6,4337.8,2543.2,1074.7,664.0,129.8,146.5,264.0,351.0,517.3,249.0,247.4,129.8,417.8,650.2,936.0,859.7,533.5,429.4,129.8,101.809,172.257,233.17,252.78,136.327,108.96,40.239,368.254,659.528,887.104,1311.089,618.231,584.325,285.567
