id,Z-0_FS_AB,Z-1_FS_AB,Z-2_FS_AB,Z-3_FS_AB,Z-4_FS_AB,Z-5_FS_AB,Z-6_FS_AB,I-0_FS_AB,I-1_FS_AB,I-2_FS_AB,I-3_FS_AB,I-4_FS_AB,I-5_FS_AB,I-6_FS_AB,T-0_FS_AB,T-1_FS_AB,T-2_FS_AB,T-3_FS_AB,T-4_FS_AB,T-5_FS_AB,T-6_FS_AB,S-0_FS_AB,S-1_FS_AB,S-2_FS_AB,S-3_FS_AB,S-4_FS_AB,S-5_FS_AB,S-6_FS_AB,chi-0_FS_AB,chi-1_FS_AB,chi-2_FS_AB,chi-3_FS_AB,chi-4_FS_AB,chi-5_FS_AB,chi-6_FS_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,2207.8,3975.9,7081.8,4891.1,2868.0,1988.2,659.9,425.8,810.9,1063.8,1672.1,1158.0,1448.2,659.9,797.8,1284.9,1837.8,2194.1,1860.0,1772.2,659.9,362.96,672.209,916.862,1297.862,922.698,1009.228,436.318,702.59,1299.449,1727.312,2717.342,1907.568,2328.448,1048.678
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2288.6,3310.2,4754.9,7863.8,3775.8,3259.0,3086.7,500.6,877.2,1016.9,1320.8,1537.8,1351.0,1376.7,908.6,1375.2,1712.9,2136.8,2203.8,2065.0,2258.7,420.293,707.089,850.652,1099.493,1202.628,1055.951,1069.065,863.993,1508.599,1748.792,2239.043,2656.248,2323.691,2281.185
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,2322.7,4433.5,7386.3,4468.6,3332.9,2323.4,0.0,417.7,761.5,1071.3,1771.6,1400.9,1468.4,0.0,765.7,1241.5,1887.3,2395.6,2108.9,1468.4,0.0,356.037,631.019,920.139,1359.251,1115.797,1022.051,0.0,698.517,1246.469,1753.119,2905.631,2294.827,2339.651,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,3019.4,4823.1,7409.9,9610.6,9820.0,8586.1,7126.3,712.4,1193.1,1724.9,1969.6,2410.0,2994.1,3202.3,1246.4,1985.1,2816.9,3148.6,3877.0,4662.1,4678.3,609.786,1012.84,1457.786,1668.595,2042.473,2449.264,2506.717,1196.526,1982.98,2848.676,3242.275,4034.323,4998.334,5270.167
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2307.2,3504.9,5041.6,7193.9,3939.3,3858.7,3414.5,495.2,846.9,1069.6,1319.9,1536.3,1494.7,1431.5,885.2,1350.9,1777.6,2093.9,2259.3,2226.7,2004.5,420.483,693.457,895.189,1098.344,1232.637,1201.154,1108.533,848.733,1447.267,1815.709,2201.834,2600.217,2497.304,2340.843
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,3101.1,5317.2,9061.7,9859.2,10425.6,9935.7,8386.3,773.1,1327.2,1942.7,2593.2,2979.6,3899.7,4381.3,1373.1,2203.2,3280.7,4009.2,4848.6,6104.7,6028.3,654.133,1105.345,1643.067,2120.966,2476.491,3124.2,3315.743,1292.713,2192.275,3180.507,4224.236,4932.501,6439.41,7110.503
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,2326.2,4331.2,7194.5,5187.4,2950.6,1986.1,659.9,424.2,806.2,1056.5,1668.4,1150.6,1446.1,659.9,796.2,1280.2,1830.5,2190.4,1852.6,1770.1,659.9,358.495,658.823,906.639,1286.994,913.128,1007.038,436.321,711.085,1324.943,1730.049,2738.874,1907.718,2326.258,1048.681
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,2505.7,4689.9,6577.4,4236.6,2142.8,819.8,122.0,420.7,849.9,1294.4,1785.6,1230.8,606.8,122.0,816.7,1539.9,2296.4,2532.6,1569.8,696.8,122.0,362.298,721.994,1096.319,1386.752,908.199,421.524,80.601,708.588,1416.944,2139.569,2917.802,1994.289,975.774,194.001
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,2332.4,4641.7,7199.4,4343.4,2491.7,1207.8,0.0,400.4,750.7,1061.4,1718.4,1267.7,1207.8,0.0,742.4,1224.7,1859.4,2300.4,1861.7,1207.8,0.0,342.204,632.212,909.494,1305.806,963.314,797.979,0.0,663.024,1196.782,1727.444,2813.816,2074.454,1920.639,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,2419.9,4374.2,6273.1,5815.2,4095.5,2833.6,1154.8,454.9,801.2,1059.1,1576.2,1443.5,1471.6,1154.8,820.9,1293.2,1827.1,2281.2,2160.5,2098.6,1154.8,387.488,668.072,903.751,1251.291,1157.025,1109.147,767.723,763.598,1316.342,1748.821,2583.891,2394.675,2402.657,1828.013
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,3251.4,5666.8,9256.1,10240.4,11158.3,11007.2,9157.6,776.4,1331.8,1951.1,2599.4,2992.3,3927.2,4396.6,1376.4,2207.8,3289.1,4015.4,4861.3,6132.2,6043.6,663.863,1124.847,1658.625,2141.437,2520.093,3199.408,3367.416,1289.903,2173.257,3187.545,4236.907,4937.043,6472.138,7139.676
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2313.4,4122.9,5986.5,4795.1,2923.9,2044.3,977.7,402.4,747.9,946.5,1243.1,919.9,1060.3,824.7,744.4,1185.9,1567.5,1672.1,1447.9,1522.3,887.7,344.607,622.153,806.506,985.16,752.538,787.109,558.065,678.747,1242.313,1565.836,2057.75,1540.248,1760.249,1324.595
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,2343.4,3627.3,5378.7,8040.0,5913.3,2908.1,2432.6,477.4,843.3,1064.7,1251.0,1356.3,1165.1,1238.6,867.4,1347.3,1748.7,1950.0,1932.3,1801.1,1838.6,404.292,690.732,890.233,1044.923,1109.296,919.982,936.346,814.932,1431.732,1792.423,2068.403,2269.546,1962.092,2024.326
