id,Z-0_MA_AB,Z-1_MA_AB,Z-2_MA_AB,Z-3_MA_AB,Z-4_MA_AB,Z-5_MA_AB,Z-6_MA_AB,I-0_MA_AB,I-1_MA_AB,I-2_MA_AB,I-3_MA_AB,I-4_MA_AB,I-5_MA_AB,I-6_MA_AB,T-0_MA_AB,T-1_MA_AB,T-2_MA_AB,T-3_MA_AB,T-4_MA_AB,T-5_MA_AB,T-6_MA_AB,S-0_MA_AB,S-1_MA_AB,S-2_MA_AB,S-3_MA_AB,S-4_MA_AB,S-5_MA_AB,S-6_MA_AB,chi-0_MA_AB,chi-1_MA_AB,chi-2_MA_AB,chi-3_MA_AB,chi-4_MA_AB,chi-5_MA_AB,chi-6_MA_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1303.5,2177.0,4571.3,718.9,0.0,0.0,0.0,16.9,28.3,59.4,9.3,0.0,0.0,0.0,67.7,113.1,237.5,37.3,0.0,0.0,0.0,23.869,39.865,83.708,13.163,0.0,0.0,0.0,37.242,62.201,130.609,20.539,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1232.0,1442.7,2371.4,5217.0,0.0,0.0,0.0,16.0,18.7,30.8,67.8,0.0,0.0,0.0,64.0,74.9,123.2,271.0,0.0,0.0,0.0,22.56,26.418,43.424,95.532,0.0,0.0,0.0,35.2,41.219,67.753,149.057,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1270.4,2522.2,4895.2,0.0,0.0,0.0,0.0,16.5,32.8,63.6,0.0,0.0,0.0,0.0,66.0,131.0,254.3,0.0,0.0,0.0,0.0,23.264,46.185,89.639,0.0,0.0,0.0,0.0,36.298,72.062,139.862,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1283.7,1809.2,2911.6,4840.3,3390.6,716.4,0.0,16.7,23.5,37.8,62.9,44.0,9.3,0.0,66.7,94.0,151.3,251.4,176.1,37.2,0.0,23.507,33.13,53.316,88.633,62.087,13.118,0.0,36.677,51.692,83.188,138.293,96.874,20.467,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1234.9,1836.7,2837.6,4379.7,0.0,0.0,0.0,16.0,23.9,36.9,56.9,0.0,0.0,0.0,64.2,95.4,147.4,227.5,0.0,0.0,0.0,22.613,33.633,51.961,80.199,0.0,0.0,0.0,35.283,52.476,81.075,125.134,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1267.4,2499.4,4230.0,4109.0,3313.7,716.4,0.0,16.5,32.5,54.9,53.4,43.0,9.3,0.0,65.8,129.8,219.7,213.5,172.1,37.2,0.0,23.209,45.768,77.458,75.243,60.679,13.118,0.0,36.213,71.411,120.857,117.4,94.676,20.468,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,1298.5,2121.0,4571.2,718.9,0.0,0.0,0.0,16.9,27.5,59.4,9.3,0.0,0.0,0.0,67.5,110.2,237.5,37.3,0.0,0.0,0.0,23.778,38.84,83.706,13.164,0.0,0.0,0.0,37.101,60.601,130.605,20.54,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,2037.2,3139.8,3388.3,238.7,0.0,0.0,0.0,26.5,40.8,44.0,3.1,0.0,0.0,0.0,158.7,244.7,264.0,18.6,0.0,0.0,0.0,37.305,57.496,62.046,4.371,0.0,0.0,0.0,58.207,89.709,96.809,6.82,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,1279.8,2434.6,4540.1,0.0,0.0,0.0,0.0,16.6,31.6,59.0,0.0,0.0,0.0,0.0,66.5,126.5,235.9,0.0,0.0,0.0,0.0,23.435,44.582,83.138,0.0,0.0,0.0,0.0,36.565,69.561,129.718,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1263.2,2240.7,3676.9,2248.9,0.0,0.0,0.0,16.4,29.1,47.8,29.2,0.0,0.0,0.0,65.6,116.4,191.0,116.8,0.0,0.0,0.0,23.131,41.032,67.33,41.182,0.0,0.0,0.0,36.09,64.021,105.054,64.255,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1276.1,2577.4,4348.1,4031.7,3313.5,716.3,0.0,16.6,33.5,56.5,52.4,43.0,9.3,0.0,66.3,133.9,225.9,209.4,172.1,37.2,0.0,23.368,47.197,79.621,73.828,60.676,13.117,0.0,36.461,73.641,124.232,115.192,94.672,20.466,0.0
