id,Z-0_MD_AB,Z-1_MD_AB,Z-2_MD_AB,Z-3_MD_AB,Z-4_MD_AB,Z-5_MD_AB,Z-6_MD_AB,I-0_MD_AB,I-1_MD_AB,I-2_MD_AB,I-3_MD_AB,I-4_MD_AB,I-5_MD_AB,I-6_MD_AB,T-0_MD_AB,T-1_MD_AB,T-2_MD_AB,T-3_MD_AB,T-4_MD_AB,T-5_MD_AB,T-6_MD_AB,S-0_MD_AB,S-1_MD_AB,S-2_MD_AB,S-3_MD_AB,S-4_MD_AB,S-5_MD_AB,S-6_MD_AB,chi-0_MD_AB,chi-1_MD_AB,chi-2_MD_AB,chi-3_MD_AB,chi-4_MD_AB,chi-5_MD_AB,chi-6_MD_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.1,1588.7,4329.6,683.7,0.0,0.0,0.0,-4.9,-7.3,-2.4,-0.3,0.0,0.0,0.0,31.1,55.7,168.6,26.7,0.0,0.0,0.0,-0.008,1.337,21.002,3.354,0.0,0.0,0.0,9.472,17.927,66.032,10.464,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,908.0,1136.3,2048.2,4783.2,0.0,0.0,0.0,-4.0,-3.7,-3.8,-4.8,0.0,0.0,0.0,32.0,41.3,77.2,184.2,0.0,0.0,0.0,0.92,2.414,7.273,21.077,0.0,0.0,0.0,10.4,14.264,28.603,70.847,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,907.5,1815.2,4556.4,0.0,0.0,0.0,0.0,-4.5,-8.8,-3.6,0.0,0.0,0.0,0.0,31.5,63.2,176.4,0.0,0.0,0.0,0.0,0.421,1.084,21.026,0.0,0.0,0.0,0.0,9.901,20.044,68.426,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.3,1362.5,2503.2,4095.1,2728.0,683.7,0.0,-4.7,-5.5,-4.8,-8.9,-8.0,-0.3,0.0,31.3,48.5,94.2,153.1,100.0,26.7,0.0,0.248,1.884,8.717,13.279,6.727,3.387,0.0,9.728,16.104,34.787,55.939,35.167,10.497,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,908.0,1362.1,2273.1,4101.1,0.0,0.0,0.0,-4.0,-5.9,-6.9,-2.9,0.0,0.0,0.0,32.0,48.1,83.1,159.1,0.0,0.0,0.0,0.882,1.527,5.448,19.261,0.0,0.0,0.0,10.362,15.747,29.148,61.921,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,907.5,1815.5,3872.1,3411.6,2729.0,683.7,0.0,-4.5,-8.5,-3.9,-8.4,-7.0,-0.3,0.0,31.5,63.5,149.1,126.6,101.0,26.7,0.0,0.46,1.38,16.975,10.086,7.725,3.387,0.0,9.94,20.34,57.265,45.636,36.165,10.497,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.1,1589.5,4329.6,683.7,0.0,0.0,0.0,-4.9,-6.5,-2.4,-0.3,0.0,0.0,0.0,31.1,56.5,168.6,26.7,0.0,0.0,0.0,0.056,2.064,21.004,3.353,0.0,0.0,0.0,9.536,18.654,66.034,10.463,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1359.5,2500.2,3190.0,227.9,0.0,0.0,0.0,-8.5,-7.8,-2.0,-0.1,0.0,0.0,0.0,81.5,157.2,208.0,14.9,0.0,0.0,0.0,-1.078,5.753,15.216,1.13,0.0,0.0,0.0,13.142,31.823,48.396,3.5,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,907.4,1816.4,4330.0,0.0,0.0,0.0,0.0,-4.6,-7.6,-2.0,0.0,0.0,0.0,0.0,31.4,64.4,169.0,0.0,0.0,0.0,0.0,0.299,2.221,21.407,0.0,0.0,0.0,0.0,9.779,21.181,66.437,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,907.6,1587.9,3417.2,2049.8,0.0,0.0,0.0,-4.4,-8.1,-2.8,-2.2,0.0,0.0,0.0,31.6,54.9,132.2,78.8,0.0,0.0,0.0,0.515,0.51,15.698,8.863,0.0,0.0,0.0,9.995,17.1,51.248,30.193,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,907.4,1814.5,3870.5,3412.6,2729.0,683.7,0.0,-4.6,-9.5,-5.5,-7.4,-7.0,-0.3,0.0,31.4,62.5,147.5,127.6,101.0,26.7,0.0,0.347,0.367,15.441,11.09,7.727,3.387,0.0,9.827,19.327,55.731,46.64,36.167,10.497,0.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.3,1361.1,3417.4,1367.0,0.0,0.0,0.0,-4.7,-6.9,-2.6,-1.0,0.0,0.0,0.0,31.3,47.1,132.4,53.0,0.0,0.0,0.0,0.184,0.51,15.859,6.368,0.0,0.0,0.0,9.664,14.73,51.409,20.588,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,907.3,1136.3,2046.8,4101.0,227.9,0.0,0.0,-4.7,-3.7,-5.2,-3.0,-0.1,0.0,0.0,31.3,41.3,75.8,159.0,8.9,0.0,0.0,0.186,2.497,5.837,19.144,1.129,0.0,0.0,9.666,14.347,27.167,61.804,3.499,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,1133.4,1362.5,3188.5,2734.3,0.0,0.0,0.0,-6.6,-5.5,-3.5,-1.7,0.0,0.0,0.0,53.4,66.5,164.5,142.3,0.0,0.0,0.0,-0.486,1.847,13.766,13.102,0.0,0.0,0.0,11.364,16.067,46.946,41.542,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,907.7,1591.6,2960.0,911.0,227.9,0.0,0.0,-4.3,-4.4,-4.0,-1.0,-0.1,0.0,0.0,31.7,58.6,113.0,35.0,8.9,0.0,0.0,0.622,4.215,12.018,3.914,1.129,0.0,0.0,10.102,20.805,42.828,13.394,3.499,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,907.5,1815.6,4330.0,0.0,0.0,0.0,0.0,-4.5,-8.4,-2.0,0.0,0.0,0.0,0.0,31.5,63.6,169.0,0.0,0.0,0.0,0.0,0.468,1.457,21.402,0.0,0.0,0.0,0.0,9.948,20.417,66.432,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,908.0,1362.1,2274.9,5239.8,0.0,0.0,0.0,-4.0,-5.9,-5.1,-4.2,0.0,0.0,0.0,32.0,48.1,84.9,202.8,0.0,0.0,0.0,0.882,1.48,7.173,24.094,0.0,0.0,0.0,10.362,15.7,30.873,78.604,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,907.8,1816.6,4556.4,0.0,0.0,0.0,0.0,-4.2,-7.4,-3.6,0.0,0.0,0.0,0.0,31.8,64.6,176.4,0.0,0.0,0.0,0.0,0.69,2.475,21.03,0.0,0.0,0.0,0.0,10.17,21.435,68.43,0.0,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,907.8,1589.4,3415.2,3190.0,0.0,0.0,0.0,-4.2,-6.6,-4.8,-2.0,0.0,0.0,0.0,31.8,56.4,130.2,124.0,0.0,0.0,0.0,0.766,2.024,13.617,15.234,0.0,0.0,0.0,10.246,18.614,49.167,48.414,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,907.3,1814.2,3644.2,3411.6,2730.0,683.7,0.0,-4.7,-9.8,-3.8,-8.4,-6.0,-0.3,0.0,31.3,62.2,140.2,126.6,102.0,26.7,0.0,0.225,0.028,15.847,10.087,8.726,3.387,0.0,9.705,18.988,53.767,45.637,37.166,10.497,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,1359.5,2045.3,2049.2,683.5,0.0,0.0,0.0,-8.5,-6.7,-2.8,-0.5,0.0,0.0,0.0,81.5,128.3,132.2,44.5,0.0,0.0,0.0,-1.089,4.392,8.224,3.194,0.0,0.0,0.0,13.131,25.722,29.554,10.304,0.0,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,907.4,1363.2,2046.8,4101.0,227.9,0.0,0.0,-4.6,-4.8,-5.2,-3.0,-0.1,0.0,0.0,31.4,49.2,75.8,159.0,8.9,0.0,0.0,0.307,2.61,5.822,19.13,1.129,0.0,0.0,9.787,16.83,27.152,61.79,3.499,0.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1360.0,1589.8,2048.3,5012.7,0.0,0.0,0.0,-8.0,-6.2,-3.7,-3.3,0.0,0.0,0.0,82.0,98.8,131.3,326.7,0.0,0.0,0.0,-0.634,2.459,7.407,23.752,0.0,0.0,0.0,13.586,19.049,28.737,75.892,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,907.1,1817.1,4102.1,0.0,0.0,0.0,0.0,-4.9,-6.9,-1.9,0.0,0.0,0.0,0.0,31.1,65.1,160.1,0.0,0.0,0.0,0.0,0.006,2.97,20.199,0.0,0.0,0.0,0.0,9.486,21.93,62.859,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,1360.0,1589.9,1820.4,2733.3,0.0,0.0,0.0,-8.0,-6.1,-3.6,-2.7,0.0,0.0,0.0,82.0,98.9,116.4,177.3,0.0,0.0,0.0,-0.652,2.468,6.223,12.063,0.0,0.0,0.0,13.568,19.058,25.183,40.503,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,1133.8,1363.6,2961.1,683.5,0.0,0.0,0.0,-6.2,-4.4,-2.9,-0.5,0.0,0.0,0.0,53.8,67.6,153.1,35.5,0.0,0.0,0.0,-0.059,2.961,13.086,3.193,0.0,0.0,0.0,11.791,17.181,43.896,10.303,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,907.7,1591.6,2274.5,3640.0,2956.9,683.7,0.0,-4.3,-4.4,-5.5,-8.0,-7.1,-0.3,0.0,31.7,58.6,84.5,136.0,109.9,26.7,0.0,0.616,4.193,6.832,11.644,8.856,3.387,0.0,10.096,20.783,30.532,49.564,39.666,10.497,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,907.6,1588.3,3187.4,3418.2,0.0,0.0,0.0,-4.4,-7.7,-4.6,-1.8,0.0,0.0,0.0,31.6,55.3,121.4,133.2,0.0,0.0,0.0,0.569,0.898,12.615,16.638,0.0,0.0,0.0,10.049,17.488,45.795,52.188,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,907.1,1588.7,2731.1,5456.0,5459.9,1367.4,0.0,-4.9,-7.3,-4.9,-16.0,-12.1,-0.6,0.0,31.1,55.7,103.1,200.0,203.9,53.4,0.0,-0.004,1.358,9.832,13.474,17.458,6.774,0.0,9.476,17.948,38.272,70.354,74.338,20.994,0.0
