id,Z-0_MR_AB,Z-1_MR_AB,Z-2_MR_AB,Z-3_MR_AB,Z-4_MR_AB,Z-5_MR_AB,Z-6_MR_AB,I-0_MR_AB,I-1_MR_AB,I-2_MR_AB,I-3_MR_AB,I-4_MR_AB,I-5_MR_AB,I-6_MR_AB,T-0_MR_AB,T-1_MR_AB,T-2_MR_AB,T-3_MR_AB,T-4_MR_AB,T-5_MR_AB,T-6_MR_AB,S-0_MR_AB,S-1_MR_AB,S-2_MR_AB,S-3_MR_AB,S-4_MR_AB,S-5_MR_AB,S-6_MR_AB,chi-0_MR_AB,chi-1_MR_AB,chi-2_MR_AB,chi-3_MR_AB,chi-4_MR_AB,chi-5_MR_AB,chi-6_MR_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,755.7,1340.7,4231.0,669.7,0.0,0.0,0.0,9.8,17.4,54.9,8.7,0.0,0.0,0.0,39.3,69.6,219.8,34.8,0.0,0.0,0.0,13.838,24.55,77.476,12.264,0.0,0.0,0.0,21.59,38.306,120.885,19.136,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,770.4,1005.1,1873.6,4592.3,0.0,0.0,0.0,10.0,13.1,24.3,59.6,0.0,0.0,0.0,40.0,52.2,97.3,238.6,0.0,0.0,0.0,14.108,18.405,34.31,84.093,0.0,0.0,0.0,22.012,28.716,53.533,131.209,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,762.3,1529.7,4415.8,0.0,0.0,0.0,0.0,9.9,19.9,57.3,0.0,0.0,0.0,0.0,39.6,79.5,229.4,0.0,0.0,0.0,0.0,13.959,28.011,80.861,0.0,0.0,0.0,0.0,21.78,43.705,126.166,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,759.6,1174.0,2290.3,3737.6,2404.0,671.8,0.0,9.9,15.2,29.7,48.5,31.2,8.7,0.0,39.5,61.0,119.0,194.2,124.9,34.9,0.0,13.909,21.498,41.939,68.441,44.022,12.301,0.0,21.702,33.542,65.437,106.787,68.686,19.194,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,769.6,1175.4,1988.2,3977.0,0.0,0.0,0.0,10.0,15.3,25.8,51.6,0.0,0.0,0.0,40.0,61.1,103.3,206.6,0.0,0.0,0.0,14.094,21.524,36.408,72.825,0.0,0.0,0.0,21.99,33.584,56.807,113.627,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,762.4,1535.6,3696.3,3074.0,2442.5,671.8,0.0,9.9,19.9,48.0,39.9,31.7,8.7,0.0,39.6,79.8,192.0,159.7,126.9,34.9,0.0,13.96,28.12,67.685,56.291,44.726,12.301,0.0,21.782,43.876,105.608,87.829,69.785,19.194,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,756.7,1363.5,4231.1,669.7,0.0,0.0,0.0,9.8,17.7,54.9,8.7,0.0,0.0,0.0,39.3,70.8,219.8,34.8,0.0,0.0,0.0,13.856,24.968,77.479,12.263,0.0,0.0,0.0,21.62,38.957,120.889,19.134,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1122.1,2203.3,3106.3,224.0,0.0,0.0,0.0,14.6,28.6,40.3,2.9,0.0,0.0,0.0,87.4,171.7,242.0,17.5,0.0,0.0,0.0,20.547,40.346,56.881,4.102,0.0,0.0,0.0,32.06,62.951,88.751,6.4,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,760.6,1565.3,4252.4,0.0,0.0,0.0,0.0,9.9,20.3,55.2,0.0,0.0,0.0,0.0,39.5,81.3,220.9,0.0,0.0,0.0,0.0,13.927,28.664,77.869,0.0,0.0,0.0,0.0,21.73,44.724,121.497,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,763.9,1330.1,3299.4,1961.4,0.0,0.0,0.0,9.9,17.3,42.8,25.5,0.0,0.0,0.0,39.7,69.1,171.4,101.9,0.0,0.0,0.0,13.988,24.356,60.417,35.916,0.0,0.0,0.0,21.825,38.003,94.268,56.039,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,761.0,1507.7,3634.5,3112.7,2442.6,671.8,0.0,9.9,19.6,47.2,40.4,31.7,8.7,0.0,39.5,78.3,188.8,161.7,126.9,34.9,0.0,13.936,27.609,66.553,56.999,44.728,12.302,0.0,21.744,43.078,103.842,88.934,69.788,19.195,0.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,758.8,1126.8,3306.2,1323.4,0.0,0.0,0.0,9.9,14.6,42.9,17.2,0.0,0.0,0.0,39.4,58.5,171.8,68.8,0.0,0.0,0.0,13.895,20.633,60.543,24.234,0.0,0.0,0.0,21.68,32.194,94.464,37.813,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,760.3,1008.6,1825.2,3972.3,224.0,0.0,0.0,9.9,13.1,23.7,51.6,2.9,0.0,0.0,39.5,52.4,94.8,206.4,11.6,0.0,0.0,13.922,18.469,33.422,72.739,4.101,0.0,0.0,21.723,28.817,52.148,113.494,6.399,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,939.9,1148.1,3039.2,2664.7,0.0,0.0,0.0,12.2,14.9,39.5,34.6,0.0,0.0,0.0,61.0,74.6,197.3,173.0,0.0,0.0,0.0,17.211,21.023,55.653,48.795,0.0,0.0,0.0,26.855,32.802,86.834,76.134,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,765.4,1422.4,2800.3,865.8,224.0,0.0,0.0,9.9,18.5,36.4,11.2,2.9,0.0,0.0,39.8,73.9,145.5,45.0,11.6,0.0,0.0,14.016,26.047,51.279,15.854,4.101,0.0,0.0,21.869,40.641,80.01,24.737,6.399,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,762.6,1538.6,4252.1,0.0,0.0,0.0,0.0,9.9,20.0,55.2,0.0,0.0,0.0,0.0,39.6,79.9,220.9,0.0,0.0,0.0,0.0,13.965,28.174,77.864,0.0,0.0,0.0,0.0,21.789,43.96,121.49,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,769.6,1173.4,2048.3,5067.9,0.0,0.0,0.0,10.0,15.2,26.6,65.8,0.0,0.0,0.0,40.0,61.0,106.4,263.3,0.0,0.0,0.0,14.093,21.486,37.507,92.802,0.0,0.0,0.0,21.99,33.524,58.522,144.797,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,766.4,1566.2,4416.0,0.0,0.0,0.0,0.0,10.0,20.3,57.4,0.0,0.0,0.0,0.0,39.8,81.4,229.4,0.0,0.0,0.0,0.0,14.035,28.68,80.865,0.0,0.0,0.0,0.0,21.898,44.75,126.172,0.0,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,767.9,1371.7,3210.1,3106.7,0.0,0.0,0.0,10.0,17.8,41.7,40.3,0.0,0.0,0.0,39.9,71.3,166.8,161.4,0.0,0.0,0.0,14.062,25.118,58.782,56.889,0.0,0.0,0.0,21.941,39.191,91.717,88.763,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,759.0,1501.4,3472.3,3074.0,2481.0,671.8,0.0,9.9,19.5,45.1,39.9,32.2,8.7,0.0,39.4,78.0,180.4,159.7,128.9,34.9,0.0,13.898,27.493,63.583,56.291,45.432,12.302,0.0,21.685,42.897,99.208,87.829,70.886,19.194,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,1122.8,1796.5,1930.0,663.6,0.0,0.0,0.0,14.6,23.3,25.1,8.6,0.0,0.0,0.0,87.5,140.0,150.4,51.7,0.0,0.0,0.0,20.561,32.897,35.342,12.151,0.0,0.0,0.0,32.08,51.329,55.143,18.96,0.0,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,760.4,1194.7,1824.5,3971.6,224.0,0.0,0.0,9.9,15.5,23.7,51.6,2.9,0.0,0.0,39.5,62.1,94.8,206.3,11.6,0.0,0.0,13.923,21.877,33.41,72.727,4.101,0.0,0.0,21.724,34.135,52.129,113.475,6.399,0.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1128.5,1362.9,1884.7,4873.5,0.0,0.0,0.0,14.7,17.7,24.5,63.3,0.0,0.0,0.0,87.9,106.2,146.9,379.8,0.0,0.0,0.0,20.665,24.956,34.512,89.243,0.0,0.0,0.0,32.243,38.939,53.848,139.244,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,756.0,1576.1,4023.1,0.0,0.0,0.0,0.0,9.8,20.5,52.2,0.0,0.0,0.0,0.0,39.3,81.9,209.0,0.0,0.0,0.0,0.0,13.844,28.861,73.67,0.0,0.0,0.0,0.0,21.6,45.032,114.946,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,1128.4,1363.8,1663.2,2625.3,0.0,0.0,0.0,14.7,17.7,21.6,34.1,0.0,0.0,0.0,87.9,106.3,129.6,204.6,0.0,0.0,0.0,20.664,24.974,30.457,48.074,0.0,0.0,0.0,32.241,38.967,47.521,75.009,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,946.6,1189.6,2841.9,663.5,0.0,0.0,0.0,12.3,15.4,36.9,8.6,0.0,0.0,0.0,61.5,77.2,184.5,43.1,0.0,0.0,0.0,17.334,21.784,52.04,12.15,0.0,0.0,0.0,27.047,33.989,81.197,18.958,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,765.3,1422.1,2040.2,3308.4,2666.5,671.8,0.0,9.9,18.5,26.5,43.0,34.6,8.7,0.0,39.8,73.9,106.0,171.9,138.5,34.9,0.0,14.014,26.041,37.36,60.582,48.829,12.302,0.0,21.866,40.632,58.292,94.525,76.187,19.194,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,764.2,1341.0,2991.6,3344.3,0.0,0.0,0.0,9.9,17.4,38.9,43.4,0.0,0.0,0.0,39.7,69.7,155.4,173.7,0.0,0.0,0.0,13.993,24.557,54.782,61.24,0.0,0.0,0.0,21.834,38.315,85.475,95.551,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,755.8,1342.5,2503.0,4809.0,4962.3,1343.6,0.0,9.8,17.4,32.5,62.5,64.4,17.4,0.0,39.3,69.7,130.0,249.8,257.8,69.8,0.0,13.839,24.583,45.834,88.062,90.869,24.604,0.0,21.593,38.356,71.515,137.401,141.781,38.389,0.0
