id,Z-0_MS_AB,Z-1_MS_AB,Z-2_MS_AB,Z-3_MS_AB,Z-4_MS_AB,Z-5_MS_AB,Z-6_MS_AB,I-0_MS_AB,I-1_MS_AB,I-2_MS_AB,I-3_MS_AB,I-4_MS_AB,I-5_MS_AB,I-6_MS_AB,T-0_MS_AB,T-1_MS_AB,T-2_MS_AB,T-3_MS_AB,T-4_MS_AB,T-5_MS_AB,T-6_MS_AB,S-0_MS_AB,S-1_MS_AB,S-2_MS_AB,S-3_MS_AB,S-4_MS_AB,S-5_MS_AB,S-6_MS_AB,chi-0_MS_AB,chi-1_MS_AB,chi-2_MS_AB,chi-3_MS_AB,chi-4_MS_AB,chi-5_MS_AB,chi-6_MS_AB
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.9,1645.3,4448.4,702.3,0.0,0.0,0.0,28.9,49.3,116.4,18.3,0.0,0.0,0.0,64.9,112.3,287.4,45.3,0.0,0.0,0.0,33.848,57.883,139.738,22.026,0.0,0.0,0.0,43.328,74.473,184.768,29.136,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,940.0,1173.7,2109.8,4918.8,0.0,0.0,0.0,28.0,33.7,57.8,130.8,0.0,0.0,0.0,64.0,78.7,138.8,319.8,0.0,0.0,0.0,32.92,39.886,68.867,156.583,0.0,0.0,0.0,42.4,51.736,90.197,206.353,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,940.5,1880.8,4683.6,0.0,0.0,0.0,0.0,28.5,56.8,123.6,0.0,0.0,0.0,0.0,64.5,128.8,303.6,0.0,0.0,0.0,0.0,33.419,66.596,148.174,0.0,0.0,0.0,0.0,42.899,85.556,195.574,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.7,1409.5,2578.8,4220.9,2816.0,702.3,0.0,28.7,41.5,70.8,116.9,80.0,18.3,0.0,64.7,95.5,169.8,278.9,188.0,45.3,0.0,33.592,48.876,84.343,139.001,94.793,21.993,0.0,43.072,63.096,110.413,181.661,123.233,29.103,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,940.0,1409.9,2346.9,4214.9,0.0,0.0,0.0,28.0,41.9,66.9,110.9,0.0,0.0,0.0,64.0,95.9,156.9,272.9,0.0,0.0,0.0,32.958,49.233,79.152,133.019,0.0,0.0,0.0,42.438,63.453,102.852,175.679,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,940.5,1880.5,3981.9,3518.4,2815.0,702.3,0.0,28.5,56.5,105.9,98.4,79.0,18.3,0.0,64.5,128.5,258.9,233.4,187.0,45.3,0.0,33.38,66.3,126.845,116.814,93.795,21.993,0.0,42.86,85.26,167.135,152.364,122.235,29.103,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.9,1644.5,4448.4,702.3,0.0,0.0,0.0,28.9,48.5,116.4,18.3,0.0,0.0,0.0,64.9,111.5,287.4,45.3,0.0,0.0,0.0,33.784,57.156,139.736,22.027,0.0,0.0,0.0,43.264,73.746,184.766,29.137,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,1412.5,2581.8,3278.0,234.1,0.0,0.0,0.0,44.5,73.8,86.0,6.1,0.0,0.0,0.0,134.5,238.8,296.0,21.1,0.0,0.0,0.0,51.838,87.307,103.224,7.33,0.0,0.0,0.0,66.058,113.377,136.404,9.7,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,940.6,1879.6,4448.0,0.0,0.0,0.0,0.0,28.6,55.6,116.0,0.0,0.0,0.0,0.0,64.6,127.6,287.0,0.0,0.0,0.0,0.0,33.541,65.459,139.333,0.0,0.0,0.0,0.0,43.021,84.419,184.363,0.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,940.4,1646.1,3512.8,2108.2,0.0,0.0,0.0,28.4,50.1,92.8,56.2,0.0,0.0,0.0,64.4,113.1,227.8,137.2,0.0,0.0,0.0,33.325,58.71,111.202,67.277,0.0,0.0,0.0,42.805,75.3,146.752,88.607,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,940.6,1881.5,3983.5,3517.4,2815.0,702.3,0.0,28.6,57.5,107.5,97.4,79.0,18.3,0.0,64.6,129.5,260.5,232.4,187.0,45.3,0.0,33.493,67.313,128.379,115.81,93.793,21.993,0.0,42.973,86.273,168.669,151.36,122.233,29.103,0.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.7,1410.9,3512.6,1405.0,0.0,0.0,0.0,28.7,42.9,92.6,37.0,0.0,0.0,0.0,64.7,96.9,227.6,91.0,0.0,0.0,0.0,33.656,50.25,111.041,44.392,0.0,0.0,0.0,43.136,64.47,146.591,58.612,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,940.7,1173.7,2111.2,4215.0,234.1,0.0,0.0,28.7,33.7,59.2,111.0,6.1,0.0,0.0,64.7,78.7,140.2,273.0,15.1,0.0,0.0,33.654,39.803,70.303,133.136,7.331,0.0,0.0,43.134,51.653,91.633,175.796,9.701,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,1176.6,1409.5,3279.5,2809.7,0.0,0.0,0.0,36.6,41.5,87.5,73.7,0.0,0.0,0.0,96.6,113.5,255.5,217.7,0.0,0.0,0.0,42.786,48.913,104.674,88.418,0.0,0.0,0.0,54.636,63.133,137.854,116.858,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,940.3,1642.4,3046.0,937.0,234.1,0.0,0.0,28.3,46.4,82.0,25.0,6.1,0.0,0.0,64.3,109.4,199.0,61.0,15.1,0.0,0.0,33.218,55.005,97.962,29.926,7.331,0.0,0.0,42.698,71.595,128.772,39.406,9.701,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,940.5,1880.4,4448.0,0.0,0.0,0.0,0.0,28.5,56.4,116.0,0.0,0.0,0.0,0.0,64.5,128.4,287.0,0.0,0.0,0.0,0.0,33.372,66.223,139.338,0.0,0.0,0.0,0.0,42.852,85.183,184.368,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,940.0,1409.9,2345.1,5386.2,0.0,0.0,0.0,28.0,41.9,65.1,142.2,0.0,0.0,0.0,64.0,95.9,155.1,349.2,0.0,0.0,0.0,32.958,49.28,77.427,170.486,0.0,0.0,0.0,42.438,63.5,101.127,224.996,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,940.2,1879.4,4683.6,0.0,0.0,0.0,0.0,28.2,55.4,123.6,0.0,0.0,0.0,0.0,64.2,127.4,303.6,0.0,0.0,0.0,0.0,33.15,65.205,148.17,0.0,0.0,0.0,0.0,42.63,84.165,195.57,0.0,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,940.2,1644.6,3514.8,3278.0,0.0,0.0,0.0,28.2,48.6,94.8,86.0,0.0,0.0,0.0,64.2,111.6,229.8,212.0,0.0,0.0,0.0,33.074,57.196,113.283,103.206,0.0,0.0,0.0,42.554,73.786,148.833,136.386,0.0,0.0,0.0
