,BO-0_FA_BB,BO-0_FD_BB,BO-0_FR_BB,BO-0_FS_BB,BO-0_MA_BB,BO-0_MA_BBavg,BO-0_MD_BB,BO-0_MD_BBavg,BO-0_MR_BB,BO-0_MR_BBavg,BO-0_MS_BB,BO-0_MS_BBavg,BO-1_FA_BB,BO-1_FD_BB,BO-1_FR_BB,BO-1_FS_BB,BO-1_MA_BB,BO-1_MA_BBavg,BO-1_MD_BB,BO-1_MD_BBavg,BO-1_MR_BB,BO-1_MR_BBavg,BO-1_MS_BB,BO-1_MS_BBavg,BO-2_FA_BB,BO-2_FD_BB,BO-2_FR_BB,BO-2_FS_BB,BO-2_MA_BB,BO-2_MA_BBavg,BO-2_MD_BB,BO-2_MD_BBavg,BO-2_MR_BB,BO-2_MR_BBavg,BO-2_MS_BB,BO-2_MS_BBavg,BO-3_FA_BB,BO-3_FD_BB,BO-3_FR_BB,BO-3_FS_BB,BO-3_MA_BB,BO-3_MA_BBavg,BO-3_MD_BB,BO-3_MD_BBavg,BO-3_MR_BB,BO-3_MR_BBavg,BO-3_MS_BB,BO-3_MS_BBavg,BO-4_FA_BB,BO-4_FD_BB,BO-4_FR_BB,BO-4_FS_BB,BO-4_MA_BB,BO-4_MA_BBavg,BO-4_MD_BB,BO-4_MD_BBavg,BO-4_MR_BB,BO-4_MR_BBavg,BO-4_MS_BB,BO-4_MS_BBavg,BO-5_FA_BB,BO-5_FD_BB,BO-5_FR_BB,BO-5_FS_BB,BO-5_MA_BB,BO-5_MA_BBavg,BO-5_MD_BB,BO-5_MD_BBavg,BO-5_MR_BB,BO-5_MR_BBavg,BO-5_MS_BB,BO-5_MS_BBavg,BO-6_FA_BB,BO-6_FD_BB,BO-6_FR_BB,BO-6_FS_BB,BO-6_MA_BB,BO-6_MA_BBavg,BO-6_MD_BB,BO-6_MD_BBavg,BO-6_MR_BB,BO-6_MR_BBavg,BO-6_MS_BB,BO-6_MS_BBavg,I-0_FA_BB,I-0_FD_BB,I-0_FR_BB,I-0_FS_BB,I-0_MA_BB,I-0_MA_BBavg,I-0_MD_BB,I-0_MD_BBavg,I-0_MR_BB,I-0_MR_BBavg,I-0_MS_BB,I-0_MS_BBavg,I-1_FA_BB,I-1_FD_BB,I-1_FR_BB,I-1_FS_BB,I-1_MA_BB,I-1_MA_BBavg,I-1_MD_BB,I-1_MD_BBavg,I-1_MR_BB,I-1_MR_BBavg,I-1_MS_BB,I-1_MS_BBavg,I-2_FA_BB,I-2_FD_BB,I-2_FR_BB,I-2_FS_BB,I-2_MA_BB,I-2_MA_BBavg,I-2_MD_BB,I-2_MD_BBavg,I-2_MR_BB,I-2_MR_BBavg,I-2_MS_BB,I-2_MS_BBavg,I-3_FA_BB,I-3_FD_BB,I-3_FR_BB,I-3_FS_BB,I-3_MA_BB,I-3_MA_BBavg,I-3_MD_BB,I-3_MD_BBavg,I-3_MR_BB,I-3_MR_BBavg,I-3_MS_BB,I-3_MS_BBavg,I-4_FA_BB,I-4_FD_BB,I-4_FR_BB,I-4_FS_BB,I-4_MA_BB,I-4_MA_BBavg,I-4_MD_BB,I-4_MD_BBavg,I-4_MR_BB,I-4_MR_BBavg,I-4_MS_BB,I-4_MS_BBavg,I-5_FA_BB,I-5_FD_BB,I-5_FR_BB,I-5_FS_BB,I-5_MA_BB,I-5_MA_BBavg,I-5_MD_BB,I-5_MD_BBavg,I-5_MR_BB,I-5_MR_BBavg,I-5_MS_BB,I-5_MS_BBavg,I-6_FA_BB,I-6_FD_BB,I-6_FR_BB,I-6_FS_BB,I-6_MA_BB,I-6_MA_BBavg,I-6_MD_BB,I-6_MD_BBavg,I-6_MR_BB,I-6_MR_BBavg,I-6_MS_BB,I-6_MS_BBavg,d-0_FA_BB,d-0_FD_BB,d-0_FR_BB,d-0_FS_BB,d-0_MA_BB,d-0_MA_BBavg,d-0_MD_BB,d-0_MD_BBavg,d-0_MR_BB,d-0_MR_BBavg,d-0_MS_BB,d-0_MS_BBavg,d-1_FA_BB,d-1_FD_BB,d-1_FR_BB,d-1_FS_BB,d-1_MA_BB,d-1_MA_BBavg,d-1_MD_BB,d-1_MD_BBavg,d-1_MR_BB,d-1_MR_BBavg,d-1_MS_BB,d-1_MS_BBavg,d-2_FA_BB,d-2_FD_BB,d-2_FR_BB,d-2_FS_BB,d-2_MA_BB,d-2_MA_BBavg,d-2_MD_BB,d-2_MD_BBavg,d-2_MR_BB,d-2_MR_BBavg,d-2_MS_BB,d-2_MS_BBavg,d-3_FA_BB,d-3_FD_BB,d-3_FR_BB,d-3_FS_BB,d-3_MA_BB,d-3_MA_BBavg,d-3_MD_BB,d-3_MD_BBavg,d-3_MR_BB,d-3_MR_BBavg,d-3_MS_BB,d-3_MS_BBavg,d-4_FA_BB,d-4_FD_BB,d-4_FR_BB,d-4_FS_BB,d-4_MA_BB,d-4_MA_BBavg,d-4_MD_BB,d-4_MD_BBavg,d-4_MR_BB,d-4_MR_BBavg,d-4_MS_BB,d-4_MS_BBavg,d-5_FA_BB,d-5_FD_BB,d-5_FR_BB,d-5_FS_BB,d-5_MA_BB,d-5_MA_BBavg,d-5_MD_BB,d-5_MD_BBavg,d-5_MR_BB,d-5_MR_BBavg,d-5_MS_BB,d-5_MS_BBavg,d-6_FA_BB,d-6_FD_BB,d-6_FR_BB,d-6_FS_BB,d-6_MA_BB,d-6_MA_BBavg,d-6_MD_BB,d-6_MD_BBavg,d-6_MR_BB,d-6_MR_BBavg,d-6_MS_BB,d-6_MS_BBavg,id
0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,36.0,19.0,25.33333,37.0,36.0,9.0,19.0,-2.0,25.33333,6.33333,37.0,16.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,28.0,21.0,28.0,35.0,28.0,7.0,21.0,0.0,28.0,7.0,35.0,14.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79.7120472,0.0,1.0,17.8563207,79.7120472,4.9820029,0.0,0.0,1.0,1.0,17.8563207,4.4640802,109.5782053,50.2237984,36.4117359,74.7704465,109.5782053,27.3945513,50.2237984,3.3509565,36.4117359,9.102934,74.7704465,27.8976047,190.7737791,148.2673995,151.3117753,191.0026936,190.7737791,47.6934448,148.2673995,21.0411146,151.3117753,37.8279438,191.0026936,63.7764087,29.7825307,23.448684,24.0882437,30.1202781,29.7825307,7.4456327,23.448684,3.3603232,24.0882437,6.0220609,30.1202781,10.0319173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1
1,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,28.0,13.0,17.33333,27.0,28.0,7.0,13.0,-2.0,17.33333,4.33333,27.0,12.0,36.0,27.0,36.0,45.0,36.0,9.0,27.0,0.0,36.0,9.0,45.0,18.0,92.0,61.0,80.0,107.0,92.0,23.0,61.0,-2.0,80.0,20.0,107.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,20.0,15.0,20.0,25.0,20.0,5.0,15.0,0.0,20.0,5.0,25.0,10.0,36.0,27.0,36.0,45.0,36.0,9.0,27.0,0.0,36.0,9.0,45.0,18.0,84.0,63.0,84.0,105.0,84.0,21.0,63.0,0.0,84.0,21.0,105.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64.0016516,0.0,1.0,16.0002065,64.0016516,4.0001032,0.0,0.0,1.0,1.0,16.0002065,4.0000516,53.8894856,33.2644173,29.7564357,46.7366149,53.8894856,13.4723714,33.2644173,3.2640302,29.7564357,7.4391089,46.7366149,16.7362278,102.3768158,59.2039922,50.6645888,84.7978659,102.3768158,25.5942039,59.2039922,5.2032954,50.6645888,12.6661472,84.7978659,30.7971691,190.0277056,144.249011,149.1248642,191.7553244,190.0277056,47.5069264,144.249011,18.2473852,149.1248642,37.2812161,191.7553244,65.7536986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1
2,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,48.0,20.0,26.66667,44.0,48.0,12.0,20.0,-4.0,26.66667,6.66667,44.0,20.0,84.0,59.0,78.0,101.0,84.0,21.0,59.0,-1.0,78.0,19.5,101.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,32.0,24.0,32.0,40.0,32.0,8.0,24.0,0.0,32.0,8.0,40.0,16.0,80.0,60.0,80.0,100.0,80.0,20.0,60.0,0.0,80.0,20.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72.2341415,0.0,1.0,16.9981342,72.2341415,4.5146338,0.0,0.0,1.0,1.0,16.9981342,4.2495335,108.4108287,55.2369216,44.1903801,80.7481519,108.4108287,27.1027072,55.2369216,4.2425191,44.1903801,11.047595,80.7481519,29.7537493,191.85436,147.4077632,151.6920326,192.5549206,191.85436,47.96359,147.4077632,19.9217568,151.6920326,37.9230081,192.5549206,65.0689142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1
3,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,32.0,16.0,21.33333,32.0,32.0,8.0,16.0,-2.0,21.33333,5.33333,32.0,14.0,48.0,32.0,42.0,56.0,48.0,12.0,32.0,-1.0,42.0,10.5,56.0,23.0,92.0,49.0,62.0,95.0,92.0,23.0,49.0,-5.0,62.0,15.5,95.0,41.0,68.0,31.0,38.0,65.0,68.0,17.0,31.0,-5.0,38.0,9.5,65.0,29.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,24.0,18.0,24.0,30.0,24.0,6.0,18.0,0.0,24.0,6.0,30.0,12.0,44.0,33.0,44.0,55.0,44.0,11.0,33.0,0.0,44.0,11.0,55.0,22.0,72.0,54.0,72.0,90.0,72.0,18.0,54.0,0.0,72.0,18.0,90.0,36.0,48.0,36.0,48.0,60.0,48.0,12.0,36.0,0.0,48.0,12.0,60.0,24.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,75.1960628,0.0,1.0,17.3431327,75.1960628,4.6997539,0.0,0.0,1.0,1.0,17.3431327,4.3357832,82.3481725,42.5330546,33.9339018,61.5257415,82.3481725,20.5870431,42.5330546,3.511006,33.9339018,8.4834754,61.5257415,22.503693,128.4512096,80.5743107,71.4880816,110.2001487,128.4512096,32.1128024,80.5743107,9.0338884,71.4880816,17.8720204,110.2001487,38.6597264,189.5654881,134.227612,130.4173567,177.9487762,189.5654881,47.391372,134.227612,17.1614664,130.4173567,32.6043392,177.9487762,60.8826307,130.3633756,89.0253672,84.2972158,119.0922249,130.3633756,32.5908439,89.0253672,10.9812702,84.2972158,21.074304,119.0922249,41.0481279,28.6456345,22.7113011,23.6253999,29.318097,28.6456345,7.1614086,22.7113011,3.2002768,23.6253999,5.90635,29.318097,9.8070727,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1
4,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,40.0,14.0,18.66667,34.0,40.0,10.0,14.0,-4.0,18.66667,4.66667,34.0,16.0,52.0,27.0,34.0,53.0,52.0,13.0,27.0,-3.0,34.0,8.5,53.0,23.0,72.0,54.0,72.0,90.0,72.0,18.0,54.0,0.0,72.0,18.0,90.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,24.0,18.0,24.0,30.0,24.0,6.0,18.0,0.0,24.0,6.0,30.0,12.0,40.0,30.0,40.0,50.0,40.0,10.0,30.0,0.0,40.0,10.0,50.0,20.0,72.0,54.0,72.0,90.0,72.0,18.0,54.0,0.0,72.0,18.0,90.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64.6022667,0.0,1.0,16.0751071,64.6022667,4.0376417,0.0,0.0,1.0,1.0,16.0751071,4.0187768,63.1178226,40.3724562,36.9623846,56.0781861,63.1178226,15.7794556,40.3724562,4.2034653,36.9623846,9.2405961,56.0781861,19.9091953,111.3368002,66.5234596,58.8441375,94.227611,111.3368002,27.8342,66.5234596,6.2418081,58.8441375,14.7110344,94.227611,33.9459596,167.8150776,123.7970882,125.7776156,165.5548388,167.8150776,41.9537694,123.7970882,15.2901156,125.7776156,31.4444039,165.5548388,57.0478661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1
5,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,48.0,20.0,26.66667,44.0,48.0,12.0,20.0,-4.0,26.66667,6.66667,44.0,20.0,68.0,51.0,68.0,85.0,68.0,17.0,51.0,0.0,68.0,17.0,85.0,34.0,80.0,40.0,50.0,80.0,80.0,20.0,40.0,-5.0,50.0,12.5,80.0,35.0,64.0,32.0,40.0,64.0,64.0,16.0,32.0,-4.0,40.0,10.0,64.0,28.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,32.0,24.0,32.0,40.0,32.0,8.0,24.0,0.0,32.0,8.0,40.0,16.0,68.0,51.0,68.0,85.0,68.0,17.0,51.0,0.0,68.0,17.0,85.0,34.0,60.0,45.0,60.0,75.0,60.0,15.0,45.0,0.0,60.0,15.0,75.0,30.0,48.0,36.0,48.0,60.0,48.0,12.0,36.0,0.0,48.0,12.0,60.0,24.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,71.5769756,0.0,1.0,16.9206354,71.5769756,4.473561,0.0,0.0,1.0,1.0,16.9206354,4.2301589,105.4130539,55.2228376,44.6436169,80.1422456,105.4130539,26.3532635,55.2228376,4.4609314,44.6436169,11.1609042,80.1422456,29.3803394,177.1164449,122.8904371,118.4758354,164.7603647,177.1164449,44.2791112,122.8904371,15.0213864,118.4758354,29.6189589,164.7603647,56.891314,155.3617694,108.5411798,105.0970483,145.2683512,155.3617694,38.8404424,108.5411798,13.3626056,105.0970483,26.2742621,145.2683512,50.0897771,127.1966513,86.4893118,82.2389097,116.558313,127.1966513,31.7991628,86.4893118,10.3464525,82.2389097,20.5597274,116.558313,40.4154537,27.9482834,22.0774976,23.0494579,28.6844086,27.9482834,6.9870709,22.0774976,3.0417827,23.0494579,5.7623645,28.6844086,9.6486938,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1
6,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,36.0,19.0,25.33333,37.0,36.0,9.0,19.0,-2.0,25.33333,6.33333,37.0,16.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,28.0,21.0,28.0,35.0,28.0,7.0,21.0,0.0,28.0,7.0,35.0,14.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,12.0,9.0,12.0,15.0,12.0,3.0,9.0,0.0,12.0,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,78.5729066,0.0,1.0,17.728272,78.5729066,4.9108067,0.0,0.0,1.0,1.0,17.728272,4.432068,102.3442554,50.5030713,38.7760864,73.5948324,102.3442554,25.5860638,50.5030713,3.9663574,38.7760864,9.6940216,73.5948324,27.0581185,189.392035,147.0524814,150.2442162,189.7846858,189.392035,47.3480088,147.0524814,20.7385437,150.2442162,37.561054,189.7846858,63.4707481,29.5753432,23.2558906,23.9103542,29.9289252,29.5753432,7.3938358,23.2558906,3.3115847,23.9103542,5.9775886,29.9289252,9.9846193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-iacn_1_chloride_1_smi1_1_s_1
7,36.0,0.0,1.0,12.0,36.0,1.0,0.0,0.0,1.0,1.0,12.0,2.0,90.0,51.0,56.0,81.0,90.0,15.0,51.0,-4.0,56.0,9.33333,81.0,26.0,84.0,70.0,84.0,98.0,84.0,14.0,70.0,0.0,84.0,14.0,98.0,28.0,6.0,5.0,6.0,7.0,6.0,1.0,5.0,0.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0.0,1.0,12.0,36.0,1.0,0.0,0.0,1.0,1.0,12.0,2.0,66.0,55.0,66.0,77.0,66.0,11.0,55.0,0.0,66.0,11.0,77.0,22.0,84.0,70.0,84.0,98.0,84.0,14.0,70.0,0.0,84.0,14.0,98.0,28.0,6.0,5.0,6.0,7.0,6.0,1.0,5.0,0.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,209.0268221,0.0,1.0,28.9155199,209.0268221,5.8063006,0.0,0.0,1.0,1.0,28.9155199,4.8192533,213.6428247,144.2583242,119.7217991,173.8123942,213.6428247,35.6071375,144.2583242,11.7288582,119.7217991,19.9536332,173.8123942,41.2829282,231.3806601,186.404731,178.4283843,218.412547,231.3806601,38.5634433,186.404731,17.7308651,178.4283843,29.738064,218.412547,49.7386812,15.9060639,13.3575851,13.1413292,15.5579348,15.9060639,2.6510107,13.3575851,1.3094518,13.1413292,2.1902215,15.5579348,3.5098015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-sh_1_smi1_1_s_1
8,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,40.0,22.0,29.33333,42.0,40.0,10.0,22.0,-2.0,29.33333,7.33333,42.0,18.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,32.0,24.0,32.0,40.0,32.0,8.0,24.0,0.0,32.0,8.0,40.0,16.0,76.0,57.0,76.0,95.0,76.0,19.0,57.0,0.0,76.0,19.0,95.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74.3135015,0.0,1.0,17.2410558,74.3135015,4.6445938,0.0,0.0,1.0,1.0,17.2410558,4.310264,117.3987286,55.3457153,43.064278,82.5827313,117.3987286,29.3496821,55.3457153,3.6225478,43.064278,10.7660695,82.5827313,30.8595639,180.7105843,142.8272093,148.4968583,184.7528515,180.7105843,45.1776461,142.8272093,19.9846865,148.4968583,37.1242146,184.7528515,61.9103287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1
9,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,44.0,17.0,22.66667,39.0,44.0,11.0,17.0,-4.0,22.66667,5.66667,39.0,18.0,60.0,45.0,60.0,75.0,60.0,15.0,45.0,0.0,60.0,15.0,75.0,30.0,40.0,26.0,34.0,46.0,40.0,10.0,26.0,-1.0,34.0,8.5,46.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,28.0,21.0,28.0,35.0,28.0,7.0,21.0,0.0,28.0,7.0,35.0,14.0,60.0,45.0,60.0,75.0,60.0,15.0,45.0,0.0,60.0,15.0,75.0,30.0,36.0,27.0,36.0,45.0,36.0,9.0,27.0,0.0,36.0,9.0,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70.6394623,0.0,1.0,16.8094571,70.6394623,4.4149664,0.0,0.0,1.0,1.0,16.8094571,4.2023643,93.2964715,47.7326259,38.722363,69.933574,93.2964715,23.3241179,47.7326259,3.6078009,38.722363,9.6805908,69.933574,25.8087491,149.2005757,108.3189482,107.9912182,143.8229088,149.2005757,37.3001439,108.3189482,13.7657519,107.9912182,26.9978046,143.8229088,49.2697124,85.7872916,65.4355301,67.0063809,85.8495841,85.7872916,21.4468229,65.4355301,8.7036123,67.0063809,16.7515952,85.8495841,29.1176663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1
