,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.31818193,1.2954199,1.184375,0.4585418,2.0446005,2.0914948,0.9889613054692745,0.7728462070226669,0.7327454388141632
1,2,1.0,0.3530507,0.9832718,0.95787716,0.52326554,1.3511711,1.6965693,0.9856251245364547,0.9007972180843353,0.8241449743509293
2,3,1.0,0.38067082,0.9058569,0.9291425,0.5729301,1.2091666,1.5493168,0.9827669151127338,0.9205533713102341,0.8533466309309006
3,4,1.0,0.39941007,0.87633836,0.8978189,0.6002055,1.1801848,1.4650273,0.9810870308429003,0.9243161603808403,0.8688697069883347
4,5,1.0,0.39665243,0.86788785,0.9027567,0.6033659,1.1785389,1.4237078,0.9808873329311609,0.9245271161198616,0.87616216391325
5,6,1.0,0.38020453,0.88016284,0.9027567,0.5845363,1.1860403,1.4237078,0.9820616375654936,0.9235632792115211,0.87616216391325
6,7,1.0,0.3582476,0.88854444,0.9027567,0.558391,1.1986172,1.4237078,0.983630457893014,0.9219336062669754,0.87616216391325
7,8,1.0,0.35810235,0.89678735,0.9027567,0.55606776,1.2189788,1.4237078,0.9837663862854242,0.9192587584257126,0.87616216391325
8,9,1.0,0.38311112,0.89083105,0.9027567,0.58647263,1.2129248,1.4237078,0.9819425959140062,0.9200587570667267,0.87616216391325
9,10,1.0,0.41566494,0.8828247,0.9027567,0.63526654,1.2061698,1.4237078,0.9788128882646561,0.9209466949105263,0.87616216391325
10,11,1.0,0.46043393,0.8909352,0.9027567,0.69397753,1.2103372,1.4237078,0.9747157208621502,0.9203994870185852,0.87616216391325
11,12,0.7,0.4920922,0.900336,0.9027567,0.7334898,1.2048688,1.4237078,0.9717545844614506,0.9211171492934227,0.87616216391325
12,13,0.7,0.5106696,0.9012687,0.9027567,0.7654876,1.2131299,1.4237078,0.9692364726215601,0.9200317412614822,0.87616216391325
13,14,0.7,0.53617316,0.89709693,0.9027567,0.7942367,1.209592,1.4237078,0.966882336884737,0.920497477054596,0.87616216391325
14,15,0.7,0.5503456,0.8942512,0.9027567,0.81394166,1.2158467,1.4237078,0.9652186557650566,0.9196731522679329,0.87616216391325
15,16,0.7,0.5581732,0.89469045,0.9027567,0.8261111,1.2229223,1.4237078,0.9641708396375179,0.91873549669981,0.87616216391325
16,17,0.7,0.56344986,0.9011673,0.9027567,0.83276826,1.2314144,1.4237078,0.9635910503566265,0.9176029562950134,0.87616216391325
17,18,0.48999999999999994,0.5644285,0.8960409,0.9027567,0.83428293,1.2226846,1.4237078,0.963458489626646,0.918767087161541,0.87616216391325
18,19,0.48999999999999994,0.56538075,0.8930757,0.9027567,0.8331826,1.2261844,1.4237078,0.9635548144578934,0.9183013960719109,0.87616216391325
19,20,0.48999999999999994,0.55967844,0.91105545,0.9027567,0.82761955,1.2417809,1.4237078,0.9640398658812046,0.9162098318338394,0.87616216391325
20,21,0.48999999999999994,0.55609494,0.9041698,0.9027567,0.8205308,1.2305427,1.4237078,0.9646532498300076,0.9177195802330971,0.87616216391325
21,22,0.48999999999999994,0.54968315,0.91191834,0.9027567,0.8124977,1.2390809,1.4237078,0.9653419554233551,0.9165738001465797,0.87616216391325
22,23,0.48999999999999994,0.54302436,0.9088627,0.9027567,0.80289656,1.2268999,1.4237078,0.9661562107503414,0.9182060211896896,0.87616216391325
23,24,0.3429999999999999,0.5382411,0.9041861,0.9027567,0.797416,1.23117,1.4237078,0.9666166678071022,0.9176356717944145,0.87616216391325
