,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.06834129,11.205058,10.60697,0.11585086,12.008777,11.361298,0.9992953746113926,-6.836112022399902,-6.886194229125977
1,2,1.0,0.112576135,10.173843,9.569894,0.15513164,11.067595,10.412105,0.9987365427659824,-5.655942916870117,-5.6235175132751465
2,3,1.0,0.08588934,9.104582,8.499031,0.12523866,10.097515,9.445655,0.9991765512968414,-4.540285110473633,-4.450994491577148
3,4,1.0,0.063296564,7.968668,7.351048,0.09831943,9.0772505,8.437733,0.9994924970669672,-3.4772543907165527,-3.349738597869873
4,5,1.0,0.058769938,6.895593,6.262211,0.09874741,8.110619,7.4783406,0.9994880692102015,-2.5744645595550537,-2.4168198108673096
5,6,1.0,0.0559447,5.9026866,5.23985,0.087531276,7.1936684,6.565791,0.9995977590442635,-1.8119263648986816,-1.6338179111480713
6,7,1.0,0.06424081,4.9778447,4.367176,0.099117145,6.2989206,5.699608,0.9994842284359038,-1.1559336185455322,-0.9847302436828613
7,8,1.0,0.07921713,4.125345,3.63366,0.11850296,5.423811,4.902274,0.9992627442115918,-0.5984984636306763,-0.46827268600463867
8,9,1.0,0.11189988,3.3659744,3.0482159,0.16937894,4.615609,4.212786,0.9984938140260056,-0.1576070785522461,-0.08430254459381104
9,10,1.0,0.16202511,2.8416057,2.6579587,0.24308492,3.937635,3.659442,0.9968977568205446,0.1574920415878296,0.18183428049087524
10,11,1.0,0.21573061,2.5125735,2.3646076,0.3186476,3.4142065,3.2318008,0.9946693386882544,0.36659324169158936,0.36188238859176636
11,12,1.0,0.22541067,2.2347443,2.1158903,0.33475646,3.0250108,2.9044974,0.994116744492203,0.5027703642845154,0.484589159488678
12,13,1.0,0.2233573,2.0186553,1.9275709,0.3371895,2.7442904,2.6572232,0.9940309138037264,0.5907740294933319,0.5686123371124268
13,14,1.0,0.22376895,1.8517085,1.7888613,0.33919564,2.5471692,2.4722495,0.993959675077349,0.647451639175415,0.6265811622142792
14,15,1.0,0.20886847,1.7076381,1.667713,0.3244833,2.4010637,2.332256,0.9944722992368042,0.6867360174655914,0.6676742136478424
15,16,1.0,0.17848824,1.590209,1.551511,0.28491938,2.28665,2.2127576,0.9957380946725607,0.7158795297145844,0.7008566856384277
16,17,1.0,0.14170067,1.501489,1.4586228,0.23681502,2.2074337,2.1153915,0.9970557256601751,0.7352240979671478,0.7266033589839935
17,18,1.0,0.11141821,1.4209005,1.3744127,0.19336943,2.1380813,2.0341578,0.9980369315017015,0.7516000419855118,0.747197836637497
18,19,1.0,0.08841493,1.3572667,1.3016434,0.15792118,2.0879862,1.9611492,0.9986906957346946,0.763103649020195,0.7650189399719238
19,20,1.0,0.07273684,1.3023934,1.2560914,0.1291687,2.0485299,1.9029803,0.9991240600356832,0.771972268819809,0.7787515670061111
20,21,1.0,0.06219102,1.2675736,1.2156819,0.1081579,2.024171,1.8482342,0.999385847360827,0.7773628979921341,0.7912984937429428
21,22,1.0,0.05442022,1.2464888,1.1836246,0.09167497,2.0060964,1.8052057,0.9995587737648748,0.781321182847023,0.800902858376503
22,23,1.0,0.04484177,1.2330195,1.1592631,0.0784644,1.9881822,1.7677045,0.9996767748962156,0.7852093130350113,0.8090890049934387
23,24,1.0,0.046914484,1.2191889,1.1406157,0.0703785,1.9732577,1.7361805,0.999739960214356,0.7884218990802765,0.8158374428749084
24,25,1.0,0.04184474,1.2139343,1.1333945,0.06123729,1.964661,1.7165146,0.999803124461323,0.7902614027261734,0.8199858665466309
25,26,1.0,0.040995862,1.2085466,1.1183273,0.0627195,1.9578993,1.6905903,0.9997934786078986,0.79170261323452,0.8253822773694992
26,27,1.0,0.04395033,1.2132676,1.1183273,0.061141495,1.9527704,1.6905903,0.9998037399491295,0.7927925139665604,0.8253822773694992
27,28,1.0,0.04373186,1.2082268,1.1043915,0.061222903,1.945065,1.6665703,0.9998032169678481,0.7944245040416718,0.8303089737892151
28,29,1.0,0.044577185,1.2085665,1.1043915,0.060971346,1.9465786,1.6665703,0.999804830760695,0.7941044420003891,0.8303089737892151
29,30,1.0,0.0445332,1.1986551,1.0842702,0.06492433,1.9313059,1.6290504,0.9997787034226349,0.7973226457834244,0.837863564491272
30,31,1.0,0.038364716,1.1854328,1.0797054,0.06304077,1.9180785,1.6208246,0.9997913574479753,0.8000893741846085,0.8394968211650848
31,32,1.0,0.04113304,1.1779132,1.07296,0.06679213,1.9052962,1.6068101,0.9997657873173011,0.8027449697256088,0.842260405421257
32,33,1.0,0.043490775,1.1631136,1.0634322,0.06103799,1.8857352,1.5915866,0.9998044038802618,0.8067744821310043,0.8452352285385132
33,34,1.0,0.048640326,1.1704211,1.0634322,0.06852621,1.8800954,1.5915866,0.9997534680878744,0.8079285323619843,0.8452352285385132
34,35,1.0,0.049980324,1.1632676,1.0634322,0.06933738,1.8699276,1.5915866,0.9997475968848448,0.810000404715538,0.8452352285385132
35,36,1.0,0.048804644,1.1569937,1.0507616,0.06633067,1.8660457,1.5591857,0.9997690124582732,0.8107884526252747,0.8514723479747772
36,37,1.0,0.05028065,1.1483145,1.0436631,0.07172291,1.8514878,1.549235,0.9997299304814078,0.8137291818857193,0.853362113237381
37,38,1.0,0.047354087,1.142886,1.031311,0.06952736,1.8448806,1.5336204,0.9997462119208649,0.815056249499321,0.8563031256198883
38,39,1.0,0.05103721,1.1372422,1.0224613,0.08131535,1.8359947,1.5262324,0.9996528598130681,0.8168335407972336,0.8576842695474625
39,40,1.0,0.054344084,1.1219118,1.0070659,0.0930833,1.8119193,1.5095369,0.999545113183558,0.8216057568788528,0.8607808351516724
40,41,1.0,0.06694493,1.1033432,0.992625,0.113613054,1.799392,1.5015403,0.9993223331402987,0.8240640312433243,0.8622519075870514
41,42,1.0,0.095794044,1.0947484,0.976253,0.16030738,1.8011917,1.4923632,0.9986508295405656,0.8237119019031525,0.8639305531978607
42,43,1.0,0.1272256,1.0821482,0.9599933,0.21811634,1.7967802,1.4820161,0.9975023234728724,0.8245743662118912,0.865810826420784
43,44,1.0,0.17025633,1.0858968,0.9599933,0.28902364,1.8054519,1.4820161,0.9956144248135388,0.8228770047426224,0.865810826420784
44,45,1.0,0.21100053,1.0863998,0.9599933,0.3496107,1.8116496,1.4820161,0.993583042640239,0.8216588646173477,0.865810826420784
45,46,1.0,0.22591335,1.0853001,0.9599933,0.37380692,1.804375,1.4820161,0.9926640815101564,0.8230882287025452,0.865810826420784
46,47,1.0,0.21922654,1.072377,0.95186967,0.3636632,1.7849699,1.4738533,0.9930568193085492,0.8268729597330093,0.8672849535942078
47,48,1.0,0.19320537,1.0659556,0.94021815,0.32764038,1.7645023,1.4508047,0.9943642118014395,0.8308205753564835,0.871403381228447
48,49,1.0,0.16966598,1.0572733,0.9409035,0.28578594,1.7419919,1.443836,0.9957121307961643,0.835109606385231,0.8726358115673065
49,50,1.0,0.14421141,1.0590268,0.9409035,0.24651705,1.7239109,1.443836,0.9968095370568335,0.8385147750377655,0.8726358115673065
