,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.0002877428,0.057122573,0.065991886,0.0005460134,0.073877685,0.08273174,0.9998913594099577,-1.2171380519866943,-1.3025529384613037
1,2,1.0,0.0039149807,0.49100557,0.065991886,0.005530871,0.49350598,0.08273174,0.9888526275753975,-97.93525695800781,-1.3025529384613037
2,3,1.0,0.0022949518,0.123681866,0.065991886,0.0028714533,0.13318157,0.08273174,0.9969953843392432,-6.205340385437012,-1.3025529384613037
3,4,1.0,0.0063687675,0.112991884,0.065991886,0.008030158,0.12337042,0.08273174,0.9765018559992313,-5.1828436851501465,-1.3025529384613037
4,5,1.0,0.06471608,0.38531494,0.065991886,0.07257027,0.38849622,0.08273174,-0.919123649597168,-60.311195373535156,-1.3025529384613037
5,6,1.0,0.056890722,0.11271274,0.065991886,0.0655543,0.12311223,0.08273174,-0.5659857988357544,-5.156992435455322,-1.3025529384613037
6,7,1.0,0.17643395,0.24017493,0.065991886,0.18398613,0.24524619,0.08273174,-11.335468292236328,-23.432659149169922,-1.3025529384613037
7,8,0.7,0.04539418,0.051518753,0.052227765,0.052613255,0.058455624,0.059339408,-0.008731961250305176,-0.38809382915496826,-0.1845453977584839
8,9,0.7,0.21939626,0.23791051,0.052227765,0.22568664,0.24302903,0.059339408,-17.56081771850586,-22.992887496948242,-0.1845453977584839
9,10,0.7,0.15158984,0.15913922,0.052227765,0.16013141,0.1666943,0.059339408,-8.344122886657715,-10.287757873535156,-0.1845453977584839
10,11,0.7,0.044322398,0.040838234,0.048421822,0.05825569,0.05567055,0.0635945,-0.2366938591003418,-0.2589752674102783,-0.36051809787750244
11,12,0.7,0.17268461,0.17180996,0.048421822,0.18022665,0.17883052,0.0635945,-10.836505889892578,-11.991206169128418,-0.36051809787750244
12,13,0.7,0.17787397,0.1763777,0.048421822,0.18527687,0.18322332,0.0635945,-11.509151458740234,-12.637277603149414,-0.36051809787750244
13,14,0.7,0.0639812,0.06038604,0.048421822,0.08022143,0.07676486,0.0635945,-1.3451261520385742,-1.3938179016113281,-0.36051809787750244
14,15,0.7,0.08959022,0.09255649,0.048421822,0.10180489,0.103105776,0.0635945,-2.7767891883850098,-3.318493366241455,-0.36051809787750244
15,16,0.7,0.14792147,0.15107234,0.048421822,0.1568928,0.15901114,0.0635945,-7.969980239868164,-9.27120304107666,-0.36051809787750244
16,17,0.7,0.06840954,0.07032075,0.048421822,0.07833862,0.0787971,0.0635945,-1.236337423324585,-1.5222413539886475,-0.36051809787750244
17,18,0.48999999999999994,0.051718205,0.047525853,0.048421822,0.06788779,0.064211346,0.0635945,-0.6794567108154297,-0.6749032735824585,-0.36051809787750244
18,19,0.48999999999999994,0.0945271,0.09200625,0.048421822,0.10772288,0.10430571,0.0635945,-3.2286462783813477,-3.4195938110351562,-0.36051809787750244
19,20,0.48999999999999994,0.048049986,0.043850202,0.048421822,0.0634294,0.059796117,0.0635945,-0.4661102294921875,-0.4524867534637451,-0.36051809787750244
20,21,0.48999999999999994,0.0711867,0.0734079,0.048421822,0.08154112,0.08215028,0.0635945,-1.4229187965393066,-1.7414753437042236,-0.36051809787750244
21,22,0.48999999999999994,0.0634053,0.06487671,0.048421822,0.07257516,0.07276897,0.0635945,-0.9193820953369141,-1.151090383529663,-0.36051809787750244
22,23,0.48999999999999994,0.055957027,0.05183092,0.048421822,0.072444774,0.06882671,0.0635945,-0.9124919176101685,-0.9243329763412476,-0.36051809787750244
