,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.07852928,7.9890075,7.7425313,0.1626764,8.919557,8.676852,0.9986106588039547,-3.3230443000793457,-3.5997681617736816
1,2,1.0,0.11358985,4.1991634,3.627794,0.27883,5.4815974,4.7857194,0.9959183223545551,-0.6327412128448486,-0.3992847204208374
2,3,1.0,0.18659821,2.7660422,2.2066803,0.41950995,3.8463733,3.0667186,0.9907605880871415,0.19609272480010986,0.42540818452835083
3,4,1.0,0.32227546,2.1265645,1.6209935,0.598285,3.019355,2.241815,0.9812078680843115,0.5046279430389404,0.6929485201835632
4,5,1.0,0.4223183,1.7808567,1.3799496,0.71170634,2.5487988,1.8457856,0.9734073579311371,0.6470004320144653,0.7918510884046555
5,6,1.0,0.4640316,1.5908839,1.2465239,0.76265734,2.28919,1.6708268,0.969463536515832,0.7152479887008667,0.8294410705566406
6,7,1.0,0.46909294,1.4703728,1.1720095,0.77329606,2.120355,1.5865674,0.9686056561768055,0.7557018548250198,0.8462097942829132
7,8,1.0,0.4605971,1.3832712,1.1125025,0.7613595,2.0009873,1.5209271,0.9695673771202564,0.7824336290359497,0.8586719483137131
8,9,1.0,0.4431865,1.3088897,1.0714339,0.7418336,1.9072374,1.4845562,0.971108315512538,0.8023428171873093,0.8653504550457001
9,10,1.0,0.43414694,1.2566125,1.0421404,0.7254178,1.8286364,1.4498584,0.9723728448152542,0.8182987868785858,0.8715710937976837
10,11,1.0,0.42679837,1.2064517,0.9998432,0.71232957,1.7661206,1.4089342,0.9733607675880194,0.8305101096630096,0.8787189275026321
11,12,1.0,0.41724825,1.1728597,0.98254824,0.6987671,1.7163546,1.3996106,0.9743655063211918,0.8399273455142975,0.8803187608718872
12,13,1.0,0.41039464,1.1418909,0.96387917,0.6870715,1.668838,1.3872162,0.9752164427191019,0.8486677557229996,0.8824290707707405
13,14,1.0,0.40476766,1.1215389,0.93829364,0.67701346,1.6430063,1.3686006,0.9759367424994707,0.8533163964748383,0.8855633661150932
14,15,1.0,0.4050579,1.0998446,0.92040235,0.6743607,1.6126665,1.3526565,0.9761249497532845,0.858683705329895,0.8882142007350922
15,16,1.0,0.41611826,1.0937672,0.9152234,0.69048727,1.61205,1.3464754,0.9749694056808949,0.8587917387485504,0.8892334997653961
16,17,1.0,0.44742435,1.0986327,0.9152234,0.73378253,1.6183543,1.3464754,0.971732035279274,0.8576851040124893,0.8892334997653961
17,18,1.0,0.48992333,1.0970782,0.9152234,0.79801756,1.6370525,1.3464754,0.9665662795305252,0.8543775379657745,0.8892334997653961
18,19,1.0,0.5424348,1.1126652,0.9152234,0.86970097,1.6675993,1.3464754,0.9602900184690952,0.8488923460245132,0.8892334997653961
19,20,1.0,0.59221286,1.1246679,0.9152234,0.9379972,1.6980453,1.3464754,0.9538084119558334,0.8433243185281754,0.8892334997653961
20,21,1.0,0.63349885,1.1403935,0.9152234,0.9908079,1.7197384,1.3464754,0.9484606757760048,0.8392955660820007,0.8892334997653961
21,22,1.0,0.66360074,1.1406002,0.9152234,1.03061,1.7240759,1.3464754,0.9442367069423199,0.8384838700294495,0.8892334997653961
22,23,0.7,0.6772061,1.146023,0.9152234,1.0490718,1.7314363,1.3464754,0.9422209747135639,0.8371018767356873,0.8892334997653961
23,24,0.7,0.6849068,1.1481986,0.9152234,1.0599456,1.7318949,1.3464754,0.9410169832408428,0.8370155543088913,0.8892334997653961
24,25,0.7,0.69025266,1.1432666,0.9152234,1.0634487,1.7237111,1.3464754,0.940626472234726,0.8385522216558456,0.8892334997653961
25,26,0.7,0.6863718,1.1431189,0.9152234,1.060412,1.7249492,1.3464754,0.9409650601446629,0.8383201956748962,0.8892334997653961
26,27,0.7,0.6797856,1.1296997,0.9152234,1.0523896,1.7068439,1.3464754,0.9418549351394176,0.8416964411735535,0.8892334997653961
27,28,0.7,0.67309546,1.1180197,0.9152234,1.0428922,1.6898983,1.3464754,0.9428996630012989,0.8448241055011749,0.8892334997653961
28,29,0.48999999999999994,0.66734153,1.1146201,0.9152234,1.0377764,1.6844499,1.3464754,0.9434584937989712,0.8458230942487717,0.8892334997653961
29,30,0.48999999999999994,0.6643076,1.1076133,0.9152234,1.0327377,1.671146,1.3464754,0.9440062083303928,0.8482488840818405,0.8892334997653961
30,31,0.48999999999999994,0.66119456,1.108904,0.9152234,1.030604,1.6714402,1.3464754,0.9442373476922512,0.8481954485177994,0.8892334997653961
31,32,0.48999999999999994,0.66051567,1.100915,0.9152234,1.0284497,1.665777,1.3464754,0.9444702342152596,0.849222406744957,0.8892334997653961
32,33,0.48999999999999994,0.6592522,1.0954224,0.9152234,1.0260103,1.6586546,1.3464754,0.9447333440184593,0.8505090177059174,0.8892334997653961
33,34,0.48999999999999994,0.65567887,1.0967033,0.9152234,1.021829,1.6551515,1.3464754,0.9451828747987747,0.8511397987604141,0.8892334997653961
34,35,0.3429999999999999,0.6522204,1.0911313,0.93402845,1.0174065,1.653226,1.2933805,0.9456563591957092,0.8514859527349472,0.8977968618273735
35,36,0.3429999999999999,0.64841235,1.0817983,0.925323,1.0125575,1.6392875,1.2838799,0.9461731314659119,0.8539796620607376,0.8992928341031075
36,37,0.3429999999999999,0.6448708,1.0791409,0.9297195,1.0065815,1.6349083,1.2897954,0.9468065984547138,0.8547587692737579,0.8983626589179039
37,38,0.3429999999999999,0.63990563,1.0767281,0.92761606,0.9994657,1.628576,1.2816358,0.9475560262799263,0.8558816760778427,0.8996445760130882
38,39,0.3429999999999999,0.63236135,1.0759685,0.923677,0.9915264,1.6241587,1.2790899,0.9483858980238438,0.8566624373197556,0.9000428766012192
39,40,0.3429999999999999,0.6269636,1.0679148,0.9194314,0.9834052,1.6166024,1.2753234,0.9492279440164566,0.8579930663108826,0.9006306976079941
40,41,0.3429999999999999,0.62044936,1.0618838,0.9140983,0.9745753,1.6049258,1.268769,0.950135599821806,0.8600370734930038,0.9016494601964951
41,42,0.3429999999999999,0.6123652,1.0614014,0.9145793,0.9652291,1.6035521,1.2751261,0.9510874152183533,0.8602765649557114,0.900661438703537
42,43,0.3429999999999999,0.6067351,1.0430954,0.915589,0.95750415,1.5885456,1.2690206,0.9518672041594982,0.8628794848918915,0.9016104713082314
43,44,0.3429999999999999,0.6020498,1.041939,0.9074633,0.9507358,1.5802246,1.2645209,0.9525452703237534,0.8643122166395187,0.902306966483593
44,45,0.3429999999999999,0.5993429,1.0362985,0.907899,0.94621915,1.5688924,1.2633826,0.9529950842261314,0.8662513494491577,0.9024827778339386
45,46,0.3429999999999999,0.5938441,1.033243,0.9038383,0.9414324,1.5698116,1.2582777,0.9534694589674473,0.8660945743322372,0.9032692536711693
46,47,0.3429999999999999,0.59329784,1.0379562,0.9038383,0.9395435,1.5744319,1.2582777,0.9536559954285622,0.8653052002191544,0.9032692536711693
47,48,0.3429999999999999,0.5923885,1.0287054,0.8993846,0.93868005,1.5633156,1.2532114,0.9537411369383335,0.867200493812561,0.9040466174483299
48,49,0.3429999999999999,0.5929356,1.0288124,0.8993846,0.93842626,1.5589697,1.2532114,0.9537661485373974,0.8679378181695938,0.9040466174483299
49,50,0.3429999999999999,0.5907889,1.0273255,0.9020282,0.9380386,1.560471,1.255387,0.9538043327629566,0.8676833510398865,0.903713196516037
