,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.0067843376,0.024189204,0.024712251,0.011207697,0.03772672,0.03426231,0.9542260654270649,0.4218183755874634,0.605089545249939
1,2,1.0,0.020028537,0.0467797,0.024712251,0.025841048,0.08383103,0.03426231,0.7566643804311752,-1.8548007011413574,0.605089545249939
2,3,1.0,0.018107263,0.023364538,0.022567827,0.024547989,0.033250764,0.030462543,0.7804075926542282,0.5508727431297302,0.6878253817558289
3,4,1.0,0.023508532,0.027991625,0.022567827,0.030825183,0.036903456,0.030462543,0.6537444293498993,0.4467769265174866,0.6878253817558289
4,5,1.0,0.022752935,0.023987785,0.022567827,0.02990666,0.032006558,0.030462543,0.674072265625,0.5838554799556732,0.6878253817558289
5,6,1.0,0.029215021,0.029785123,0.022567827,0.03867059,0.04020278,0.030462543,0.4550621509552002,0.3434339165687561,0.6878253817558289
6,7,1.0,0.024095377,0.025439601,0.022567827,0.031649835,0.034002278,0.030462543,0.6349701285362244,0.5303414762020111,0.6878253817558289
7,8,1.0,0.022211872,0.023763485,0.022567827,0.029745176,0.03233147,0.030462543,0.6775825619697571,0.5753637254238129,0.6878253817558289
8,9,1.0,0.019941313,0.021801274,0.022782959,0.02730686,0.029923124,0.029837461,0.7282753884792328,0.636269211769104,0.7005053758621216
9,10,1.0,0.018520681,0.020920463,0.02150421,0.02572115,0.02891197,0.028398309,0.7589172273874283,0.6604360342025757,0.7286997139453888
10,11,1.0,0.016723868,0.019798182,0.019995961,0.023623427,0.027802745,0.026745573,0.7966373264789581,0.6859914064407349,0.759359285235405
11,12,1.0,0.015334257,0.019144185,0.019264871,0.021919003,0.026848407,0.02602727,0.8249238431453705,0.7071782946586609,0.7721114307641983
12,13,1.0,0.013969604,0.01875283,0.01862065,0.02019102,0.025855795,0.025443705,0.8514399826526642,0.7284298539161682,0.7822159975767136
13,14,1.0,0.012675427,0.018640038,0.017895589,0.018447114,0.025427705,0.02452993,0.8759941086173058,0.7373481094837189,0.7975779175758362
14,15,1.0,0.011616508,0.018074477,0.017690498,0.016977405,0.024952896,0.023903688,0.8949664235115051,0.7470654845237732,0.807781532406807
15,16,1.0,0.010794549,0.018168548,0.017690498,0.015819073,0.02530039,0.023903688,0.9088099449872971,0.7399716973304749,0.807781532406807
16,17,1.0,0.010369686,0.018291399,0.017690498,0.015198641,0.02628852,0.023903688,0.9158226996660233,0.7192637622356415,0.807781532406807
17,18,1.0,0.010254016,0.018584946,0.017690498,0.014980476,0.026321672,0.023903688,0.918221965432167,0.7185552418231964,0.807781532406807
18,19,1.0,0.01031655,0.018818222,0.017690498,0.0150853675,0.026524602,0.023903688,0.9170727506279945,0.7141988575458527,0.807781532406807
19,20,1.0,0.010533763,0.018812615,0.017690498,0.015490029,0.026377102,0.023903688,0.9125640690326691,0.7173686325550079,0.807781532406807
20,21,1.0,0.01104813,0.01799954,0.016853066,0.016172454,0.025433881,0.022894017,0.9046902656555176,0.7372204959392548,0.8236768692731857
21,22,1.0,0.011638217,0.017546535,0.016967572,0.017065743,0.024513518,0.02310403,0.8938705623149872,0.7558945119380951,0.8204271048307419
22,23,1.0,0.012375636,0.018077213,0.016967572,0.01800187,0.024754412,0.02310403,0.8819079548120499,0.7510733157396317,0.8204271048307419
23,24,1.0,0.012995597,0.018149754,0.016967572,0.018928885,0.025047334,0.02310403,0.8694323599338531,0.7451472878456116,0.8204271048307419
24,25,1.0,0.013628267,0.01838275,0.016967572,0.019814743,0.025587244,0.02310403,0.8569254726171494,0.7340418696403503,0.8204271048307419
25,26,1.0,0.014220555,0.018456835,0.016967572,0.02060718,0.025689868,0.02310403,0.8452528715133667,0.7319042086601257,0.8204271048307419
26,27,1.0,0.014793066,0.018548734,0.016967572,0.021278296,0.02572582,0.02310403,0.8350094109773636,0.7311533689498901,0.8204271048307419
27,28,1.0,0.015208616,0.018635003,0.016967572,0.021837078,0.02574248,0.02310403,0.8262301087379456,0.7308050096035004,0.8204271048307419
28,29,0.7,0.015418813,0.018877761,0.016967572,0.022050923,0.025904786,0.02310403,0.8228100836277008,0.7273997366428375,0.8204271048307419
29,30,0.7,0.015361195,0.01877863,0.016967572,0.022079522,0.025967749,0.02310403,0.8223501741886139,0.7260729968547821,0.8204271048307419
30,31,0.7,0.015257417,0.018599518,0.016967572,0.02194143,0.025941128,0.02310403,0.8245653510093689,0.7266343533992767,0.8204271048307419
31,32,0.7,0.015117385,0.01859064,0.016967572,0.021755693,0.026122352,0.02310403,0.8275229334831238,0.72280153632164,0.8204271048307419
32,33,0.7,0.014881819,0.018588843,0.016967572,0.021506747,0.026347082,0.02310403,0.8314476162195206,0.7180115878582001,0.8204271048307419
33,34,0.7,0.014688542,0.018494273,0.016967572,0.021218067,0.026406659,0.02310403,0.8359421044588089,0.7167348861694336,0.8204271048307419
34,35,0.48999999999999994,0.014495822,0.018397879,0.016967572,0.020977682,0.026194936,0.02310403,0.8396383821964264,0.7212589979171753,0.8204271048307419
35,36,0.48999999999999994,0.014297014,0.018339127,0.016967572,0.020728944,0.026045496,0.02310403,0.8434187322854996,0.7244302928447723,0.8204271048307419
36,37,0.48999999999999994,0.014095811,0.01822889,0.016967572,0.020459633,0.0256448,0.02310403,0.8474609106779099,0.7328440546989441,0.8204271048307419
37,38,0.48999999999999994,0.013906562,0.018209113,0.016967572,0.020206897,0.025360012,0.02310403,0.8512062430381775,0.7387446761131287,0.8204271048307419
38,39,0.48999999999999994,0.013755696,0.018148076,0.016967572,0.019979564,0.024978356,0.02310403,0.8545353412628174,0.7465490400791168,0.8204271048307419
39,40,0.48999999999999994,0.01360826,0.018264819,0.016967572,0.019786863,0.02488623,0.02310403,0.8573278039693832,0.7484151721000671,0.8204271048307419
40,41,0.3429999999999999,0.013568251,0.018189577,0.016967572,0.019689184,0.024651341,0.02310403,0.8587329536676407,0.7531419545412064,0.8204271048307419
