,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.10037649,7.913276,7.330402,0.13820398,9.330741,8.619572,0.9989972311304882,-3.730808734893799,-3.5392379760742188
1,2,1.0,0.06842159,4.5827513,3.9375975,0.1073755,6.201768,5.2606854,0.9993947006878443,-1.0899415016174316,-0.6908155679702759
2,3,1.0,0.073449686,2.2573895,1.8229772,0.10837123,3.4538925,2.8526177,0.999383422313258,0.35178256034851074,0.5028370022773743
3,4,1.0,0.08557706,1.3088794,1.1507757,0.11377939,2.223292,1.9342792,0.9993203473859467,0.7314061224460602,0.7714138478040695
4,5,1.0,0.09398568,1.0169374,0.92633307,0.1278712,1.7738957,1.6567882,0.999141569249332,0.8290144950151443,0.8322951644659042
5,6,1.0,0.09807856,0.8682766,0.84562624,0.13978049,1.5425168,1.529586,0.9989742231555283,0.8707105964422226,0.8570581525564194
6,7,1.0,0.11045846,0.81038755,0.8178462,0.15833835,1.414841,1.4424667,0.9986837692558765,0.8912276700139046,0.8728772550821304
7,8,1.0,0.11447037,0.7898643,0.81096876,0.16708727,1.3534291,1.376811,0.9985342951258644,0.9004653841257095,0.8841862082481384
8,9,1.0,0.116994545,0.7767787,0.8149251,0.17192365,1.3362488,1.3157003,0.998448216705583,0.90297631919384,0.8942390009760857
9,10,1.0,0.115280434,0.79244274,0.8149251,0.1688715,1.3532051,1.3157003,0.9985028251539916,0.9004983454942703,0.8942390009760857
10,11,1.0,0.11290699,0.8041935,0.8149251,0.16802977,1.3985281,1.3157003,0.9985177131602541,0.8937214687466621,0.8942390009760857
11,12,1.0,0.11256029,0.81847906,0.8149251,0.17164312,1.4482225,1.3157003,0.9984532768139616,0.8860344141721725,0.8942390009760857
12,13,1.0,0.14683314,0.79927695,0.8149251,0.22034192,1.4234627,1.3157003,0.9974510923493654,0.8898979648947716,0.8942390009760857
13,14,1.0,0.18753113,0.7791795,0.8149251,0.28317046,1.3613188,1.3157003,0.9957902552559972,0.8993015512824059,0.8942390009760857
14,15,1.0,0.22548623,0.7664943,0.7960795,0.34586847,1.3135027,1.1483408,0.9937196802347898,0.906251348555088,0.9194337353110313
15,16,1.0,0.26661387,0.74054646,0.78444266,0.4106835,1.2650949,1.1383722,0.9911452913656831,0.9130340442061424,0.9208264499902725
16,17,1.0,0.30080557,0.7411375,0.78444266,0.46814105,1.2531521,1.1383722,0.9884942946955562,0.9146682471036911,0.9208264499902725
17,18,1.0,0.33142614,0.742648,0.78444266,0.5148763,1.2402043,1.1383722,0.9860823610797524,0.916422463953495,0.9208264499902725
18,19,1.0,0.35050175,0.74493724,0.78444266,0.54551405,1.2419449,1.1383722,0.9843767378479242,0.9161876887083054,0.9208264499902725
19,20,1.0,0.36442873,0.7535998,0.78444266,0.5661991,1.2418828,1.1383722,0.9831694550812244,0.9161960855126381,0.9208264499902725
20,21,1.0,0.37102565,0.7502707,0.78444266,0.5773229,1.2367797,1.1383722,0.9825016390532255,0.9168833941221237,0.9208264499902725
21,22,1.0,0.3729826,0.75376946,0.78444266,0.5807466,1.2379948,1.1383722,0.9822934847325087,0.9167199954390526,0.9208264499902725
22,23,0.7,0.3751622,0.7546749,0.78444266,0.58078516,1.2391056,1.1383722,0.9822911322116852,0.9165704771876335,0.9208264499902725
23,24,0.7,0.36772534,0.75141877,0.78444266,0.5742986,1.2369999,1.1383722,0.9826844874769449,0.9168537929654121,0.9208264499902725
24,25,0.7,0.36462772,0.74821424,0.78444266,0.56634676,1.2365053,1.1383722,0.983160674571991,0.9169202744960785,0.9208264499902725
25,26,0.7,0.35279787,0.7405507,0.78444266,0.5515012,1.2330198,1.1383722,0.984031917527318,0.9173879846930504,0.9208264499902725
26,27,0.7,0.343126,0.74610525,0.78444266,0.53491163,1.2378674,1.1383722,0.9849781356751919,0.9167371317744255,0.9208264499902725
27,28,0.7,0.32716882,0.7407568,0.78444266,0.51305133,1.2422414,1.1383722,0.9861808465793729,0.9161476716399193,0.9208264499902725
28,29,0.48999999999999994,0.31959343,0.74110997,0.78444266,0.49797502,1.2452548,1.1383722,0.9869810817763209,0.9157403782010078,0.9208264499902725
29,30,0.48999999999999994,0.30986318,0.7399717,0.7876495,0.48237413,1.245705,1.0992035,0.9877840336412191,0.9156794399023056,0.9261810556054115
30,31,0.48999999999999994,0.29891506,0.7474879,0.7876495,0.46684083,1.2640029,1.0992035,0.9885581182315946,0.9131840988993645,0.9261810556054115
31,32,0.48999999999999994,0.29256588,0.7453094,0.7876495,0.455157,1.267464,1.0992035,0.9891236731782556,0.9127080142498016,0.9261810556054115
