,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.30809504,2.1809533,1.5841669,0.537694,3.3916128,2.402461,0.984821455553174,0.37494874000549316,0.647365927696228
1,2,1.0,0.3392742,1.4031004,1.0719092,0.56950766,2.0580573,1.481931,0.9829721860587597,0.7698462456464767,0.8658262342214584
2,3,1.0,0.3671604,1.0957344,0.87850416,0.5928725,1.5057393,1.198073,0.9815463460981846,0.8768022730946541,0.9123043268918991
3,4,1.0,0.38092005,0.9746536,0.7939781,0.60003567,1.283468,1.0916243,0.9810977298766375,0.9104896560311317,0.9271955490112305
4,5,1.0,0.38074547,0.89870965,0.7660724,0.5891888,1.1904811,1.0470023,0.9817749485373497,0.9229898378252983,0.9330258965492249
5,6,1.0,0.3664259,0.86989003,0.7453779,0.55999947,1.1449736,1.0239657,0.9835360124707222,0.9287648871541023,0.9359406605362892
6,7,1.0,0.33879396,0.8277673,0.75251025,0.51759535,1.1249486,1.0236678,0.9859349736943841,0.9312348365783691,0.9359779357910156
7,8,1.0,0.3172333,0.79717356,0.7442486,0.48630592,1.0941086,1.0148301,0.9875840796157718,0.9349534884095192,0.9370786175131798
8,9,1.0,0.3932366,0.8328938,0.7442486,0.5436968,1.1250039,1.0148301,0.9844806538894773,0.9312280714511871,0.9370786175131798
9,10,1.0,0.44351438,0.77451503,0.78217185,0.604708,1.0273956,1.04963,0.9808022100478411,0.9426440484821796,0.9326893016695976
10,11,1.0,0.41853675,0.7589037,0.7413285,0.5956009,1.0018222,1.0073247,0.9813761077821255,0.9454638548195362,0.938005868345499
11,12,1.0,0.40411153,0.74911183,0.7184201,0.61094916,0.9822121,0.9659683,0.9804038871079683,0.9475779868662357,0.9429917931556702
12,13,1.0,0.44468352,0.74167705,0.7041355,0.66424406,0.98347044,0.970874,0.9768359139561653,0.9474435858428478,0.9424112886190414
13,14,1.0,0.47347263,0.76935697,0.7041355,0.7078723,1.0435526,0.970874,0.9736931063234806,0.9408258758485317,0.9424112886190414
14,15,1.0,0.4948757,0.7598224,0.7041355,0.73709136,1.0635991,0.970874,0.9714765250682831,0.9385305866599083,0.9424112886190414
15,16,1.0,0.5075495,0.7575063,0.7041355,0.7525054,1.07896,0.970874,0.9702710825949907,0.9367422461509705,0.9424112886190414
16,17,1.0,0.5103027,0.75975996,0.7041355,0.75535274,1.0855936,0.970874,0.9700456820428371,0.93596201390028,0.9424112886190414
17,18,1.0,0.5052617,0.7531954,0.7041355,0.74738306,1.0948219,0.970874,0.9706744439899921,0.9348686560988426,0.9424112886190414
18,19,1.0,0.49415365,0.74163926,0.7097842,0.7321308,1.0870157,0.96705884,0.9718591533601284,0.9357941150665283,0.942863006144762
19,20,0.7,0.48117602,0.7461378,0.7097842,0.7182142,1.0944129,0.96705884,0.9729188084602356,0.9349173009395599,0.942863006144762
20,21,0.7,0.4718628,0.74881077,0.7097842,0.70395887,1.0898798,0.96705884,0.97398317232728,0.9354553446173668,0.942863006144762
21,22,0.7,0.49501902,0.74564785,0.7097842,0.7197861,1.0905252,0.96705884,0.9728001374751329,0.9353788867592812,0.942863006144762
22,23,0.7,0.4619305,0.7491271,0.7097842,0.6879441,1.088206,0.96705884,0.9751534499228001,0.9356534332036972,0.942863006144762
23,24,0.7,0.5199283,0.7934252,0.7097842,0.74573076,1.1450311,0.96705884,0.9708039630204439,0.9287577345967293,0.942863006144762
24,25,0.7,0.6872543,0.8640627,0.7097842,0.90983486,1.2079428,0.96705884,0.9565404765307903,0.9207141175866127,0.942863006144762
25,26,0.48999999999999994,0.53276974,0.7639522,0.7097842,0.7466073,1.1298614,0.96705884,0.9707352891564369,0.9306329116225243,0.942863006144762
26,27,0.48999999999999994,0.5476692,0.80504805,0.7097842,0.7652787,1.1623484,0.96705884,0.9692532606422901,0.9265865311026573,0.942863006144762
27,28,0.48999999999999994,0.527542,0.80468166,0.7097842,0.75236875,1.1880066,0.96705884,0.970281882211566,0.9233096167445183,0.942863006144762
28,29,0.48999999999999994,0.48502252,0.74077475,0.7053148,0.7219991,1.1302078,0.96701264,0.9726326297968626,0.9305903688073158,0.9428684674203396
29,30,0.48999999999999994,0.49142253,0.7434367,0.7053148,0.732357,1.1613623,0.96701264,0.9718417581170797,0.9267110452055931,0.9428684674203396
30,31,0.48999999999999994,0.49707875,0.7523647,0.7053148,0.7403392,1.1727335,0.96701264,0.9712246060371399,0.9252688214182854,0.9428684674203396
31,32,0.48999999999999994,0.50249887,0.75433743,0.7053148,0.7472194,1.1760207,0.96701264,0.9706872850656509,0.9248492866754532,0.9428684674203396
32,33,0.48999999999999994,0.505386,0.7515619,0.7053148,0.7507698,1.1830071,0.96701264,0.9704080652445555,0.9239537417888641,0.9428684674203396
33,34,0.48999999999999994,0.5052913,0.75064194,0.7053148,0.7514021,1.1786331,0.96701264,0.9703582003712654,0.9245150536298752,0.9428684674203396
34,35,0.48999999999999994,0.5048298,0.7540398,0.7053148,0.7510373,1.1838382,0.96701264,0.9703869726508856,0.9238468557596207,0.9428684674203396
35,36,0.3429999999999999,0.5045528,0.7477742,0.7053148,0.7484526,1.1896431,0.96701264,0.9705904498696327,0.9230981990695,0.9428684674203396
36,37,0.3429999999999999,0.49920017,0.7597809,0.7053148,0.7435515,1.203773,0.96701264,0.9709743540734053,0.9212605655193329,0.9428684674203396
37,38,0.3429999999999999,0.49414995,0.7506871,0.7053148,0.73955095,1.1880548,0.96701264,0.9712858460843563,0.923303410410881,0.9428684674203396
38,39,0.3429999999999999,0.4926918,0.75679505,0.7053148,0.73419607,1.1964791,0.96701264,0.9717001672834158,0.9222118780016899,0.9428684674203396
39,40,0.3429999999999999,0.49918762,0.73273855,0.70262045,0.7362973,1.1586872,0.9598327,0.9715379476547241,0.9270482808351517,0.9437136985361576
40,41,0.3429999999999999,0.49487948,0.75686675,0.70262045,0.7312466,1.180009,0.9598327,0.9719270840287209,0.9243387132883072,0.9437136985361576
41,42,0.3429999999999999,0.5133346,0.7833626,0.70262045,0.74756384,1.1987021,0.9598327,0.9706602543592453,0.9219225496053696,0.9437136985361576
42,43,0.3429999999999999,0.5093682,0.7546236,0.70262045,0.73350286,1.1765711,0.9598327,0.97175357863307,0.9247789308428764,0.9437136985361576
