,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.22041917,4.318826,4.1861377,0.39377066,5.899721,5.695276,0.9911234183236957,-0.7629154920578003,-0.7653231620788574
1,2,1.0,0.2177607,2.5897503,2.3983052,0.43528587,3.6702518,3.4456382,0.9891530368477106,0.31772381067276,0.35384899377822876
2,3,1.0,0.25908273,1.9946201,1.840343,0.49036938,2.793068,2.619093,0.9862340642139316,0.604877769947052,0.6266668736934662
3,4,1.0,0.30397934,1.790585,1.6576107,0.5404664,2.4784434,2.3153186,0.9832776803523302,0.6888810396194458,0.7082463800907135
4,5,1.0,0.34613028,1.6782134,1.5457556,0.5849676,2.3356857,2.1620898,0.9804105293005705,0.7236895263195038,0.7455852925777435
5,6,1.0,0.381987,1.604434,1.4684111,0.62249285,2.2471619,2.0681376,0.977816617116332,0.7442373037338257,0.7672157138586044
6,7,1.0,0.41001517,1.5639099,1.4176294,0.6517194,2.188971,2.0129926,0.9756846614181995,0.7573118656873703,0.7794642001390457
7,8,1.0,0.43139526,1.534674,1.3950303,0.67208534,2.1509573,1.9835595,0.9741412289440632,0.7656677067279816,0.7858662158250809
8,9,1.0,0.44504148,1.516264,1.3852941,0.6833682,2.125682,1.9693513,0.9732657130807638,0.7711424976587296,0.788922905921936
9,10,1.0,0.45021144,1.5025852,1.3812218,0.68521875,2.1079912,1.9633381,0.9731207266449928,0.7749359756708145,0.7902099192142487
10,11,1.0,0.4471035,1.4926538,1.3782779,0.67695785,2.0948474,1.9614674,0.9737649243324995,0.7777338474988937,0.7906095236539841
11,12,1.0,0.43526512,1.4833279,1.3752224,0.65769494,2.0845983,1.9619101,0.9752367250621319,0.7799034118652344,0.7905149757862091
12,13,1.0,0.41476616,1.4737605,1.3713998,0.6270057,2.0768983,1.9646531,0.9774938076734543,0.7815263569355011,0.7899288088083267
13,14,1.0,0.38685146,1.4645015,1.365895,0.5862103,2.0720344,1.9704821,0.9803272094577551,0.7825485020875931,0.7886804193258286
14,15,1.0,0.35536072,1.4555745,1.3607352,0.5400414,2.07035,1.9807619,0.9833039734512568,0.7829019129276276,0.7864698171615601
15,16,1.0,0.32705554,1.45068,1.3566374,0.49803394,2.0705354,1.9946482,0.9858003733679652,0.7828630208969116,0.7834653854370117
16,17,1.0,0.31019977,1.4467854,1.3536698,0.47198224,2.0693262,2.0078254,0.9872470572590828,0.7831165343523026,0.7805949747562408
