,epoch,learning_rate,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,1.0,0.0032199598,0.029661916,0.030525232,0.006430132,0.04485868,0.043958217,0.9849330559372902,0.18255382776260376,0.3499520421028137
1,2,1.0,0.017422555,0.083293796,0.030525232,0.02248743,0.13600473,0.043958217,0.8157255500555038,-6.5140533447265625,0.3499520421028137
2,3,1.0,0.014814951,0.02586843,0.023066837,0.020629447,0.03918143,0.032312047,0.84491828083992,0.376370370388031,0.6487679183483124
3,4,1.0,0.026910791,0.040427927,0.023066837,0.0351677,0.055045236,0.032312047,0.5493146777153015,-0.2308516502380371,0.6487679183483124
4,5,1.0,0.022459432,0.025169156,0.027390534,0.029348126,0.033694442,0.034851428,0.6861326098442078,0.5388069152832031,0.5913924276828766
5,6,1.0,0.033812057,0.037569467,0.027390534,0.045017034,0.051770315,0.034851428,0.261519193649292,-0.08874917030334473,0.5913924276828766
6,7,1.0,0.021839958,0.023655169,0.026000023,0.028976595,0.0322351,0.033412334,0.6940290629863739,0.5778913795948029,0.6244404017925262
7,8,1.0,0.022599012,0.026394613,0.026000023,0.030636543,0.035708208,0.033412334,0.6579693853855133,0.4820327162742615,0.6244404017925262
8,9,1.0,0.018354492,0.022055086,0.023202848,0.025359884,0.030938448,0.030025076,0.7656418681144714,0.6111668944358826,0.6967271566390991
9,10,1.0,0.015519652,0.020090833,0.019651737,0.022277243,0.028631693,0.026415922,0.8191542476415634,0.6669876873493195,0.7652547359466553
10,11,1.0,0.014561552,0.019768968,0.018695833,0.02079946,0.027372217,0.025339285,0.8423515856266022,0.6956410109996796,0.783999890089035
11,12,1.0,0.0134727415,0.019001504,0.018029252,0.019289495,0.026577216,0.024444783,0.8644101321697235,0.7130639255046844,0.7989807426929474
12,13,1.0,0.012634779,0.019775288,0.018029252,0.0180329,0.02700596,0.024444783,0.8815005049109459,0.7037315368652344,0.7989807426929474
13,14,1.0,0.011401562,0.01933309,0.018029252,0.016409975,0.026764998,0.024444783,0.9018701165914536,0.7089948356151581,0.7989807426929474
14,15,1.0,0.010885523,0.019203184,0.018029252,0.015583942,0.026764868,0.024444783,0.9115006476640701,0.7089976966381073,0.7989807426929474
15,16,1.0,0.010018202,0.019242907,0.018029252,0.014509778,0.027670864,0.024444783,0.9232802912592888,0.6889633238315582,0.7989807426929474
16,17,1.0,0.009699471,0.018583763,0.017121412,0.014062883,0.026679207,0.024175847,0.9279333725571632,0.7108574211597443,0.80337955057621
17,18,1.0,0.009703226,0.018632375,0.017121412,0.013921905,0.027637903,0.024175847,0.9293710365891457,0.6897038519382477,0.80337955057621
