,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,nfeatures,accumulated_relevance
0,0.86317044,1.3191141,1.1624335,0.9212051928043364,0.8141799569129944,0.8447751104831696,12,50.0
1,0.81749636,1.314265,1.1783233,0.9283916801214218,0.810181275010109,0.8361511379480362,13,51.0
2,0.7280579,1.2524925,1.121261,0.9417738318443298,0.8164205402135849,0.8457625061273575,14,52.0
3,0.84986615,1.2422751,1.1181189,0.921388253569603,0.8207529187202454,0.849311888217926,14,53.0
4,0.73060304,1.2054745,1.1221151,0.9413015320897102,0.8403223603963852,0.8491554707288742,15,54.0
5,0.6904347,1.1982048,1.1239628,0.9465692527592182,0.847499668598175,0.8458276093006134,16,55.00000000000001
6,0.6862875,1.1136706,1.0386964,0.9484054408967496,0.8609898239374161,0.8636696189641953,17,56.00000000000001
7,0.6712664,1.0821766,1.0230165,0.950096234679222,0.8624959588050842,0.8696450144052505,18,57.00000000000001
8,0.6312345,1.056552,0.98444676,0.95652711763978,0.8638754040002823,0.8855214491486549,19,57.99999999999999
9,0.5472063,0.9937917,0.95773894,0.9670631177723408,0.885162390768528,0.8714082986116409,20,59.0
10,0.4822807,0.9814623,0.94346464,0.973849020898342,0.894679918885231,0.8579484075307846,21,60.0
11,0.38184503,0.86680037,0.9085274,0.9821209982037544,0.9256242737174034,0.8781719952821732,23,61.0
12,0.39231855,0.86726326,0.8986849,0.9809708520770072,0.9253235682845116,0.8768257424235344,23,62.0
13,0.36414272,0.8404571,0.88190305,0.9842800460755824,0.928350530564785,0.8904782980680466,24,63.0
14,0.3424066,0.8583757,0.87649846,0.9854426886886358,0.9249996840953828,0.8942030444741249,25,64.0
15,0.3470062,0.88050604,0.87713945,0.985255304723978,0.9225163459777832,0.8876834958791733,27,65.0
16,0.47629672,0.870996,0.85939896,0.973400739952922,0.9236226677894592,0.8944572508335114,28,66.0
17,0.31642145,0.8487405,0.88620335,0.9876049440354108,0.925980806350708,0.8748846352100372,30,67.0
18,0.3657181,0.81442684,0.8822604,0.98356700129807,0.9305859729647636,0.8828791528940201,33,68.0
19,0.33045626,0.81467116,0.89701355,0.9866861011832952,0.9296062737703324,0.874902606010437,33,69.0
20,0.2491033,0.77820224,0.90474045,0.9924726663157344,0.936639368534088,0.8590677827596664,35,70.0
21,0.24792708,0.82101655,0.931218,0.992404333781451,0.9207569658756256,0.8476537466049194,37,71.0
22,0.28229403,0.7663629,0.87207776,0.9899973254650832,0.9303206950426102,0.906259462237358,41,72.0
23,0.2536517,0.76360416,0.8985409,0.9919795282185078,0.9313116073608398,0.8851360306143761,43,73.0
24,0.28343815,0.760973,0.88659763,0.9898884603753686,0.9332502335309982,0.8950143307447433,44,74.0
25,0.19547999,0.7885256,0.9540209,0.9951107897795736,0.9268523305654526,0.8464275151491165,47,75.0
26,0.3385557,0.82628465,0.90605605,0.9859297703951596,0.9220738708972932,0.8916032910346985,51,76.0
27,0.2711317,0.7941506,0.9042933,0.9907104475423694,0.9275295734405518,0.896061584353447,54,77.0
28,0.2812664,0.8178565,0.9027343,0.9899132018908858,0.9235818833112716,0.8899171948432922,57,78.0
29,0.34096032,0.7889481,0.8381483,0.9858398344367744,0.9293523579835892,0.9165344461798668,61,79.0
30,0.28523615,0.77077526,0.790937,0.9898014245554804,0.9346146509051324,0.9205557554960252,68,80.0
31,0.33196583,0.7616156,0.7942194,0.9860812667757272,0.9379063695669174,0.9241613671183586,75,81.0
32,0.42880172,0.7601835,0.82704663,0.9763748347759248,0.9275493323802948,0.92075227946043,79,82.0
33,0.35147285,0.7344274,0.8301406,0.9836357571184636,0.9304431453347206,0.9174703285098076,89,83.0
34,0.28776613,0.7207632,0.8102853,0.989428272470832,0.9352261796593666,0.9172356650233268,95,84.00000000000001
35,0.3410729,0.7388234,0.7883871,0.9852556362748146,0.9152733236551284,0.9262428432703018,115,85.00000000000001
36,0.2814939,0.73975796,0.76873624,0.9898450039327144,0.9114255905151368,0.929584950208664,115,86.0
37,0.26119658,0.75120133,0.7895876,0.9912454215809704,0.9106275215744972,0.9240694642066956,127,87.0
38,0.25327596,0.7178647,0.80318344,0.9918159022927284,0.9240761324763298,0.9242959767580032,141,88.0
39,0.25373957,0.71355534,0.7901861,0.9917742591351272,0.9294237345457076,0.9244796931743622,157,89.0
40,0.25658444,0.7100715,0.79469204,0.9915718249976636,0.9295348599553108,0.9241166040301324,175,90.0
41,0.2537902,0.704308,0.7701592,0.9916416127234696,0.9339531138539314,0.9264076575636864,196,91.0
42,0.23354861,0.7403618,0.78241676,0.992760276887566,0.9316156581044196,0.9229420274496078,223,92.0
43,0.028822344,0.8017923,0.8949607,0.9999263609497576,0.9186926782131196,0.8916130885481834,255,93.0
44,0.033271205,0.8008953,0.89300567,0.9999032450505184,0.916429877281189,0.8881621137261391,296,94.0
45,0.2422752,0.76171416,0.79658484,0.9920910205692052,0.9244863837957382,0.9135271087288857,349,95.0
46,0.20761564,0.7637449,0.7962833,0.9940040032379328,0.9241278246045111,0.914021961390972,414,96.0
47,0.12232331,1.0494413,0.9406978,0.997683099238202,0.8415785282850266,0.876109853386879,506,97.0
48,0.15616883,1.0513313,0.93911415,0.9963098864536732,0.8376934826374054,0.8742200434207916,619,98.0
49,0.1475048,1.0508897,0.940681,0.9967617178335786,0.8396609276533127,0.8737438023090363,813,99.0
50,0.041550554,1.0346501,0.99339604,0.9998299113358372,0.867767870426178,0.8732475489377975,1916,100.0
51,0.16966598,1.0572733,0.9409035,0.9957121307961644,0.835109606385231,0.8726358115673065,2750,100.0
