,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,86.73506268232296,5.026681268520845,5.4770042562239585,5.455631826254886,5.026681268520845,5.4770042562239585,5.455631826254886,6.424840323713927,6.724707045131241,6.778420923109166,-1.3631087058085471,-1.290420549808601,-1.500643555292139
1,2,0.01,29.870353053166316,3.511373851543818,3.5205445174692835,3.607987457804937,3.511373851543818,3.5205445174692835,3.607987457804937,4.341771983269432,4.348058223997108,4.475461341391314,-0.07917790899726418,0.04245499626082183,-0.09011005008607698
2,3,0.01,12.06593122237768,2.0245676774245043,2.2650725129024534,2.242965609371509,2.0245676774245043,2.2650725129024534,2.242965609371509,2.563431738499249,2.9875368549222316,2.8374137279730767,0.623814079551878,0.5479410878054195,0.5618326080366602
3,4,0.01,6.251146531716371,1.626749942241571,1.8320331498405926,1.883133584245618,1.626749942241571,1.8320331498405926,1.883133584245618,2.0931116885357803,2.5088679621441727,2.6637383105040975,0.7491905887347472,0.6811957488878793,0.6138306179921291
4,5,0.01,4.650670688580244,1.3570558193402413,1.6780120687497,1.6792895839882387,1.3570558193402413,1.6780120687497,1.6792895839882387,1.801517048181568,2.3639024547040117,2.3435395698779313,0.8142042499845618,0.716973177390059,0.7010907842718297
5,6,0.01,3.522422713499803,1.1886273824251614,1.5157044836365472,1.5101744763955358,1.1886273824251614,1.5157044836365472,1.5101744763955358,1.6231462754811117,2.1203638611814295,2.220890729841598,0.8491746499353561,0.7722862371575197,0.7315588404874285
6,7,0.01,2.8176220245850394,1.2835225239778176,1.6467092532118672,1.5101744763955358,1.2835225239778176,1.6467092532118672,1.6159098862375882,1.701059196907713,2.2592360815022854,2.226798983436076,0.8343475446317761,0.7414814428575938,0.7301286682838937
7,8,0.01,2.855549582456931,1.3270638967171693,1.666966182560418,1.5101744763955358,1.3270638967171693,1.666966182560418,1.6960960721601863,1.748967360877985,2.3502610312488685,2.4307993253533744,0.824885369359972,0.7202302903655154,0.678417107135183
8,9,0.01,3.5402184902093348,1.3464767290995672,1.6673766624345265,1.5101744763955358,1.3464767290995672,1.6673766624345265,1.67977556685862,1.7526486208540557,2.328302286254152,2.4267439553521366,0.824147424303534,0.725433706020725,0.67948922340455
9,10,0.01,3.7990308883862616,1.3687767768517518,1.7484174076573096,1.5101744763955358,1.3687767768517518,1.7484174076573096,1.6255134151037065,1.788188457044217,2.277564206616708,2.3089012271728984,0.816943313416576,0.7372699487707688,0.7098614525086562
10,11,0.01,2.8581293729635386,1.1881921181311974,1.5699125370513505,1.5101744763955358,1.1881921181311974,1.5699125370513505,1.581788956046411,1.5663493079250068,2.174535111538132,2.583984310326994,0.8595453046983319,0.760502303060778,0.6366087481255257
11,12,0.01,2.25811384946872,1.0764320666973408,1.5093312439697875,1.5048110809914557,1.0764320666973408,1.5093312439697875,1.5048110809914557,1.4648774238340423,2.0352257391775437,2.5967007643653583,0.8771538374469127,0.7902057091789333,0.6330232628580619
12,13,0.01,1.964588033541655,1.0417766461005578,1.4200299897046813,1.4752243300636507,1.0417766461005578,1.4200299897046813,1.4752243300636507,1.3569934999588342,1.9069685592506276,2.577819690273721,0.8945820521481683,0.8158144488107787,0.6383405673166817
13,14,0.01,2.0728599768418534,1.0722049224071013,1.5422266554709878,1.4752243300636507,1.0722049224071013,1.5422266554709878,1.5801835519795553,1.3967000177228814,2.1624048198203956,2.532957767864336,0.8883225985185438,0.7631668485858242,0.6508189865934091
14,15,0.01,2.1186913245763535,0.9712731752640161,1.4316997036222934,1.4752243300636507,0.9712731752640161,1.4316997036222934,1.3800966065463187,1.2931278781035016,1.9455003625590177,2.2914261009112478,0.9042713416816281,0.8082960220903168,0.7142367116405954
15,16,0.01,2.1009648592044146,1.3960395415623983,1.8136432659656652,1.4752243300636507,1.3960395415623983,1.8136432659656652,1.7808698127692646,1.7313046070824658,2.3317042141941875,2.5314052485774328,0.8284044613667432,0.7246307715089868,0.6512469006531594
16,17,0.01,3.0260107480562652,1.2214950524843655,1.6232988238334656,1.4752243300636507,1.2214950524843655,1.6232988238334656,1.5888989308805883,1.5801424017653118,2.1530862423938055,2.4158812777511174,0.8570607571895683,0.7652036483315029,0.6823521649057012
17,18,0.01,3.048563650326851,1.0105285510038717,1.5114147955776793,1.4752243300636507,1.0105285510038717,1.5114147955776793,1.5397968378042501,1.343468421950722,2.0721239467500494,2.4793313510200043,0.8966729694648047,0.7825297007841512,0.6654478174033948
18,19,0.01,2.879316968795581,1.4933361389698125,1.823677296350425,1.4752243300636507,1.4933361389698125,1.823677296350425,1.9133856569280354,1.822011380849755,2.402352180671873,2.9690015960055076,0.8099529233132783,0.7076912325730507,0.5202493348866575
19,20,0.006999999999999999,2.1574199395302016,1.2729371905326843,1.6610799814864112,1.4752243300636507,1.2729371905326843,1.6610799814864112,1.6015579816921204,1.6231283105081198,2.183704328884106,2.6077864434520994,0.8491779885849732,0.7584782968238162,0.6298832243717588
20,21,0.006999999999999999,1.7753097778711564,0.9036467839510013,1.4001022128335614,1.4600207165151757,0.9036467839510013,1.4001022128335614,1.4600207165151757,1.201356153623621,1.975417993252681,2.767005977192336,0.9173766922751675,0.8023546946412151,0.5833082347009068
21,22,0.006999999999999999,1.5436607788770627,0.7895272554495396,1.3145852672716645,1.353715943186939,0.7895272554495396,1.3145852672716645,1.353715943186939,1.0714580314000994,1.8258320962279655,2.589675838884543,0.9342782147468591,0.8311542369620213,0.635006161404847
22,23,0.006999999999999999,1.443936893878839,1.0131165076524784,1.541403602052164,1.353715943186939,1.0131165076524784,1.541403602052164,1.4994698005960656,1.313943039267092,2.0721621659369958,2.542913193426697,0.9011646965605664,0.78252167846996,0.6480687812231005
23,24,0.006999999999999999,1.4173548991863545,0.8021418076295119,1.3714762618118816,1.353715943186939,0.8021418076295119,1.3714762618118816,1.4050097306160816,1.0983165357281583,1.9190633552095862,2.490392377104109,0.9309419887542751,0.8134706753784945,0.6624560874722405
24,25,0.006999999999999999,1.470216330503806,0.9903580188751221,1.467745106600244,1.353715943186939,0.9903580188751221,1.467745106600244,1.5620228536331255,1.2559997641746885,2.016973992543977,2.7281433213021695,0.9096895224864074,0.793951674628373,0.5949309258355501
