,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,51.36726940328982,3.4966045879904244,3.55812598503742,3.4094184904682394,3.4966045879904244,3.55812598503742,3.4094184904682394,4.418025113134946,4.507884353683507,4.377699645375065,-0.02474585984718436,-0.10420223514997318,-0.1708561777470834
1,2,0.01,13.825211015969572,2.4265342048903498,2.7116209723285793,2.5886818876071853,2.4265342048903498,2.7116209723285793,2.5886818876071853,3.152912644311963,3.5619521967554006,3.503108775772982,0.4781043363171872,0.3105873257315698,0.25024585566613644
2,3,0.01,7.6325260955857095,1.7458485637479817,1.9644636327458411,1.9818879560548432,1.7458485637479817,1.9644636327458411,1.9818879560548432,2.2716399649694834,2.6058877436317287,2.5660028891304796,0.7290814058782542,0.6310100850763443,0.5977223436439213
3,4,0.01,5.316951080706921,1.5282297228572457,1.6986610213505853,1.7016770705884816,1.5282297228572457,1.6986610213505853,1.7016770705884816,2.041510756855053,2.3602471922937696,2.220609995037454,0.7811920198099097,0.6972960631796896,0.6987297764170471
4,5,0.01,4.180873194028723,1.409168824295088,1.6181254497508413,1.6396569378521977,1.409168824295088,1.6181254497508413,1.6396569378521977,1.8708935218425249,2.1962759690598004,2.1424530586964057,0.8162370498660484,0.7378940322709522,0.7195636798000637
5,6,0.01,3.640145596741252,1.2727722449415988,1.411721379486556,1.5021181605300125,1.2727722449415988,1.411721379486556,1.5021181605300125,1.70637568632081,2.039731261485435,2.0064693150875996,0.8471346268785513,0.7739268456404964,0.7540330962886939
6,7,0.01,3.183102401618247,1.4241460855755963,1.5669273340824954,1.5021181605300125,1.4241460855755963,1.5669273340824954,1.5105789279451176,1.8375921147308771,2.2073062830891876,1.9933901867535442,0.8227206914314934,0.7352546816980462,0.7572293052665432
7,8,0.01,2.787403432237237,1.1947550353287273,1.40718437715904,1.4114556884279057,1.1947550353287273,1.40718437715904,1.4114556884279057,1.6220308536135524,2.1267870929757042,1.839911803498167,0.861873173510499,0.754217406903305,0.7931737583180066
8,9,0.01,2.6643879326322404,1.2250448488316326,1.3470216055506283,1.4453976762538054,1.2250448488316326,1.3470216055506283,1.4453976762538054,1.6553277155340913,1.9744981904576153,1.9397704354867233,0.8561440646247256,0.7881558039684827,0.7701141178755881
9,10,0.01,3.19875843554027,1.071507891631693,1.2864000723534024,1.3106692275222467,1.071507891631693,1.2864000723534024,1.3106692275222467,1.4517814601025865,1.8402287765723309,1.7679926343373515,0.8893472264996941,0.8159877544129626,0.8090267531033641
10,11,0.01,2.7707656598198316,1.2282131207471638,1.5751088009667151,1.3106692275222467,1.2282131207471638,1.5751088009667151,1.4635509228219792,1.6460012005951186,2.1695238135350716,1.9009334707672023,0.8577605359241522,0.74424040661098,0.7792272514703882
11,12,0.01,2.9725170766380864,1.4908145505339194,1.8976115234119375,1.3106692275222467,1.4908145505339194,1.8976115234119375,1.756495479418307,1.9602039039673735,2.5580100115305773,2.257238819784107,0.7982737981387769,0.6444443619566957,0.6887089384450041
12,13,0.01,3.3385873992395614,1.133388912899799,1.4313835925662641,1.3106692275222467,1.133388912899799,1.4313835925662641,1.4137961572530318,1.5585981168401586,2.1047479683129464,1.8382970654778326,0.8724653759285208,0.7592849257783942,0.793536627501669
13,14,0.01,2.3677705582243247,0.947317417799546,1.2197070416715956,1.236096479454819,0.947317417799546,1.2197070416715956,1.236096479454819,1.3347651736658765,1.8307933685545712,1.6666692914113015,0.9064659918484949,0.8178698894500644,0.8302888030963156
14,15,0.01,1.9149427760007218,1.0083225426493199,1.3491292245609243,1.236096479454819,1.0083225426493199,1.3491292245609243,1.2663389784949166,1.418292253286156,2.0818456681925483,1.7239964428076835,0.8943933482479363,0.764494989085199,0.8184131646049212
15,16,0.01,2.4249130135250154,1.2602429467282696,1.386259137969656,1.236096479454819,1.2602429467282696,1.386259137969656,1.406538498644926,1.6016322700035457,2.076507231907501,1.8266414911079503,0.8653254810457771,0.7657012423358545,0.7961464562277116
16,17,0.01,2.0526581752277293,0.8922955993665819,1.1698677023661506,1.102599833692823,0.8922955993665819,1.1698677023661506,1.102599833692823,1.2174442915490313,1.8395257212893532,1.528771730303637,0.9221859522129853,0.8161283304871231,0.85721028862653
17,18,0.01,2.1129513678063776,1.4117771569321227,1.6061688305176411,1.102599833692823,1.4117771569321227,1.6061688305176411,1.4779700965297466,1.8128965613415313,2.336516542336331,1.9503091411242626,0.827453615969081,0.7033524197591151,0.7676094082262978
18,19,0.01,2.9362996255425053,1.2354685605605902,1.5685138653234107,1.102599833692823,1.2354685605605902,1.5685138653234107,1.381679234456043,1.568987366043478,2.1101338712192024,1.7844043148447066,0.8707594775189558,0.7580514034537422,0.8054648166148985
19,20,0.01,1.8255401124690844,0.9622457983712777,1.3567231807512106,1.102599833692823,0.9622457983712777,1.3567231807512106,1.2057794271683206,1.2873128362537625,2.048615097190595,1.5829560523004937,0.9129982453469284,0.7719532812994792,0.8469091111375663
20,21,0.01,1.621847246997848,0.8931360807492325,1.1396283820732354,1.0793343672947007,0.8931360807492325,1.1396283820732354,1.0793343672947007,1.254840075924164,1.955289207971712,1.513678357474167,0.9173321633399014,0.7922576230974868,0.8600158604510094
21,22,0.01,2.1729114602296566,1.185205095841782,1.4202087183588559,1.0793343672947007,1.185205095841782,1.4202087183588559,1.3069962457734712,1.5575479959569716,1.9376614725254349,1.7393784015173326,0.8726371734603889,0.7959865040264968,0.8151583761362786
22,23,0.01,1.7668799146215504,0.7723664827812308,1.1529755199078433,1.0793343672947007,0.7723664827812308,1.1529755199078433,0.9872728561868473,1.1027565390998888,1.8554956829611708,1.396522368406171,0.9361561460446391,0.8129218845473131,0.8808463304363403
23,24,0.01,1.4939597802201983,0.7830483401212159,1.0416074917488491,0.975176102044631,0.7830483401212159,1.0416074917488491,0.975176102044631,1.0907575796417897,1.7525022136823085,1.400602829762147,0.9375379417293942,0.83311387131299,0.8801490093402793
24,25,0.01,1.6803846495535868,1.0435146921785046,1.288042595706035,0.975176102044631,1.0435146921785046,1.288042595706035,1.1957725821709146,1.3624749330592456,2.100469103805125,1.583202184096783,0.902542143848135,0.760262658260058,0.8468614996263492
25,26,0.01,1.5362869638928098,0.7442449585474219,1.1424320370880598,0.975176102044631,0.7442449585474219,1.1424320370880598,1.0380184394972665,1.056829565798273,1.8336286544985818,1.4441442927285106,0.9413632729452812,0.8173053355144474,0.8725814068225523
26,27,0.01,1.4685448941774069,1.0577725804456932,1.424919498335455,0.975176102044631,1.0577725804456932,1.424919498335455,1.2945698682142763,1.348162954499911,1.989793639515534,1.658138194305603,0.9045788622781056,0.7848609896912633,0.8320217410692794
27,28,0.01,1.7787504589703118,0.8727440086020517,1.2573418604958917,0.975176102044631,0.8727440086020517,1.2573418604958917,1.1657750521387373,1.1707724624210252,1.8996117210748906,1.5555054767659202,0.9280377373897739,0.8039202379966417,0.8521726749582416
28,29,0.01,1.3693721039446791,0.8399578067991469,1.186019875339626,0.975176102044631,0.8399578067991469,1.186019875339626,1.0618513311658586,1.1419661384051676,1.8225732958821357,1.4573956646437276,0.9315353701045759,0.8195017085369773,0.8702323094017814
29,30,0.01,1.5295734398626868,0.8807739368523246,1.2493688888156538,0.975176102044631,0.8807739368523246,1.2493688888156538,1.129893682440933,1.2092163776901255,2.0560798785138052,1.5274407089285784,0.9232341870755181,0.7702883317837517,0.8574588194153272
30,31,0.006999999999999999,1.3908419903839102,0.9059235254157868,1.314110556828607,0.975176102044631,0.9059235254157868,1.314110556828607,1.2520208468242569,1.1681241957160453,1.9108734109829424,1.597509532602942,0.9283629239332725,0.801588461469813,0.8440811776403687
31,32,0.006999999999999999,1.057166224653015,0.6320824055772756,1.0606871437780636,0.975176102044631,0.6320824055772756,1.0606871437780636,0.9574940423576199,0.914639655198033,1.8004392740233437,1.3766365975410175,0.9560802493753023,0.823859167092653,0.884215546212249
32,33,0.006999999999999999,1.0375581801167344,0.666746055536264,1.089800697012046,0.975176102044631,0.666746055536264,1.089800697012046,1.021660464150565,0.9473001999354598,1.7467810440876745,1.40391009289234,0.9528876172147128,0.8342017162897113,0.8795823294200874
33,34,0.006999999999999999,1.0616842955063763,0.6099429322728456,1.042731620601772,0.975176102044631,0.6099429322728456,1.042731620601772,0.9769495299884251,0.9125803944173991,1.7690227774682294,1.3598245993081857,0.956277792542398,0.8299526221398376,0.8870262835258735
34,35,0.006999999999999999,0.9472366451987412,0.6915939458303139,1.056831073515194,0.975176102044631,0.6915939458303139,1.056831073515194,0.9976133497393861,0.9536224610667731,1.8034498360736861,1.3625318315294295,0.9522566646795054,0.8232696151263642,0.8865760040777062
35,36,0.006999999999999999,0.9432865803105447,1.1658975429541036,1.475043822809593,0.975176102044631,1.1658975429541036,1.475043822809593,1.289543730872018,1.4074753269221851,2.0110474328718912,1.6531599329070128,0.8959980714186633,0.7802404698062572,0.8330288758853758
36,37,0.004899999999999999,1.0631719399279482,0.6237822665414828,1.0628716343456936,0.975176102044631,0.6237822665414828,1.0628716343456936,0.968536985163786,0.880216618974798,1.80256979799174,1.3496575846568355,0.9593239343074091,0.8234420529935944,0.8887093116695597
37,38,0.004899999999999999,0.7641965222611363,0.5808082889423358,1.0922706569592977,0.975176102044631,0.5808082889423358,1.0922706569592977,0.9344532915524074,0.8498225761597382,1.878854362613683,1.3335974307615386,0.962084539022213,0.8081820148212535,0.8913421444805527
38,39,0.004899999999999999,0.7581403599615348,0.6273531635832006,1.0432985775249521,0.975176102044631,0.6273531635832006,1.0432985775249521,0.904948032632166,0.8698096790494438,1.8531104396627367,1.2739622524346579,0.9602800874011067,0.8134025539582315,0.9008426870680226
39,40,0.004899999999999999,0.7699404157119143,0.5844747708558883,1.082330438279614,0.975176102044631,0.5844747708558883,1.082330438279614,0.9765517517011992,0.8251083313424484,1.7827269105093455,1.3605535352011269,0.9642577608235302,0.8273077967402458,0.8869051316228771
40,41,0.004899999999999999,0.7376786345997604,0.6612295893881669,1.120551990479538,0.975176102044631,0.6612295893881669,1.120551990479538,0.9865363957930584,0.9115630646024969,1.950602738271424,1.35515578961537,0.95637521982169,0.7932522704432162,0.887800717679996
41,42,0.004899999999999999,0.7863513573516081,0.7511954257789911,1.2230589131719058,0.975176102044631,0.7511954257789911,1.2230589131719058,1.1285691492411556,0.9921607349518583,1.896282548827308,1.509214111492236,0.9483198359682965,0.8046069165170182,0.8608403448538052
42,43,0.003429999999999999,0.73582699337906,0.5376885006959116,1.027321180117499,0.9112717630911846,0.5376885006959116,1.027321180117499,0.9112717630911846,0.7786408437632574,1.801108633965578,1.2774185502648465,0.9681701806362768,0.8237281729114755,0.9003039236848673
43,44,0.003429999999999999,0.6444355203849655,0.5477191169980098,1.031299796301065,0.9112717630911846,0.5477191169980098,1.031299796301065,0.91237317056072,0.7868835271302219,1.7996138719849304,1.2781569038892633,0.9674927134540352,0.82402063177371,0.9001886408231872
44,45,0.003429999999999999,0.6078044266446554,0.47871724282156297,1.0371952781972198,0.9112717630911846,0.47871724282156297,1.0371952781972198,0.891549134741024,0.7152577638504186,1.7687568237026174,1.2810591155343574,0.9731413009364386,0.8300037479269341,0.8997348584153925
45,46,0.003429999999999999,0.5881036318833811,0.6200424985542616,1.1530265623761207,0.9112717630911846,0.6200424985542616,1.1530265623761207,0.9863362215003189,0.8625735542433618,1.9191375487090194,1.3720118179303864,0.9609382145894645,0.7998685715430001,0.884992189982479
46,47,0.003429999999999999,0.6350302304605987,0.5917162508557221,1.1338295002573544,0.9112717630911846,0.5917162508557221,1.1338295002573544,0.9983548266547067,0.8051735888095485,1.8445593099101218,1.3759380804514965,0.9659639734642285,0.8151206787580139,0.8843330164304192
47,48,0.003429999999999999,0.6674066819226657,0.5593081971507234,1.054332044935718,0.9112717630911846,0.5593081971507234,1.054332044935718,0.9349787709664326,0.7816836614136865,1.7866908616842336,1.3053365974631093,0.9679209217397698,0.8265389694899543,0.8958985789202065
