,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,0.1389670045364483,0.06628751965310226,0.0701313058740085,0.06703117428993692,0.06628751965310226,0.0701313058740085,0.06703117428993692,0.0825725725106386,0.08749568373602819,0.08266565951377434,-1.4846035511112095,-2.1098501455942187,-1.2988759542167623
1,2,0.01,0.004461084358219486,0.03953719632933365,0.04256329923560939,0.04467084882210712,0.03953719632933365,0.04256329923560939,0.04467084882210712,0.052137481774507895,0.05476398163920105,0.056321671361249784,0.009429081731788802,-0.21830558728809257,-0.06712755946121018
2,3,0.01,0.0023989424469995006,0.03222414516223572,0.03163596250347255,0.03600931562939469,0.03222414516223572,0.03163596250347255,0.03600931562939469,0.04254610513569057,0.04352411676686665,0.04713483363251885,0.3403628761819699,0.23046896928140836,0.25260665773677626
3,4,0.01,0.0018453004545075776,0.0289508719894468,0.030109450681922362,0.03339610780988421,0.0289508719894468,0.030109450681922362,0.03339610780988421,0.03773477142486408,0.04001047085098065,0.04221949567668217,0.4811176254761669,0.34970033823784885,0.4003589578530994
4,5,0.01,0.0016400165847360888,0.02733959685400961,0.02917483510430326,0.02931998730922232,0.02733959685400961,0.02917483510430326,0.02931998730922232,0.036245157591544896,0.03958723475605377,0.038088037095560925,0.5212757182321202,0.3633854847610457,0.5119745723546131
5,6,0.01,0.0013100516411664854,0.030448711523277758,0.0319944036375616,0.02931998730922232,0.030448711523277758,0.0319944036375616,0.0354330627893915,0.03832122292374027,0.04101016488512721,0.04281072114280753,0.46486397109164024,0.31679783424059615,0.3834470857094051
6,7,0.01,0.001262756661041212,0.02342314243929158,0.022945377322816356,0.026049879740695565,0.02342314243929158,0.022945377322816356,0.026049879740695565,0.031861280593982334,0.03285007755066279,0.03390884783505462,0.6300764960108385,0.5616318406213454,0.6131956632089786
7,8,0.01,0.0011677667120631302,0.02460919979986045,0.02596340873806747,0.026049879740695565,0.02460919979986045,0.02596340873806747,0.027331744225657716,0.03274211142038378,0.03574360025482542,0.03564076563634793,0.6093400990512298,0.48100545577886966,0.5726739998190504
8,9,0.01,0.0010593378047268017,0.023807621147667817,0.023115246873540978,0.026049879740695565,0.023807621147667817,0.023115246873540978,0.025686610109952032,0.0315018367582407,0.03245138863823922,0.0327293303793449,0.6383760173752908,0.572207885719886,0.6396375691373696
9,10,0.01,0.0011060049427032003,0.028716426555667845,0.028959026963440413,0.026049879740695565,0.028716426555667845,0.028959026963440413,0.03275588337255984,0.0368911147400936,0.0378886707634212,0.04182271470083263,0.5040601246551526,0.4168437397027158,0.4115769097958043
10,11,0.01,0.001179709019454635,0.02302176786219377,0.02352820935937547,0.026049879740695565,0.02302176786219377,0.02352820935937547,0.026496660344454706,0.03041535786303028,0.0321770038069158,0.033884669965398954,0.6628902349847776,0.5794114868227241,0.6137470691864702
11,12,0.01,0.000953152654489159,0.022827904080456467,0.02254280017823288,0.02499861437447217,0.022827904080456467,0.02254280017823288,0.02499861437447217,0.029808004231401976,0.030922525025659977,0.031973126988155486,0.6762190672109951,0.6115670144262285,0.6560973732994566
12,13,0.01,0.0009153115302300369,0.024413776267547215,0.02550893929815784,0.02499861437447217,0.024413776267547215,0.02550893929815784,0.028201200524154976,0.033401053186223925,0.03560495043908906,0.037406658291371256,0.5934576497861024,0.4850240176200258,0.529279521392733
13,14,0.01,0.0009438735497224173,0.020865462150953484,0.022084069313462247,0.02452677245042762,0.020865462150953484,0.022084069313462247,0.02452677245042762,0.027906737087242665,0.030126794056969813,0.03205462895822267,0.7162057491434461,0.6313009310267379,0.6543418699787277
14,15,0.01,0.0008678846448159244,0.02077614261924876,0.022028247412947035,0.021725020238331387,0.02077614261924876,0.022028247412947035,0.021725020238331387,0.02870368910050858,0.03114016186958803,0.02892487219147815,0.6997652852364467,0.6060800872448127,0.7185455205046475
15,16,0.01,0.0008492773583735469,0.02522614068072349,0.026054571277087497,0.021725020238331387,0.02522614068072349,0.026054571277087497,0.02910734713077545,0.03300524565473577,0.03519446784524423,0.0383782764471007,0.6030357372984423,0.49682968760790025,0.5045085082222255
16,17,0.01,0.0010729079638256685,0.021328795698872728,0.023414948551925188,0.021725020238331387,0.021328795698872728,0.023414948551925188,0.023313662531424542,0.028678301406408684,0.03203988173481835,0.031091308923014274,0.700296150535171,0.5829885186950292,0.6748054341964492
17,18,0.01,0.0008877970700857439,0.024581706477957193,0.026839821916265588,0.021725020238331387,0.024581706477957193,0.026839821916265588,0.024651812655585154,0.03192009223093382,0.03442452710509253,0.03198658173946118,0.628709577572125,0.518604341123952,0.6558078740648305
18,19,0.01,0.0009111018253097941,0.020420661168597642,0.020700486972159947,0.02352027290937852,0.020420661168597642,0.020700486972159947,0.02352027290937852,0.027410120661640818,0.028819250957936474,0.02984338766581581,0.7262164400803081,0.6626104855112234,0.7003864097920499
19,20,0.01,0.0008586541049400142,0.021093903517370893,0.0224824729039497,0.02352027290937852,0.021093903517370893,0.0224824729039497,0.02336483038201624,0.028959180859489758,0.031360557955338535,0.03131869334206867,0.6943967152162245,0.6004843785205468,0.6700314588866785
20,21,0.01,0.000903197461638992,0.020369320284807306,0.023062757610045757,0.02352027290937852,0.020369320284807306,0.023062757610045757,0.024438104155112286,0.02742913540644793,0.031714381008909394,0.031176594314639594,0.7258364541403599,0.5914185151682643,0.6730189295185975
21,22,0.01,0.0008457471693503474,0.019094542999181827,0.021447610302069754,0.02352027290937852,0.019094542999181827,0.021447610302069754,0.021934196048853348,0.02609634387767635,0.029921236330773655,0.028612168875361232,0.7518325577960403,0.63631509780904,0.7245981665647677
22,23,0.01,0.0008422064671525283,0.019315748698602676,0.02104328618836157,0.02352027290937852,0.019315748698602676,0.02104328618836157,0.021616601518222263,0.02641096677864772,0.028878613972938918,0.02799683648350992,0.7458125704607841,0.6612191178772004,0.7363163574846796
23,24,0.01,0.0008693958207810574,0.02132628797795731,0.0225624027325935,0.02352027290937852,0.02132628797795731,0.0225624027325935,0.02455048597588831,0.028016973452074014,0.03042467269024156,0.03125989861151625,0.7139592496030104,0.6239738629995204,0.6712691989808717
24,25,0.01,0.0008060806337788859,0.02198078828357165,0.024891461600962374,0.02352027290937852,0.02198078828357165,0.024891461600962374,0.023058238686347494,0.029224311073802103,0.03231661543922726,0.029557122118195427,0.6887753153807099,0.5757538165074464,0.7061067850996291
25,26,0.006999999999999999,0.00075307427254262,0.018952186205636712,0.02180722294394503,0.02352027290937852,0.018952186205636712,0.02180722294394503,0.022107838976139924,0.026110072456115685,0.02991595022363774,0.029368807536052578,0.7515713807994573,0.6364435889927533,0.7098397650871605
26,27,0.006999999999999999,0.000806788305659864,0.019731182430367786,0.021819433293391748,0.02352027290937852,0.019731182430367786,0.021819433293391748,0.02266525066628748,0.026275232715638926,0.02915675792417322,0.028488399479037845,0.7484185511474257,0.6546617643992012,0.7269756580572544
27,28,0.006999999999999999,0.0008359021318710948,0.01902858366473179,0.022242570046297053,0.02352027290937852,0.01902858366473179,0.022242570046297053,0.020728875483785356,0.02600126301410018,0.030537891891464757,0.02701337321683611,0.7536376374184233,0.6211700469408465,0.7545161615090201
28,29,0.006999999999999999,0.0007040781071696696,0.018244115105790056,0.020318823684122144,0.02122068283509235,0.018244115105790056,0.020318823684122144,0.02122068283509235,0.02521279038659328,0.028278295454216073,0.0272220840769375,0.7683526704900313,0.6751576385015696,0.7507081905999654
29,30,0.006999999999999999,0.0006627076226642491,0.018618955509587597,0.021553100077147336,0.02122068283509235,0.018618955509587597,0.021553100077147336,0.02183620175536798,0.02543250884568209,0.030136681638169117,0.028146853720402543,0.7642976676981799,0.6310588780418003,0.7334829607805908
30,31,0.006999999999999999,0.0007320463894546395,0.01774872049890272,0.020534894822799053,0.02122068283509235,0.01774872049890272,0.020534894822799053,0.021804819301683074,0.024600531425494575,0.028106968446471845,0.02871462325837281,0.779466561294,0.6790818973926044,0.7226223189341383
31,32,0.006999999999999999,0.0006697600193636632,0.01805369514797311,0.020662321565077475,0.02122068283509235,0.01805369514797311,0.020662321565077475,0.02063354302425774,0.02455885230011011,0.02820877897870141,0.026857065842670745,0.780213199996751,0.6767527940222715,0.7573488267297146
32,33,0.006999999999999999,0.0006605001977257857,0.01847401952314775,0.02119304009319581,0.02122068283509235,0.01847401952314775,0.02119304009319581,0.019997222691166158,0.025062353190744454,0.02939151532818193,0.02627235293204236,0.7711087644581126,0.6490783534613205,0.7677994698184227
33,34,0.006999999999999999,0.0006249959986371586,0.019350946983161,0.02162044994609872,0.02122068283509235,0.019350946983161,0.02162044994609872,0.022028680662719572,0.025985754099768867,0.028860231596393355,0.028172666434514135,0.7539314441675726,0.6616502753899319,0.7329939055759351
34,35,0.006999999999999999,0.0006800602966223891,0.020287850458957327,0.02195316307323495,0.02122068283509235,0.020287850458957327,0.02195316307323495,0.024319871955988358,0.026496843986765103,0.02907787530025302,0.031080338046453288,0.7441568646230149,0.6565278385477953,0.675034889958817
35,36,0.004899999999999999,0.0006371595563011707,0.018038003545735384,0.02032996790925252,0.02122068283509235,0.018038003545735384,0.02032996790925252,0.020957864364799187,0.024472528894310175,0.027669485380429123,0.027948342838788384,0.7817555685623487,0.688994286683529,0.7372290253604024
36,37,0.004899999999999999,0.0006355759071064461,0.01837649116473238,0.020384025020697683,0.02122068283509235,0.01837649116473238,0.020384025020697683,0.019450280131125937,0.02492086187422727,0.02802411613062853,0.025914259159410785,0.7736859129740288,0.6809710815263134,0.774086146711073
37,38,0.004899999999999999,0.0005877467662493196,0.016419746933951162,0.019148665605132113,0.019672970382534728,0.016419746933951162,0.019148665605132113,0.019672970382534728,0.023096990829907574,0.026854314015193646,0.026079607047835934,0.8055999933970286,0.7070494420747669,0.7711940285459937
38,39,0.004899999999999999,0.0006123670329284174,0.01773111082914937,0.020281776632230308,0.019672970382534728,0.01773111082914937,0.020281776632230308,0.02048438179249666,0.02434761423497485,0.027655349732604476,0.027941541859354123,0.7839778442129308,0.6893119755890504,0.7373568957366423
39,40,0.004899999999999999,0.0005703551857036885,0.017094926376257022,0.020063513947516372,0.019672970382534728,0.017094926376257022,0.020063513947516372,0.021214278680937632,0.023297544185394925,0.02679496236805545,0.027918368738506432,0.8022093491080255,0.7083429313979313,0.7377923575037091
40,41,0.004899999999999999,0.0005995059158523222,0.01718902419451038,0.020258489650549348,0.019672970382534728,0.01718902419451038,0.020258489650549348,0.01905000361861015,0.023957144158056103,0.02808580407643618,0.026271392944640908,0.790851110086251,0.6795650140481747,0.7678164386458148
