,epoch,learning_rate,loss,train_error,val_error,test_error,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r_squared,val_r_squared,test_r_squared
0,1,0.01,45.78789192939616,3.0091162789840307,3.001201399822825,2.9824291431173986,3.0091162789840307,3.001201399822825,2.9824291431173986,3.8343689799165093,3.8834594929004416,3.709051019918664,0.22812385866166018,0.18051567863953455,0.15950091714645942
1,2,0.01,10.813026209557448,2.111236830973518,2.1927581042358555,2.002148457935878,2.111236830973518,2.1927581042358555,2.002148457935878,2.6606290629727134,2.781005737851081,2.5609694195450343,0.628354846702035,0.5797508345301345,0.5992990109050704
2,3,0.01,7.296321711328907,1.9898193397809851,2.13652208908317,1.933959228651864,1.9898193397809851,2.13652208908317,1.933959228651864,2.585589496773936,2.740917776667877,2.504164739257844,0.6490227540638989,0.5917792230065375,0.6168777087799424
3,4,0.01,6.101700719687598,1.8860780764789864,1.975239557089265,1.913857484350399,1.8860780764789864,1.975239557089265,1.913857484350399,2.4444317464538994,2.639923067225385,2.3514413161005723,0.6862991880630963,0.6213084351905664,0.662184230675283
4,5,0.01,6.936210239400601,1.7726648226715314,1.9220353278917135,1.7346105380934111,1.7726648226715314,1.9220353278917135,1.7346105380934111,2.3207509339385357,2.510847688770561,2.2162339987190016,0.7172407117477674,0.6574343387518062,0.6999159895712557
5,6,0.01,5.246289981506387,1.9419502825329682,2.1263390103566278,1.7346105380934111,1.9419502825329682,2.1263390103566278,1.8836923302436361,2.545944980655475,2.7763233190278696,2.4375322387435463,0.6597032196402148,0.5811648021349686,0.6369952014500584
6,7,0.01,6.071948290330597,1.6319578953407938,1.8308565800951928,1.5697380961204062,1.6319578953407938,1.8308565800951928,1.5697380961204062,2.110283669124432,2.392150953852604,2.0044766033559,0.7662016250791636,0.6890573800721538,0.7545214144909592
7,8,0.01,4.676492607126499,1.4324557471137516,1.5433777484697164,1.3723603000446243,1.4324557471137516,1.5433777484697164,1.3723603000446243,1.8985499780529762,2.1267199175442233,1.750664063135049,0.8107639473791242,0.7542329329435467,0.8127519675696255
8,9,0.01,4.028412707279183,1.6964956492893803,1.7740813850127544,1.3723603000446243,1.6964956492893803,1.7740813850127544,1.6052920137132918,2.215911139740005,2.312155378666192,2.0477958566461347,0.7422109336934624,0.7095060304415406,0.7437965644304336
9,10,0.01,4.4986806430338895,1.7416933513101125,1.8116339408245283,1.3723603000446243,1.7416933513101125,1.8116339408245283,1.600633487409475,2.206073646996361,2.3437882337510048,2.0098370937201446,0.7444947516387773,0.7015030972093723,0.7532067120896045
10,11,0.01,5.618841345216803,1.8181839728095093,1.8204138217513095,1.3723603000446243,1.8181839728095093,1.8204138217513095,1.7401663624510473,2.275151783428503,2.3260156284736775,2.1963958196528863,0.7282431107689797,0.7060128509282326,0.7052642300993169
11,12,0.01,4.698784743966241,1.54080547096642,1.6136548199604468,1.3723603000446243,1.54080547096642,1.6136548199604468,1.4520175724613422,2.0010034563622523,2.171050895670787,1.8104799203725932,0.7897889751218347,0.743880232309851,0.7997377670576277
12,13,0.01,4.928694293065644,1.4117883257017583,1.527527088971482,1.3158165484058613,1.4117883257017583,1.527527088971482,1.3158165484058613,1.8829835312091396,2.03422571737125,1.7227486676318586,0.8138543656172251,0.7751456100831643,0.8186759233255466
13,14,0.01,4.254110192364427,2.071086577214564,2.112044095993042,1.3158165484058613,2.071086577214564,2.112044095993042,2.0076625663406995,2.5823616723008294,2.6819074335412063,2.4592159915135947,0.6498985201506267,0.6091675114642303,0.6305080527767903
14,15,0.01,4.436121850267924,1.3056600887804515,1.4166398564564813,1.1686711141041346,1.3056600887804515,1.4166398564564813,1.1686711141041346,1.7612742083742507,1.940100351459086,1.5162490907048927,0.8371402503276969,0.7954726089426791,0.8595399767065105
15,16,0.01,4.092722050869549,1.3972443611712202,1.4189019313792592,1.1686711141041346,1.3972443611712202,1.4189019313792592,1.2387283298434044,1.8290026800489168,1.94393698705521,1.539307190559771,0.8243741271338215,0.7946628848939477,0.8552354497449476
16,17,0.01,3.357263821091649,1.4434046977287542,1.5247175152768795,1.1686711141041346,1.4434046977287542,1.5247175152768795,1.4842956382401136,1.9433814170386638,2.14185150181445,1.878475720638722,0.8017213728607192,0.7507232325620474,0.7844128846157775
17,18,0.01,3.492028841852912,1.258865340137298,1.296980000033821,1.13019234063674,1.258865340137298,1.296980000033821,1.13019234063674,1.7101452013518306,1.8232984657072604,1.4587552288587795,0.8464584981776421,0.8193580457777945,0.869990083073177
18,19,0.01,3.3830797633990004,1.2828556689683184,1.3897597888081343,1.13019234063674,1.2828556689683184,1.3897597888081343,1.1714329889842443,1.6979904391454157,1.891668289882422,1.4990844601818671,0.8486333173341433,0.805556666701528,0.8627021192901262
19,20,0.01,3.6118111833977866,1.385063067183865,1.510199954829265,1.13019234063674,1.385063067183865,1.510199954829265,1.1707768634873994,1.8229677645233804,2.0117606937417154,1.5277382858746373,0.8255311934784385,0.7800845573521507,0.8574032740827873
20,21,0.01,3.196569943014597,1.368175089703819,1.5205395283158292,1.13019234063674,1.368175089703819,1.5205395283158292,1.3914278027962665,1.8109218803420442,2.0735851040918822,1.7297620013095585,0.8278293003937209,0.7663602038603012,0.8171965725605359
21,22,0.01,3.2543861912701018,1.2364795645154587,1.357082554974507,1.13019234063674,1.2364795645154587,1.357082554974507,1.0800823763925202,1.6737741924948335,1.895784688408425,1.388748423842528,0.8529200252626097,0.8047095021917499,0.8821692105670803
22,23,0.01,3.086559628628735,1.2125233861982019,1.4363203589449223,1.13019234063674,1.2125233861982019,1.4363203589449223,1.1680769531094297,1.6496864412265368,1.9839795968472078,1.5185696389524455,0.8571229015720969,0.7861163962260602,0.8591097127292783
23,24,0.01,2.938887560451804,1.1221513183896328,1.258358549825924,1.0449770202442092,1.1221513183896328,1.258358549825924,1.0449770202442092,1.5345899738620477,1.8220256483209545,1.3577996817626972,0.8763641198461853,0.8196101646393236,0.8873624917919449
24,25,0.01,2.694289820119212,1.0834773794228094,1.317801121583919,1.0449770202442092,1.0834773794228094,1.317801121583919,1.059571548384063,1.4892845241596742,1.8467063560052095,1.3408388280258785,0.8835565229529845,0.8146900334087392,0.8901589224303877
25,26,0.01,2.999417692556853,1.1451425334162335,1.3503581568137886,1.0449770202442092,1.1451425334162335,1.3503581568137886,1.126004888086903,1.5337641423751855,1.849721443515493,1.4213121741171995,0.8764971520326863,0.8140844342833244,0.8765785679573106
26,27,0.01,2.8270193178376557,1.3115905618238848,1.5561599866631104,1.0449770202442092,1.3115905618238848,1.5561599866631104,1.3017278301472566,1.7829672235210714,2.184593481905907,1.6508985494185042,0.8331037682395948,0.7406750177006576,0.833485368306804
27,28,0.01,3.3624999636476747,1.3024317018481961,1.4941432500622935,1.0449770202442092,1.3024317018481961,1.4941432500622935,1.2805532362996315,1.729800148376625,2.006152240986662,1.6640043257435695,0.8429088669807642,0.7813090232022285,0.8308310977522035
28,29,0.01,2.92093070684983,1.348035996359897,1.4821616337471402,1.0449770202442092,1.348035996359897,1.4821616337471402,1.273887502903841,1.7510100065746306,2.0331997268821254,1.5746393182654885,0.8390329192270976,0.7753723698625805,0.8485135416738556
29,30,0.01,3.3647598791520568,1.1881103939020872,1.3842047489795488,1.0449770202442092,1.1881103939020872,1.3842047489795488,1.1914958783558436,1.5753587443370918,1.90670704242041,1.5021930524663043,0.8697077008130654,0.8024527305453993,0.8621321105062332
30,31,0.006999999999999999,2.609992713138088,1.1301439210399267,1.25231061768286,1.0918772147626292,1.1301439210399267,1.25231061768286,1.0918772147626292,1.526994606641293,1.7631941705468497,1.3949238180795411,0.8775849488821326,0.8310713262341509,0.8811189563931261
