,AA,BB,BA,train_mae,train_mae_stderr,val_mae,val_mae_stderr,test_mae,test_mae_stderr,train_r2,train_r2_stderr,val_r2,val_r2_stderr,test_r2,test_r2_stderr,best_mae_test,best_r2_test,nfeatures,accumulated_relevance
0,5,4,2,0.8538027667815514,0.010608638230134958,1.1454061562253028,0.0048506653820220725,1.1287916307546655,0.01051214571762289,0.9293179828654257,0.001304448219540024,0.8709879783959222,0.0026144086387541797,0.871298777157891,0.0020996420820077635,1.0811487095696586,0.8755587346990421,12,50.0
1,6,5,3,0.823170760616555,0.009266172824615606,1.0914223700454557,0.007303124848639809,1.0926520627372118,0.008605928109081567,0.9331442894536528,0.0011414296547395749,0.8879810966216889,0.0018774093312707155,0.8788521188427934,0.00146052960402125,1.051788140316399,0.883873985286597,14,55.00000000000001
2,7,7,3,0.9336302440290506,0.01096434209204373,1.1425592813295187,0.013522329288029844,1.1597211037363324,0.011891807735871457,0.9173369590778961,0.001707904340983309,0.8785525456946823,0.0032673070606967646,0.8620057138629157,0.001984857877892505,1.1028386038176867,0.8664259930916234,18,60.0
3,7,8,6,0.8587474117389305,0.013816687853034543,1.1326358483009733,0.008435407401976437,1.1162342721102188,0.008332239168449718,0.9283197370990954,0.001859667048166561,0.8808093303891524,0.002177289153941656,0.8705138470682303,0.002055655818250585,1.0811066773473,0.8803877847995956,22,65.0
4,8,9,10,0.7826170040386644,0.008014424568291956,1.0550548822609422,0.01052389991012096,1.0363829212529319,0.008208697396069992,0.9396509825238686,0.00096705080054125,0.8806395292328558,0.0028732603303330564,0.8895236367849305,0.0015096004828654367,0.9894299227364208,0.8964273311016318,30,70.0
5,14,9,12,0.6392667523085802,0.007722249628636555,0.965348880069772,0.012118458417182378,0.8715424861226764,0.010208551378238987,0.9552489205288994,0.0008187323228542185,0.9039099411476528,0.0026452834808353125,0.9187415326862055,0.0015252754812276922,0.8168045939231405,0.9266067896426108,39,75.0
6,19,12,15,0.5957654100009548,0.01686232368632604,0.9292540348682208,0.0125323588782216,0.8380360681183483,0.010578514442846217,0.9602664191450063,0.0019292607031253172,0.9075590319336138,0.0035487412041258293,0.9260455101637339,0.0016875114975798454,0.7783179076350465,0.9350302926081672,54,80.0
7,30,15,18,0.669490623137242,0.005616420924763653,0.9474673171633297,0.012401673283568388,0.8697194268508834,0.009182841923462642,0.9519134015583562,0.0006717959145334488,0.9035692647811624,0.002887118212796644,0.9208473562983215,0.0013537540666625773,0.8009788406138517,0.9320713417172464,78,85.00000000000001
8,44,20,29,0.6941593766289027,0.005428428567179113,0.9827224830991215,0.010744591046701087,0.8797433427401952,0.009039265849969402,0.948413500799371,0.0007834796467506089,0.8889119687765101,0.004137163116396753,0.9186175877639281,0.0017744603492767647,0.8189207777685049,0.9294246244742655,107,90.0
9,63,34,64,0.7171863409672017,0.00967297686478086,1.0178962633781825,0.0081978027239398,0.8974431297000575,0.01175875057329261,0.9453850608789871,0.0015807021064257092,0.8862689271752661,0.002250657284477575,0.9158920281818291,0.0017367288015285728,0.8250223605000243,0.9258093670606544,155,95.0
10,163,125,244,0.8502230413310713,0.013919359824975998,1.1030762421716118,0.014828555525482857,0.9818026417372178,0.008045928786571495,0.9237021159993428,0.002716257296950309,0.8568539597601692,0.0035533283397857114,0.901029598361573,0.0017468430047626552,0.9337509310975368,0.9113494897572928,532,1.0
11,280,252,280,0.8462156027651169,0.01653423555146988,1.0900231730077685,0.009991373567930234,0.9581354141235352,0.011233389468576035,0.9261196587493394,0.002882053149877743,0.8597304435488402,0.003255003290659997,0.9067589620445867,0.0019450959522783343,0.9044208258998636,0.914842147293926,671,1.0
