,AA,BB,BA,train_mae,train_mae_stderr,val_mae,val_mae_stderr,test_mae,test_mae_stderr,train_r2,train_r2_stderr,val_r2,val_r2_stderr,test_r2,test_r2_stderr,best_mae_test,best_r2_test,nfeatures,accumulated_relevance
0,7,4,4,0.014378609776726508,0.0005174619558560412,0.01924321967916383,0.00021210202168646053,0.02017440285001477,0.0002866623541402245,0.846120971401033,0.009223999719662158,0.6970125507991178,0.007394076521010612,0.7537984607870212,0.0060490398873861255,0.0187809716682044,0.7758069543828632,15,50.0
1,10,5,5,0.012512165510891751,0.0004344878635690233,0.01833337118330683,0.0001395571106103277,0.018574115238627557,0.0001288483349317548,0.8803165604323901,0.006855518893411768,0.7471132417811893,0.006468373259413621,0.7759867596191024,0.004353897938992034,0.0177837795749002,0.799017955656161,20,55.00000000000001
2,12,7,7,0.01342029463961553,0.0002567520491795412,0.01797198315256644,0.00019344354767218523,0.01929716060356213,0.00023376622750853385,0.8680383668238025,0.004508150208217803,0.7457399938575354,0.006112083615917006,0.7631824246438207,0.004394135996141866,0.0179583320812303,0.7858645725735127,29,60.0
3,16,9,9,0.01205204055335322,0.0006369132358494485,0.01741338261623968,0.0002225888955649111,0.0185273446598831,0.00024760729200458973,0.8851472517676529,0.01138866653012294,0.764677845689367,0.008915054807551876,0.780258000828554,0.005166800030966657,0.0175879974754489,0.7861334999617828,42,65.0
4,20,12,14,0.01369140865562351,0.0003843144471323572,0.017952093359121298,0.00026697555728146617,0.01888453768832337,0.0002497882782080791,0.8597323966263902,0.0069237987802145545,0.7540298301579945,0.008984486984540048,0.7743798507120487,0.004998792013853281,0.0172419560198881,0.7989808981910482,61,70.0
5,24,17,22,0.01407185329714104,0.0003143182600510715,0.01809064441734978,0.00014987514344439584,0.018339944189908503,0.00021190449746338083,0.8508872980530283,0.0062284448651494986,0.7395352100753418,0.008638630380070025,0.7885220748071785,0.004694175822654338,0.0172593587515305,0.8082614784369782,93,75.0
6,36,22,32,0.014407019325763448,0.0003895213625641457,0.018599769258007527,0.00022661195598792274,0.019330315231060453,0.00039586085980371623,0.8423879020172587,0.007601545650780802,0.7125018345055621,0.007605141668586032,0.7622494272870263,0.00796440903244502,0.0169587275203393,0.8093737334576027,145,80.0
7,49,26,45,0.01571148732340935,0.0004096868965982204,0.01944658593418666,0.0003150924667530187,0.019732669299962518,0.00036149770521694616,0.8159796754185047,0.00899453857875656,0.6881573209644251,0.010258121007389044,0.7542107078226469,0.006429389360361881,0.01775609595435,0.7873574947270277,145,85.00000000000001
8,65,33,71,0.016744851181732162,0.00030768770257576765,0.02032577647376301,0.00022140587910232017,0.02069789840250595,0.0002678378850043131,0.7932613835128622,0.006722925696983574,0.6446694880713129,0.00951833497760251,0.7372595592690415,0.0059397370623714635,0.0193877578998098,0.762963474550862,165,90.0
9,93,54,127,0.01759555323352087,0.000268485582906564,0.02116277451367717,0.0004201060008428131,0.02203561018924317,0.00038424494777224724,0.7771812246837897,0.007111821197015351,0.620432805876557,0.014264176524659769,0.7098848091479913,0.007888624988639726,0.0203989975306452,0.7462415149336614,247,95.0
10,160,112,238,0.02077534872902148,0.0005932220826083022,0.02375173538001537,0.0006879189081826277,0.02533756801668474,0.0007452053112292913,0.7041636960685115,0.016486541245960266,0.5352419268499912,0.023287283393007622,0.6141989492403311,0.02670517842185334,0.0224221002082435,0.6718289985182717,510,1.0
11,280,252,280,0.022914794564017384,0.0004110844918789672,0.025056483788588567,0.00044224293077338455,0.027796488392109714,0.0006297180790225453,0.6506030970019302,0.011139031438840635,0.4985361909053293,0.014186706852227872,0.5509946440746409,0.019083013300271175,0.0250613230223558,0.6447909429189276,671,1.0
