,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.04317483540382747,0.041570392197099466,0.04405570325260966,0.05179633104020043,0.0027424209302068887,0.0025698562723906714,0.04213807229149627,0.04191142128219486,0.039565102635771954,0.0552033274180157,0.0026082733291456664,0.002592805606848238,0.041014592681128365,0.04219318225431795,0.044412945144266414,0.04884267523121355,0.0024988631278489663,0.0026382441884505335,0.041516076301720745,0.04196323834317722,0.03663865455132631,0.04906092171161458,0.0025467358867705438,0.002628425003012595,0.04242907691756411,0.041804850184566575,0.04584474393014604,0.045923107166792376,0.0027129131346214056,0.0025915520631937523
1,2,0.04219455546814192,0.040433485600298774,0.08441088055997514,0.099881376490917,0.002626649662710981,0.0024395344230824156,0.041177414430845355,0.04075088666942368,0.08136461277784934,0.10436297497254443,0.0024947575169087972,0.002457896780950563,0.04003509122370832,0.041041673787006024,0.0867437103109252,0.09914975942815607,0.0023881680449561087,0.0024987064179216273,0.040664152093439765,0.04093191396579767,0.07378529860616112,0.09335886592282994,0.0024485352563067176,0.002505984116098591,0.041295826919540826,0.04064150891576234,0.09326376531703773,0.09700388973816054,0.0025780884453132182,0.0024528017083148366
2,3,0.04129000388585659,0.03936137052875168,0.12198961423616361,0.14388457783777764,0.0025188434797410097,0.0023202753369932923,0.04024746345278192,0.03963079223605731,0.12053815302477289,0.15056087882539848,0.0023883731065602455,0.0023311158686014867,0.03908163102658476,0.039896109602890424,0.12675501243983223,0.14771863015420517,0.0022835383651387685,0.002363989965032246,0.039709551444939185,0.03987053297584813,0.11422396356249065,0.13846692264961147,0.0023416318604584964,0.0023813040531534576,0.040291742901380996,0.039564297765861345,0.13358103114080466,0.14220261437758486,0.0024634559058920734,0.002330028744235196
3,4,0.040377124641171935,0.0384625765400335,0.15330543730576818,0.179682258880417,0.0024290043866840704,0.0022232551522207654,0.03931368425381946,0.038605689145849234,0.15846892493992437,0.19100185376519396,0.002285363708409776,0.002220133696867375,0.03818522121317872,0.038851688369870005,0.16039747669942173,0.18868531779543296,0.002195563216206936,0.0022503598401569414,0.03870316459879538,0.038808986983265584,0.15862163137460183,0.18162371542701117,0.002224262470000588,0.002262017344072027,0.039388795781897384,0.038648817442754814,0.16915439936687016,0.1780568858585353,0.002362311509014013,0.0022326380497023498
4,5,0.03962198181793048,0.037522421373704866,0.18388340777464074,0.21723432878373572,0.0023412820512902503,0.0021214801585760323,0.03855294820686037,0.037694075858479476,0.18861677938989818,0.22665115396607305,0.002203490543545993,0.0021223013186177212,0.03735255226996543,0.03783779771722522,0.1928537940039894,0.22876169661137435,0.002110689845260743,0.002139199182764116,0.03797642805431168,0.0378306248268343,0.19179676416292568,0.22008269403918368,0.0021365609013009918,0.002155715538538376,0.03853400290627399,0.037694408000949926,0.20203179849334496,0.21523444225669874,0.0022688324579319174,0.0021316529260588554
5,6,0.03892388815072651,0.036740574568962306,0.20775648116218992,0.24666992561740786,0.0022727947802754617,0.002041702727175076,0.03780886364169745,0.036844032044335645,0.21782458887642375,0.25990260250382313,0.002124170278637312,0.0020310493649366257,0.03659648860309072,0.03687362330075396,0.2219165515624575,0.26553931869283365,0.0020346906436312963,0.0020371883532254525,0.037262109200714204,0.036908697513159575,0.2229246128780491,0.2555166580527717,0.002054271519673532,0.0020577749668491785,0.03760797655813474,0.036762274741518726,0.2364592630100052,0.2514637072971905,0.002170946165229755,0.0020332436392718482
6,7,0.03825031255996171,0.035941047418652325,0.23086955898602335,0.277341153578902,0.0022064877908397253,0.0019585764430875676,0.037066099977219095,0.035983289496538194,0.24658681575882502,0.29201432487214285,0.002046060091814567,0.0019429251619008572,0.03593294831169987,0.03611001681521738,0.24485612426429382,0.2932600249578712,0.0019747035894932684,0.001960298873116305,0.03651067904507967,0.03603014372222212,0.2526916359494612,0.28816600583644314,0.001975579608007733,0.0019675311604834557,0.03677596547178013,0.03591519494863101,0.2669962063708393,0.28375369019131014,0.0020841216424827658,0.0019455345956734347
7,8,0.03760980224724407,0.03514896639033594,0.2560590345335526,0.30699543840694343,0.002134224014385883,0.0018782063154838611,0.03640265334021417,0.035227092791165704,0.2718733457832483,0.32004967534718676,0.001977388928333996,0.001865987746675846,0.03519520972884075,0.03524034638004067,0.2710759481620014,0.324590673729635,0.0019061386682506232,0.0018733964229221862,0.0358593111270138,0.03520705749552958,0.2765420579543618,0.3176190743337235,0.0019125287850517705,0.0018861219688525517,0.036151615104147924,0.035166560772704206,0.29082233457118667,0.3112953418277028,0.0020163777237329605,0.0018707234094281614
8,9,0.037055392599201986,0.034433693447258155,0.2770402151529102,0.33320095535334626,0.002074033029339207,0.0018071831647615785,0.035850199995642124,0.03455046498988373,0.29088716478221366,0.34391475491056644,0.0019257526986256567,0.0018004948063475227,0.034541093263604855,0.03445466328670508,0.2935107490583382,0.3523299505713502,0.0018474715939577923,0.001796455433231269,0.03533921219891032,0.03448395141880687,0.2987970590956617,0.343090600326344,0.001853695606479227,0.00181571788376185,0.03540293055742001,0.03443340109857343,0.3159422038828468,0.3379600368626543,0.0019449553603785143,0.0017982942939644654
9,10,0.036522826540381415,0.033780692174749966,0.2958854098422359,0.3566746072332291,0.002019969778451392,0.0017435640146842445,0.035222593957500235,0.033813895811616555,0.31321596019883025,0.3700338950879153,0.0018651139174683485,0.001728816047241808,0.033933728687043245,0.033713436627181896,0.313393217202417,0.3782614426175621,0.001795478877769971,0.0017245287325612193,0.034730734313768476,0.03372938571598053,0.32192181717315893,0.3693812355825481,0.0017925631440370883,0.001743049755350437,0.0348717404959312,0.03381595141666998,0.33518034911273087,0.3600326681126462,0.0018902562780772941,0.001738338567664288
