,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.043265033518740975,0.041645851328084946,0.04175363860297121,0.05083940311167523,0.002749025112374551,0.0025724497734705017,0.042247888286926896,0.041994535503683456,0.035083066378877814,0.051682545629520016,0.0026204452896410662,0.0026024676886766524,0.04095097224268733,0.04213202232757552,0.04419733674845683,0.051480277648942585,0.0024994269444762484,0.002630928217612893,0.04141952795774834,0.041907356811225274,0.041440169417456985,0.05110527135058285,0.002534042632802852,0.0026227743574258815,0.042460786437769786,0.041732642542374764,0.04407528524704729,0.049320273462576836,0.002717944168797459,0.0025823243653121815
1,2,0.042375129146369005,0.040578267337540795,0.07938066322464798,0.0962980030726236,0.0026410803919394814,0.0024492462128136465,0.041374047908237906,0.040916845890677914,0.07234528611377333,0.09791640303224192,0.0025192514927621554,0.0024755881089969334,0.0399971489976294,0.04104642016746811,0.08615510058783105,0.09845157131412863,0.002389707261217212,0.0025006429963259683,0.04051325301165645,0.040797343703215895,0.08308948254604609,0.09930586840639444,0.0024239387751952782,0.0024895464174303295,0.04138391941185685,0.04057948034221258,0.09062882600101507,0.0987607919855904,0.0025855802674604987,0.0024480294476319103
2,3,0.04157393652508808,0.03959022272821615,0.11346684939975638,0.13871698782960862,0.002543293658219109,0.0023342807284828706,0.040478094622472933,0.0398531299246982,0.10847677621126128,0.14285877881368048,0.002421128442233485,0.0023522527424648474,0.039098912435629414,0.04005427210711604,0.12276205238098925,0.1393639107361342,0.0022939799681421943,0.0023871636181986328,0.039582799858887574,0.039771899371397995,0.12386693940369464,0.14174707013752286,0.0023161397512451894,0.0023722376241175265,0.04037017912337879,0.039477324167409795,0.1328549263734805,0.14451756260311088,0.0024655204117970124,0.0023237406673567874
3,4,0.04079699428549739,0.038637585258876644,0.143740205458747,0.17604919960915333,0.0024564452031718164,0.0022331016023684077,0.039651342469644954,0.03888882483663006,0.1408013177705938,0.18143668160282,0.0023333440022288085,0.0022463833998275853,0.03827599589435655,0.03907377445245034,0.15561244425024967,0.17892457507602444,0.0022080760909806547,0.0022774334084130657,0.03878646244747664,0.03879499725005015,0.1574268251802442,0.1805660026911584,0.0022274210520085566,0.002264940894764595,0.03940220616533198,0.038468677903219055,0.1716867510636989,0.18558634223155857,0.0023551113703194934,0.002212185842605823
4,5,0.040021491253759915,0.03773158296657261,0.1728485045998691,0.2099234517578884,0.00237293907307726,0.00214129436495024,0.03889740117309009,0.037933962583207,0.16899683610564653,0.21812203260832552,0.0022567728377734355,0.0021457077872470208,0.03744652072911324,0.03815881922955866,0.18785936322419106,0.21363063231012314,0.0021237502973219277,0.002181168519926663,0.03792769414018927,0.03772850559624438,0.1935813739101001,0.22137374822661127,0.0021318431183958734,0.0021521470248617833,0.03843363923337327,0.03748763839399371,0.2087507310486365,0.2245611943642628,0.0022497287740566477,0.002106318737746761
5,6,0.03929786102959897,0.036877892598833575,0.19992265446523982,0.2419607378153572,0.0022952685273028017,0.0020544657402355943,0.038035033250855624,0.03698016696386681,0.20083014780828623,0.25525603831452204,0.0021703224410622797,0.0020438009315246787,0.03663687033781143,0.03722759561451292,0.21784947535294763,0.24924133592740705,0.002045326060599801,0.0020823943955852755,0.037065269563867194,0.03673480193483222,0.22738285190180962,0.25781140957732396,0.0020424857475255702,0.0020514322027115526,0.03764924697756516,0.036571834141632655,0.23872111174682942,0.25929544047622965,0.0021645151372522626,0.002011970359905182
6,7,0.03866925378369358,0.03607473843114737,0.22533278680534585,0.2725552843008161,0.002222371728811573,0.001971547281089727,0.037301802274273266,0.036191738201519504,0.22579717807203448,0.2851703531190828,0.0021025189498276088,0.001961707074294717,0.03593776590461468,0.03642235243251213,0.2427248177150647,0.278607690064281,0.0019802769627646506,0.002000940348899128,0.036324937958344794,0.03582883099511048,0.2549167267010386,0.2909363880433722,0.0019696973723387027,0.001959873738439448,0.036846198068096254,0.03572855360538175,0.2664631828291799,0.29000457271797,0.002085637167925854,0.0019285553693338877
7,8,0.03806419791262205,0.03535482661699854,0.24726968181489384,0.29843516423470473,0.0021594389823925285,0.0019014066837117595,0.03659602179564575,0.03541436307493892,0.2504188789763053,0.31376401285607114,0.002035653276825666,0.0018832374909040742,0.035154533370812306,0.03559466524396436,0.26938567789186063,0.3084572227419067,0.0019105587302770933,0.0019181461001833823,0.03565720726562505,0.03496516175487953,0.2802665365773581,0.32175130868414414,0.0019026827772027877,0.0018747003453932418,0.0360481081462771,0.03490897999690094,0.29551354831963195,0.3197869999432935,0.0020030393751628386,0.001847657580798726
8,9,0.037422911428798125,0.03459920434224771,0.2704074136050766,0.3238101257391326,0.0020930612654535695,0.0018326345347330884,0.035829497996883536,0.03461358513319814,0.27693514289021737,0.34181798886769077,0.001963642499057127,0.0018062489616171003,0.03445434795059005,0.034805891094682975,0.29347668948892525,0.3359976846719971,0.0018475606598380007,0.0018417565674087,0.03498012304873626,0.034150415981259945,0.3042106014720459,0.34978100408758805,0.001839384400502751,0.0017972254009858183,0.03535171074553147,0.034111651596864294,0.3201088440590535,0.34722520896848985,0.001933108511776713,0.0017731273749592054
9,10,0.03680031841531399,0.03392619000218278,0.29184814179315566,0.34691271597630047,0.0020315519265287694,0.0017700210494946396,0.03529687886807047,0.033944880515697176,0.29464773038120284,0.36587270211404554,0.0019155400512288737,0.0017402356095528623,0.033896122435932,0.03407266384488527,0.3108818336268957,0.36079844133553385,0.00180204615365014,0.0017729662101955473,0.03441781352287206,0.03346242291197507,0.3254931498865603,0.3739678356957543,0.00178312199173449,0.001730372250879729,0.03469567459929032,0.033405259457398105,0.3417340457979273,0.37099729579530183,0.0018716224030297173,0.0017085554299459476
10,11,0.03626763972382335,0.033249976144185504,0.309477967763793,0.3691166613487401,0.0019809753355053317,0.00170984310444431,0.034677298477864944,0.03329354559218932,0.3139657548182949,0.3878196384311605,0.0018630776843892992,0.0016800066299347963,0.033343673940295,0.03337445683885563,0.32794560876483025,0.38410119671576193,0.0017574243284617188,0.001708330889249335,0.03389049237046601,0.03281682721894326,0.3429595812548182,0.39454012419579776,0.0017369478455644047,0.001673509809638983,0.034076858212993326,0.03273265155795325,0.3612426950779122,0.39376780355321617,0.0018161542069120421,0.001646704066808167
11,12,0.03571868414941811,0.03264469314524391,0.3275943284406805,0.38942997564706516,0.0019290029696797085,0.0016547892168972801,0.03403192541921428,0.03259014347890213,0.33212075482893444,0.40998915479855924,0.001813773767540438,0.0016191668238615831,0.032766042659619334,0.032695798257667344,0.34625614877744004,0.4056357830793986,0.0017095422092387649,0.0016485999742418085,0.03350274213988112,0.03223560202141845,0.358983351692988,0.41427751757914666,0.0016945875085952542,0.0016189550443048394,0.033495672423141706,0.032067069665548675,0.37793409284477375,0.41511003160486837,0.0017686961942365935,0.0015887323293560997
12,13,0.03525077077330878,0.03208578696144991,0.34270978938864394,0.4079878705033555,0.001885639609895604,0.0016044929313417493,0.03350517111708447,0.0320186476884658,0.34746982230343737,0.4282441959784109,0.001772089980923696,0.0015690695124527543,0.032285159855399426,0.03208206906278194,0.36050205192472307,0.42445320762110716,0.001672289128091671,0.0015964057055903665,0.03304680810990112,0.03165785084235726,0.37440922147482203,0.4324692876890641,0.0016538077779742904,0.0015686724294689566,0.03298357979273221,0.03146875340412543,0.39160359665891986,0.43424622587784223,0.0017298302170224624,0.0015367528252696596
13,14,0.034728273316427305,0.03149657562099603,0.36051015740002246,0.4269825382581435,0.0018345737664506596,0.0015530128878979517,0.03292133240294659,0.03139855178746024,0.36523011332226263,0.44715537419349505,0.001723857983617688,0.0015171715641098828,0.03184779984569887,0.03152948440786396,0.37435522157448065,0.4412379692238486,0.0016360630462651001,0.001549849474986008,0.032652443098361614,0.031101715534414494,0.3893603338890175,0.4504820516715238,0.0016142831128917003,0.0015188845931019001,0.03249101609865257,0.030904633874135327,0.4049838147657483,0.4522414280417477,0.0016917867547921852,0.0014878725896767292
14,15,0.03425074890223308,0.030947798428724086,0.3766743370259006,0.444253684958815,0.0017882018338218845,0.0015062039942677565,0.03240667092584856,0.030802051001308,0.3796289060430008,0.46530372944251963,0.0016847548782135998,0.0014673670309121208,0.03145234170176689,0.030965438438142655,0.3860233122077953,0.4582493148794389,0.0016055509528793315,0.001502664763640286,0.032272333533413806,0.03057432261711785,0.4012230940496955,0.46549057961651785,0.001582922796059308,0.001477400557994162,0.03207146700182235,0.030394392806894585,0.4155915723322564,0.4683423229710385,0.0016616261235448187,0.001444137846925168
15,16,0.03378151066171982,0.030447025700605007,0.39238248835947365,0.4602754029577717,0.0017431381589418497,0.0014627813480136433,0.03199255446884672,0.03025274539560123,0.3916647839038382,0.48181680793231707,0.0016520687905845163,0.0014220501878948139,0.031079502145240287,0.030455337476250125,0.39695371817528025,0.4734498606483585,0.001576967907194716,0.001460502704334401,0.03197518144010975,0.03009226624017479,0.4131427871471397,0.4801407873825191,0.0015514119716796826,0.0014369069309357423,0.03149511181449045,0.02983428723631032,0.43310750915638285,0.4853515206634472,0.001611823730513833,0.001397935888043078
16,17,0.033384382049547065,0.029954810262095354,0.40419767858297717,0.4740985687329955,0.0017092426431952097,0.0014253172984274136,0.03152022566555631,0.029711741891718813,0.4042039478998525,0.49724586007944516,0.0016180159181718799,0.001379708238482459,0.030695743566946525,0.02994378280662309,0.4080837461914477,0.4869747507469586,0.0015478628492303994,0.0014229884448392774,0.0316378054227426,0.029613349011704197,0.4239720784526274,0.4936144667028166,0.0015227837264980859,0.0013996652648641502,0.0310887020517111,0.029309190032436542,0.44455497703178826,0.5008317356805349,0.0015792755830715995,0.0013558870935826194
17,18,0.03303972572287018,0.029537058927718084,0.4146000001945255,0.487264120149445,0.0016794003766454548,0.0013896355393342847,0.031170043824219673,0.029219196633471382,0.41363208881122815,0.5118988980662204,0.0015924117168355319,0.0013394959048110846,0.030402705932551947,0.029465581206859364,0.416476293349371,0.5007884610171529,0.001525916312245515,0.0013846730790293797,0.03139469947268128,0.02918580621807948,0.4332103945536624,0.5061786959141864,0.0014983613731838388,0.0013649373470019605,0.030772111791046386,0.02886156246649772,0.4539167751572284,0.5138869703004827,0.0015526575406339428,0.0013204252555809324
18,19,0.03252932684778318,0.028982746777803485,0.42945479485824944,0.5043465271511842,0.001636784818460387,0.0013433381749409275,0.030784565101871327,0.028741359378145134,0.42386153986750874,0.5252604406950593,0.0015646313806200111,0.0013028278219848412,0.029996531156915692,0.02894543716880255,0.4284352365075895,0.5165750926128407,0.0014946436386002807,0.0013408853816864012,0.031061198767408375,0.028762711197071703,0.4430726952258355,0.518429098887071,0.0014722894582511854,0.0013310768545623543,0.03035770119185391,0.028381987045359082,0.4650643727749022,0.5272721433761214,0.001520962002822801,0.001284067208173069
