,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.04331165502650194,0.04174882524939786,0.03675369832239106,0.04404279761092944,0.002763368982537177,0.0025908701823434367,0.04221942614913881,0.04208489096610612,0.0334932605754098,0.04772254729657832,0.002624762758828292,0.002613335112513679,0.040976900900801805,0.04222207858848072,0.04514685865166912,0.047471768605494624,0.0024969439417388576,0.0026420466997113183,0.04147576691015937,0.04191313294655941,0.04126133458606929,0.05028271172493204,0.0025345153994184642,0.0026250479376539867,0.04251844531929398,0.04176615421754292,0.04235453389213417,0.04691194636240237,0.0027228367152907725,0.002588866086542604
1,2,0.04248679517197025,0.04079212826298964,0.07253347479261407,0.08671034255337617,0.0026607236629260568,0.002475231041104777,0.04127070478085748,0.04101508410935069,0.07223030962686927,0.09220447500551643,0.002519563736835224,0.0024912633536748534,0.03983828680694802,0.04105326740057182,0.09090655801881509,0.09677439471810001,0.002377282185220737,0.0025052950147589374,0.040628544468787,0.040833755644651505,0.08101480210968348,0.09580954159813104,0.002429423387117718,0.0024992103727891563,0.041617587734564615,0.040766330148919255,0.080986070425212,0.08847159379505032,0.0026129971454676403,0.002475977921176972
2,3,0.04169434289130817,0.03991399655462903,0.10536198886465431,0.12420043141270631,0.0025665449493701715,0.002373624030752956,0.040474945811545655,0.04004186088554709,0.10418264453380355,0.13277094663028555,0.002432790106295141,0.0023799367813751144,0.03901207685375547,0.04013119393975839,0.12549020171368575,0.1358699120933765,0.002286845849131164,0.002396854992457829,0.03989130108276534,0.039928857760682175,0.11353931402164352,0.13326955881103264,0.0023434417956025356,0.002395669727437937,0.04077640664565483,0.039794777215847836,0.11704102944560779,0.1274671810994431,0.00251048345990921,0.0023700544935232027
3,4,0.040831369816898354,0.038964196133577836,0.13865584692758004,0.16293759863246937,0.0024710312531121643,0.0022686371430059786,0.039751737279274856,0.0391471259870904,0.13115924174213156,0.1697179270505914,0.002359529191679599,0.0022785431791642976,0.037996920424578216,0.039088474558981595,0.1645965744678728,0.17750705612506656,0.002184582562450173,0.002281365209217199,0.039115931218450924,0.03894229209702456,0.14676019600688928,0.17235478650257385,0.002255619284618777,0.0022876369500934644,0.03996768062709813,0.03885678011787658,0.15027332754224398,0.16543325518093155,0.0024159953381633105,0.0022669275250824642
4,5,0.03998810170072152,0.03802687444587298,0.1705842142185635,0.20038472656050899,0.002379434888110507,0.00216714656694181,0.03888511723797034,0.03825613590874036,0.1617076114397933,0.20413980131725362,0.0022765683391012944,0.0021840792260335966,0.03705844496048578,0.03811012470040459,0.19910981094561309,0.21474811277276362,0.0020943303414529164,0.002178068941907869,0.038487128558789156,0.03808107338600977,0.17327038225693636,0.2054628818825751,0.002185537125928341,0.002196125151192999,0.03911887806683376,0.037993996555091676,0.18467926533372725,0.19967556605481895,0.0023181702515752546,0.002173915387318366
5,6,0.039309142136956375,0.03723308927098792,0.1960494853054231,0.23085428828884613,0.002306379907125093,0.002084566846057096,0.038163712896078526,0.03741500657047879,0.1874708395985859,0.2359882531182914,0.0022066025964323356,0.002096677516443006,0.03629013006716158,0.03727600398547716,0.22878258797715023,0.24653322125536492,0.00201673593699943,0.0020899059476798877,0.03781500770677307,0.03730405156944878,0.2002859367800146,0.23552400193813017,0.0021141189789059623,0.0021130352862620064,0.03826642312424016,0.03709128608504897,0.21708655121797515,0.23391343920883334,0.002226027855488752,0.002080915303700196
6,7,0.038683856924308646,0.03643365321667765,0.22078631913809277,0.26099104667283624,0.002235414672978516,0.0020028891009714013,0.03758770762958692,0.03673094128789438,0.20839262208156162,0.2628846553241134,0.002149784870006223,0.0020228657170716985,0.0356349419566083,0.0365150608604185,0.2535473774045476,0.27525965025387655,0.001951975935433262,0.0020102268742114866,0.037079762679762096,0.036426569817891406,0.23016671618275064,0.26823704307505225,0.0020351263417307808,0.0020226154294993317,0.03744535157014298,0.03620795978247247,0.2482268928230541,0.26637322232064453,0.0021374877135992743,0.0019927450330164244
7,8,0.03807208074486596,0.03574336853421897,0.24121604766980842,0.287000842880191,0.002176805698256397,0.0019323963997562703,0.03697500127948526,0.035991577311908746,0.2306741990255493,0.2897354802186902,0.0020892743210519913,0.0019491789955203818,0.03503467746721787,0.03572240451024036,0.27664301683978054,0.30432592138452685,0.0018915807663008053,0.0019296051737908895,0.03653370472099377,0.03569095136169103,0.25136055281919045,0.2946396602396839,0.0019790984508512317,0.001949637779632006,0.03664363273988147,0.0353841086213384,0.2773480171914916,0.2962866320262648,0.0020546887348256416,0.0019114914577311535
8,9,0.03733255848865156,0.034911722834648634,0.2691777294377973,0.31825661476319034,0.0020965889935956436,0.0018476858633479332,0.0362372003788708,0.03514054830262867,0.2560764831204503,0.31972839721118385,0.0020202888017982227,0.0018668694302978995,0.03436324092287495,0.03489970086937928,0.300623370890457,0.3333713450104202,0.001828872065690534,0.0018490412985132383,0.035790286769161975,0.03484860921799179,0.27999531194855876,0.3243852470846631,0.0019033997848954907,0.0018674200582472135,0.03589883350882134,0.034545051198743425,0.30467807399701496,0.32593324561213033,0.0019769822299293095,0.0018309625787882805
9,10,0.03671320230386545,0.034262450899658466,0.2906920977138746,0.3411197739233949,0.0020348683953753848,0.0017857212929735398,0.035455905018266905,0.034293778300687625,0.2829796601181461,0.3494914890585161,0.00194722727599887,0.0017851905742451905,0.033788772225106366,0.034188201164495426,0.32228159725884087,0.35836991394953666,0.0017722357362095623,0.0017797022654155998,0.03530198975472013,0.03421294213154026,0.297795792954057,0.346763083495397,0.0018563425472425035,0.0018055670267773456,0.03520459425852955,0.033751165563843,0.32998338695116347,0.3535078640297542,0.0019050326017610517,0.0017560618451170518
10,11,0.03625058359033263,0.03364177234678218,0.305621665022933,0.3621388176894398,0.001992038328804975,0.0017287547116049172,0.03503048969842103,0.03374467021191957,0.2964738248065947,0.36882154569912995,0.0019105808880421524,0.0017321430977955648,0.03327619903207715,0.03351892944707834,0.3393601705090403,0.3804378047240884,0.0017275752139114299,0.0017184921132449534,0.03473953229373425,0.03349134239661077,0.3194539451746544,0.3713617119774091,0.0017990871946565578,0.0017375756573845625,0.034618207938741076,0.03308294086708875,0.3507109170429843,0.37540318936586214,0.0018460988084641624,0.0016965877335697252
11,12,0.03562794579534062,0.03294092988669715,0.32646703828971346,0.38596658199105005,0.0019322369490181982,0.001664175833087484,0.03450036056743061,0.03307944321171084,0.31440890333941607,0.39091187707453057,0.0018618742165939673,0.001671520599104129,0.03279403688264052,0.032873029132407625,0.3569598769825202,0.40151407613705437,0.001681551926609591,0.001660032435627499,0.034177179000821976,0.032785062400368756,0.34075981905268127,0.3947198568281004,0.0017427631228422514,0.0016730130230883115,0.03409705412645261,0.032509678241175545,0.3681948345549193,0.3952386273850189,0.001796387454718506,0.0016427088788264273
12,13,0.03509721841983594,0.032308950654159334,0.34362519511346645,0.4072280816260845,0.0018830134863568936,0.0016065521389527994,0.03389873802484656,0.032393687744441374,0.33329374501322495,0.41334014313065537,0.0018105882533307495,0.0016099707062332284,0.0322446922304056,0.032171589918239984,0.37563368871156233,0.42491051465302554,0.0016327198507155305,0.0015951372638847953,0.03376332334038453,0.032227915318356205,0.35448295248546224,0.4130170584398034,0.0017064847351351688,0.0016224389923229277,0.03350861959960947,0.03193046208179891,0.3869913429166867,0.4142439976029273,0.0017429440616278469,0.001591084731160803
13,14,0.034714811731663076,0.03182091944045431,0.35461215719595707,0.42289550075695526,0.0018514939983731978,0.001564089726452528,0.03327255017876205,0.03171552275508647,0.35334404762504,0.43519871248643904,0.0017561372231909476,0.0015499842320763364,0.03173149577474834,0.03150756145371818,0.3922535783252268,0.4460627449024328,0.0015892587875570555,0.0015364668977160525,0.033426381452250534,0.03175297541838462,0.366308701095191,0.42811691692419995,0.0016752222618019704,0.0015807025167815327,0.03305372573793616,0.03138947115395487,0.4020211416546515,0.43167013444850566,0.0017002104099002543,0.0015437502435163668
14,15,0.034182657583385075,0.03127865502722214,0.37281917403689724,0.4407914611483126,0.0017992615573919448,0.0015155874398998543,0.03281100404509025,0.031152538227849868,0.3671495506137057,0.4532072033003788,0.0017186453272388146,0.0015005635288623267,0.0313884272271986,0.030961827458455753,0.40416586751295824,0.4630904997721915,0.0015581081141901063,0.0014892366718031928,0.032942183627757374,0.031173925633321015,0.38358851056240306,0.44697742065446755,0.0016295414680950041,0.0015285715015504878,0.03261955704657713,0.030871446882714603,0.415679725607903,0.44777794297658,0.0016613754807088227,0.00149999672140716
15,16,0.03372660599290009,0.030810613946331496,0.3876553542438692,0.45560937035514715,0.0017566994005148555,0.0014754274002739013,0.03238513285945028,0.030646256370466612,0.37929906600502905,0.4690431340186556,0.0016856506317688767,0.0014571049825448433,0.030955170473943833,0.03043391594409202,0.4162068071443821,0.4791817760745196,0.0015266210195117853,0.0014446039753145351,0.032487113611263274,0.03057433816635935,0.39917763435038034,0.46539925729315734,0.001588330160228318,0.0014776529757184245,0.03217205889138927,0.03041676503061643,0.4307426782380769,0.4620792892115472,0.0016185475637879448,0.0014611500795692926
16,17,0.03326525738291778,0.030257485770379747,0.40246994519733326,0.47288627864443444,0.0017141991790673612,0.0014286028913754597,0.031894695935161026,0.030081997304524218,0.3943148361178044,0.48591683372106165,0.0016448719878345323,0.001410798486696261,0.030538930796304993,0.029871398018143477,0.42953241088337357,0.4960492502053271,0.0014917745241867523,0.0013978183233086905,0.03199400653949878,0.02998164532310264,0.41579583807025144,0.48334699554321936,0.0015443983832403715,0.001428044872485462,0.03187637656854043,0.030015326858686214,0.44080481238793034,0.4743444682344983,0.0015899382827261827,0.001427834263788471
17,18,0.03287963911858414,0.029776505427603215,0.4164984256165557,0.4879490606204848,0.0016739541580430455,0.001387779188612032,0.03141944557051757,0.02949920317306955,0.4101720959355354,0.5033967453873687,0.001601808092541444,0.001362828363292085,0.03014558931730967,0.029383451960077748,0.43961377853963446,0.5100574282621355,0.0014654117163331835,0.0013589635582905704,0.031471925896356646,0.029410364757480358,0.43301052282109453,0.5004472915206479,0.001498889752816763,0.0013807791258859117,0.03150551942427382,0.029570101295924623,0.45277361106105707,0.4885520843739898,0.001555907855372348,0.0013892422203211727
18,19,0.03247282241644315,0.029247988038304123,0.4295970279485287,0.5033798177328536,0.001636376778990852,0.0013459581861722716,0.03106766560985505,0.02908307748927352,0.42033384931662243,0.5159427874988011,0.0015742116043317973,0.001328398258620592,0.02978362776880001,0.02890115563777379,0.4507956187545481,0.5239732447825514,0.0014361711693076016,0.0013203649783222607,0.031131107002270435,0.0289963048974882,0.445291837646428,0.513199203298399,0.0014664229475518738,0.0013455324476095488,0.031063311238084392,0.029080157996436855,0.46602069179428773,0.5046660546246899,0.0015182429375427274,0.0013454719611700108
19,20,0.032111873024921585,0.02879409748709229,0.44144345477833213,0.5170201661370493,0.0016023916514088811,0.0013089896149131336,0.030627638191154917,0.028556785327120308,0.4341517139179505,0.5310654263671275,0.001536686137687157,0.0012868971992011271,0.02943457913118019,0.02840722320408507,0.4610336943528046,0.5373080539742301,0.0014093985696971183,0.0012833779500589873,0.030708454133168434,0.02848452202373753,0.45919951435326056,0.5275383950770975,0.0014296567024266894,0.0013058984783525882,0.030759155926020236,0.02867183974938631,0.4753773777967504,0.5160085274405779,0.001491639430208748,0.001314662485488817
20,21,0.03174555925722019,0.028443312006872383,0.4533733531070906,0.5274944258782697,0.0015681670600981251,0.0012806018929755532,0.030316786479202763,0.02820295744720577,0.4425960988980091,0.54141114134056,0.0015137535431042548,0.0012585054525233337,0.029199786807895936,0.0280105417233596,0.46809078990399144,0.5488767747647287,0.0013909442428276214,0.0012512895566896155,0.030405988430261915,0.02811380522594118,0.46909335310181666,0.5385234849873555,0.0014035014136371713,0.001275535350325046,0.03046016724967876,0.028298235515131536,0.4849210678608977,0.5272025063521082,0.0014645042213807568,0.0012842563627104141
21,22,0.031246398984511203,0.027975029333869948,0.46733949168345956,0.541024812484262,0.001528100885869853,0.0012439313442047127,0.02994561819365534,0.02772757793577545,0.4546817158077283,0.5548034044607336,0.0014809323780899455,0.001221753063449525,0.028911735855921158,0.02762963467126187,0.4766574196552955,0.5598057689887739,0.0013685424793182784,0.0012209755857550955,0.030212281587041753,0.027755116405432084,0.47506943225088705,0.5485429797343201,0.001387703089048976,0.001247841157172445,0.03004705753915714,0.027875791411789738,0.4967678454579427,0.5402739672964689,0.0014308207318841492,0.0012487504492627894
22,23,0.031035651545867866,0.027683883629541325,0.4730122666290062,0.5494926505578304,0.0015118267820377015,0.0012209814996730832,0.029695588906703718,0.02736665652952051,0.46263347500799634,0.5649684844347844,0.0014593376177383936,0.0011938570334193252,0.028645875022124147,0.027190067783043875,0.48457974933786974,0.5717039827731774,0.001347825562497511,0.001187973271046249,0.02982356955160501,0.027316796031165384,0.4875323493629373,0.5603539132563237,0.0013547562011412796,0.0012151953718777331,0.029782517207971072,0.027511040778506222,0.5039211468155502,0.5497043058272553,0.0014104820238117408,0.001223134889909391
23,24,0.030607008693110192,0.027265648526052174,0.4845382939320242,0.5612755044845361,0.0014787608192766038,0.0011890471779008147,0.029448107209233878,0.027040988684561763,0.46940142616131364,0.5743644198604432,0.0014409577498945623,0.0011680717668532876,0.02840420477710175,0.0268086489118425,0.49149766001365636,0.5823899172110126,0.0013297352045111466,0.001158333479925852,0.02949671217661582,0.0269133375039884,0.4974567989931309,0.5715784648461497,0.0013285199896209915,0.0011841703643668351,0.02940679823972128,0.02711081998630085,0.5148611804498497,0.5616294965616593,0.0013793766447333508,0.0011907425818219902
24,25,0.030370449975147734,0.026947540937632745,0.4924780238025014,0.5707128769793033,0.0014559832563463453,0.001163469665711719,0.029108963783480175,0.02660828200796783,0.4797660118181645,0.5864724487642804,0.0014128104257910758,0.0011348437018729618,0.028138305768357977,0.026441097011330062,0.4981978897174508,0.5920089703351905,0.0013122140829452437,0.0011316529189477527,0.029140284704032175,0.026537358362974814,0.5075341054274232,0.5816658218712493,0.0013018796868317583,0.001156288597780053,0.029060266904153104,0.026686181530911852,0.525858844018904,0.5738919247621341,0.0013481074086663326,0.0011574342380800758
25,26,0.030146262498232,0.026647043876668948,0.4995658207088056,0.5792736092396862,0.0014356497257723973,0.0011402680559565736,0.028780661888830612,0.026228061013348052,0.4889364063539329,0.5970985835973076,0.001387906191728955,0.0011056823989453125,0.027937992707726997,0.02614279305957514,0.5040175866548965,0.5997679520222892,0.0012969955573087343,0.001110131675499138,0.0289637328561568,0.02627594360908808,0.5128352049120444,0.588863557169182,0.001287865734164249,0.001136393834956545,0.02878629406896963,0.026321394984375277,0.5331807179493078,0.5842224903723461,0.0013272894046470998,0.0011293733985165049
26,27,0.029844091204711327,0.026270969908175883,0.5087751406783194,0.5898900127761326,0.0014092299522319306,0.0011114950907050293,0.028611088885394837,0.02594990512638677,0.4941574565051796,0.6048133189187623,0.0013737272755973138,0.0010845108500001268,0.027711575621304125,0.02584476434429743,0.5095279022995071,0.607548499353356,0.0012825860647176011,0.0010885506149904138,0.02869234646253379,0.02591468376540736,0.520564156689447,0.5980040646477021,0.0012674335267151711,0.0011111291897807371,0.02862675486009413,0.026077248947516077,0.5382017135334185,0.5905681556174263,0.0013130134000007311,0.0011121367145744071
27,28,0.02952184784986977,0.025902857490116702,0.5171564470560501,0.6001333717049738,0.0013851855909537975,0.0010837331645963592,0.028370170365881374,0.02561783097134237,0.4996585673108521,0.6141557989721775,0.0013587877928333205,0.0010588722810176978,0.02744486200318282,0.025477773788652,0.5158766708472258,0.6170577515812234,0.0012659840151706485,0.0010621746109652332,0.028507622847967443,0.025619944884636477,0.526793349085394,0.6054765943963818,0.0012509660735676009,0.0010904748866023071,0.028433925573905124,0.025771240216862962,0.5445793177953229,0.5990219697682726,0.0012948802018031929,0.0010891736812287157
28,29,0.0292659392995115,0.0255585117239157,0.5241243216887767,0.609308607155721,0.0013651960943933128,0.0010588661058139033,0.02817606009447704,0.025308854274690717,0.5043460332524998,0.6226591283403122,0.0013460579426056462,0.0010355365933481756,0.0272358718537171,0.025215968404606274,0.5224703552507179,0.6243843635735887,0.0012487415098972308,0.001041852640028839,0.02826494307466453,0.02533380051223764,0.5336927824411248,0.6126843703364786,0.0012327267757086672,0.001070552371133532,0.02814851758880438,0.025408360292541503,0.5532557370098589,0.60895726558687,0.001270210871001044,0.0010621865100997035
29,30,0.02907951873499663,0.025294622298178013,0.5303191926198131,0.616709331086867,0.0013474241972660328,0.0010388083930700247,0.027931393466326712,0.024956634362956857,0.5116387879928357,0.6313549963864035,0.0013262528545799816,0.0010116725217647088,0.027078893546508786,0.025017631996123654,0.5260679920752261,0.629793636795554,0.0012393336783841592,0.0010268488301753429,0.028109601088178657,0.025056843982779204,0.5380938171798471,0.6207756471990973,0.0012210922284424928,0.0010481878318085902,0.027898798146407073,0.025103944843384823,0.5596829718020073,0.6171763479330787,0.0012519365602156735,0.0010398610770325383
30,31,0.02893361996289751,0.0250709882461318,0.5347105110007335,0.6227422632771117,0.0013348263466590317,0.0010224577195411869,0.027792788484972228,0.02476808439394612,0.5154160626049165,0.6360484828989719,0.0013159948301635562,0.0009987921862400324,0.026852865702021368,0.02470875346583459,0.5315415436016337,0.6374174697354407,0.0012250203240767525,0.0010057024515231433,0.027902615482225283,0.0247956422394498,0.5436989951657919,0.6270570628112593,0.0012062744157951587,0.0010308258049171965,0.027724842856073677,0.02479101752385163,0.5651171734624125,0.6256503483799859,0.0012364857025414005,0.0010168432117989797
31,32,0.028779919400470814,0.02482773604190957,0.5388500653267263,0.6293021759821109,0.0013229507588617532,0.0010046788041423768,0.027616804318181934,0.024472176959956505,0.5204566902118966,0.6436874495753102,0.0013023058913447748,0.0009778285691955213,0.02664172434296076,0.024374717924547817,0.5365686635602862,0.6457869464893768,0.0012118743897109434,0.0009824878656376683,0.027684941082257008,0.024583724034433194,0.5504292383478564,0.6326578155492004,0.0011884823879964167,0.0010153451512473605,0.02764440364840163,0.024528507661677138,0.5677534890403737,0.6324339093917226,0.0012289899673212047,0.0009984170747990972
32,33,0.028537390212641584,0.02455385809229511,0.5462942293655944,0.6367021829070838,0.001301594879301043,0.0009846230346548597,0.027519305524494227,0.02423344856999124,0.5224601333952118,0.6498034408428853,0.001296865098391665,0.0009610444537237053,0.026516268267118902,0.024195907398078875,0.5395801072994434,0.6503163751035828,0.0012039994549437414,0.000969924498456182,0.027422066040517386,0.024287120640392734,0.5576015444490497,0.6406228702053536,0.0011695217254941183,0.0009933294940022328,0.02743775201684121,0.024280520157826616,0.573752519909212,0.6393098516982334,0.0012119331523683565,0.0009797400031660935
33,34,0.028372023681605588,0.024314050453333062,0.5502902232447272,0.6428743179195608,0.0012901311389048717,0.0009678950885446566,0.027432797824257393,0.024094137335678625,0.5246211799550916,0.6532889574124106,0.0012909962986212221,0.0009514791502393802,0.02641582491211083,0.024024194625883222,0.5419512022612094,0.654823508115829,0.001197799034225945,0.0009574229730339573,0.027220469909790893,0.024088264756159748,0.5632881787524386,0.6455260701035388,0.001154488575447356,0.0009797768979407104,0.027258533826621745,0.02402954904974704,0.5782124878583916,0.646076662226841,0.001199252296132069,0.0009613593653806233
34,35,0.0282445902320162,0.02408549584963292,0.5545301273476138,0.64865066190644,0.0012779676668350144,0.0009522398297515197,0.027306707932852413,0.023878230646161493,0.5281467974547289,0.6589534465600703,0.0012814217047384825,0.0009359340920822148,0.026294096021903128,0.023761430681780556,0.5448661385732481,0.66125614505674,0.0011901764666815563,0.0009395806386652491,0.02715624321600434,0.02388542758485606,0.5650365799987729,0.6508135524242316,0.0011498665131033038,0.0009651621333863806,0.027101894808405077,0.023785810103060825,0.5824164339262763,0.6523459062206285,0.001187299377115744,0.0009443302639226494
35,36,0.02811162661265637,0.02386231577886481,0.5579321116030271,0.6546894471838468,0.0012682080261760093,0.0009358732929717277,0.027081831620291926,0.023606986363780127,0.5345564369524491,0.6666416566738352,0.0012640149114230555,0.0009148353362672515,0.02613160273376974,0.02344606153078098,0.5495766626862741,0.6687544219103065,0.0011778584314391665,0.0009187825174531522,0.02696033550414372,0.023695626538518044,0.5702341832570714,0.6551013316434684,0.0011361261623972665,0.0009533105791022458,0.026930151013226582,0.023503689611642942,0.5866354719276365,0.6598206003613842,0.0011753035477823682,0.0009240268070757976
