,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.0431880954101478,0.04159692157155605,0.04393223879406549,0.051412706574986755,0.002742775126069974,0.002570895985450687,0.042042295625998406,0.04189250245116349,0.042709096015817294,0.05651928047544974,0.0025997351199420152,0.002589194236735831,0.0408865553392232,0.04195036326296276,0.047616163010246515,0.058813523824358005,0.0024904867031421947,0.002610587845309636,0.04135468747752441,0.041936799142979084,0.04708044946709444,0.052422037228437635,0.0025191320245646132,0.0026191347758422775,0.04238365318418244,0.04162921069050252,0.04807247906929024,0.05528674432576475,0.002706579100531046,0.0025661176842871718
1,2,0.04222200273746101,0.040487895510732376,0.08614154352318792,0.10155337881589555,0.002621684722442393,0.002435002901213267,0.04092445125077178,0.040682904882703895,0.08825351674505033,0.10872408784663712,0.002476049174954536,0.0024459285784365304,0.03978895222881243,0.04070714492035977,0.09367266392875784,0.11115307235179162,0.0023700488096418636,0.002465412587617968,0.04015091228372485,0.04059603567420929,0.10172555216057777,0.10933271004558387,0.00237467258084369,0.002461831917240549,0.04132129097953159,0.04045487692005542,0.09380319757391886,0.10598983735625978,0.002576554698215331,0.002428393244736726
2,3,0.04131963995891074,0.039449766162791444,0.12349057620190684,0.1444194440422365,0.002514537507599846,0.0023188257230385956,0.039835620779719194,0.03956716432674332,0.13197557817213268,0.15541890694602334,0.002357312249600729,0.0023177839815247043,0.03872675680479357,0.03948378313289521,0.13511758914233396,0.16132780931149682,0.002261670200988256,0.002326241911280954,0.03902338323183493,0.03933568331371446,0.15233390693876703,0.16073015831265247,0.002240884658074168,0.0023197677816921723,0.040201861456550955,0.039280695395517796,0.1383197678794862,0.1543934564293895,0.002449982437021992,0.0022969148494236314
3,4,0.04026906988993459,0.03829055413888293,0.16475847565784874,0.19209129552025028,0.0023961478152310293,0.0021896237271513135,0.03881691794456293,0.03848190466380577,0.1716072356788032,0.19994878638068847,0.002249683720537313,0.002195580628759978,0.037816465397192106,0.03836054339339034,0.17255549300307127,0.20548435412092658,0.002163769965665714,0.002203764015467186,0.03794686348244699,0.03814322574592773,0.1964987454727526,0.20756692784161768,0.0021241307736056736,0.0021903095031325683,0.03911081315335575,0.03812069525277537,0.1833966431503964,0.2005907721102015,0.0023218170821573637,0.002171429419825714
4,5,0.03925670360919576,0.03719543037204572,0.20439689611535206,0.23502860201953046,0.002282432785733109,0.002073253468272454,0.03788330998187378,0.03747629709038452,0.2055586630217856,0.23989776676614338,0.002157481112460334,0.002085948637732523,0.03685425515836376,0.03728014899680022,0.2084891049689651,0.24768746133225772,0.0020698034583383823,0.0020867044087802327,0.036983300559521266,0.03704938852767095,0.23570731755948726,0.2500294409692365,0.0020204792433942227,0.002072941804461196,0.03818702334609024,0.037074213014974024,0.21886064409660344,0.24059628292215363,0.0022209836450818488,0.0020627627443589604
5,6,0.03848577439049698,0.03629116898818322,0.23496908210139822,0.270019896203068,0.002194727044911616,0.001978418782666061,0.036977868206971395,0.03641146822914674,0.2394480768290369,0.2809482510875314,0.0020654469158516773,0.0019732937893391033,0.03596094632785904,0.03628292979557481,0.24040974275893667,0.2851091178165349,0.0019863308909930403,0.0019829072080744126,0.03608447682325497,0.03615781757726777,0.27191830402587436,0.2851631746046712,0.0019247521113424794,0.001975831078816418,0.03721584510050383,0.03605427187545995,0.2561269628654086,0.27946217930307926,0.0021150257466960977,0.0019571915952089616
6,7,0.03762535118104839,0.03531920738845915,0.2651447186268433,0.3060620270581056,0.0021081589284729614,0.0018807360810690998,0.03609936258548371,0.035377230466316946,0.2708546773934448,0.3190685161989505,0.001980155347588086,0.0018686803418284147,0.03512756023896373,0.0352889595114292,0.2705118964037686,0.32146476585276207,0.0019076136653570451,0.0018820668164260122,0.03522088486852506,0.03514192218594284,0.30204217453161,0.3218143087636569,0.0018451168400833286,0.0018745262112263284,0.036300278316844126,0.03509513822687185,0.2883550205841948,0.314836239009182,0.002023392943195374,0.0018611052963964441
7,8,0.03683191950511866,0.03441597941260471,0.2943066400953972,0.338663118061556,0.002024498966200552,0.0017923794115637976,0.035348958650016506,0.034572445053686195,0.29604158269389624,0.3474869878556567,0.0019117547370738558,0.001790691527104714,0.0343791379956014,0.034359400403778474,0.2968304409390723,0.35450403400998787,0.0018387905893392873,0.0017904251343019235,0.03437508868211515,0.03421137316155724,0.33323957297993767,0.3540709327419479,0.0017626435972263274,0.0017853679055965712,0.03546746274218807,0.03422929107430041,0.3193150598981749,0.3463999417317529,0.0019353654479120042,0.001775369042298722
8,9,0.036002504089087305,0.033459057356541096,0.32430844695650285,0.3717719970501794,0.0019384295337452602,0.0017026465164843283,0.03452968917547016,0.03360804037522434,0.32389977313529383,0.3805796364422692,0.0018360996611015358,0.0016998753681460442,0.03354992849362601,0.03347730761524699,0.32483142095139994,0.3848040279145213,0.0017655679393034883,0.0017063814322275544,0.033652052517317045,0.033316520746438885,0.35903978515934665,0.3842314438082445,0.0016944383214447945,0.0017020033208400166,0.03469160810031605,0.03342262907252966,0.34648246836932317,0.3749070381060762,0.0018581213948020488,0.0016979354255960315
9,10,0.03528281538413,0.03265830000716327,0.34672860157048957,0.39871409620082376,0.0018741104081632816,0.0016296270537252255,0.03384564697692955,0.0328138062312035,0.3449617952619395,0.40744549142271136,0.0017789010829141248,0.0016261473995285243,0.03289542456012649,0.03261882204836681,0.34725484881638513,0.4135724238841151,0.0017069306055231012,0.0016265859541279932,0.03303093572173974,0.032626938961454674,0.3823934722556497,0.4075952055237637,0.0016327006637138163,0.001637425161355781,0.033954308753427045,0.03260357026587297,0.3705454304004121,0.4018739811119335,0.0017897040954823055,0.001624685316186794
10,11,0.034598786396058366,0.03187871407706674,0.36835412773809717,0.42330601780761956,0.0018120709192614973,0.0015629771281235947,0.033160354419625455,0.031946862549339705,0.3667164635429798,0.43549056274653664,0.001719821470940873,0.001549183307377191,0.03230765056626758,0.031817546891183976,0.3670167307970137,0.44002773476465507,0.0016552532225286752,0.001553206326629248,0.03238654907062178,0.03182834184147613,0.4035050286361802,0.433879015928353,0.001576890288392149,0.0015647758970451665,0.03315676817925943,0.03173634022461952,0.3954846486564837,0.43044447207537606,0.0017187953703626973,0.0015470795012268543
11,12,0.03400041125747448,0.031130739567951083,0.3885227479624268,0.4481278920697829,0.001754211014218085,0.0014957039764228735,0.03259411346499518,0.031244225605838293,0.3832713300128444,0.45782024052984627,0.0016748630705334991,0.0014879039703136327,0.0317121994336848,0.03104295216604844,0.3857672780522655,0.463714426887482,0.0016062204829943244,0.0014875060726235758,0.03179469361609918,0.031187339338639524,0.42473876404659794,0.4545587055645728,0.001520756921369087,0.0015076165957445876,0.03244733828484882,0.03101209808792164,0.4171418090009852,0.45445889713528886,0.0016572183949350226,0.0014818492946492505
12,13,0.03339141412738624,0.030428542269764484,0.4070163957157301,0.4705454575388618,0.0017011562840971992,0.0014349470703716237,0.03206001783977538,0.03048266298018223,0.39976619019593485,0.48152328374043996,0.0016300676304660756,0.0014228557063651157,0.031090699034519918,0.03034298094706396,0.40452128664204345,0.4854501422084828,0.001557178692059396,0.001427217282184638,0.03125133742242777,0.030449416680454883,0.4422060023377756,0.47682652604351394,0.0014745806420227354,0.0014460676517104518,0.031840786664611084,0.03039503633831385,0.43609523109131854,0.4744005091824157,0.0016033288550432838,0.0014276820401728592
