,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,3.2955577872758406,3.451014096165812,0.06556452308156979,0.07392695563139484,16.2279545591536,17.66039342630372,3.332802588486154,3.428130831274144,0.06813238676344713,0.07356993728752448,16.700575343209163,17.54054550839087,3.2443950611022934,3.4546606643616493,0.06543048521283668,0.07544598209197584,16.237158660914034,17.620560452842888,3.7100418574054315,3.3454437250779794,0.06794160066714305,0.07346471605999827,20.077575916894475,16.685811201823817,3.5406077229411443,3.3989237350762616,0.06850288962888229,0.07108284092410666,18.014196030701033,17.257355559004075
1,2,3.1823443856829576,3.3281597366004867,0.12623249485071497,0.14008755846331966,15.17435897830897,16.398697837129276,3.220548927700471,3.2979802805118728,0.12779044806672146,0.14008153812028734,15.631406360970686,16.281249412334578,3.1308827184009833,3.314426430786588,0.12893295337844068,0.14376309383854846,15.133870318366958,16.31854264298263,3.5913177720563922,3.2324420573683224,0.12896136247119927,0.13485155256012527,18.763142292425588,15.580306444614083,3.407849587775435,3.2677691316535746,0.13171054071964672,0.137143368848895,16.791825070327857,16.030087865997178
2,3,3.0763706666383244,3.2062128107435917,0.18009591955234572,0.20153279488734022,14.238935152855522,15.226925204269305,3.104380990550418,3.172492412106163,0.18715984994238122,0.20187553363875943,14.567410622711213,15.111274004408445,3.02269855228622,3.1866152970154995,0.18838690021314342,0.20621875886545138,14.100920759775304,15.128234883876091,3.4590616931899145,3.105627993161177,0.18708746165694612,0.19643560044101105,17.511041383308626,14.471250142284337,3.2899353933221342,3.1529870565848506,0.18767863091752157,0.19528681036141116,15.70945977143091,14.949903229722558
3,4,2.9775311982253827,3.092685964678045,0.23016344275475153,0.2566444217601309,13.369433179217447,14.175935739825142,3.004739253046638,3.062312728389859,0.23734579180568705,0.2549144106540717,13.667997346240474,14.1070634617614,2.93172025073323,3.0757887316047356,0.2370399523977995,0.2594343817905652,13.255625342836842,14.114027944502926,3.332023398148858,2.9927012496918723,0.2430789032723587,0.2505185348425406,16.30492337553737,13.497280075189751,3.186698774068582,3.0492310887746474,0.2369254039267762,0.24849045805071424,14.757077833805036,13.961489724557374
4,5,2.88919378754081,2.9863953125336433,0.2734151776761472,0.3056060958664586,12.618298182477341,13.242227073120828,2.8969615758895206,2.9482994060970262,0.2896791463433738,0.3073605564255305,12.730098960241248,13.114075384549702,2.83564657386989,2.965774995703905,0.28611218220593504,0.310699934983257,12.403047157231258,13.136986298819307,3.2080676729378426,2.8800379101631375,0.2942432829371697,0.3031076160984293,15.202785657883263,12.550212547030778,3.0781796958229215,2.9402143860512164,0.28325065497469704,0.29810545646096764,13.861195126003391,13.039745885228413
5,6,2.803676728330675,2.881079476265753,0.31480576472976807,0.3520379017345956,11.899484971213226,12.356763486731555,2.8122749455784564,2.852270386511564,0.33105613683035984,0.3507552713344564,11.988556344865748,12.292462396889244,2.7614600209777804,2.8607865511277573,0.32343483881337176,0.3559552399613274,11.754605401542518,12.274490628763976,3.0959945795604553,2.7766293750567046,0.3398628632623666,0.3508947962249451,14.22008909302037,11.689621612956621,2.981063085090649,2.8433671712364896,0.3259048030395214,0.3433314281748474,13.036307774011323,12.199541065302034
6,7,2.7063831759785177,2.7767353042278744,0.35825828298982065,0.39645625421794484,11.144863053250154,11.509696848765634,2.719311807616135,2.7510950125889924,0.37374019071743037,0.39458470123618294,11.223589038599181,11.462618741398261,2.6779295748670653,2.762205234624157,0.3637190664652451,0.3984173349845118,11.054709475593327,11.465229192635736,2.9985250063678603,2.6854621953741136,0.3796747213464867,0.3939171604388396,13.36249733305266,10.914839411812048,2.888892140055675,2.7535665084325016,0.36418938388010647,0.38355498855855763,12.295923357852748,11.452270679984451
7,8,2.629260521257621,2.6842101409086676,0.3939816113153649,0.4348297659781467,10.524470781029882,10.777906501389626,2.636618460426847,2.6598651137126086,0.4108122488206024,0.4332783896100406,10.559197776701456,10.73001254787517,2.6075704287362655,2.6748623590434404,0.3966418159445565,0.4362627277655561,10.482711461116205,10.74395491504527,2.8997029541538177,2.597994331686196,0.4189491400034787,0.4328842298920006,12.516482616869569,10.213088301785348,2.7900774160905972,2.651535841955833,0.40152832801071725,0.42510355642303777,11.573826583038025,10.680384401860307
8,9,2.5499944928511766,2.5924793546265907,0.42721956632576963,0.4707889757658573,9.947240959526514,10.092157363120581,2.555748231746077,2.566712812088356,0.4441153883274317,0.46903525088475295,9.962351633967208,10.053010712906689,2.5327048176666875,2.5882827222534615,0.42901283840008475,0.47096646782109197,9.920299121199335,10.082555648216116,2.802327083359161,2.5075363792394096,0.45304264698462926,0.4682040673785679,11.78207050795324,9.577019551684597,2.7137322948640157,2.5692780767412353,0.43364466466795704,0.4590292118693605,10.952729665087302,10.050116037357395
9,10,2.4685349678906494,2.4997509490475442,0.45878538796437784,0.5044316201082932,9.399050386900816,9.450585579337893,2.4798042671652527,2.486970741524914,0.47496962198355575,0.5012080645969449,9.409393846281677,9.443867372502343,2.4673777850477263,2.507329529932677,0.45729768650359404,0.5031406447833919,9.428879746728164,9.4693659165145,2.7149339869007987,2.426460938978018,0.4855505072406001,0.5009875388345113,11.081814995367095,8.986627771969413,2.6355924791695235,2.491654337710173,0.4645974809674389,0.4908228084000906,10.35413403412609,9.459456908640083
