,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.04295069235383558,0.04138379514665283,0.04906957135031975,0.05715952683166592,0.0027280371038069175,0.0025553207429512247,0.04200692973684239,0.04174303035362708,0.04504530013960506,0.05983438341642744,0.002593390641077036,0.002580096599390056,0.040749048808111386,0.04187619818211037,0.05172257792865953,0.05879485310508947,0.002479748415327255,0.0026106396326589227,0.04126604554672442,0.041719347783812914,0.04705652022544671,0.055185891519551444,0.0025191952837546727,0.0026114953971593416,0.042184468668230835,0.04146857277705658,0.053058649006574754,0.05981588768888724,0.0026924021143139064,0.002553815205403793
1,2,0.04171425989535909,0.040100046422963276,0.0946144692525902,0.10903344076177945,0.0025973775228079967,0.00241473016367937,0.04090404151013938,0.04036715364578099,0.09183942304610537,0.11448369082015764,0.002466310853500864,0.0024301224993971615,0.039528609819932115,0.04054054167759975,0.09942913557044131,0.11241951215760293,0.0023549956183509008,0.0024618998380751766,0.040151476986021374,0.04043584215966301,0.0965406113601367,0.10762238813262337,0.002388379457157182,0.0024665592998688,0.04102354660519447,0.04022885341294701,0.09828380461763431,0.11057920909624408,0.002563815159631179,0.0024159271679552205
2,3,0.040647198745713445,0.038918197092695804,0.1346321227546161,0.15630040360489827,0.0024825745464053628,0.0022866255117826944,0.03991720132034019,0.03923387121719617,0.13065278614034048,0.16065168407737385,0.002360904583850555,0.002303423670698805,0.03839592902185194,0.03928141602867791,0.14137145168539367,0.1620768880353256,0.002245316330939391,0.0023241641765693872,0.03921777002239833,0.03926414916782705,0.13685412797844487,0.15440302929685146,0.0022818069026543336,0.002337256161844086,0.03979890866896233,0.03894302766578327,0.14693541896871853,0.16209769775057126,0.002425485885905595,0.0022759878752549555
3,4,0.039653829580618055,0.03785209617444805,0.17164097502884124,0.19772390683052032,0.002376403243929786,0.002174358017916592,0.0388905779075184,0.03803409523020924,0.16973066473937504,0.20597095645990426,0.002254779963858951,0.0021790539867851365,0.03736619495722671,0.03809561896739454,0.18118627221001316,0.2068347202970492,0.002141200451129868,0.0022000184776642773,0.03832119884426766,0.038136451686357715,0.17454075184213103,0.19803908039170048,0.0021821787850240045,0.0022166447679608137,0.03877555798744872,0.03776933080099321,0.18637669723882344,0.20734011069608793,0.0023133440083814285,0.0021530962409500518
4,5,0.038675209875360717,0.036760454229682535,0.20673431227295302,0.23953562114514637,0.0022757271868660838,0.0020610383801548827,0.038028988746895864,0.03689039447191205,0.20498341901298933,0.24932175255850575,0.002159043314760575,0.0020600863925422223,0.03634653505322142,0.03680198783519655,0.21748664189126687,0.25498204079786413,0.0020462748712333652,0.0020664712871071122,0.03730129559446257,0.036976906311278895,0.21296564654781913,0.24098731486853497,0.0020805989793211094,0.0020979345204680455,0.037829545215367466,0.0366200369470148,0.22238972388076683,0.2502893894532424,0.0022109495475503642,0.002036433430214475
5,6,0.037937456080257455,0.035754953992494266,0.2365125825586578,0.27744737861545765,0.002190299037993038,0.0019582885481073922,0.03712016858055899,0.03587520455393844,0.2368853108482848,0.2854858501704942,0.0020724066735351826,0.0019608412557037096,0.03543673536332928,0.03573719607419272,0.2505198120016898,0.29319157910258287,0.0019598930284013064,0.0019604887227607703,0.03648198837923279,0.035960165530231195,0.2455798376226006,0.2778517254376598,0.0019943803125450897,0.0019960401502886085,0.03697042633755469,0.035596830662441147,0.2540184893799001,0.28722274811574056,0.002121020688689498,0.0019361116190884983
6,7,0.03712558739709583,0.03475408061179592,0.2651963573258055,0.31373667950800366,0.0021080107869449203,0.0018599359572323874,0.03634768237587498,0.034877111384440974,0.2661037135850003,0.3213312810218977,0.0019930576403132975,0.0018624706360894192,0.03456156278974938,0.03474602314679574,0.2793058444391373,0.3281591050293332,0.001884617463826123,0.0018634985933064575,0.03551653074738472,0.03488191830981113,0.28167227747520973,0.3158147790496114,0.0018989665695627641,0.001891109096783096,0.03608782780596567,0.0345868776784862,0.28429032201732607,0.32306752772970915,0.0020349499451195216,0.0018387467072442857
7,8,0.03642302114283039,0.03382066743214113,0.29054308512893157,0.34693817012915873,0.002035295883915462,0.0017699520627183565,0.03560609062241018,0.03393478563116286,0.29222954953919666,0.3539635658759728,0.0019221071559983541,0.0017729178533698409,0.03376241783935078,0.03369517695242294,0.3058181496754042,0.36462645207458333,0.001815287702971225,0.0017623483798717588,0.03477963267159449,0.033958216601978786,0.31018038210842047,0.34795827827664694,0.0018236027266224043,0.0018022634714621494,0.035262180877337186,0.033660257412502496,0.3123687842336933,0.35501436894689875,0.0019551155277517294,0.001751969736865018
8,9,0.03554220302177427,0.032824428601341916,0.320604265316658,0.38083951860934584,0.0019490561207681262,0.0016780713878314043,0.03482440975354657,0.0330105337166514,0.3187186721888916,0.385030226218417,0.0018501700863341034,0.0016876616141603942,0.03302269677662224,0.032812823986384035,0.3316272798371408,0.39425769927708243,0.0017477967471286355,0.00168015959396556,0.03396075151679602,0.032956563631885406,0.3405272744677089,0.3817668605024259,0.0017433778762186674,0.001708815505270044,0.03436532219195001,0.03272648830587428,0.34082536789685947,0.38687638169452776,0.0018742060121407767,0.0016654231854351651
9,10,0.034793452252042334,0.031947034426422195,0.34562093171933395,0.4100187291400508,0.0018772881006228778,0.001598988823968303,0.03421322583504217,0.03216854632120223,0.33999335453147117,0.4128705302204103,0.0017923939823082282,0.0016112594649916648,0.03234205390201692,0.031897407333758385,0.353993863300732,0.42416299496138854,0.0016893080616351276,0.0015972106742774377,0.033157078066161534,0.032072682499621606,0.3675163197062663,0.4110114253781054,0.001672029808971174,0.0016279826240934553,0.03354985305395332,0.03179587164078124,0.3661437806373473,0.4171775813421049,0.0018022191378512045,0.0015831162591760752
