,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.043062423811229184,0.04143950162522917,0.04651034413096822,0.05740959263319367,0.0027353790360883125,0.002554643005467598,0.04217775967206572,0.041899674784632926,0.03764383598582799,0.055398670663414085,0.0026134909535520455,0.002592269526359571,0.040879269197812554,0.04195539539050593,0.04740233553759177,0.0584821961451889,0.002491045862649874,0.0026115068555525034,0.0412352632357389,0.04175971481331917,0.04891219720149631,0.05521657807988012,0.00251428962797817,0.002611410578558165,0.042285823882110954,0.04151557636876501,0.050892079585292294,0.05772636087521121,0.002698562238258805,0.002559490971755287
1,2,0.04203760039811307,0.040171051619178104,0.08720783328886317,0.10996364031898131,0.002618625741515363,0.002412209102809322,0.0412085228311786,0.04071525266713713,0.07809985936617647,0.10593308054222639,0.0025036236766800353,0.0024535879400723565,0.03988162686625535,0.040663007190927476,0.08952065184014912,0.11182772165571431,0.002380906334199031,0.0024635412992843066,0.04017986982893677,0.04057626088586743,0.09272349915303901,0.10304234925549227,0.002398470350556188,0.002479218668880208,0.04114142293911791,0.04025102676122572,0.09888612448484568,0.1106251580612796,0.0025621026065968527,0.002415802357118658
2,3,0.0409903660792326,0.038971938380598654,0.12720373869769097,0.15876348902553394,0.002503885156222945,0.0022799499675669687,0.04014339602411945,0.03952825567477396,0.11878480571040606,0.15432611526491669,0.0023931347088815926,0.002320782929848842,0.038952458955216415,0.03951322777232143,0.12638190858916254,0.15792255653319942,0.002284514032871561,0.0023356871293522467,0.03920749918599161,0.0394137122216481,0.13207925937245546,0.1501920165634757,0.0022944297147392666,0.002348895531188683,0.04006030803875985,0.039057028123206376,0.14121034991610415,0.15787540955320334,0.00244176375570786,0.0022874568457032316
3,4,0.040063819674837145,0.03789788065448655,0.1615578557030426,0.20148943753965787,0.0024053297803136846,0.0021641525388317318,0.03927432206168917,0.038471129258716215,0.14999718378654048,0.19655452222914926,0.0023083705947301693,0.0022048955082241317,0.038051408936937994,0.0383363036848224,0.162945421760762,0.2032181170936841,0.002188900331927356,0.002210049922657385,0.03830695644105379,0.03826484829752668,0.1682188088047999,0.19499608384926026,0.002198891433173481,0.002225055704453851,0.03905631742290952,0.03796076943885097,0.18022917023311646,0.20088378922380068,0.0023308230367189314,0.00217063349959014
4,5,0.03910893500647706,0.0368299644721669,0.19453369534579135,0.24204587509099562,0.002310728417938155,0.0020542349980765245,0.03829363348282976,0.03734543214176243,0.18492143592352928,0.23938818786446847,0.0022135260658201357,0.0020873470751653976,0.037303849702177545,0.03724107027288763,0.19180420424424072,0.24498715655346448,0.0021134345257549756,0.002094194298416974,0.037351901337874666,0.037233072256505066,0.20631270711844873,0.23486954213304978,0.0020981866474140175,0.002114844233390603,0.038115339770729936,0.03694510221840936,0.21535770085021066,0.23948610570823758,0.0022309434295954464,0.0020657783105788815
5,6,0.038323479467482637,0.03590681522436948,0.22246546007449008,0.2770406366839303,0.0022305975395279466,0.0019593909149703327,0.0374127631125455,0.036276507345259404,0.21652729542197358,0.27817522951502016,0.00212769336586228,0.0019809037927290066,0.03655180920206033,0.03622954638175787,0.21905274060153934,0.2829937470781365,0.0020421795182231028,0.0019887746544070732,0.03652688407425493,0.03626223036235687,0.2380230260311449,0.2706136208597425,0.002014357451300393,0.002016046495049685,0.03727013759216941,0.035959219685512314,0.2462090385059984,0.27525554602276703,0.0021432250015780054,0.0019686180423209116
6,7,0.03753071191744447,0.03493438645495619,0.24909477352727283,0.31196696528601786,0.0021542031441448345,0.0018647323014594648,0.03663252057300326,0.03534816170941172,0.24488835014525012,0.3119779846778732,0.0020506726507423154,0.0018881388882192925,0.03585134136156867,0.03525330002530863,0.24521545217853913,0.317717641579744,0.0019737639458771773,0.0018924602903332807,0.03583468288483323,0.03533469052046128,0.2635614940052601,0.3037307625954947,0.001946844120824664,0.001924509691742328,0.036508474653055734,0.03508094467961058,0.272203665563727,0.3063864118815175,0.0020693154729914606,0.0018840574998203225
7,8,0.03671594612682736,0.034057608486857856,0.27615380962324754,0.34343385081962796,0.0020765759568774217,0.0017794495971119294,0.03588298578807322,0.034366904107949334,0.27039646076292423,0.3453933313062426,0.0019813997361662577,0.0017964371489910614,0.035114899409756,0.03435464820327031,0.2699745736908421,0.34956845635132183,0.0019090187659266532,0.0018041150452509742,0.03507516650270816,0.03439654297316207,0.29295029718254073,0.3373239672267484,0.0018691520688501697,0.0018316570358781544,0.03574125803601235,0.03423699108836081,0.29826080205494265,0.33679621632988244,0.001995228213724226,0.0018014555711377712
8,9,0.03595016361835413,0.033225765408950614,0.3011677369765041,0.37253078724984334,0.002004815794539874,0.001700590015525864,0.03516840357981976,0.03346060658232886,0.29515860278694095,0.37570366014947687,0.0019141526642501834,0.001713256510393573,0.03455784836316229,0.03349773042959812,0.28781297615349977,0.37913569936813496,0.0018623712878688898,0.0017221037890409944,0.034455673166146374,0.03360656201712474,0.3146098319772228,0.36461925019920405,0.0018118930613002235,0.0017562120301284287,0.03497514667610525,0.03343279809652823,0.32214441090260637,0.36396037699719785,0.0019273208624490548,0.0017276697608418555
9,10,0.035333801838524165,0.03239478356161471,0.322197210012521,0.4001932556057818,0.0019444862678075923,0.0016256181817928196,0.034444533993135955,0.03258481359237738,0.31651769442708655,0.40403746197700774,0.001856147328112712,0.0016355000550908854,0.03386088140748962,0.03261513945090839,0.31146502361139483,0.4084506951851432,0.0018005211100223608,0.0016407921959588783,0.03391962885382669,0.032887275190125784,0.334669651066272,0.38926941450716923,0.0017588630519506027,0.0016880782141198963,0.03431954454859363,0.03265906274203927,0.3439977047637871,0.3897563066314754,0.001865186228097265,0.0016576004664611982
