,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.043261463815554325,0.04161981353296084,0.03887580138897717,0.05009883533772208,0.0027572810756521593,0.0025744568873441614,0.042154684961987744,0.04192351479043848,0.037250862607503654,0.054487495145522424,0.002614558159652699,0.002594770065428105,0.04106467510466628,0.04211009089874429,0.03998766628070538,0.05076512442752812,0.002510435245874646,0.002632911852476565,0.041570635759030306,0.04189476022124341,0.03438668010509238,0.0498807742492281,0.002552689192002697,0.0026261589052594928,0.04252544464845718,0.04176094238704356,0.04204907195386076,0.04852223875505424,0.002723705223533218,0.0025844920611324197
1,2,0.04240462665527644,0.04047062587409636,0.07507289608348444,0.09915335237774825,0.0026534385500566232,0.002441507540667724,0.041247001300362664,0.04078304054174942,0.07674723623788204,0.10412903713423427,0.0025072970238684783,0.0024585387765845733,0.040029418688577366,0.04087185661193848,0.07993591477799455,0.10175235650411751,0.0024059704515005794,0.0024914875421039985,0.04068235251647493,0.040753588285175196,0.07325087650347606,0.09718604491323124,0.0024499480511567724,0.0024954056750827046,0.04154517834042571,0.04071320954007169,0.08192355361676451,0.09123219290811246,0.0026103316353762057,0.002468479326062838
2,3,0.041543000811696804,0.03942538984116677,0.10998559990311962,0.14205185877591042,0.002553280695659818,0.002325242439242365,0.040364020495787016,0.039671300817983514,0.11175782147028257,0.14968183702757354,0.002412218038348421,0.002333528223098699,0.03908881157924722,0.03973935491392177,0.11679350087825069,0.14839350390855888,0.0023095877489310544,0.002362118054135913,0.03986144912761891,0.03967627100882212,0.10705751268141528,0.13999384163763573,0.0023605770441383674,0.0023770836018781544,0.040758867024129716,0.03972792714130586,0.1145789048978817,0.1306966192888278,0.0025174839244375014,0.0023612823942662934
3,4,0.04077945533888057,0.0383978167548901,0.14077163254163594,0.18351255070560013,0.0024649614697873825,0.002212874155189999,0.03948480494016197,0.0385680429300331,0.1455803258596614,0.19367067227889967,0.0023203655490585885,0.0022128096579425915,0.038359526097230215,0.03876186457524916,0.1453427638707191,0.18705513847860833,0.0022349313371927094,0.0022548815012920125,0.03887769413455314,0.03854871961341396,0.14846263130081294,0.18550780627644914,0.002251118737572309,0.002251281596918791,0.03984855379241996,0.03873587460868449,0.15227099914692233,0.17148799562116468,0.0024103154349185128,0.0022504810780530297
4,5,0.03996317194290798,0.03743563983100738,0.17024932650054891,0.22159954907481838,0.002380395616774591,0.002109649378847335,0.038655607082154604,0.03756866295049998,0.17683810131118383,0.23214717381988226,0.0022354781482963153,0.0021072185907611944,0.03758098620452313,0.03773373976442807,0.17525963486300267,0.22692112975797396,0.0021566986262708163,0.0021443044000378397,0.03792121356043894,0.0374607052028042,0.18571173120523643,0.22745005449569689,0.002152647255480286,0.002135351926533956,0.03910570830943358,0.03778153757922329,0.1808726279681595,0.2078355750279306,0.00232899351795889,0.0021517504148210772
5,6,0.03919130719128703,0.03651028977322038,0.19837863837449532,0.25770800211621114,0.0022996980134749995,0.0020117869284346046,0.03788974188463804,0.03664998895239477,0.20568234527602303,0.2668068239436572,0.002157145225951106,0.0020121021093210847,0.03686529355959255,0.036808211357665634,0.20011836628126967,0.26129595260487315,0.002091692966105625,0.002048958263028493,0.03713911648485689,0.03652438086530266,0.2168387949965992,0.261935122480062,0.0020703599488722554,0.002040034132797009,0.03846028830391693,0.03698766282254999,0.20767704009768084,0.23822172754547633,0.0022527815584592295,0.0020692127317046573
6,7,0.03846421328902978,0.035613246449988076,0.2243060968619004,0.2902276465238318,0.002225317105440021,0.0019236509984729361,0.03719799795172234,0.03573725503096422,0.22898034521572852,0.3005177985483135,0.0020938743556069123,0.0019195890782067772,0.03614799198434035,0.035939046193384803,0.2250065885036311,0.2931043386463671,0.0020266101873957776,0.0019607307033675694,0.03640321729989168,0.035574159182336224,0.24668293892001325,0.2971416096153059,0.0019914641610157217,0.0019427223142301706,0.037639967389669265,0.03603572014237641,0.23944206911464339,0.2740048810491381,0.0021624652667514167,0.001972015214411672
7,8,0.037862884755174846,0.03481356214133749,0.2459578341289227,0.31935168565599714,0.002163202421918756,0.0018447179621525296,0.036588441237279556,0.03498294289054776,0.2495757998847109,0.32761815181312615,0.002037942844515262,0.0018452175759230657,0.03546557353376064,0.03505978228668197,0.2498872290855284,0.3254070214511071,0.001961547234699383,0.0018711321028398568,0.03574464802242545,0.03474591831182983,0.272218516760349,0.3258632058345152,0.0019239584708791533,0.0018633349345834297,0.03699838240889434,0.03525222084198615,0.26297617159356734,0.3023702433660682,0.002095551653562742,0.0018949665888890648
8,9,0.03726045263955554,0.034072489737490656,0.26724782304474504,0.3466000866506058,0.0021021255250689257,0.0017708683489302672,0.0358527073778318,0.034164731099930304,0.27341427670845286,0.3551090296671554,0.0019732041896856015,0.001769774356968543,0.03474719566687661,0.034163651395241315,0.27486703405334245,0.35796027575755185,0.0018962249668246338,0.00178083848710178,0.035086287537979315,0.033866437950752344,0.2975050891527662,0.35702030466559853,0.001857111049950927,0.0017772157504435196,0.03629761898370501,0.034396609653822664,0.28984214347379156,0.3330794095057241,0.0020191646635791187,0.0018115515062411109
9,10,0.03667459444041718,0.0332984915622144,0.2845592704342056,0.3740346058363012,0.0020524623011608308,0.0016965143113776338,0.035215675473282075,0.03340305573135732,0.29199246621596486,0.3819915668035718,0.0019227510081849704,0.0016960006075086471,0.03423991260244385,0.033409286290723206,0.2917067937340667,0.38357445143324054,0.0018521889427552697,0.0017097919332262014,0.03450147645192149,0.033070574650827106,0.3214690433508173,0.3851795352455827,0.0017937600940158222,0.001699382766804602,0.03570234316366987,0.03363631600802799,0.31081797808110745,0.35971116290998906,0.001959524875553188,0.00173921186988713
