,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,0.042999372771358096,0.04135178012448734,0.04710789203627974,0.0588521950294707,0.002733664785699557,0.002550733211677509,0.04190896896276649,0.04179464139049539,0.0454504639728206,0.057069011493743216,0.0025922903291006483,0.0025876856098451433,0.04087647114779893,0.041835517310646,0.045191060258851445,0.06276947515476838,0.0024968283543982607,0.0025996151435961888,0.04135073049182377,0.04167489609812923,0.047762590934338545,0.059556122186263494,0.002517328719747898,0.0025994159445260627,0.04220125861321547,0.041448941278060265,0.0533493170246373,0.05782639953884494,0.0026915756690587974,0.0025592192374673207
1,2,0.04185182583064332,0.03999159554845772,0.09007996466334478,0.11345691279568337,0.0026103861471974904,0.002402741507946216,0.04067418141644283,0.04043382884436238,0.09376115061012957,0.11139044837233092,0.0024610919773803853,0.0024386112849685035,0.03977713739619048,0.04041874505183263,0.08973043462592589,0.12059893858336201,0.0023803577515601484,0.0024392123986046736,0.040215257225176194,0.040379054199599515,0.09767180839444645,0.11428981382011294,0.0023853890319175813,0.0024481303291988077,0.040998648370538134,0.040168959204153254,0.10344403356802656,0.11250813253607339,0.0025491432780813824,0.0024106876473696335
2,3,0.040793811050787714,0.038774658878248616,0.1276903956331048,0.1619163675100499,0.0025024890307687214,0.0022714049209543487,0.039563978417551174,0.039180531965302044,0.1361066559059173,0.1617784323695235,0.002346093394576585,0.00230033153524345,0.038743835219119664,0.03909051334770406,0.13061991281970498,0.1727751113760041,0.002273431638595124,0.0022944902994721872,0.03919374707385574,0.03917745133414749,0.14130272522869813,0.16224529632494944,0.0022700466194371027,0.0023155798933978938,0.03993466678819777,0.03892707778112029,0.14672375529383752,0.16113421067203948,0.002426087701134358,0.0022786049881365123
3,4,0.03983918316352868,0.03766132036893955,0.164903519041266,0.20702744041078136,0.002395731713569222,0.0021491432408499104,0.0385400118579945,0.0380758177680644,0.1750720762146375,0.20678043408246882,0.0022402741799384027,0.0021768325372613275,0.03787222271557434,0.037881844903553084,0.16665976191364995,0.220261436844024,0.0021791873208467046,0.0021627765241224277,0.03819785326530342,0.038030378602639234,0.17891440972646888,0.20712227712152742,0.002170616611034853,0.002191538531465694,0.03899419558802904,0.03779575050826024,0.18380091487034422,0.20455256960651214,0.0023206676318430403,0.002160668018357295
4,5,0.03891473778793636,0.036527546736664446,0.19717648390414722,0.24952568611005754,0.0023031467641940967,0.00203396294061368,0.037509562594282245,0.03696274088987621,0.21105714180664337,0.24798552804350027,0.002142548777530839,0.002063753393617751,0.036869183764381176,0.036695903715760744,0.20325209221801777,0.26397375194541406,0.002083498263010462,0.0020415307971781553,0.03721315456016333,0.036948815436685885,0.21916832878352477,0.24903018829993762,0.0020642016082634733,0.002075703769722987,0.038069996478713924,0.03668190850714249,0.22002105119260895,0.24640167062280438,0.0022176843039817136,0.002046993612346357
5,6,0.03803092156669713,0.03551892619035844,0.226865347844611,0.2874685979778714,0.0022179751049861045,0.0019311286727783361,0.03651180363761305,0.03592318564570287,0.24577204987451906,0.28540212727477376,0.0020482727687293326,0.0019610710164551445,0.03608128079339769,0.03559803865093122,0.2344041360605128,0.3047761446066042,0.0020020355712341512,0.0019283563805910476,0.0363689439808557,0.035903609788857614,0.2514704571609835,0.28856179853458275,0.0019788079084367177,0.001966437177233054,0.03720622531306668,0.03565207328997685,0.2535252958712484,0.28650547053072295,0.0021224229669235904,0.0019380599549294543
6,7,0.037153159911587824,0.034534014604367114,0.2569292115809457,0.3235876438901396,0.002131727643252255,0.0018332375131794331,0.03567740907230896,0.034948282695734155,0.27418817264247985,0.32168341313416837,0.001971102504157726,0.0018615042798970844,0.035227705210328725,0.03453539084910165,0.2627080466602567,0.3419028628716849,0.0019280207567677588,0.0018253772559515987,0.03549785910156939,0.03490166479122566,0.28357241660983223,0.32582517457187765,0.0018939433739084415,0.00186344005416879,0.036437672040727835,0.03467876965474327,0.281198407300424,0.32011856357378576,0.0020437410679407316,0.0018467569569421615
7,8,0.03640607572273342,0.033567579110061835,0.2834220589660674,0.35912354959185677,0.0020557247428563403,0.001736926801512578,0.03482085645606834,0.033885144640458525,0.30605458282919096,0.35935878157442247,0.0018845622211945449,0.0017581117623673538,0.034317436734640924,0.03338425013164548,0.29329651908380494,0.3808592247941641,0.0018480318060091392,0.0017173232119267157,0.034620643989042466,0.03392637214736566,0.3172178990774428,0.3595160795792496,0.0018049983918071867,0.0017703173514454055,0.03572350047780204,0.03377712170425304,0.3078617586143857,0.3519347392442407,0.0019679301812611156,0.0017603349124286941
8,9,0.03551997895596982,0.032535881144380684,0.3147809180934936,0.39432843002267104,0.0019657621875996422,0.0016415132466450454,0.03402778650882872,0.03288590457564917,0.333135047637771,0.39389364649532943,0.001811019231143965,0.001663337728972455,0.03353319550229786,0.03230687096681313,0.3204815384096428,0.41626372863879046,0.0017769428957125743,0.0016191210280390338,0.03390207214489763,0.03304252385553851,0.34174838234308413,0.3901081080435378,0.0017401497632551068,0.0016857600392639171,0.034774900728249354,0.03271056385418465,0.33959861946361614,0.3892220803668428,0.0018776939790269313,0.0016590515813437834
9,10,0.03472680855538918,0.03158751639818317,0.34268454970915163,0.4267224668635239,0.0018857120176975512,0.0015537177429060176,0.033372456551958564,0.03199988735255992,0.3552016342548804,0.4242027163199247,0.0017510925359596873,0.0015801605454999488,0.03302831994435049,0.03146870546121944,0.3375453307173759,0.44403149464001335,0.0017323210256250765,0.0015421010173938038,0.03320341001067151,0.03219272604685778,0.36702795066622906,0.4180406840342892,0.0016733208582395784,0.0016085535359148403,0.03388493762729362,0.031710426704122996,0.3675621642697052,0.42264113659894376,0.0017981863019351652,0.001568275644122306
10,11,0.033922196846314444,0.030639107374507528,0.36922971120485215,0.4564684610936852,0.0018095590381471455,0.0014730990611256183,0.03266127051115485,0.031084552278874442,0.37794187672918156,0.4527598714101603,0.0016893363793406386,0.0015017911418151867,0.0323089917517834,0.030485743650455602,0.3625834882342802,0.47488194449739096,0.0016668461656525202,0.0014565305045797473,0.032269891568987706,0.031214877053011483,0.3976755798510333,0.449518483668945,0.0015923009818887934,0.0015215479248419728,0.03314742569380312,0.030903423612371597,0.39038873218068104,0.44829343021127543,0.0017332843947140202,0.0014985965072140904
11,12,0.03336071020152748,0.02982258094508428,0.38903545407354856,0.4822028072246375,0.0017527401586724537,0.0014033528947845302,0.0320228536045233,0.030307512487586636,0.39686230139349743,0.477483963080942,0.0016379537825988108,0.0014339408144711623,0.031789222555378235,0.02975041280360909,0.3792298639438323,0.499117967186242,0.0016233158412707186,0.0013893065613424288,0.03148522299728895,0.030308983813485506,0.42290805101990536,0.47795021006738003,0.0015255965826088524,0.0014429617543388433,0.03248291278332826,0.030081604731607828,0.41143583539472717,0.47528250523333304,0.0016734419713852345,0.0014252862807716481
12,13,0.03265728206561742,0.0289599564446368,0.4106560551321715,0.5082601867836201,0.0016907147989641894,0.001332731231429044,0.03151995596302356,0.029507144097928914,0.41279012196901144,0.5016913233169011,0.0015946982639660097,0.001367508553257474,0.03114873728085229,0.028931674130547213,0.3998615284815359,0.5235761872016004,0.0015693639741776676,0.0013214663049147665,0.030716153430706543,0.029440344690965972,0.44760400402552625,0.5040251394383282,0.0014603105193112622,0.0013708898436610877,0.031790015285288284,0.02919914068499981,0.4329382619331902,0.5040959037013566,0.0016123049446683188,0.0013470206579394173
13,14,0.03203811180581848,0.0281825950272479,0.43029720529378823,0.5318697072564615,0.0016343681044132328,0.001268743845320501,0.030935901107379583,0.02872803594302601,0.4325713642943768,0.5267434514983107,0.0015409779265269886,0.0012987579952832098,0.030504840921258394,0.028160121453453594,0.4200044357148377,0.5460594065481161,0.0015166902089595118,0.0012591041475366244,0.03007836761413176,0.028638934446183713,0.4688155920969701,0.5278509418786723,0.0014042357008517562,0.001305034589333168,0.031132485532552566,0.02838012861586866,0.4518450497296549,0.5285530405741323,0.0015585479982801582,0.001280587916513057
14,15,0.031471512403099235,0.027428916097263202,0.4476624390098347,0.5542158461343055,0.00158455057784515,0.0012081805222298634,0.030316655845476412,0.027973852014958223,0.4511743461540989,0.5492000895126716,0.0014904574159120012,0.0012371302412443703,0.03000779939966785,0.027485973289502336,0.43361421661369914,0.5653938037749626,0.0014811005894753901,0.0012054759413580919,0.02960892193725184,0.02796768944709688,0.4850501259432697,0.5480489286469071,0.0013613181910858787,0.0012492067296476649,0.030528649175086558,0.027632345176675743,0.4698097781116841,0.5506853576074335,0.001507469573382874,0.0012204700661576382
15,16,0.030956191056314773,0.02673386261682789,0.4633847431073336,0.574842699222526,0.0015394463013985362,0.0011522768703840576,0.029871543031732645,0.02737366607583269,0.4647309011673172,0.5682891777217877,0.0014536415932330136,0.0011847440544863707,0.02945144041388328,0.026775635502627997,0.45129213130790446,0.5853596114713069,0.0014348727874325105,0.0011500963792699737,0.029020925061689136,0.02723827523831426,0.5031870651833625,0.5686412391085434,0.0013133714945974405,0.0011922889470862585,0.02991891915180194,0.026958509585615038,0.4875547642049556,0.5703411881032208,0.001457015933328109,0.0011670790780121476
16,17,0.030402017215050238,0.026075227248810916,0.47849218594501874,0.5940388346643151,0.0014961059440357259,0.0011002508018445212,0.029413965536071746,0.02670626961777186,0.4781953721757145,0.5865716337690716,0.001417075845030156,0.0011345715084539957,0.028972598723282,0.02607439138646019,0.46626934932423003,0.6045652586254446,0.001395707315622722,0.001096825289755784,0.028500456129313817,0.02652185694098867,0.5199097506053365,0.5885265983247939,0.0012691635104505562,0.0011373251996168027,0.029419346615237738,0.026363755405850932,0.5022193737627166,0.5881620270681953,0.0014153206100248415,0.0011186724638970345
17,18,0.029923865909092028,0.025441291340269633,0.4927999098634679,0.6115974259178457,0.0014550598269438791,0.0010526628654713888,0.028920109966844885,0.026038975077407614,0.4918562654851436,0.604506220120437,0.0013799766686371764,0.0010853536212643167,0.02864038341224091,0.025512790159074275,0.47595142886792274,0.6200475037940338,0.0013703886474284491,0.001053881875163328,0.02801596726281217,0.025859486181704684,0.5345349570757102,0.6069535913436113,0.0012305004082350712,0.0010863924213906989,0.028916949743437188,0.02575091270642844,0.5156638396245974,0.6052264736302132,0.0013770944746106745,0.001072320432915829
