,boosting_iteration,mae_run_1,mae_train_run_1,r2_run_1,r2_train_run_1,mse_run_1,mse_train_run_1,mae_run_2,mae_train_run_2,r2_run_2,r2_train_run_2,mse_run_2,mse_train_run_2,mae_run_3,mae_train_run_3,r2_run_3,r2_train_run_3,mse_run_3,mse_train_run_3,mae_run_4,mae_train_run_4,r2_run_4,r2_train_run_4,mse_run_4,mse_train_run_4,mae_run_5,mae_train_run_5,r2_run_5,r2_train_run_5,mse_run_5,mse_train_run_5
0,1,3.3346936183452405,3.4802462064942232,0.04892602682007807,0.058315480823472376,16.516908444075185,17.958107293205778,3.3681426878925427,3.4685409646439314,0.050534230335614105,0.05772687922269404,17.015962779310563,17.840509739003803,3.2629332382505423,3.4879097974108313,0.05281252014245663,0.060519569824409314,16.45638248277419,17.90503463673084,3.75028843993893,3.379554816215428,0.050084760869056666,0.056383258227019506,20.46223213257637,16.99342817593514,3.5675619591367473,3.4292170503153514,0.053973093626356716,0.05415694354078138,18.295187340884823,17.57180365208252
1,2,3.23966295286147,3.370488898897779,0.10172632925689107,0.11646730180666987,15.599947423417184,16.849140734612718,3.2734270341102065,3.371511800294767,0.09720242694012837,0.108506652669765,16.179593189408802,16.8790718896682,3.1781096510033184,3.3844744296745524,0.10296705881040003,0.11513991352980668,15.585000323361673,16.864055905824763,3.6504156063005495,3.286960836526124,0.0994926739387969,0.10728991875670346,19.397930661485,16.076659067152182,3.4713021015747283,3.3399885369504663,0.10149411599730984,0.10173415890505877,17.37617964559673,16.687917598276115
2,3,3.1560589005446475,3.2696957169031733,0.14845215177619075,0.16909340334457656,14.788479383822983,15.84555072267613,3.1852974983260975,3.2763436719256998,0.14117034098237324,0.15676482454866214,15.391617031941617,15.965376734401794,3.091856178798612,3.28507740250121,0.15067825050576078,0.1657714833845072,14.756068738068862,15.899096995726941,3.554276399587605,3.199798781851165,0.14405762506454145,0.1531071005929372,18.43795198407565,15.251545486298488,3.36864895937086,3.2407353996633534,0.15217654137846148,0.15382992001160445,16.39603366772709,15.720086329633201
3,4,3.075051642058398,3.173692985471297,0.19004453506764507,0.21642795253584002,14.066161660734714,14.942871645191065,3.1062959168438797,3.1937730805063334,0.18038963203439573,0.19818422713667005,14.688743881487696,15.181163284011209,3.012575024340153,3.1920433085552253,0.19281372790521334,0.2114414544422878,14.024009302186153,15.028698435647064,3.453225969198892,3.1105862318974675,0.19191160659918816,0.1996951140376516,17.407123928800093,14.412550134388207,3.277195049636072,3.1502010465161603,0.19561320038610752,0.20033605594528547,15.5560133589462,14.856098711747741
4,5,3.0007064712930105,3.0884448157242166,0.22728565884226715,0.25706632078883296,13.419410462525299,14.167890043129443,3.023875199075681,3.1020827363530867,0.22059932293652307,0.24227198398531657,13.96812116330373,14.346428600313276,2.950894784009329,3.1076376659322107,0.2243828078012694,0.24975402400932745,13.475529867600624,14.29852049570659,3.3556095712994956,3.0251724956352097,0.23636923974567847,0.24251333915383333,16.44945700017952,13.641444238401558,3.186828428775796,3.062564913990915,0.23869025571358837,0.24357452447048078,14.722947415472229,14.05281758180455
5,6,2.9278955853402517,3.0016259984593145,0.26421314134852203,0.2979736611794106,12.77810614253986,13.387779089987637,2.9518142444287387,3.017917280836626,0.2563274990798484,0.2811033372545756,13.327814440458555,13.61121593118033,2.870439262358185,3.0183361657542433,0.26604794968217527,0.29161635221693827,12.75164201480261,13.500689681507113,3.2642660858225443,2.943785211947938,0.2748583646642888,0.28130506330148175,15.620358385670647,12.942850891186076,3.0996593382350954,2.9707650532253647,0.27901650265372724,0.28747988957481496,13.94307927688756,13.23714689561855
6,7,2.87496561772578,2.929203330763501,0.2909509609306916,0.33151601059305014,12.313761485355817,12.748119950042256,2.8809435524176057,2.9358771141607014,0.288996441941457,0.31780129806775526,12.742334127704309,12.916395806470604,2.8020186091867303,2.9378255637544983,0.29928586413918457,0.3269313160986763,12.174168341568945,12.8276414399602,3.18303598308697,2.8700201693427365,0.30775740713893984,0.3146577042349169,14.911676372450515,12.342209038313525,3.0182983307796647,2.8843795166176114,0.314803706881443,0.32722556740963904,13.250991555765207,12.498754577608686
7,8,2.810241085720237,2.8534690936039118,0.3212891497640966,0.3649091875899676,11.786890704058957,12.111305557154015,2.8134379889279892,2.8544444657729153,0.32002697800665114,0.3540097854178921,12.186216715599986,12.230843118018845,2.7296593253338814,2.858039441310889,0.3342874058095946,0.36241294711018646,11.566053507426863,12.151416782348063,3.094245216885575,2.7937293300293757,0.34430360297785056,0.3494421188729415,14.124430614078905,11.715782624256292,2.942176363308139,2.809927117570352,0.34581372149974143,0.36068804359928053,12.651289768148954,11.877091123718099
8,9,2.7628719194765545,2.7870934973600647,0.34358258876690007,0.393237899005596,11.399729766743286,11.57107150984804,2.7559128917835376,2.785187563670588,0.34745866045073737,0.3845458631945705,11.694596583146518,11.65268888550035,2.6707439077233275,2.784533075910644,0.36326582424742826,0.3937041339534657,11.06258408062385,11.555055467883411,3.0101978130402496,2.721545699428293,0.37628266167419466,0.38005321741439857,13.43556607599176,11.16451272682597,2.8675687907388245,2.7377989309227084,0.3750278931635467,0.39177512266234804,12.086317736172745,11.299557625234845
9,10,2.700166631113262,2.7162148956700976,0.3701324564001349,0.4220249873886933,10.938649193342401,11.022096124445373,2.694370997908864,2.7150631243654204,0.37419707168480054,0.4127491678631696,11.215400992453931,11.118702167087791,2.6132760589164974,2.7165094192309986,0.3896102675858313,0.42212686606100147,10.604877190391585,11.013362435745602,2.94658455829489,2.662089060088824,0.40013969849749076,0.4053436036470265,12.921658934213172,10.709062602892903,2.795378441980911,2.673154654692128,0.40442153416633175,0.42034547893979146,11.517874951772411,10.768779619995106
