,feature,relevance,relevance_seotm
0,qnat-0_MS_AA,0.15447036391820865,0.0036864652136316374
1,LPde-3_FS_AA,0.07446505896965161,0.0018569510217369307
2,qnat-1_MS_AA,0.049847347766586926,0.005596299496306743
3,LPde-0_FA_AA,0.04334752974532784,0.0035185574077693424
4,Vnat-2_MR_AA,0.030923033260175446,0.0026804113967912172
5,qnat-1_FA_AA,0.028900425545965565,0.003855762452799829
6,Vnat-4_FR_AA,0.020254199256246608,0.001392425749736277
7,qnat-1_FS_AA,0.016761317723734306,0.004516119931328067
8,LPocc-1_MD_AA,0.014338210972445106,0.002003681620677237
9,LPde-0_MA_AA,0.014131402648922143,0.0017529543770186925
10,LPde-1_MD_AA,0.012081987171771124,0.002630578390213727
11,LPocc-0_MA_AA,0.011585256601367744,0.0006706347206719407
12,LPde-0_MS_AA,0.011523747765538448,0.0009507789936519771
13,Nd-0_FA_AA,0.01010146412237574,0.0031081463399898275
14,Np-4_FR_AA,0.009727023806305735,0.0022691905323680454
15,qnat-1_MA_AA,0.009398996409015613,0.0014847110644057556
16,LPocc-0_MS_AA,0.009253731326250885,0.0008382663618865331
17,Nlp-3_FS_AA,0.008719677914860982,0.00215067690816746
18,LPde-4_FS_AA,0.008654511600767394,0.0011921307279064177
19,LPe-0_MS_AA,0.00859245860784052,0.0017321407153321046
20,Vnat-3_MS_AA,0.00803206282735691,0.001269796890641737
21,LPe-0_MA_AA,0.007541681213699407,0.001450337489119174
22,LPd-1_FR_AA,0.0075398008918731805,0.0008537127390788974
23,LPde-3_FA_AA,0.00730055632270789,0.0008585895286477562
24,Nlp-3_FA_AA,0.007135015048181629,0.0013754272066612877
25,LPe-1_FR_AA,0.00662117421414028,0.0014957675199832909
26,qnat-4_MR_AA,0.006250236470785079,0.001724334335150161
27,qnat-4_MA_AA,0.0062342349208164725,0.0012006710123052741
28,Np-1_MA_AA,0.005719746873077966,0.0014706471031300866
29,Np-2_MA_AA,0.005259477583821875,0.000867228294315388
30,LPde-1_FS_AA,0.0051403071116966305,0.0009560397934566793
31,qnat-2_MA_AA,0.005060824160915471,0.0017772622386364584
32,LPocc-1_FR_AA,0.004640800619301621,0.0005035237581993542
33,LPocc-1_FA_AA,0.004371023053087698,0.0009938038424642064
34,qnat-2_MD_AA,0.004312684615867047,0.00035871946834554943
35,Np-1_MS_AA,0.004124386281383735,0.000863531998208453
36,LPe-2_MD_AA,0.003995604524547251,0.0010296328705579245
37,LPs-3_MS_AA,0.0039116504998872766,0.00044502782743041094
38,LPp-2_FA_AA,0.0039048534264614345,0.0005180484143600737
39,qnat-3_MD_AA,0.003807000631740204,0.0007472755537991255
40,LPs-1_MD_AA,0.0037908138333034797,0.001208048692501585
41,LPde-3_MA_AA,0.00375834000639216,0.001040077121052153
42,Vnat-0_MA_AA,0.003715341113531165,0.000901686460750831
43,LPe-3_MD_AA,0.0036717386597403374,0.0007020027459395169
44,qnat-1_MR_AA,0.0036156471596729086,0.0004432796451407124
45,Nd-1_MD_AA,0.0035714280993788482,0.0008200019393148824
46,Np-5_FR_AA,0.0035675764506275407,0.0005511547107619195
47,LPe-4_FS_AA,0.0035560294020396547,0.0003618865328785649
48,LPe-2_MA_AA,0.0034317118894364495,0.0011050819493349392
49,LPde-3_MD_AA,0.0033761620781950427,0.00034307786821219556
50,Vnat-0_MS_AA,0.0032687605536029134,0.0009085708531640761
51,LPd-0_FS_AA,0.00323832410787669,0.00040336666296092634
52,Vnat-3_FR_AA,0.0031967258007238467,0.0004394813402645182
53,qnat-6_FR_AA,0.003121971444099282,0.000753621155847814
54,LPp-4_FS_AA,0.0030809219146794723,0.0007536654794846746
55,Ns-1_MA_AA,0.003073195425909299,0.00033151433132655656
56,Vnat-1_FR_AA,0.0029425963060813335,0.000783508344320658
57,Nd-0_MA_AA,0.002924381871516098,0.0008073825856145884
58,qnat-2_MR_AA,0.0028993413079038428,0.00018614963327897037
59,LPe-3_MS_AA,0.002808711030661531,0.00037100409207777214
60,qnat-0_MA_AA,0.0028044685885998365,0.0007326542959752579
61,Nd-1_MS_AA,0.002797014511680014,0.001470236875285098
62,LPe-2_MS_AA,0.0027642192588499433,0.0006118425223881288
63,LPe-0_FA_AA,0.002741902278013664,0.0007803000221802683
64,Np-1_FR_AA,0.00273431168468777,0.0004023889955811854
65,qnat-1_MD_AA,0.0027113845179130786,0.0006197523070592486
66,Vnat-1_MS_AA,0.002699611844143235,0.0009456296879395454
67,Np-3_FA_AA,0.0026725951349238436,0.0005788098225766061
68,LPs-3_MD_AA,0.002581311081885616,0.00027328040253255887
69,Np-2_MR_AA,0.0024755252399343577,0.0011231812591401354
70,qnat-0_FA_AA,0.0024141296400252282,0.0005286396307971674
71,LPocc-3_FA_AA,0.0023560599223474846,0.0012796680715861306
72,Nd-0_MS_AA,0.002352569166836499,0.0008977995917220609
73,LPp-3_FS_AA,0.002316370341482529,0.0004953184301911446
74,LPe-2_FR_AA,0.002291647848931038,0.00048656100697328826
75,Nlp-2_MS_AA,0.0022658190075704266,0.0004309288917841013
76,Ns-2_MR_AA,0.002265085393442001,0.0002930372058732521
77,LPs-4_FS_AA,0.0022377391552771886,0.00034865549672661363
78,Vnat-1_MD_AA,0.002209152104677734,0.00044958377162257306
79,Np-3_FR_AA,0.002204053630724405,0.00032689922683523534
80,LPocc-2_FR_AA,0.002202220658298019,0.00038474155874221083
81,Np-3_MA_AA,0.0021832896260893433,0.0004478899495733756
82,LPde-1_FA_AA,0.0021664567190733965,0.0008758880204460055
83,LPde-0_FS_AA,0.0021074591259521236,0.00043784931843548455
84,LPe-3_FA_AA,0.002044925830802536,0.0006050107837760727
85,LPs-1_MS_AA,0.0020416879034250617,0.0003150828990858832
86,LPocc-4_FS_AA,0.002023720051125711,0.00011885079576809737
87,qnat-3_MR_AA,0.0019668718318413643,0.0003690693856865452
88,qnat-3_FA_AA,0.0019242331397263679,0.00047151022772028996
89,LPd-2_FA_AA,0.001922550095064697,0.0003417100338284033
90,LPocc-2_FS_AA,0.0018839842365115974,0.00029198454991510934
91,LPde-3_MS_AA,0.0018520358045698662,0.0008416926934229053
92,Ns-1_MS_AA,0.0018410773428461293,0.0003740284309453827
93,LPp-1_FA_AA,0.001840193842587033,0.00034946420662686304
94,LPocc-5_FS_AA,0.0018281645474565729,0.0004382174993636188
95,qnat-2_MS_AA,0.0018158549213761772,0.0010971964959454713
96,LPe-2_FS_AA,0.0017199788561994603,0.0003355689912727339
97,Np-2_MD_AA,0.0017052017803042732,0.0003459826234380541
98,LPs-3_FS_AA,0.0016996867387486301,0.0005097240475593902
99,qnat-4_MS_AA,0.0016891423823247181,0.0003957438490601888
100,Nlp-5_FS_AA,0.0016867442781313662,0.0007301869132931697
101,LPocc-1_MA_AA,0.0016837710049782517,0.00028224566219843083
102,qnat-1_FR_AA,0.0016836966819262418,0.00023369887687823914
103,LPocc-2_MD_AA,0.0016809723396346594,0.000531354838775926
104,LPocc-2_MA_AA,0.0016425101124956838,0.0005335750243682903
105,Vnat-3_FS_AA,0.0016388338285511176,0.0009672304413051076
106,LPp-5_FS_AA,0.0016253565032072353,0.00036555930788906174
107,LPe-1_MD_AA,0.001616042944473746,0.000587508785887946
108,Vnat-1_MR_AA,0.0016054488549743287,0.00040993649084284463
109,Vnat-2_MD_AA,0.0015918107005526729,0.00021579942513568468
