,feature,relevance,relevance_seotm
0,qnat-0_MD_AB,0.130395418751556,0.02401272796568482
1,qnat-1_MR_AB,0.06488071540332459,0.007290999697968818
2,qnat-2_MD_AB,0.06373815407225406,0.004359436481582579
3,LPde-0_FA_AB,0.05987171292606058,0.004852812160331351
4,qnat-0_MA_AB,0.05986453325476646,0.019525972605518683
5,qnat-2_MA_AB,0.046411035507487694,0.011364655476562163
6,LPde-0_FR_AB,0.02975625733321196,0.0016394545076757578
7,LPde-4_FA_AB,0.026288120420898294,0.005399599470201158
8,LPde-5_FA_AB,0.021707863598584964,0.0018653098047198462
9,LPde-2_FA_AB,0.020509220397715796,0.0012123424898713225
10,Nd-1_MD_AB,0.017964483973874283,0.0028744847761863197
11,qnat-2_MR_AB,0.01680952840730708,0.005927629078869565
12,LPde-2_MA_AB,0.015500156540583187,0.002563092151551505
13,LPde-1_MS_AB,0.014958011753304102,0.0007691002651418411
14,Vnat-0_MS_AB,0.01200915613075623,0.005056058867406511
15,LPe-0_MS_AB,0.011711321263560318,0.0017327542752630077
16,Np-0_MA_AB,0.011002622223199735,0.0014383906869181748
17,LPe-1_MS_AB,0.010797836637670977,0.0034867614976031337
18,qnat-3_MA_AB,0.008721773832265741,0.004554666174574294
19,Np-2_MA_AB,0.007331225381805089,0.000509085551376453
20,qnat-1_MS_AB,0.007321363588141996,0.001164222242046522
21,LPp-1_FR_AB,0.00730111428783721,0.0005345126727484089
22,Vnat-1_MD_AB,0.006783591397309446,0.002441633600507507
23,qnat-1_MD_AB,0.006450205183078765,0.0015627541418957826
24,Nd-0_MS_AB,0.00610032227132964,0.004371610221777441
25,qnat-3_MR_AB,0.00603165679578155,0.001911399312616734
26,LPde-5_FR_AB,0.005590386963642826,0.0012097663471143014
27,LPp-1_FA_AB,0.005214666389609708,0.001426726218434972
28,Np-1_MA_AB,0.004975367931408678,0.0011835200368189355
29,LPs-3_FA_AB,0.004926107207154055,0.0006618313084857967
30,Nd-0_FA_AB,0.004772042474827319,0.0007304884044237223
31,LPde-6_FA_AB,0.004382446085887519,0.0006947879690761973
32,Np-2_MR_AB,0.00437784375545314,0.0010374256716851476
33,Nd-2_MS_AB,0.004129071685680619,0.000897902912912513
34,LPocc-0_MD_AB,0.004014938084368881,0.000347370981008102
35,LPd-1_MD_AB,0.003797762210388535,0.0007146812836470385
36,Ns-2_MS_AB,0.0036781486969652568,0.0004590306166027419
37,LPde-3_FA_AB,0.003643858486768586,0.0006709190941292769
38,Np-3_FD_AB,0.0035060942253657356,0.0013095704758596454
39,LPp-2_MR_AB,0.0034943512168958578,0.001041540684570732
40,qnat-0_FR_AB,0.0034111651586621176,0.000969925996060844
41,Nlp-1_FA_AB,0.0032581134263373083,0.0003853868224465545
42,LPp-0_MR_AB,0.0032469108947098166,0.0006259522871333909
43,LPs-3_FR_AB,0.00315491955416531,0.0007468161082174277
44,LPde-1_FA_AB,0.0031394823734766514,0.0006464582799184278
45,qnat-3_FA_AB,0.0031162187832922453,0.0003496084940723009
46,Nlp-1_FD_AB,0.003078252066337428,0.0012337268565614033
47,qnat-1_FA_AB,0.0030062467430994584,0.000478744496064814
48,LPe-1_FR_AB,0.002799380311941071,0.0007188055336520016
49,qnat-4_FR_AB,0.002684955600068835,0.0005719321863475316
50,LPs-2_MA_AB,0.002684414443985601,0.0005574287794823305
51,LPe-3_FA_AB,0.0026706002964853636,0.0002778820995613665
52,LPs-0_MR_AB,0.0025776361015128475,0.0002882835739403538
53,LPp-3_FA_AB,0.002563086055801875,0.00033154283329556503
54,LPp-0_MA_AB,0.0024799111249025237,0.0007739209189860207
55,LPde-2_MR_AB,0.0024435154164013555,0.0004790687979926888
56,LPd-0_MD_AB,0.0024286162151058626,0.0004831778279554408
57,LPs-1_MA_AB,0.002421488194444511,0.00024468958710409616
58,LPe-3_FR_AB,0.002383693892711719,0.000438289802657531
59,LPs-0_MA_AB,0.002217245068624492,0.0009466042152647425
60,LPp-2_FD_AB,0.002216596437797126,0.0008081481666423509
61,LPe-2_MS_AB,0.0021734354347129102,0.0007082247433604889
62,Np-0_MR_AB,0.00212404550090992,0.0003301520954539807
63,qnat-1_FR_AB,0.002114942117440235,0.0007483196652564571
64,LPs-2_MR_AB,0.002074660080546099,0.0003925589419867187
65,Nd-0_MA_AB,0.0020657214957303487,0.00045038190545415336
66,Nlp-1_MA_AB,0.0019801497071737575,0.0005249067059525165
67,Vnat-0_MA_AB,0.0018904720248811696,0.0007847699342675902
68,LPde-3_FR_AB,0.001802920292228025,0.0004506644969134106
69,LPde-0_MA_AB,0.0017439419759842302,0.00028365509667640105
70,Nlp-0_FD_AB,0.0017016849126246926,0.0006620390242264514
71,Vnat-0_MD_AB,0.0016909928572921297,0.0009931482755247008
72,LPde-1_MA_AB,0.0016861556088937594,0.00026595039625939654
73,Np-3_FA_AB,0.0016496446872631195,0.0004092452067100135
74,qnat-2_MS_AB,0.0016272923080471696,0.00026170539006085237
75,LPde-2_FR_AB,0.0016176473904634596,0.00028137124373024013
76,LPe-2_FR_AB,0.0015983261503198117,0.0003946478278591916
77,Nd-2_FS_AB,0.0015757267849524643,0.0002935426427346924
78,LPp-4_MR_AB,0.001539638370043833,0.00016067883760573557
79,qnat-1_MA_AB,0.001501775549394842,0.0009429329066078982
80,LPs-1_MD_AB,0.001496205254858362,0.0005592143124203338
81,LPp-1_FD_AB,0.00145394814750463,0.0005652772616556955
82,LPs-0_FA_AB,0.0014521603346389403,0.00016549759976928433
83,qnat-0_FA_AB,0.001433376607617233,0.0005253937144852308
84,LPde-6_FR_AB,0.0014123622039757075,0.00031932320378117113
85,Np-0_MD_AB,0.0014116889280197473,0.0003147018487864929
86,Vnat-2_MS_AB,0.0014038830749406035,0.0003541707965170993
87,qnat-6_FR_AB,0.0013971069974305895,0.00015745839834428821
88,Nlp-0_FA_AB,0.0013936990274945533,0.00030012760614139
89,Np-2_FD_AB,0.0013900620159041231,0.000736090730196167
