,feature,relevance,relevance_seotm
0,qnat-1_MS_AB,0.1407989052121462,0.00502134581333877
1,qnat-2_MA_AB,0.04876749343866059,0.005198467773217552
2,Nlp-2_FA_AB,0.03720025359840494,0.004294303196873972
3,LPde-2_FA_AB,0.036370803273124364,0.004469695242069973
4,LPde-2_MA_AB,0.03221863224588967,0.0024412844652435144
5,Np-1_MA_AB,0.028912694647312713,0.002005247967155118
6,qnat-2_MD_AB,0.022772187663205386,0.005724338093196911
7,Nd-1_MD_AB,0.018683380296978642,0.003521047462344351
8,Ns-1_MD_AB,0.01809769040598863,0.00337316421979761
9,Vnat-1_MD_AB,0.017551693228120276,0.004587026250528845
10,qnat-0_MD_AB,0.017161196829846317,0.0028093485670766605
11,LPde-0_FR_AB,0.01588398275779556,0.0014601437343420203
12,LPde-3_FA_AB,0.01407792936052377,0.001873982367030819
13,qnat-2_MS_AB,0.013230937619204,0.0028546291927134685
14,LPs-2_MA_AB,0.01238642194153072,0.005045722583939682
15,LPocc-0_MS_AB,0.01235358270737914,0.0011951712573485462
16,LPde-3_FR_AB,0.011305594398967975,0.001557968339912113
17,qnat-3_FR_AB,0.010836612091174674,0.0010740726905641652
18,LPs-1_MA_AB,0.00973692763504785,0.0021322391484208045
19,LPde-0_FA_AB,0.009693324492415322,0.0006518403875114607
20,LPocc-4_MA_AB,0.00844744125314747,0.0016190686712898466
21,qnat-1_FA_AB,0.007268626268129619,0.0010121285768976659
22,LPe-0_MA_AB,0.007216560146683956,0.0006938653068630266
23,LPs-1_MS_AB,0.007104880465860513,0.00042221824501972687
24,qnat-0_MA_AB,0.0070962947990951585,0.0012194062736959406
25,LPde-1_FA_AB,0.007009336674129752,0.0006457705749383722
26,qnat-1_MD_AB,0.006701679921538241,0.001764895415223125
27,qnat-3_MR_AB,0.006431872853256038,0.0010303435262507218
28,Vnat-1_MS_AB,0.006022503897108023,0.0023683047701989353
29,LPocc-0_MD_AB,0.005912791852246977,0.0009395439420329266
30,Np-2_MR_AB,0.005513634339340902,0.0014453697135481756
31,Np-2_MA_AB,0.005416268724756252,0.0016838594710582486
32,LPde-1_MS_AB,0.005397312632645183,0.0009959073676270734
33,qnat-3_MA_AB,0.005033083606461706,0.0007134510115171695
34,LPde-4_FR_AB,0.0047607258407747705,0.00038978806355565175
35,LPp-1_MA_AB,0.004569642895880292,0.001155481783329809
36,LPde-0_MA_AB,0.0042996533266661365,0.0004009745291703174
37,LPe-1_MS_AB,0.003989856759777412,0.0006536996469591511
38,LPd-4_FA_AB,0.0038067027125283995,0.0013325754660265163
39,qnat-1_MR_AB,0.0036879932277440624,0.0006232644543108066
