,feature,relevance,relevance_seotm
0,BNocc_-0_MA_BB,0.09141576504937662,0.008492688109615168
1,BNocc_-0_MS_BB,0.09051111831991021,0.010385652500326945
2,BO-0_MS_BB,0.08404559988216181,0.00293186605067476
3,BO-0_MA_BB,0.07544570340688742,0.0028402115795503453
4,d-0_MA_BBavg,0.059175640581716135,0.004653004650144428
5,d-0_MS_BBavg,0.058440886004278735,0.0025716454960448836
6,BNocc_-2_MS_BB,0.03275211993389933,0.005628782085984207
7,d-0_MA_BB,0.0238027494221739,0.0027042016110714394
8,BO-1_MD_BBavg,0.023482590772764583,0.0019283958658455177
9,d-0_MS_BB,0.01865380566330494,0.00145848095213385
10,BNocc-0_MA_BB,0.017793096582083938,0.0011964640478387522
11,BNocc_-1_MD_BBavg,0.013619935783161017,0.0019659026121104624
12,BO-1_MA_BBavg,0.013530221142559366,0.0009853624532525315
13,BNd_-2_MA_BBavg,0.012951617751941794,0.0013354935224277136
14,BO-1_MA_BB,0.012738399101911735,0.0014303931414898347
15,BNocc-0_MS_BB,0.012216430930264519,0.0018909138983384483
16,BO-1_MD_BB,0.011692422294985797,0.0012005124550438593
17,BNd-2_FA_BB,0.011331724851656974,0.001047558093491266
18,BNocc_-1_MD_BB,0.01070861479659069,0.00359007809454155
19,d-1_MD_BB,0.008887275529853567,0.0025961197454900473
20,BNd-1_MR_BBavg,0.008517471565276621,0.0016284061359555142
21,BO-1_MS_BBavg,0.00849327965068659,0.0017016277442597648
22,BNd_-2_FA_BB,0.008106039226648487,0.0012662183600570223
23,BNocc_-0_MA_BBavg,0.006670145969125541,0.001247944886680491
24,BNocc_-0_MS_BBavg,0.006145914147138053,0.001423207225391125
25,d-1_MD_BBavg,0.006061323223596593,0.0005641783235044448
26,BO-2_MA_BB,0.00561902518451032,0.0010659034992868842
27,BNe-1_MR_BBavg,0.005575990375335858,0.0008965737905984953
28,BNd_-1_MR_BBavg,0.0042273863755482545,0.0007030317091417722
29,BNp-1_MS_BBavg,0.004132008226540941,0.0007619254915043216
30,BNocc_-1_MR_BB,0.004079989993837471,0.0007459263921607627
31,BO-2_MA_BBavg,0.004013865567395479,0.0008196405580729095
32,BNocc-2_MR_BB,0.003875140751896623,0.0016113468320887276
33,BNe-1_MR_BB,0.0038322414525991493,0.00047661659109048344
34,BNd_-1_MR_BB,0.003801166881473309,0.0007231561496368309
35,BNocc-1_MR_BB,0.003505608398307377,0.0011795020226442125
36,BNocc_-2_FR_BB,0.003479298484365202,0.0008571173876212654
37,d-2_MS_BBavg,0.0031081819928663536,0.0019239815935002125
38,BNp-2_MS_BBavg,0.002981785411569874,0.00026367648953005973
39,BNe-2_FA_BB,0.002892660794991086,0.0007187148937811869
40,BNe-2_MR_BBavg,0.0027331705592419336,0.0016735998593983999
41,BNocc_-1_MA_BBavg,0.0026861417983214558,0.0007443183802560197
42,BNd_-0_FA_BB,0.0026184354345000728,0.0005641338629924194
43,BO-1_MR_BBavg,0.002532689990459549,0.00041187269977169017
44,BO-0_MA_BBavg,0.0024666752333043687,0.0008110546554940883
45,BNocc_-1_MR_BBavg,0.0024596694500594136,0.0005905333743391919
46,BNde-1_MD_BBavg,0.0024248514779327862,0.00033150175842064394
47,BNp_-2_MS_BBavg,0.0024189058357990153,0.0005617544075587349
48,BNd_-3_FA_BB,0.002310086089398379,0.0009609492397968208
49,d-2_MA_BBavg,0.002295663559803456,0.0004362229893546224
50,BNd-1_MR_BB,0.002222424277759603,0.00042524928913283854
51,BNde_-4_FS_BB,0.002005293082742661,0.0003845996952715082
52,BO-1_MS_BB,0.0020028430728396105,0.0005457083195403338
53,BNe-1_MD_BB,0.001857644705589682,0.0002315810183800676
54,Nbn_-4_FR_BB,0.0018549183641223045,0.0010298178804421323
55,BNd-0_FA_BB,0.0018176541621058178,0.0004986667617438494
56,BNp_-1_MS_BBavg,0.00174940807053507,0.0009846724522208482
57,BNocc_-2_MS_BBavg,0.0017168631005163963,0.0005068079230747665
58,BNocc_-2_MD_BB,0.001702667212732793,0.0005496271652305648
59,BNocc-1_MR_BBavg,0.0016864109957040092,0.0005238526563240443
60,BNd-3_FR_BB,0.0016806991702916136,0.00022289029161134429
61,BNde-1_MS_BBavg,0.0016482736816308922,0.0006433206986702338
62,BNs-3_FR_BB,0.0015858722077575881,0.00020470055264155878
63,BNe-0_MS_BBavg,0.0015347590320514688,0.0004757743625658251
64,BNp_-1_MS_BB,0.001533283658624855,0.0004844590293846131
65,BNocc-4_FR_BB,0.0015162963851951812,0.0007157972710111896
66,BNd-1_MA_BB,0.001497504870637839,0.00041172111448758503
67,BNe-1_FA_BB,0.0014920510632376854,0.00046953184006574914
68,Nbn-4_FR_BB,0.0014769870075372724,0.0010179360357428406
69,BO-0_MS_BBavg,0.0014577622548617324,0.0003380513770468581
70,BNocc_-4_FR_BB,0.001453208915319314,0.0001571548730562673
71,BNde_-1_MS_BBavg,0.001416716054108072,0.0006248409095604093
72,BNe-0_MA_BBavg,0.00138360178838844,0.0002614492592144095
73,d-2_FS_BB,0.0013534604027484213,0.00034622532875217183
74,d-2_FA_BB,0.0013283628568740435,0.0003589758707602732
75,d-3_FS_BB,0.0013128273409293886,0.0008601382580828042
76,BNd_-1_FS_BB,0.0012671969934493674,0.0003066144462297151
77,BNde_-1_MD_BBavg,0.0012524305702262353,0.0002961419388687379
78,Nbn-1_MD_BBavg,0.0012279892905972419,0.00027408379041896834
79,BNd_-3_FR_BB,0.0012210373385835595,0.00032761852208632313
80,BNd-2_MA_BBavg,0.001212165672699419,0.0006553825134681199
81,BNocc_-1_MS_BBavg,0.0012000883869651268,0.0002715167690899751
82,BNocc_-3_MR_BB,0.001157615014200026,0.0002720764798359415
83,BNde-4_FS_BB,0.0011014854963057208,0.00026917247899456735
84,BNocc_-5_FR_BB,0.0010874153980087833,0.0003375122416270277
85,d-2_MA_BB,0.0010793827765674983,0.0006160289255738706
86,BNe-0_MA_BB,0.0010546172446280742,0.00017652348632963706
87,BNe-0_MS_BB,0.001045729360581444,0.00018661478437770703
88,BNocc-2_MR_BBavg,0.001031694446540037,0.00031590908100214934
89,BNs-3_MD_BBavg,0.0010255339627930657,0.00028880640911809234
90,BNd-1_MS_BBavg,0.001023973155528447,0.0007750874905882326
91,BNocc_-1_MA_BB,0.001006459965512845,0.00021785217511899416
92,BNocc-0_MS_BBavg,0.0009807817207153889,0.00026735288731300177
93,BO-1_MR_BB,0.0009780431281629655,0.000317042775655809
94,BNocc-1_MA_BBavg,0.000977439956373297,0.0004488274261828248
95,BO-3_FR_BB,0.0009754684647751092,0.0005385670539623269
96,BNs_-5_FA_BB,0.0009617642557784818,0.0001585794582623996
97,BNe_-3_MD_BBavg,0.0009596894486360478,0.0002017405189967123
98,BNocc-2_FA_BB,0.0009563751151635616,0.0002528638016645977
99,BNocc_-3_FA_BB,0.0009466662912921677,7.681962203962673e-05
100,BNd-3_FA_BB,0.0009365893423184281,0.0004513808207433476
101,BNs-5_FA_BB,0.0009328005747038407,0.00028312584671935957
102,d-1_MR_BB,0.000921501091673331,0.0002740904806923062
103,BNd_-2_MA_BB,0.0009201239123312959,0.00018096861201556487
104,BNs-5_FR_BB,0.0009175007610598862,0.00011641182156961001
105,BNd_-1_MA_BB,0.0009035113128376411,0.00031465275049319126
106,BNde-1_MD_BB,0.0009030877448443682,0.00020481249183215697
107,BO-2_FR_BB,0.0008878080109511691,0.00032130786797770187
108,BNs-2_MD_BB,0.0008855160867821777,0.0005365439008233813
109,BNde-3_FA_BB,0.000883423746178204,0.0002334759214034177
110,BNocc_-3_FR_BB,0.0008820533208041157,0.000146317600873654
111,BNde_-1_MS_BB,0.0008636684530689108,0.00012471648457944951
112,BNe_-1_FA_BB,0.0008500288935721636,0.0006076643563965881
113,BNs_-3_FR_BB,0.00084924633659417,0.00013123737866515455
114,BNs-1_MD_BBavg,0.0008321123140281299,0.0003572815989606744
115,BNocc-1_FR_BB,0.0008107321111646956,0.00039914861005075193
116,BNp-2_MS_BB,0.0008020527748711313,0.0003479800502537636
117,BNe-2_FS_BB,0.0008000630575683964,0.00014354213947101197
118,BNocc-2_MS_BBavg,0.0007953358750505846,0.0001197120714412619
119,BNde_-1_MD_BB,0.0007775031935436905,0.00014068831029677035
120,BNocc-2_FR_BB,0.0007726115151221078,0.00010147914532254411
121,BNocc-1_MD_BBavg,0.0007536436103092175,0.0002536771016248322
122,BNe_-1_MR_BBavg,0.0007451913279144714,9.931299545097733e-05
123,BNp_-2_MS_BB,0.0007436438575615003,0.0005256850106605693
124,BNs_-1_FR_BB,0.0007427814670343384,0.00022248976272397838
125,Nbn_-0_FA_BB,0.0007285745722816411,0.00014961314211220063
126,BNd-1_MS_BB,0.0007271306702495682,0.0004697456090206726
127,BNocc_-1_FA_BB,0.0007220473341551095,0.00010676551980436997
128,BNd_-1_MS_BBavg,0.0007167941288799655,0.0005147002025590389
129,BNocc_-1_MS_BB,0.0007159436905333628,0.00021872695937873157
130,BNs-4_FR_BB,0.0007058500108013442,9.000403882680757e-05
131,BNs_-2_FR_BB,0.000680597711413424,0.00018445145243958674
132,BNe_-1_MR_BB,0.0006682977598171699,0.00015663704141910507
133,BNe-1_MD_BBavg,0.0006671384791636245,0.00017533919841709183
134,BNd-2_MA_BB,0.0006660134794625943,0.0001451743489576827
135,BNe-2_MR_BB,0.0006585586704595321,0.00017722896459049445
136,BNde-1_FS_BB,0.0006545224874432012,0.00019861010891239437
137,BO-0_FA_BB,0.0006444495729168326,5.151727318540527e-05
138,BNp_-3_MD_BBavg,0.0006344035736956197,0.00011847694124162396
139,BO-2_MD_BBavg,0.0006328210069291003,0.00021121104554575117
140,BNocc-2_MD_BBavg,0.0006271208234002099,0.0002783385626705125
141,BNde_-2_MS_BB,0.0006261408134612768,0.00020732808590153486
142,BNs_-3_MD_BBavg,0.0006203620643493193,0.00010312074289755603
143,BNe-0_FS_BB,0.0006004913572114744,0.0002491249119890796
144,BNd-1_FS_BB,0.000597149701866843,5.200481180134446e-05
145,BO-2_MS_BBavg,0.0005970461381947332,0.00020318716622217664
146,BNe_-5_FR_BB,0.0005947427612073063,0.00012846026863121447
147,BNd-2_FS_BB,0.0005841099937595025,0.0001339254429369874
148,BNde-0_FA_BB,0.0005818502251066051,8.98691510141769e-05
149,BNd_-1_MA_BBavg,0.0005795929412715171,0.00011320517616824573
150,BNs_-1_MR_BBavg,0.0005734956739110767,0.00016201286108137965
151,BNe-1_MS_BB,0.0005705371397915394,0.00021995000569960665
152,BNde-1_MS_BB,0.0005651891705357587,0.00013546273216768803
153,BNs_-4_FR_BB,0.0005640647300126291,7.579790115483736e-05
154,BNocc-1_MS_BBavg,0.000558296694713672,0.00022111261650819162
155,d-1_MR_BBavg,0.000539839726316557,7.081998655526827e-05
156,BNocc-0_MA_BBavg,0.0005340123576009494,7.280522855588188e-05
157,BNe-1_MA_BB,0.0005240373279538325,4.804358255454127e-05
158,BNs-1_FR_BB,0.0005215125019091409,7.538753779650433e-05
159,Nbn_-2_FR_BB,0.0005204249987500912,0.00019536822398315634
160,BNd-3_FS_BB,0.0005179327225087983,0.00018033689939462536
161,BNd_-1_MD_BBavg,0.0005157300715158504,0.00020387727962008654
162,BNd_-2_FS_BB,0.0005076968411102721,6.293964533847496e-05
163,BNe_-2_MD_BB,0.0005026204967925319,0.00018408341202804824
164,BNocc_-6_FA_BB,0.0004990829564537348,0.00019487695873534862
165,BNocc_-3_MD_BBavg,0.0004966611566675073,0.0001875177646233456
166,BNe-4_FA_BB,0.0004946199684643378,0.00014727494456260722
167,BNs-1_FA_BB,0.0004910237051107102,0.00016701744196679998
168,BNe-1_MA_BBavg,0.000488102224198521,0.00014485810242533174
169,Nbn_-1_MD_BBavg,0.000487636303580434,0.00015432659140846616
170,BNe-2_MD_BB,0.00048216702694286095,0.00014727079500214226
171,BNe_-1_MA_BBavg,0.00047978401194778887,4.663664304612154e-05
172,BNocc_-2_MR_BB,0.00047950991211390603,0.00012097532856777173
173,BNd-1_MD_BB,0.0004759523529440588,0.00022124305129622203
174,BNocc_-3_MR_BBavg,0.00047362323687225613,8.103719644511886e-05
175,BNe_-2_FR_BB,0.00046698238180066596,9.578311343739446e-05
176,BNs_-1_MD_BB,0.00046640555556299684,0.00019801349596386476
177,BO-2_MS_BB,0.0004623148840723572,0.0001500745851940675
178,d-2_MR_BBavg,0.00046223979522935803,9.974809857080574e-05
179,BNocc_-5_FA_BB,0.0004593738233274608,0.0003007009312660875
180,BNocc-1_MS_BB,0.00045745341548487277,0.00019525797637644744
181,BNocc-1_MD_BB,0.0004564855196611597,0.00012043563538454644
182,BNe_-4_FR_BB,0.00045601533399787595,6.140149618853057e-05
183,BNs-4_FA_BB,0.0004513295401748616,0.00010692342498196091
184,Nbn_-1_FR_BB,0.00044965767561178197,0.00024690968941249114
185,BO-4_FA_BB,0.0004481797169516856,0.00011513086474701804
186,BNs-3_FS_BB,0.00044627511930403626,0.00031879507860470345
187,BNe_-1_FR_BB,0.00044182935673218077,6.674196683894024e-05
188,BNocc_-4_FS_BB,0.0004379446727476338,0.00010151739357234362
189,BNe_-1_MS_BB,0.00043792519347220487,5.384152312626812e-05
190,d-3_FA_BB,0.00043237504364512845,0.0002833030357699219
191,BNs-6_FA_BB,0.0004314286633665792,0.00018553676641521846
192,BNp_-2_MA_BBavg,0.0004305914555782336,0.0001927625876680211
