,feature,relevance,relevance_seotm
0,qnat-0_MD_AB,0.1325163058265745,0.031817956016720994
1,LPocc-1_FR_AA,0.07670772918113697,0.0034664461861821714
2,Nd-0_FA_AA,0.07422424495988054,0.03660307095365913
3,qnat-1_MR_AB,0.03538756223012256,0.008579332286015446
4,qnat-1_FA_AA,0.03530519649718178,0.003520726782048792
5,qnat-0_MA_AB,0.030873735267623752,0.0033658370522842104
6,qnat-2_MA_AB,0.024287740275220477,0.009484013713321892
7,BO-1_MD_BBavg,0.019581080164348525,0.0017464385403331856
8,BO-0_MA_BB,0.019522213001457074,0.0007038911281677684
9,qnat-2_MR_AB,0.019437065559637687,0.001986387325255722
10,qnat-2_MD_AB,0.018068487507918715,0.0030181183433105915
11,LPe-1_FR_AA,0.016848062300639923,0.003495095073531854
12,BO-0_MS_BB,0.013890617588714207,0.001521366901884027
13,qnat-0_FA_AA,0.013400825089845502,0.002541414058184074
14,BNocc_-0_MS_BB,0.013119429055855461,0.0027820020199590743
15,BNocc_-0_MA_BB,0.012421069031462829,0.0008121210545643485
16,LPde-1_FR_AA,0.011836836725316154,0.0019558247356624516
17,Nd-0_FS_AA,0.011132568253082075,0.001827628846789259
18,qnat-3_MD_AA,0.010796793335669236,0.002319496276331282
19,LPde-3_MD_AA,0.010580573523163694,0.0030843076681231624
20,BNocc-0_MA_BB,0.008834682511096495,0.0013470803925260922
21,LPde-0_FA_AA,0.008283323067692656,0.0016898398450634156
22,d-0_MS_BBavg,0.008244812880281265,0.0011935443825333413
23,qnat-1_MS_AA,0.00783969992927295,0.0010618819023012415
24,BNocc-0_MS_BB,0.007416564764943562,0.00090854595162153
25,LPde-0_FS_AA,0.0070691453727828105,0.002629109189395588
26,d-0_MS_BB,0.007048673699489122,0.0018921277740008402
27,Nd-1_MD_AB,0.006825358940045831,0.0033429242542495886
28,d-0_MA_BBavg,0.006758632387321514,0.0015356511534718534
29,LPs-1_FR_AA,0.005765473529384792,0.0015252845511231601
30,Vnat-2_MR_AA,0.005423484098892768,0.0005563328739902631
31,LPd-2_FR_AA,0.005340092697514845,0.0006342789222865073
32,LPde-2_MA_AB,0.0053379103178300275,0.0008220608329791201
33,Vnat-1_MR_AA,0.005116775580956493,0.00136005970839987
34,BNp-2_MS_BBavg,0.0051054175657893695,0.0006892149112073425
35,LPd-3_MA_AA,0.0050459608257076355,0.0028113532932172274
36,LPocc-3_FR_AA,0.005005466477451001,0.0020024451427536442
37,Vnat-0_MA_AA,0.004575839467288735,0.0016541616587529412
38,Nd-0_MA_AA,0.004452178140309222,0.00170615001655206
39,BNp_-2_MS_BBavg,0.004347582335633558,0.0010173402032665729
40,Vnat-3_FR_AA,0.00433181692180855,0.0012595441279039494
41,BNocc_-2_MS_BB,0.0042748527682206,0.0006251662413435564
42,qnat-1_MR_AA,0.004261900230121605,0.0008019350595013786
43,d-0_MA_BB,0.004190508172498812,0.0008208709405001845
44,BO-1_MA_BB,0.004029399615237175,0.0021471121468155064
45,LPde-0_FR_AB,0.004023246690127248,0.001262929398612747
46,LPd-3_FR_AA,0.003954731504821801,0.00029982764632488864
47,LPp-3_FR_AA,0.0032029997630138563,0.0010640191896556627
48,Nlp-1_FR_AA,0.003124451406821188,0.002341558162830532
49,LPd-3_FA_AA,0.0029734327961392923,0.0008627119396458863
50,LPde-1_MS_AA,0.0029186395834273843,0.0005733214259991151
51,Nd-0_MS_AA,0.0028760482737735507,0.0012940553474921107
52,BNocc-4_FR_BB,0.0028391393998258843,0.0007255456493757174
53,LPde-2_FA_AB,0.0028212686786577975,0.00046139005021868766
54,LPde-1_MD_AA,0.0027385395466254497,0.0003279239095982879
55,LPde-5_FA_AB,0.002688519153385514,0.0017382808410478679
