,feature,relevance,relevance_seotm
0,qnat-1_MS_AB,0.1297563018810619,0.00449836812271878
1,qnat-2_MA_AB,0.047993322915824185,0.005844767663239916
2,LPde-0_FA_AA,0.032310964849135634,0.004510243279580645
3,qnat-1_MS_AA,0.030171913116228667,0.003561199882498574
4,qnat-2_MD_AB,0.025502102412895095,0.005432776686858667
5,qnat-1_FA_AA,0.02470009013683663,0.002392546488880073
6,d-0_MA_BBavg,0.02315158120509011,0.0042840338367554
7,d-0_MS_BB,0.019750608239562248,0.0029905033713791386
8,d-0_MS_BBavg,0.018448107597661974,0.0022475639885278917
9,d-0_MA_BB,0.01651431979041307,0.002420144236954171
10,Nlp-2_FA_AB,0.016212478793436708,0.004993720527348899
11,LPocc-0_MA_AA,0.016044884859599443,0.0038718195737272023
12,LPocc-0_MS_AA,0.013426539519081496,0.0016422430866213816
13,LPde-1_MD_AA,0.012136014158374623,0.0024372504684533783
14,BO-1_MR_BBavg,0.009495086983047404,0.002825001270855441
15,BNocc_-1_MA_BBavg,0.008999848314190205,0.002061064298592123
16,Ns-1_MD_AB,0.00821376021584653,0.003611692090378283
17,Vnat-2_MR_AA,0.007684901143839182,0.0010431585869817893
18,LPde-0_MS_AA,0.007109513425513717,0.0012544503828822043
19,LPe-1_MS_AB,0.00691483818187677,0.0018735560729569592
20,Np-2_MR_AA,0.00670215784584615,0.0012531348172353475
21,qnat-2_MD_AA,0.0065942102896872174,0.0017071248864191015
22,LPde-3_FS_AA,0.0065854167134241194,0.001332456100243729
23,BO-1_MD_BBavg,0.006264052199763366,0.0008993847607519717
24,LPde-0_MA_AA,0.005513041836775189,0.0012477625275449545
25,LPde-3_MD_AA,0.005340612502157979,0.001536826285291501
26,LPocc-0_MS_AB,0.005288653620609167,0.0008253654131953449
27,LPs-2_MA_AB,0.004615663658739161,0.0033040708353725117
28,Np-1_MA_AB,0.004521132975948426,0.0009522155484987658
29,LPde-1_FR_AA,0.0045071443826286885,0.0019092765811679591
30,Np-4_FR_AA,0.004467611623517475,0.0013941162627319785
31,LPe-0_MS_AA,0.004180823090846704,0.0020309267304448315
32,LPe-1_FR_AA,0.00416516332041998,0.0005979037685682047
33,BNde-1_FS_BB,0.004152797898994216,0.0020939072752392297
34,qnat-1_MA_AA,0.004092898150522352,0.0007091763046691892
35,qnat-4_MR_AA,0.0039602321857114455,0.000871766356781312
36,LPde-1_MS_AB,0.003696425016472432,0.0013930617680475302
37,BNde_-2_FS_BB,0.00366087944049187,0.0012912226868244646
38,LPocc-4_FD_AB,0.0034290265484369794,0.0012452312636222378
39,LPocc-1_FR_AA,0.0032719674003119995,0.0009922857621908609
40,qnat-0_MS_AB,0.003239411082363944,0.0008166261854889411
41,LPde-0_FR_AB,0.0030930346623323445,0.000679486924361076
42,d-1_MD_BBavg,0.0029303824511576855,0.0002821579990162693
43,BNocc_-1_MA_BB,0.0029084578926497533,0.0010260806404990119
44,qnat-4_MA_AA,0.0029002101096422305,0.0005409354819152531
45,LPe-0_MA_AA,0.002899179681784847,0.0010856361774100817
