,feature,relevance,relevance_seotm
0,Z-2_FA_AA,0.14915190839107778,0.0049985228289920035
1,chi-1_MD_AA,0.0951827559396434,0.006322177890412851
2,chi-1_MR_AA,0.08499801938410909,0.0018108287142749359
3,Z-1_FA_AA,0.0814988942963488,0.0070270208549028665
4,S-1_MA_AA,0.05425741702123023,0.002942949646685893
5,S-1_MR_AA,0.050367382020365704,0.003336689523186954
6,chi-1_MA_AA,0.026887811544021412,0.0027065461715733647
7,chi-1_MS_AA,0.026826684219068975,0.004050686400674455
8,Z-3_FS_AA,0.02355644835528044,0.005717884967582259
9,Z-2_FR_AA,0.018532472561447896,0.001433782778726178
10,S-2_MA_AA,0.018075068061383016,0.0008896140682244965
11,Z-2_MR_AA,0.016367486117931644,0.0007335353427351609
12,Z-2_MA_AA,0.013552044638578403,0.0018278695687481135
13,chi-3_MD_AA,0.013133898574877201,0.0014406507135073172
14,Z-0_FA_AA,0.01287869954962555,0.0013455523266267513
15,Z-0_FS_AA,0.012529414247686476,0.00409237101249465
16,chi-2_MD_AA,0.012528104082086067,0.0005073695964239263
17,S-1_MS_AA,0.011700540310037448,0.0018017690794234255
18,Z-1_FS_AA,0.011081596984363454,0.0033538607513273044
19,Z-3_FA_AA,0.010365191634048575,0.0007634884021011859
20,T-3_MS_AA,0.009898727021897155,0.0014077175933498642
21,chi-2_MS_AA,0.009065765178007458,0.0007300237970895193
22,chi-2_MA_AA,0.008743813308554806,0.0009466409218913802
23,Z-1_MR_AA,0.008624910545334267,0.0004476962520878371
24,Z-3_FR_AA,0.008479918072927474,0.001367153755716412
25,S-1_MD_AA,0.007414079301942168,0.0016664594441882733
26,chi-2_MR_AA,0.007403460663383966,0.0010244793394605122
27,Z-5_FA_AA,0.006877512349862317,0.002724393034035826
28,Z-5_FR_AA,0.00629196650447873,0.0008072915677455011
29,S-2_MS_AA,0.006006570909284382,0.0010836724472357792
30,Z-6_FA_AA,0.0056608182478448425,0.0005140978798888864
31,T-1_MR_AA,0.005347956710080421,0.0010593145542031907
32,S-2_MR_AA,0.005304845573948849,0.0005275772068318324
33,S-4_FR_AA,0.005269870681010272,0.0011100378024499764
34,Z-4_FA_AA,0.005234400377490051,0.0008429560538982341
35,Z-1_MA_AA,0.00506774441318775,0.0007039178074236245
36,S-1_FA_AA,0.004981835940118837,0.000757280861667661
37,S-0_FA_AA,0.004955968891445984,0.0006913027223248978
38,chi-4_FA_AA,0.004802060413141107,0.0009463780280013053
39,Z-1_MS_AA,0.0046445632855164854,0.0004511949756616995
40,S-2_FA_AA,0.0046332194089711305,0.0008929892174602652
41,T-2_MR_AA,0.004429880747783214,0.000620420142089095
42,Z-3_MA_AA,0.0038405408661698593,0.0007559750210338953
43,S-4_FA_AA,0.003775146235031676,0.00047308970244867095
44,Z-4_FR_AA,0.003738306564897534,0.0003385649764838859
45,T-2_MD_AA,0.0034700040591293655,0.0009992304036943564
46,S-3_FA_AA,0.003345137487938723,0.0008235442055189559
47,Z-1_FR_AA,0.003253628893371567,0.0003219663996294223
48,S-3_MS_AA,0.0031656410398141245,0.000331048651116832
49,Z-2_FS_AA,0.0030139585388899276,0.0005673471727391907
50,Z-3_MD_AA,0.0028050388222534235,0.00033104919928359536
51,chi-0_FA_AA,0.0024221453019977676,0.00023577388339606056
52,chi-3_MR_AA,0.0024042701084338023,0.0003789178791013909
53,S-3_FS_AA,0.002391023175718086,0.0008430499054022462
54,S-2_MD_AA,0.0023637709820577757,0.00014098086149716757
55,T-2_MS_AA,0.002299283601002824,0.0007524613105609255
56,chi-1_FA_AA,0.0022607472036849353,0.00021011545823126966
57,S-3_MR_AA,0.0022406783317394227,0.00033626571195490094
58,T-1_MD_AA,0.002198469375757863,0.0007322806691125002
59,S-2_FR_AA,0.0021830283905714116,0.000547050056129241
60,Z-3_MR_AA,0.002048259992960158,0.0003028994769619269
61,chi-3_FA_AA,0.0020416366408364675,0.0003174079069656607
62,S-3_MA_AA,0.002032836877259357,0.000248958088270956
63,Z-4_FS_AA,0.0019359268396728266,0.00029157578197101694
64,Z-6_FS_AA,0.0018042252621877427,0.0003381815103201216
65,chi-2_FA_AA,0.0017081328847196916,0.00011019605154036124
66,S-3_MD_AA,0.0015883735480115772,0.0007586907562030554
67,Z-1_MD_AA,0.0014702917702292453,0.00032037051883870886
68,chi-1_FS_AA,0.0014553730346848308,0.00014452814181210188
69,chi-3_MS_AA,0.0013839801964397526,0.00024358426211343814
70,S-5_FR_AA,0.00138373250211534,0.00013955034713698035
71,S-4_FS_AA,0.001328442433733866,0.00028195570195064574
72,Z-2_MS_AA,0.001224380641010402,0.0003545080799079835
73,S-3_FR_AA,0.001222597690652137,0.0003426629487506816
74,chi-5_FA_AA,0.001215359408505962,5.1536089650338615e-05
75,chi-4_MD_AA,0.0011707685080486908,0.00027878636097602527
76,T-3_FA_AA,0.0011637156703809613,6.431803777132508e-05
77,S-2_FS_AA,0.001155480721997658,0.00014547870108947542
78,chi-3_FR_AA,0.0011526125564125303,0.00031883990872730566
79,Z-3_MS_AA,0.0011360958380458722,0.000468086348639107
80,T-6_FA_AA,0.0011230762288319597,0.00014752700214333922
81,chi-3_MA_AA,0.0010608188037124007,0.00022443178654357358
82,Z-6_FR_AA,0.001050508864376069,0.0003807491047395225
83,Z-2_MD_AA,0.0010308567199935463,0.00028054796726830345
84,chi-2_FS_AA,0.0010059921881416325,7.667322310722812e-05
85,Z-4_MA_AA,0.0009818669653303043,0.00025035154899961216
86,T-3_FS_AA,0.0009795046934244443,0.0006363462117246996
87,chi-3_FS_AA,0.0009717256816556454,0.0001868860405598738
