,feature,relevance,relevance_seotm
0,Z-1_MA_AA,0.14783830874215848,0.006742964312017558
1,Z-4_FR_AA,0.0686718490251964,0.004299162888648496
2,S-1_MR_AA,0.06406130386355227,0.0025727376620080086
3,Z-2_MA_AA,0.052695167964065634,0.0052796649308651245
4,S-1_MA_AA,0.03199995805440713,0.0020239864404458263
5,Z-0_FA_AA,0.02953522730460211,0.0014655246740291718
6,Z-1_FA_AA,0.02946549267979643,0.009821457488850206
7,chi-1_MR_AA,0.027296489671953417,0.0017964445205555426
8,Z-2_FR_AA,0.02271435946427347,0.001580248685796906
9,Z-1_MR_AA,0.021737760947521292,0.0011771471217446052
10,chi-1_MD_AA,0.020217715916317706,0.0012651989165518877
11,S-2_MR_AA,0.01905171016416367,0.002552126385675969
12,chi-1_MA_AA,0.015974881028074882,0.0007660454807279305
13,T-1_MD_AA,0.015108507223157788,0.0015297103738335248
14,S-2_MD_AA,0.013627330267351473,0.0007008396620053071
15,Z-2_FA_AA,0.012951753750070735,0.0006588666342744918
16,chi-1_MS_AA,0.012539805990862398,0.0010938322370212484
17,S-1_MS_AA,0.01178339112280686,0.0009820890040670603
18,T-2_MR_AA,0.010926851114926348,0.0007054867630368153
19,Z-3_FR_AA,0.010281265021752695,0.0021911455334044407
20,S-4_FR_AA,0.010001611074317046,0.003905749640160592
21,S-1_MD_AA,0.009753173801500004,0.0011130153097373646
22,Z-3_FS_AA,0.008926139311717325,0.001295039652077049
23,S-2_MA_AA,0.008382039092991986,0.001292308146391879
24,chi-4_FA_AA,0.008362729457229268,0.0010120810674987318
25,Z-2_MR_AA,0.008308752949899998,0.0003275675711860434
26,S-2_MS_AA,0.008050520803350598,0.0011190033789405503
27,Z-2_FS_AA,0.007973112522069076,0.0010116698934520003
28,Z-3_FA_AA,0.007475733527491063,0.000484670958997143
29,Z-1_FR_AA,0.00742149938283283,0.0007741432845888509
30,Z-6_FA_AA,0.006451180427089769,0.0003754269643082699
31,chi-2_FA_AA,0.006146854479569873,0.0005480951424498085
32,Z-4_FA_AA,0.005924047880466754,0.00047688031292457124
33,T-3_MS_AA,0.005881317609134046,0.000806189460877015
34,S-0_FA_AA,0.005836032093558947,0.0002521071461386199
35,chi-2_MD_AA,0.005721133721986914,0.0006767537812708892
36,S-1_FA_AA,0.005559204748095873,0.0005974899894760401
37,chi-3_FA_AA,0.00555495892733069,0.00036454072250065246
38,S-2_FA_AA,0.005462800646932926,0.00021831514973514785
39,S-3_MS_AA,0.005129737138943713,0.0015648862161082005
40,Z-5_FR_AA,0.004855230170553917,0.0009513449697860056
41,chi-3_MD_AA,0.0047863062185418215,0.0007512586723584724
42,Z-1_MS_AA,0.004678927650756869,0.00094243262371131
43,Z-5_FA_AA,0.004625374047598438,0.0008628676119587542
44,S-3_FA_AA,0.004541867252109894,0.0003363431186187852
