,feature,relevance,relevance_seotm
0,S-0_MD_AB,0.13220633111213648,0.010938320596808824
1,I-1_MD_AB,0.06183073172856733,0.005444239903877046
2,I-2_MD_AB,0.06100526483789542,0.004973583509006364
3,chi-0_MD_AB,0.05733978962066005,0.005981351551038499
4,chi-0_MR_AB,0.05401865566613586,0.006462298828456636
5,S-1_MD_AB,0.05294950395173784,0.006034765882424185
6,S-0_MR_AB,0.048369266825594656,0.0035786265256519704
7,Z-0_MR_AB,0.0366991274768753,0.0028218898159996187
8,S-3_FS_AB,0.03629503643565023,0.006864287748696236
9,chi-0_MA_AB,0.03477194411954902,0.00733660191701599
10,S-0_MA_AB,0.025589453459121246,0.011414020236185268
11,Z-2_FD_AB,0.017578683187434958,0.012526583220581073
12,S-0_MS_AB,0.017514441494210234,0.004752150191021258
13,chi-0_MS_AB,0.016059331889910357,0.003175772726143665
14,S-3_FR_AB,0.013736894924436674,0.007522279471344199
15,Z-0_MA_AB,0.013163484681315762,0.0023612952671192835
16,Z-1_FD_AB,0.011649543358326579,0.0010235372704340243
17,I-3_FD_AB,0.009525250658021383,0.0007482851573805527
18,S-3_FD_AB,0.00937978384316361,0.001664029172654916
19,S-3_FA_AB,0.008505432877868658,0.0024639425798861562
20,chi-3_FD_AB,0.007207819731950516,0.0012073819967868523
21,Z-1_FR_AB,0.007175980426145197,0.0009415923525911918
22,T-0_MA_AB,0.006976049087899762,0.00197300592538446
23,T-6_FD_AB,0.0068977477818803435,0.0008376548510065792
24,Z-0_FD_AB,0.006492361190283927,0.0006051567283623901
25,T-0_MR_AB,0.005310268202810971,0.0029611661669245786
26,Z-1_FA_AB,0.005072573808889274,0.0005228098652770294
27,I-4_FD_AB,0.004815222277255343,0.0006228517464287711
28,Z-6_FD_AB,0.0046943622376638084,0.001372490000534883
29,T-1_MA_AB,0.004620514065027355,0.0007503463277641762
30,S-1_MR_AB,0.00445107444373557,0.0006185461572496923
31,T-1_MR_AB,0.004270307770019849,0.0010149810975121467
32,chi-1_MA_AB,0.004246974953313087,0.0007207557157866041
33,Z-0_FA_AB,0.004243546797562513,0.0006784611542835984
34,Z-1_MR_AB,0.004094859249229505,0.0007419544157941923
35,I-0_FD_AB,0.004089929005916537,0.0005424029551667419
36,chi-2_MD_AB,0.003983531586768516,0.0011093747744211895
37,Z-1_MA_AB,0.0039782131156463245,0.0009483752844395899
38,S-2_MD_AB,0.003974872577713174,0.0006687282636900723
39,S-3_MD_AB,0.0037019174766703402,0.0007144949765794756
40,chi-1_MR_AB,0.0035593896898732597,0.0006841373318039001
41,chi-1_MD_AB,0.003316689543370751,0.000323518049309131
42,Z-2_MA_AB,0.003255121903383,0.0007265753619614277
43,Z-4_FD_AB,0.0031875718886205523,0.0004894754257069056
44,chi-2_MA_AB,0.0031120823421881866,0.0006276161149781544
45,T-3_FS_AB,0.0031112154425649756,0.0005173014611140427
46,chi-2_MR_AB,0.003096378599746524,0.00018964292086955323
47,T-2_MA_AB,0.0030729912916403444,0.00018171651824638096
48,S-2_MA_AB,0.0030587876936352025,0.00029992368555153574
49,I-1_FD_AB,0.0029569264253418515,0.0003733665358261238
50,Z-2_FA_AB,0.002889125151775387,0.0004394279413063836
51,Z-3_FD_AB,0.0028086928532126995,0.0006720050876803665
52,chi-2_MS_AB,0.002735035698823274,0.0002622611469905205
53,S-1_MA_AB,0.0027144198576342757,0.0006306106424549876
54,Z-5_FD_AB,0.002689996087349688,0.0004541744896853334
55,S-2_MR_AB,0.002602221815204863,0.00030470093693150686
56,S-1_MS_AB,0.0025989004583432786,0.0004392098337691275
57,S-4_FD_AB,0.0025399533434930705,0.0003709369756758581
58,chi-1_FD_AB,0.0025286985752432803,0.00025945117257394776
59,chi-1_MS_AB,0.0024458411419924107,0.00022946383910442042
60,I-3_FA_AB,0.002261243507815287,0.0015606420998798044
61,T-2_MR_AB,0.0021653022505015683,0.00044901216008630005
62,Z-2_FR_AB,0.002076456587567922,0.0005961080612636977
63,Z-3_FR_AB,0.0020212673744085257,0.0004903475924012715
64,chi-2_FD_AB,0.0020078431668652196,0.00018436821543744893
65,T-2_MS_AB,0.0019253071811239143,0.0006383788973328722
66,chi-0_FD_AB,0.0018549924340269335,0.0002939847616346955
67,I-2_MS_AB,0.001825245108867627,0.00033723242976620903
68,T-3_FA_AB,0.001805575930369907,0.0007839430060853752
69,S-2_FD_AB,0.0017774321076869995,0.00012680628351590103
70,I-3_FS_AB,0.0017710461390159804,0.001093998660902619
71,I-3_MD_AB,0.0017688876810846056,0.00048125010238770006
72,T-1_MS_AB,0.001739643297547018,0.0002519996919473564
73,T-4_FR_AB,0.0017212673849354514,0.0004967186990117736
74,S-2_MS_AB,0.0016978443093667388,0.0003636671575441722
75,I-5_FD_AB,0.0016776618709051102,0.00017638054935181132
76,Z-1_FS_AB,0.0016004455627748333,0.00021706354347009792
77,Z-2_MR_AB,0.001598852625994462,0.00026731718125566736
78,T-1_FA_AB,0.0015586115452046636,0.000836457520377149
79,I-2_MA_AB,0.001488519878359457,0.0003459262710893959
80,I-2_FD_AB,0.00148226096190603,0.0002380732854518888
81,T-4_FD_AB,0.0014520813241978583,0.0003548588097728251
82,T-3_MD_AB,0.0014193517733530898,0.0007385443724536014
83,T-5_FD_AB,0.0013640439722605853,0.0001672865956649457
84,T-1_FD_AB,0.0013364783909543799,0.00025201372835169454
85,T-0_MD_AB,0.0013270965098528425,0.0007970812063440257
86,Z-0_MD_AB,0.001254797952045241,0.0008231780608252243
87,S-1_FA_AB,0.0012125128391863446,0.00019279849735067276
88,Z-6_FA_AB,0.0011782319302993034,0.0001182834273568221
89,Z-5_FS_AB,0.0011691338530533195,0.00017988637909296956
90,Z-2_MS_AB,0.001161107720222911,0.000497719822446153
91,S-4_FR_AB,0.0011496344279680276,0.00020282305637844432
92,I-4_FR_AB,0.0011399196825830577,0.00024852015293933113
93,Z-0_FR_AB,0.0011391191961789833,0.00016792883862765242
94,T-3_FR_AB,0.0011339463745461832,0.0004420433541868159
95,S-4_FA_AB,0.0011242596912304575,0.0001098584694451055
96,Z-3_FS_AB,0.0011122358077260764,9.620398729505787e-05
97,T-1_MD_AB,0.00110323731370173,0.00022705311408069214
98,chi-3_MR_AB,0.0010923620915702565,0.000321178997731806
99,chi-2_FA_AB,0.001086225601226073,0.00027752391682284627
100,I-6_FD_AB,0.0010624496356327396,0.00016039698831085865
101,T-2_MD_AB,0.001051910534149203,0.0003752627884325154
102,chi-3_MD_AB,0.0010373838114395505,0.00014506482091854346
