,feature,relevance,relevance_seotm
0,chi-0_MR_AB,0.1004432525400468,0.013984014142003879
1,chi-0_MD_AB,0.09261218193670037,0.01209423392963461
2,S-0_MD_AB,0.059597424233740856,0.010284691994248528
3,S-0_MR_AB,0.05393511402624386,0.01195061450946821
4,S-1_MD_AB,0.025011134293570308,0.0007674830454819032
5,T-2_MD_AB,0.021264664948800714,0.004568729826001886
6,S-3_MD_AB,0.020640731976332854,0.0013426309047836994
7,Z-0_MA_AB,0.018636971753645194,0.0030864341243918266
8,I-2_MD_AB,0.01816942958497092,0.0020688203371542636
9,chi-1_FD_AB,0.01687549190186982,0.0025176551875527808
10,S-0_MA_AB,0.01672571000624089,0.002641031205065161
11,Z-1_FR_AB,0.015342411177620616,0.002497601934519727
12,chi-0_MS_AB,0.014458517208362387,0.0011561913449110689
13,I-1_MD_AB,0.014119389785842543,0.0010649752824380316
14,chi-1_MD_AB,0.01372317691903969,0.002410431861602953
15,chi-0_MA_AB,0.01334700758197451,0.004100101863965876
16,Z-0_MR_AB,0.01326515279858688,0.0016929687228139274
17,I-0_FD_AB,0.012872872766699708,0.0017353609887314823
18,S-0_MS_AB,0.012043873994479027,0.002368003691373068
19,Z-1_FD_AB,0.01158706847479394,0.0023357816829370857
20,Z-3_FD_AB,0.011534370542682127,0.002311021724848616
21,T-1_MR_AB,0.010560278904595762,0.0015848252584563848
22,Z-2_FR_AB,0.00982838810714771,0.002489309131795665
23,chi-3_FD_AB,0.008109005205848684,0.0019380119867543585
24,Z-0_MD_AB,0.007573881869413197,0.004063153985152801
25,S-3_FD_AB,0.007409015505308593,0.0021285273615755692
26,chi-1_MA_AB,0.006902982025731447,0.0006778072250505021
27,Z-1_MA_AB,0.006776188252030519,0.0008332239551119389
28,S-4_FD_AB,0.006661816661614679,0.001724184699284259
29,T-0_MD_AB,0.006516178188276378,0.0040705005251850885
30,Z-1_FA_AB,0.006245643357325488,0.0009944613498403846
31,chi-1_MS_AB,0.006172173323585125,0.0008461834110391668
32,I-1_FD_AB,0.00614370335896181,0.0005633184736400918
33,Z-3_FR_AB,0.005975711908745558,0.001052642565020067
34,Z-0_FD_AB,0.00591921129570114,0.000388199540350369
35,S-1_MS_AB,0.0058657669364838155,0.0006543248275369895
36,Z-2_FA_AB,0.005656426971593142,0.0010225473164234974
