,feature,relevance,relevance_seotm
0,Z-2_FA_AA,0.09724683284328699,0.009767109080676907
1,Z-1_FA_AA,0.08427043302903846,0.006629779156296129
2,chi-1_MD_AA,0.054616436877791816,0.0034722350572091933
3,d-0_MS_BBavg,0.04653950777133151,0.0037728584416495464
4,chi-1_MR_AA,0.04403447852399951,0.002486695395353318
5,d-0_MA_BBavg,0.03650442442082348,0.0051122408345143765
6,BO-2_MD_BBavg,0.035905063370649824,0.00045766702713336276
7,S-1_MD_AB,0.033536283073079966,0.0037857715675022894
8,S-1_MR_AA,0.026562777612753646,0.004739951123387867
9,d-0_MS_BB,0.02279379295893391,0.003508423931721424
10,chi-0_MR_AB,0.021691073663158873,0.002453967148026239
11,d-1_MD_BBavg,0.020952065567656546,0.0018519264546707638
12,chi-0_MD_AB,0.02061194351164158,0.002736102900604192
13,chi-1_MS_AA,0.019410301659669442,0.004322578269437054
14,BO-1_MD_BBavg,0.015239939172159298,0.001975357764230109
15,d-0_FS_BB,0.014205827284640187,0.003027685269273654
16,chi-1_MA_AA,0.013851322768769669,0.0024100967002281463
17,S-0_MR_AB,0.013110899230360929,0.002509856070655782
18,I-3_FD_AB,0.01081293358619439,0.0021459501549573683
19,Z-0_MR_AB,0.010175936431989227,0.0019217913641459354
20,d-0_FA_BB,0.010002712120422436,0.0028007662003479805
21,S-3_FR_AB,0.009802242793043824,0.0036911566869919947
22,Z-0_FA_AA,0.00894481958924779,0.0006403616113451927
23,I-1_MD_AB,0.008896826164096979,0.001971145503935839
24,d-0_MA_BB,0.008055880100324644,0.003644214221493642
25,I-2_MD_AB,0.008055457043181526,0.0011613318431397805
26,S-0_MD_AB,0.007593634335703923,0.001844844891423734
27,Z-2_MR_AA,0.007310487171216194,0.0011207082391325159
28,Z-2_FR_AA,0.006894726621960256,0.0003854405408677769
29,chi-3_MD_AA,0.00676385430016675,0.000563966891808176
30,chi-2_MA_AA,0.006133578796621582,0.0005213961265903564
31,S-2_MA_AA,0.005926580472755127,0.0006717055783543429
32,chi-2_MS_AA,0.005833006352128465,0.001104303304627597
33,S-3_FS_AB,0.005596312934159268,0.0022329818056842526
34,Z-0_FD_AB,0.005520807201081697,0.001724738782899423
35,Z-1_MR_AA,0.005154462418727726,0.0007616416150684703
36,T-0_MR_AB,0.005041983405889058,0.0017844327605855618
37,T-3_MS_AA,0.004751063718099858,0.0008690520656639417
38,chi-2_MD_AA,0.004678641399879101,0.0009576141936392885
39,d-1_FD_BB,0.004585869191822655,0.0008034002747999484
40,S-2_MR_AA,0.0045744901671798035,0.0004599403106208093
41,S-2_MD_AB,0.004189446250275257,0.0007296829422497916
42,d-1_MS_BBavg,0.004096656620664873,0.001205158474498387
43,d-1_MD_BB,0.00403936301057788,0.000657643833315226
44,chi-0_MA_AB,0.003871448429527781,0.0018213520312198722
45,S-2_MS_AA,0.003707629785146263,0.0004468902853090795
46,S-1_MA_AA,0.0036948551698217855,0.001641592548649618
47,d-1_MS_BB,0.003637729317743324,0.0006205161115516149
48,d-1_MR_BBavg,0.0035812074042148715,0.0003273661899423612
49,chi-2_MR_AA,0.0035544069588428614,0.0009746517485048828
50,chi-4_FA_AA,0.0035209504419025706,0.0012691304984081804
51,d-1_FS_BB,0.003504943104484736,0.000655862462354333
52,Z-3_FA_AA,0.0032549015231992636,0.0010853127254077314
53,T-2_MR_AA,0.002868947172225372,0.00026789540007904323
54,S-1_MD_AA,0.0027091525611259654,0.0011481507298142838
55,S-2_MD_AA,0.002703870334206467,0.0004914689790042381
56,Z-0_FS_AA,0.002686736434394877,0.000575966203850147
57,S-0_FA_AA,0.0026025032472367406,0.0005369381597383133
58,chi-1_MD_AB,0.0025729524719174126,0.0008246864628197736
59,S-3_MA_AA,0.0025541313867077538,0.0005433177577904743
60,Z-2_MA_AA,0.0025196363223287804,0.000869491404370992
61,Z-1_FD_AB,0.0024771170012102576,0.0004933989291810412
62,T-0_MA_AB,0.0024477321720668913,0.0011445116963694668
63,BO-1_MA_BBavg,0.0023740238403116886,0.0012059649612735635
64,S-3_MS_AA,0.002367891170666786,0.0004888884296098617
65,S-3_FA_AB,0.0023346351006880107,0.0009436060169287193
66,Z-5_FR_AA,0.0022175231132706167,0.0005636169790876297
67,BO-1_MR_BBavg,0.0019759815490601224,0.000680364623177327
68,Z-1_MA_AA,0.001933565305614816,0.00030870603630350464
69,Z-5_FA_AA,0.0019141612864490881,0.0006564630833481396
70,S-3_FD_AB,0.001883535675492816,0.0002135365575797579
71,d-1_MA_BBavg,0.0018164576078298768,0.00042692263395577464
72,Z-6_FS_AA,0.0017654842712943955,0.0005638214472989734
73,Z-1_MS_AA,0.001621386080075573,0.0003790029563226003
74,Z-1_FR_AB,0.0015571304774321553,0.00017742612398760968
75,I-1_FD_AB,0.001528237417778382,0.00032521227233993095
76,S-1_MS_AA,0.001512146752735093,0.0006318333753867687
77,S-2_MR_AB,0.0015115854388641104,0.0002413924547473663
78,Z-6_FR_AA,0.0014891476985069464,0.0006497523625355701
79,chi-3_FD_AB,0.001465520715094959,0.0003186734222843074
80,T-6_FD_AB,0.001445234745577333,0.00028049576594352396
81,Z-3_MA_AA,0.0014348478018614327,0.00043308297173748225
