,feature,relevance,relevance_seotm
0,Z-1_MA_AA,0.0955141205657731,0.007986603799882488
1,chi-0_MD_AB,0.0762594713323964,0.012967317762066352
2,d-1_MD_BBavg,0.06202555708415083,0.00338256011597859
3,chi-0_MR_AB,0.046950430600034086,0.011143364146300844
4,Z-2_MA_AA,0.046774610038843215,0.002826580467382106
5,S-0_MR_AB,0.02808927613088828,0.005548372991497677
6,Z-4_FR_AA,0.022781336421052206,0.0016579331600213004
7,Z-0_FA_AA,0.021687112087581787,0.0003075847196571215
8,Z-1_FA_AA,0.018993945475958708,0.006671352504592696
9,d-0_MA_BBavg,0.01885823064223442,0.004599099087612363
10,chi-1_MD_AA,0.016468125599438766,0.004127180888899896
11,d-2_MA_BBavg,0.013676777494568226,0.004042312840338643
12,S-0_MD_AB,0.013587105065383737,0.0032809606780013338
13,chi-2_MD_AA,0.013421322858775028,0.0022817292005000702
14,d-0_MS_BBavg,0.012869818977004815,0.0026550389153480345
15,BO-2_MD_BBavg,0.010489762954541222,0.0010888038260022522
16,S-1_MR_AA,0.010266894060135668,0.001242755218876612
17,S-2_MR_AA,0.010127017876599885,0.0020251973833540385
18,S-1_MD_AB,0.00983031477293304,0.0012432335706209837
19,Z-1_MR_AA,0.00976560834143792,0.0007690912711158199
20,T-1_MR_AA,0.008457529588397013,0.003339912509644503
21,chi-1_FD_AB,0.008417483771385192,0.0014234637441866067
22,S-3_MD_AB,0.008204665705287148,0.0017168073419194703
23,Z-2_FR_AA,0.008122876226196734,0.0004751111979162471
24,d-1_MR_BBavg,0.007445824968561818,0.001410565440135255
25,d-1_FR_BB,0.007265329600420177,0.001332293315757177
26,Z-1_FR_AB,0.0069237644066768595,0.0021905930028775396
27,T-1_MD_AA,0.006591197996830833,0.002428436754826688
28,d-2_MS_BB,0.006488915183160535,0.001896032115076256
29,S-2_MA_AA,0.0057304363690629705,0.0015920837046763021
30,S-2_MD_AA,0.005193978591347318,0.0013338498627363624
31,I-2_MD_AB,0.0051823164873385065,0.0006557617445696778
32,T-2_MR_AA,0.004950255130035255,0.0005441343904629144
33,d-1_MR_BB,0.004942906787674605,0.0013383545611559268
34,chi-1_MR_AA,0.004576588659062136,0.0005841610338138759
35,d-1_MD_BB,0.004534016889564344,0.0007084068890188365
36,chi-1_MS_AA,0.004486465948730719,0.0010514163474660695
37,d-0_MA_BB,0.004328369618757025,0.0012055609183804251
38,Z-2_FA_AA,0.004189366199125956,0.0011726305988317214
39,S-0_MA_AB,0.0041585889784152424,0.0019665715964772386
40,d-0_FS_BB,0.004155618796841643,0.0017508077238337022
41,Z-3_FA_AA,0.004122066668474589,0.00040902749020532215
42,Z-0_MR_AB,0.0039623584293373825,0.0010576919336230384
43,Z-0_MA_AB,0.003794203925301866,0.0011051421773823464
44,Z-1_FD_AB,0.003688435452590862,0.0008045476532821398
45,chi-0_MA_AB,0.0036377458322304932,0.0014380814209906864
46,I-0_FD_AB,0.0035993364221124174,0.0011050943311032928
47,chi-1_MA_AA,0.003574529266010075,0.0002475136813354645
48,d-1_FD_BB,0.0033411485741056887,0.0005329443319094479
49,d-2_FS_BB,0.0032760119679030057,0.0012728597503043305
50,Z-2_MR_AA,0.00320215156552701,0.0006366077595661437
51,I-5_FR_AB,0.0031781581413342216,0.0012100439908439757
52,d-0_MS_BB,0.0031260583305721635,0.0014315221218519168
53,Z-1_MA_AB,0.003074601416080006,0.0008738620875516108
54,S-0_MS_AB,0.0030057928231071807,0.0010783305642254185
55,Z-3_FD_AB,0.0030034086518625474,0.0006144015641118625
56,d-1_MA_BBavg,0.0029942348851115224,0.0007757337933994204
57,chi-2_MA_AA,0.0029226876467176198,0.0009037202872393136
58,chi-1_MA_AB,0.002865391496194864,0.0011947837015270162
59,chi-0_MS_AB,0.0027960399523668683,0.0010342039873279805
60,d-2_MS_BBavg,0.0027242273182186113,0.0006813563083214997
61,chi-1_MD_AB,0.002676108876043834,0.00023098744916120358
62,Z-1_FR_AA,0.002670772878972191,0.00020875570002026303
63,chi-1_MS_AB,0.002479702965661051,0.000817360973897033
64,T-4_MD_AA,0.0023599986132626046,0.000588568335846417
65,S-3_FD_AB,0.0023323777990222707,0.00032085260983411306
66,d-2_MA_BB,0.0023129937511717955,0.0010207093650077925
67,d-2_MD_BBavg,0.002282406053149856,0.0006960267133859194
68,Z-0_FD_AB,0.0022749571013594627,0.00030233690159676296
69,Z-2_FS_AA,0.0022619666199640226,0.0003739109013135314
70,Z-3_FR_AA,0.002221640004413127,0.0002872418588035669
71,S-1_MA_AA,0.0021969246936604904,0.0005172756608986012
72,Z-4_FA_AA,0.0021265353812428725,0.0002065620716765812
73,T-2_FR_AA,0.0020964732619737597,0.0008763116018818249
74,chi-3_FD_AB,0.0020929915762268776,0.0007215750794207928
75,S-0_FA_AA,0.0020740226711540456,0.0004431970496392566
76,chi-2_FA_AA,0.0020455364605046866,0.00030600332740746334
77,Z-2_FA_AB,0.0020331519997245856,0.00036960185755031293
78,I-2_FD_AB,0.0020167098038382384,0.0009273663755555314
79,chi-3_FA_AA,0.002005978773493446,0.00022651142319990536
80,S-1_MA_AB,0.0019919213657072334,0.0010260558751643738
81,d-1_FA_BB,0.0019444491106448219,0.00027081565382872666
82,T-2_MA_AB,0.0019176422159523482,0.0005741800964831371
83,d-2_MD_BB,0.0019152450863240806,0.0005147875708640167
84,S-2_MD_AB,0.0018838951705291197,0.00030955405807094413
85,I-1_MD_AB,0.001880017229289848,0.0007811279465321665
86,d-1_MA_BB,0.0018713406082194839,0.00020167906144741217
87,T-4_MR_AA,0.0018606344335179703,0.0006248212216109454
88,S-1_MD_AA,0.0018317133249218613,0.0005104793598349564
89,chi-3_MD_AA,0.0018303113981760501,0.0003192383067588839
90,chi-3_FR_AA,0.0017748724297914041,0.0005490451141085477
91,Z-6_FD_AB,0.0017393106902400296,0.00040957234781458164
92,T-1_MA_AB,0.0017168198564625602,0.0005450307198066589
93,I-1_FD_AB,0.0016625146584869836,0.00040557727878950224
94,Z-1_FS_AB,0.0016510397832570443,0.0002245761234366346
95,chi-2_MS_AA,0.0016485527735027958,0.00014356901617470775
96,chi-2_MR_AA,0.0016373015890285096,0.0005281970724144327
97,chi-4_MD_AA,0.0016308043541026177,0.0002818671806753459
98,S-2_MS_AA,0.0016223671927693805,0.00015362331213634057
99,Z-4_FS_AA,0.0016182959278478175,0.00024628922577902423
100,chi-2_FD_AB,0.001584152230137736,0.0004223171667175881
101,Z-1_FA_AB,0.001562095971873895,0.00027604652034200305
102,T-1_FD_AB,0.001515352550988038,0.00017615588840468835
103,BO-1_MS_BBavg,0.0015057533602576881,0.0005294715886304382
104,I-3_FD_AB,0.0014591144152348943,0.0003449959112869779
105,Z-2_FD_AB,0.0014500411361233433,0.00014056102541873053
106,T-2_MD_AA,0.0014478968354579718,0.0006656936289337442
107,S-1_FA_AA,0.0014438722821516754,0.0002631969557188744
108,Z-5_FA_AA,0.0014314821140880784,0.00023939411317900122
109,d-0_FA_BB,0.0014257456939426986,0.00040482691661013724
110,d-2_FD_BB,0.0013836594832698982,0.0005410603249884783
111,Z-2_FR_AB,0.0013807321735340415,0.0005420757034031316
112,d-2_FA_BB,0.0013775627306114972,0.0006733553476431535
113,T-4_FD_AB,0.0013765238294780834,0.00019912414625492753
114,Z-1_MD_AA,0.0013468007094234661,0.00042024545582512013
115,S-4_MR_AA,0.0013442890770930423,0.0003627195450397004
116,T-3_MS_AA,0.0013318066253336395,0.00017698997074224235
117,I-5_FD_AB,0.0013211169399238152,7.083156264510396e-05
118,chi-2_MD_AB,0.0013052759841590288,0.000276684713558309
119,S-2_FA_AA,0.0013049940207278425,0.0001534946709517814
120,chi-4_FA_AA,0.0012906068354142232,0.00035101700131288265
121,chi-2_FR_AB,0.0012677453343389936,0.0003564405908706163
122,Z-0_FA_AB,0.001248588264437979,0.0001788498731747027
123,T-3_FR_AA,0.0012473808152092237,0.00030761153446348406
124,Z-0_MD_AB,0.0012415908039382156,0.0004380442148133774
125,d-1_MS_BBavg,0.0012249599878855727,0.00027561927384152655
126,S-4_MA_AB,0.0012173783964883427,0.00013880759610689937
127,T-1_MR_AB,0.0011935796431908352,0.00018188847586762276
128,T-0_MD_AB,0.001179613335736763,0.00047210845034334324
129,S-4_FA_AA,0.0011786394311428534,0.00012575273556852238
130,chi-5_FD_AB,0.0011752394657010262,0.0005708126535262033
